candidate_id,repository,doi,title,final_queue,manual_priority,landing_url,doi_url,local_drop_dir,downloaded_file_count,registered_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,current_reasons,expected_file_names,official_download_urls,official_file_statuses,manual_action
RCTC-00158,Dryad,10.5061/dryad.4m94c,Data from: Are statin trials in diabetes representative of real-world diabetes care: a population-based study on statin initiators in Finland,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.4m94c,https://doi.org/10.5061/dryad.4m94c,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00158,0,2,0,pass,pass,unclear_or_fail,no,no data file downloaded; 2 download failure(s); individual randomization not confirmed by metadata; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Graph2a_nelson_data_Ruokoniemi.xlsx | Graph2b_nelson_data_Ruokoniemi.xlsx,https://datadryad.org/api/v2/files/87579/download | https://datadryad.org/api/v2/files/87580/download,failed | failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-05229,Dryad,10.5061/dryad.15dv41nt9,Data from: BCI training to move a virtual hand reduces phantom limb pain: a randomized crossover trial,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.15dv41nt9,https://doi.org/10.5061/dryad.15dv41nt9,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-05229,0,4,0,pass,pass,pass,yes,no data file downloaded; 4 download failure(s); crossover design requires method decision before benchmark cleaning; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Supplementary_text1_Study_protocol.docx | SupplementaryTable1-4.docx | SupplementaryTable5-6.docx | SupplementaryText2.docx,https://datadryad.org/api/v2/files/416938/download | https://datadryad.org/api/v2/files/416941/download | https://datadryad.org/api/v2/files/416940/download | https://datadryad.org/api/v2/files/416939/download,failed | failed | failed | failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-00170,Dryad,10.5061/dryad.2n6v4,"Data from: Can recombinant human thrombomodulin increase survival among patients with severe septic-induced disseminated intravascular coagulation: a single-centre, open-label, randomised controlled trial",access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.2n6v4,https://doi.org/10.5061/dryad.2n6v4,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00170,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,coagulation_data_clean_R Open data.xlsx,https://datadryad.org/api/v2/files/40001/download,failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-00173,Dryad,10.5061/dryad.6vh02,Data from: Cost-effectiveness of a specialist geriatric medical intervention for frail older people discharged from acute medical units: economic evaluation in a two-centre randomised controlled trial (AMIGOS),access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.6vh02,https://doi.org/10.5061/dryad.6vh02,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00173,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,AMIGOS economic evaluation dataset.xlsx,https://datadryad.org/api/v2/files/33116/download,failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-01948,Dryad,10.5061/dryad.jh15q,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.jh15q,https://doi.org/10.5061/dryad.jh15q,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01948,0,7,0,pass,pass,pass,no,no data file downloaded; 7 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,README_for_TABLE_3_OUTCOME_database resubmit.xls | README_for_TABLE_4_MEDICAL_COMPLICATIONS database resubmit.xls | Subsequently excluded patients.xls | TABLE_1_DESCRIPTION_Database resubmit.xls | TABLE_2_TOLERANCE database.xls | TABLE_3_OUTCOME_database resubmit.xls | TABLE_4_MEDICAL_COMPLICATIONS database resubmit.xls,https://datadryad.org/api/v2/files/26880/download | https://datadryad.org/api/v2/files/26882/download | https://datadryad.org/api/v2/files/26876/download | https://datadryad.org/api/v2/files/26877/download | https://datadryad.org/api/v2/files/26878/download | https://datadryad.org/api/v2/files/26879/download | https://datadryad.org/api/v2/files/26881/download,failed | failed | failed | failed | failed | failed | failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-00180,Dryad,10.5061/dryad.90p17,Data from: Economic evaluation of a general hospital unit for older people with delirium and dementia (TEAM randomised controlled trial),access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.90p17,https://doi.org/10.5061/dryad.90p17,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00180,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,TEAM economic evaluation dataset.xlsx,https://datadryad.org/api/v2/files/19415/download,failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-00895,Dryad,10.5061/dryad.7p1r30q5,Data from: Efficacy and safety of four weeks’ treatment with combined fluticasone furoate/vilanterol in a single inhaler given once daily in COPD: a placebo-controlled randomised trial,not_qualified_before_cleaning,landing_page_check,https://datadryad.org/dataset/doi:10.5061/dryad.7p1r30q5,https://doi.org/10.5061/dryad.7p1r30q5,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00895,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the landing page and verify whether any participant-level data file exists; current official metadata exposed no usable data file.
RCTC-01934,Dryad,10.5061/dryad.697r480,"Data from: First-in-human randomized controlled trial of an oral, replicating Adenovirus 26 vector vaccine for HIV-1",access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.697r480,https://doi.org/10.5061/dryad.697r480,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01934,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Stephenson_PLOS ONE_R001.xlsx,https://datadryad.org/api/v2/files/58397/download,failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-05235,Dryad,10.5061/dryad.kn4gv14,Data from: Home-based TB contact investigation in Uganda: a household-randomized trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.kn4gv14,https://doi.org/10.5061/dryad.kn4gv14,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-05235,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01383,Dryad,10.5061/dryad.k3j9kd5qd,Data from: Intravenous ferumoxytol versus oral ferrous sulfate for iron deficiency anemia in pregnancy: A randomized controlled trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.k3j9kd5qd,https://doi.org/10.5061/dryad.k3j9kd5qd,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01383,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00161,Dryad,10.5061/dryad.3hg4k,Data from: Long-term use benefits of personal frequency-modulated systems for speech in noise perception in patients with stroke with auditory processing deficits: a non-randomised controlled trial study,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.3hg4k,https://doi.org/10.5061/dryad.3hg4k,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00161,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00896,Dryad,10.5061/dryad.2qv30,Data from: Multilayered and digitally structured presentation formats of trustworthy recommendations: a combined survey and randomised trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.2qv30,https://doi.org/10.5061/dryad.2qv30,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00896,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00174,Dryad,10.5061/dryad.1kn74rt,Data from: NIHSS cut-point for predicting outcome in supra- vs infra-tentorial acute ischemic stroke,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.1kn74rt,https://doi.org/10.5061/dryad.1kn74rt,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00174,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01908,Dryad,10.5061/dryad.sf7m0cg3n,Data from: Neurofeedback facilitation enhances post-stroke gait and balance recovery: a randomized trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.sf7m0cg3n,https://doi.org/10.5061/dryad.sf7m0cg3n,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01908,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01926,Dryad,10.5061/dryad.rg57q6m,Data from: Patterned frequency-modulated oral stimulation in preterm infants: a multicenter randomized controlled trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.rg57q6m,https://doi.org/10.5061/dryad.rg57q6m,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01926,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00181,Dryad,10.5061/dryad.81tr1,"Data from: Perioperative medication management: expanding the role of the preadmission clinic pharmacist in a single centre, randomised controlled trial of collaborative prescribing",access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.81tr1,https://doi.org/10.5061/dryad.81tr1,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00181,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00167,Dryad,10.5061/dryad.4ms68,Data from: Randomised controlled trial of an education and support package for stroke patients and their carers,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.4ms68,https://doi.org/10.5061/dryad.4ms68,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00167,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01810,Dryad,10.5061/dryad.ghx3ffbz4,Data from: Reducing work-related screen-time in healthcare workers during leisure time (REDUCE SCREEN) – A randomized controlled trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.ghx3ffbz4,https://doi.org/10.5061/dryad.ghx3ffbz4,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01810,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-05216,Dryad,10.5061/dryad.bg79cnpc9,Data from: Risk of cancer with angiotensin-receptor blockers increases with increasing cumulative exposure: Meta-regression analysis of randomized trials,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.bg79cnpc9,https://doi.org/10.5061/dryad.bg79cnpc9,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-05216,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01917,Dryad,10.5061/dryad.sk6mr5v,Data from: Scrambler therapy improves pain in neuromyelitis optica: a randomized controlled trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.sk6mr5v,https://doi.org/10.5061/dryad.sk6mr5v,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01917,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01941,Dryad,10.5061/dryad.55nb389,Data from: Small volume plasma exchange for Guillain-Barré syndrome in resource-limited settings: a phase II safety and feasibility study,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.55nb389,https://doi.org/10.5061/dryad.55nb389,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01941,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00166,Dryad,10.5061/dryad.m1n03,Data from: Strategies for understanding and reducing the Plasmodium vivax and Plasmodium ovale hypnozoite reservoir in Papua New Guinean children: a randomised placebo-controlled trial and mathematical model,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.m1n03,https://doi.org/10.5061/dryad.m1n03,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00166,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-00890,Dryad,10.5061/dryad.2d7h5,Data from: Third wave cognitive therapy versus mentalization-based treatment for major depressive disorder: a randomised clinical trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.2d7h5,https://doi.org/10.5061/dryad.2d7h5,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00890,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-05210,Dryad,10.5061/dryad.b8gtht7m7,Data from: Use of the lung flute ECO to assist in sputum collection for tuberculosis testing: a randomized crossover trial,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.b8gtht7m7,https://doi.org/10.5061/dryad.b8gtht7m7,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-05210,0,0,0,pass,pass,pass,yes,no data file downloaded; crossover design requires method decision before benchmark cleaning; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the Dryad landing page in a browser and inspect the file list; automation was rate-limited before a reliable file manifest was captured.
RCTC-01955,Dryad,10.5061/dryad.7vn81m1,"Data from: Video education versus face-to-face education on inhaler technique for patients with well-controlled or partly-controlled asthma: a phase IV, open-label, non-inferiority, multicenter, randomized, controlled trial",access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.7vn81m1,https://doi.org/10.5061/dryad.7vn81m1,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01955,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,README_for_supplementary_file_3.docx,https://datadryad.org/api/v2/files/1687/download,failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-01888,Dryad,10.5061/dryad.1ns1rn8zx,Dataset on the effectiveness of cognitive training using the abacus-based mental calculation training application,access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.1ns1rn8zx,https://doi.org/10.5061/dryad.1ns1rn8zx,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01888,0,3,0,pass,pass,pass,no,no data file downloaded; 3 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,characteristics.xlsx | CogEvo.xlsx | MoCAJ.xlsx,https://datadryad.org/api/v2/files/2948305/download | https://datadryad.org/api/v2/files/2948303/download | https://datadryad.org/api/v2/files/2948307/download,failed | failed | failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
RCTC-05222,Dryad,10.5061/dryad.gqnk98smc,"Demographic data, reporting guidelines underlying the manuscript: The effect of morning versus evening administration of Empagliflozin on its pharmacokinetics and pharmacodynamics characteristics in healthy adults: a two way cross over, non-randomized trial",access_retry_rate_limited,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.gqnk98smc,https://doi.org/10.5061/dryad.gqnk98smc,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-05222,0,3,0,pass,pass,pass,yes,no data file downloaded; 3 download failure(s); crossover design requires method decision before benchmark cleaning; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Demographics_of_participants_at_Evening_dose.xlsx | Demographics_of_participants_at_Morning_dose.xlsx | Readme_file_for_demographic_data.xlsx,https://datadryad.org/api/v2/files/647467/download | https://datadryad.org/api/v2/files/647466/download | https://datadryad.org/api/v2/files/647456/download,failed | failed | failed,Open the Dryad landing page in a browser and download the listed files; automation hit rate limits or 401/429 on official endpoints.
