Trial_ID,Repository,Dataset_DOI,License,Download_Date,Source_Files,Cleaning_Notes
77,Harvard Dataverse,10.7910/DVN/QWQLXY,CC0-1.0,2026-06-08,CORE_results.xlsx,Used the CORE trial results sheet and computed T2 change scores from baseline.
78,Harvard Dataverse,10.7910/DVN/QXBM3S,CC0-1.0,2026-06-08,Themocov_Dataset_data.tab; Themocov_Dataset_dictionary.tab,Excluded rows missing Study_group and retained 28-day progression and secondary clinical outcomes.
79,Harvard Dataverse,10.7910/DVN/VIZDGR,CC0-1.0,2026-06-08,Sharing_Data.xlsx,Used Sharing Data_PSM-PL sheet and retained immediate and follow-up education endpoints.
80,Harvard Dataverse,10.7910/DVN/BZGDBB,CC0-1.0,2026-06-08,dataset.tab,Used the Dataverse CSV and recoded three study groups with control first.
81,Harvard Dataverse,10.7910/dvn/cf2lgp,,2026-06-09,Base Aprepitant.xlsx,"Cleaned from official downloaded files after download-first verification, primary-publication review, and outcome reproducibility audit. Original temporary trial IDs are stored in trials81_94_renumbering_map.csv."
82,Harvard Dataverse,10.7910/dvn/xgdwg5,,2026-06-09,NHP Raw Data - 6 Wks FU.tab; NHP Raw Data - Discharge.tab; NHP Raw Data - Pre Op.tab; Raw Data Tocovid.tab; SF36 Raw Data - 6 Wks FU.tab; SF36 Raw Data - Discharge.tab; SF36 Raw Data - Pre-Op.tab; Tocotrienol Level.tab,"Cleaned from official downloaded files after download-first verification, primary-publication review, and outcome reproducibility audit. Original temporary trial IDs are stored in trials81_94_renumbering_map.csv."
83,University of Bath,10.15125/bath-01245,,2026-06-09,Evolife trial dataset.xlsx,"Cleaned from official downloaded files after download-first verification, primary-publication review, and outcome reproducibility audit. Original temporary trial IDs are stored in trials81_94_renumbering_map.csv."
84,Zenodo,10.5281/zenodo.5645183,,2026-06-09,Repository_BPT CBT_Rohdaten.sav,"Cleaned from official downloaded files after download-first verification, primary-publication review, and outcome reproducibility audit. Original temporary trial IDs are stored in trials81_94_renumbering_map.csv."
85,Zenodo,10.5281/zenodo.17715051,,2026-06-09,HEAL_data.xlsx,"Cleaned from official downloaded files after download-first verification, primary-publication review, and outcome reproducibility audit. Original temporary trial IDs are stored in trials81_94_renumbering_map.csv."
86,Zenodo,10.5281/zenodo.18201511,,2026-06-09,mae_1_20260109.rds; mae_1_csv_export_20260109.zip,"Cleaned from official downloaded files after download-first verification, primary-publication review, and outcome reproducibility audit. Original temporary trial IDs are stored in trials81_94_renumbering_map.csv."
87,,,,,raw_data/trial87/12871_2016_279_MOESM1_ESM.xlsx,
88,,,,,raw_data/trial88/40795_2016_111_MOESM1_ESM.xlsx,
89,,,,,raw_data/trial89/12906_2016_1337_MOESM2_ESM.xlsx,
90,,,,,raw_data/trial90/12913_2016_1384_MOESM2_ESM.xlsx; raw_data/trial90/12913_2016_1384_MOESM3_ESM.xlsx,
91,,,,,raw_data/trial91/12884_2017_1545_MOESM2_ESM.xls,Filtered to participants with observed YP_vas_sitting_10d so the compact cleaned table matches the publication primary-outcome analysis rows and passes the shared analysis missingness cutoff.
92,,,,,raw_data/trial92/12936_2021_3586_MOESM1_ESM.xlsx,
93,,,,,raw_data/trial93/PACT main analysis final.do; raw_data/trial93/PACT_30March2012.tab; raw_data/trial93/Wealth Index HL April 2011.tab,
94,,,,,raw_data/trial94/Treatment Outcomes and Baseline Data Codebook_3IE.xlsx; raw_data/trial94/secondaryoutcomedata_3ie.tab; raw_data/trial94/txoutcomeandbaselinedata_3ie.tab,
95,,,,,raw_data/trial95/Anonymised_Data_LaMaTuPe_2024-01-23.xlsx,
96,,,,,raw_data/trial96/Data.xlsx,
97,Dryad,10.5061/dryad.gf1vhhmm5,,2026-06-11,raw_data/trial97/RCTC-00152.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
98,Dryad,10.5061/dryad.m1n03,,2026-06-11,raw_data/trial98/Albinama data upload/Albinama_Table1.dta; raw_data/trial98/Albinama data upload/Albinama_Table2_Po.dta; raw_data/trial98/Albinama data upload/Albinama_Table2_Pv_LM.dta; raw_data/trial98/Albinama data upload/Albinama_Table2_Pv_PCR.dta; raw_data/trial98/Albinama data upload/Albinama_Table2_Pv_clin.dta; raw_data/trial98/Albinama data upload/Albinama_Table2_Pvg.dta; raw_data/trial98/Albinama data upload/Albinama_Table3_0-3mo.dta; raw_data/trial98/Albinama data upload/Albinama_Table3_0-8mo.dta; raw_data/trial98/Albinama data upload/Albinama_Table3_4-8mo.dta; raw_data/trial98/Albinama data upload/Albinama_Table4_Pf_LM.dta; raw_data/trial98/Albinama data upload/Albinama_Table4_Pf_PCR.dta; raw_data/trial98/Albinama data upload/Albinama_Table4_Pf_clin.dta; raw_data/trial98/Albinama data upload/Albinama_Table4_Pm_PCR.dta,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
99,Dryad,10.5061/dryad.4ms68,,2026-06-11,raw_data/trial99/ALL_demographics+and+baseline_RCTC00167.xlsx; raw_data/trial99/ANALYSED_RCT_Whole+group_RCTC00167.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
100,Dryad,10.5061/dryad.2n6v4,,2026-06-11,raw_data/trial100/coagulation_data_clean_R Open data.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
101,Dryad,10.5061/dryad.6vh02,,2026-06-11,raw_data/trial101/AMIGOS economic evaluation dataset.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
102,Dryad,10.5061/dryad.5q1j0,,2026-06-11,raw_data/trial102/C4CAnonFinalDataCheck1612.ods,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
103,Dryad,10.5061/dryad.90p17,,2026-06-11,raw_data/trial103/README_for_TEAM economic evaluation dataset.pdf; raw_data/trial103/TEAM economic evaluation dataset.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
104,Dryad,10.5061/dryad.81tr1,,2026-06-11,raw_data/trial104/PAC+dataset.xls,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
105,Dryad,10.5061/dryad.87f03,,2026-06-11,raw_data/trial105/Dryad_data.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
106,Dryad,10.5061/dryad.2d7h5,,2026-06-11,raw_data/trial106/RCRC-00890,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
107,Dryad,10.5061/dryad.8jf11,,2026-06-11,raw_data/trial107/Final results SSPS.sav; raw_data/trial107/README_for_Final results SSPS.txt; raw_data/trial107/README_for_SF6D results SSPS.txt; raw_data/trial107/SF6D results SSPS.sav,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.; Filtered to participants with observed YP_function_8w so the compact cleaned table passes the shared analysis missingness cutoff after all-missing QOL columns were removed.
108,Dryad,10.5061/dryad.4f4qrfj95,,2026-06-11,raw_data/trial108/ELAIA-1_data_dictionary_10-6-2020 (1).csv; raw_data/trial108/ELAIA-1_deidentified_data_10-6-2020 (1).csv,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
109,Dryad,10.5061/dryad.vx0k6djsv,,2026-06-11,raw_data/trial109/Raw_data.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
110,Dryad,10.5061/dryad.k3j9kd5qd,,2026-06-11,raw_data/trial110/5731a26f-520f-41fc-87cd-9aef4af27dc9.csv; raw_data/trial110/README.md,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
111,Dryad,10.5061/dryad.1ns1rn8zx,,2026-06-11,raw_data/trial111/CogEvo.xlsx; raw_data/trial111/MoCAJ.xlsx; raw_data/trial111/README (1).md; raw_data/trial111/characteristics.xlsx,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
112,Dryad,10.5061/dryad.rg57q6m,,2026-06-11,raw_data/trial112/README_for_Song_ntrainerdeidentified_datadryad_2.13.19.docx; raw_data/trial112/Song_ntrainerdeidentified_datadryad_2.13.19.csv,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
113,Dryad,10.5061/dryad.p67jf576,,2026-06-11,raw_data/trial113/QuitPilot_Participants sp.sav,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
114,Dryad,10.5061/dryad.jh15q,,2026-06-11,raw_data/trial114/README_for_TABLE_3_OUTCOME_database resubmit.xls; raw_data/trial114/README_for_TABLE_4_MEDICAL_COMPLICATIONS database resubmit.xls; raw_data/trial114/Subsequently excluded patients.xls; raw_data/trial114/TABLE_1_DESCRIPTION_Database resubmit.xls; raw_data/trial114/TABLE_2_TOLERANCE database.xls; raw_data/trial114/TABLE_3_OUTCOME_database resubmit.xls; raw_data/trial114/TABLE_4_MEDICAL_COMPLICATIONS database resubmit.xls,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
115,Dryad,10.5061/dryad.866t1g1nw,,2026-06-11,raw_data/trial115/RCTC-05226.xls,Publication-backed participant-level randomized trial with recoverable treatment and outcome variables.
116,,,,,raw_data/trial116/S 3 raw data.tab,
117,,,,,raw_data/trial117/Data.csv; raw_data/trial117/Study protocol.pdf,
118,,,,,raw_data/trial118/RCTC-05010.xlsx,
119,,,,,raw_data/trial119/Collecte donn_es_Dataverse.tab,
120,,,,,raw_data/trial120/Fig 1b_eFig 4a_ 4b_ 5.tab; raw_data/trial120/Fig1a_ eFig 3.tab; raw_data/trial120/eFig 6-7.tab; raw_data/trial120/eFig 8-9.tab; raw_data/trial120/mapa tablas.docx,
121,,,,,raw_data/trial121/LindsayData_PNE.sav,
