Trial_ID,audit_source,audit_type,candidate_id,Original_Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,cleaned_value,absolute_diff,tolerance,status,paper_source,notes
103,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00180,,Treatment,allocation,Geriatric ward,n,,,204.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
103,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00180,,Treatment,allocation,MMHU,n,,,309.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
103,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00180,,YP_eq5d_pain_3m,primary,General ward,mean,,,1.525,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
103,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00180,,YP_eq5d_pain_3m,primary,Geriatric ward,mean,,,1.4022988505747127,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
103,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00180,,YP_eq5d_pain_3m,primary,MMHU,mean,,,1.4924242424242424,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
104,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00181,,Treatment,allocation,Pharmacist collaborative prescribing,n,,,183.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
104,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00181,,Treatment,allocation,Usual care,n,,,183.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
104,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00181,,YP_total_medications,primary,Pharmacist collaborative prescribing,mean,,,5.371584699453552,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
104,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00181,,YP_total_medications,primary,Usual care,mean,,,7.453551912568306,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
105,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00888,,Treatment,allocation,Exercise,n,,,25.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
105,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00888,,Treatment,allocation,Standard care,n,,,25.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
105,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00888,,YP_counts_per_day_28w,primary,Exercise,mean,,,191767.7677871149,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
105,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00888,,YP_counts_per_day_28w,primary,Standard care,mean,,,228306.89142857143,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
106,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00890,,Treatment,allocation,Mentalization-based treatment,n,,,22.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
106,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00890,,Treatment,allocation,Third wave cognitive therapy,n,,,22.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
106,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00890,,YP_hdrs_18w,primary,Mentalization-based treatment,mean,,,17.0,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
106,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00890,,YP_hdrs_18w,primary,Third wave cognitive therapy,mean,,,12.863636363636363,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
107,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00893,,Treatment,allocation,Doctor,n,,,117.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
107,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00893,,Treatment,allocation,Emergency nurse practitioner,n,,,122.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
107,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00893,,Treatment,allocation,Extended scope physiotherapist,n,,,124.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
107,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00893,,YP_function_8w,primary,Doctor,mean,,,58.49219178082192,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
107,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00893,,YP_function_8w,primary,Emergency nurse practitioner,mean,,,59.1444,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
107,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-00893,,YP_function_8w,primary,Extended scope physiotherapist,mean,,,55.236666666666665,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
108,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01313,,Treatment,allocation,AKI alert,n,,,3059.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
108,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01313,,Treatment,allocation,Usual care,n,,,2971.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
108,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01313,,YP_composite_14d,primary,AKI alert,mean,,,0.2134684537430533,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
108,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01313,,YP_composite_14d,primary,Usual care,mean,,,0.2093571188152137,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
109,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01363,,Treatment,allocation,Placebo,n,,,40.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
109,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01363,,Treatment,allocation,Vitamin K1,n,,,40.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
109,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01363,,Treatment,allocation,Vitamin K2,n,,,40.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
109,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01363,,YP_mgp_post,primary,Placebo,mean,,,175.75,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
109,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01363,,YP_mgp_post,primary,Vitamin K1,mean,,,584.0,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
109,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01363,,YP_mgp_post,primary,Vitamin K2,mean,,,2706.25,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
110,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01383,,Treatment,allocation,IV iron (ferumoxytol),n,,,40.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
110,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01383,,Treatment,allocation,Oral iron,n,,,40.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
110,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01383,,YP_hgb_4w,primary,IV iron (ferumoxytol),mean,,,11.56111111111111,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
110,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01383,,YP_hgb_4w,primary,Oral iron,mean,,,10.628947368421054,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
111,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01888,,Treatment,allocation,Abacus cognitive training,n,,,10.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
111,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01888,,Treatment,allocation,Control,n,,,10.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
111,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01888,,YP_moca_total_post,primary,Abacus cognitive training,mean,,,27.5,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
111,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01888,,YP_moca_total_post,primary,Control,mean,,,27.5,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
112,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01926,,Treatment,allocation,NTrainer stimulation,n,,,109.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
112,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01926,,Treatment,allocation,Non-pulsatile pacifier,n,,,101.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
112,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01926,,YP_time_to_full_oral_feeds_days,primary,NTrainer stimulation,mean,,,25.678899082568808,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
112,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01926,,YP_time_to_full_oral_feeds_days,primary,Non-pulsatile pacifier,mean,,,27.00990099009901,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
113,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01937,,Treatment,allocation,Counselling + pharmacotherapy,n,,,15.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
113,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01937,,Treatment,allocation,Usual care,n,,,13.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
113,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01937,,YP_smoking_abstinence_26w,primary,Counselling + pharmacotherapy,mean,,,0.6666666666666666,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
113,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01937,,YP_smoking_abstinence_26w,primary,Usual care,mean,,,0.8461538461538461,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
114,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01948,,Treatment,allocation,Early sitting,n,,,63.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
114,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01948,,Treatment,allocation,Progressive sitting,n,,,75.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
114,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01948,,YP_rankin_3m,primary,Early sitting,mean,,,1.4426229508196722,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
114,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-01948,,YP_rankin_3m,primary,Progressive sitting,mean,,,1.6944444444444444,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,Treatment,allocation,Control- no SMS,n,,,131.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,Treatment,allocation,PP Checklist & FP SMS,n,,,138.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,Treatment,allocation,PP Checklist & PNC General,n,,,114.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,Treatment,allocation,PP Checklist Only,n,,,128.0,,,descriptive_recovered,,Arm counts recovered from cleaned participant-level data.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,YP_family_planning_uptake,primary,Control- no SMS,mean,,,0.4809160305343511,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,YP_family_planning_uptake,primary,PP Checklist & FP SMS,mean,,,0.5693430656934306,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,YP_family_planning_uptake,primary,PP Checklist & PNC General,mean,,,0.4122807017543859,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,manual_summary_statistics_audit.csv,descriptive_summary_screen,RCTC-05226,,YP_family_planning_uptake,primary,PP Checklist Only,mean,,,0.4566929133858268,,,descriptive_recovered,,Primary-outcome descriptive mean computed for publication summary-stat screen.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,Treatment,allocation,Group 1,n,,,12.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,Treatment,allocation,Group 2,n,,,12.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 1,mean,,,13.666666666666666,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 1,median,,,7.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 1,n_nonmissing,,,9.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 1,q1,,,7.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 1,q3,,,17.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 1,sd,,,12.893796958227627,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 2,mean,,,20.90909090909091,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 2,median,,,17.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 2,n_nonmissing,,,11.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 2,q1,,,10.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 2,q3,,,26.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_dass_total_t2,primary,Group 2,sd,,,18.32186969419085,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 1,mean,,,-1.4444444444444444,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 1,median,,,-1.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 1,n_nonmissing,,,9.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 1,q1,,,-7.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 1,q3,,,1.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 1,sd,,,6.765927710061479,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 2,mean,,,2.5454545454545454,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 2,median,,,1.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 2,n_nonmissing,,,11.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 2,q1,,,-2.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 2,q3,,,6.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_dass_total_t2,primary,Group 2,sd,,,11.578977816401897,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_factg_total_t2,primary,Group 1,mean,,,-8.333333333333334,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_factg_total_t2,primary,Group 1,median,,,-8.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_factg_total_t2,primary,Group 1,n_nonmissing,,,9.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_factg_total_t2,primary,Group 1,q1,,,-16.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
116,generated_from_cleaned_data,descriptive_summary_screen,Music intervention combined with progressive muscle relaxation among women with cancer receiving chemotherapy,,YP_delta_factg_total_t2,primary,Group 1,q3,,,-5.0,,,descriptive_recovered_pending_publication_comparison,pending_publication_value_extraction,Generated during folder cleanup because no existing summary-stat audit rows were found for this active trial. Values are descriptive summaries computed from cleaned participant-level data; paper_value is blank until publication values are extracted.
