Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,paper_source,notes
B04,B04_sis_followup,primary,Intervention,mean,70.6,0.01,B04 Table II,SIS total follow-up.
B04,X_disability_sis_0w,primary_baseline,Control,mean,47.53,0.01,B04 Table II,SIS total baseline.
B04,B04_sis_post,primary,Control,mean,58.1,0.01,B04 Table II,SIS total post-intervention.
B04,B04_sis_followup,primary,Control,mean,58.82,0.01,B04 Table II,SIS total follow-up.
B04,X_quality_whodas_0w,primary_baseline,Intervention,mean,40.42,0.01,B04 Table II,WHODAS total baseline.
B04,B04_whodas_post,primary,Intervention,mean,50.95,0.01,B04 Table II,WHODAS total post-intervention.
B04,B04_whodas_followup,primary,Intervention,mean,52.62,0.01,B04 Table II,WHODAS total follow-up.
B04,X_quality_whodas_0w,primary_baseline,Control,mean,37.74,0.01,B04 Table II,WHODAS total baseline.
B04,B04_whodas_post,primary,Control,mean,46.51,0.01,B04 Table II,WHODAS total post-intervention.
B04,B04_whodas_followup,primary,Control,mean,47.29,0.01,B04 Table II,WHODAS total follow-up.
B05,no_publication_identified,primary,NA,mean,NA,NA,B05 search record,No associated main publication was identified.
