Trial_ID,audit_rows,audit_types,audit_sources,primary_rows,pass_rows,fail_rows,descriptive_rows,nonpass_statuses,has_paper_values,audit_coverage_status
76,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
77,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
78,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
79,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
80,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
81,8,strict_publication_reproducibility,outcome_reproducibility_audit_trials81_94.csv,4,8,0,0,,True,strict_or_paper_value_audit_present
82,2,strict_publication_reproducibility,outcome_reproducibility_audit_trials81_94.csv,2,2,0,0,,True,strict_or_paper_value_audit_present
83,8,strict_publication_reproducibility,outcome_reproducibility_audit_trials81_94.csv,8,7,1,0,fail,True,strict_or_paper_value_audit_present
84,16,strict_publication_reproducibility,outcome_reproducibility_audit_trials81_94.csv,14,15,1,0,fail,True,strict_or_paper_value_audit_present
85,8,strict_publication_reproducibility,outcome_reproducibility_audit_trials81_94.csv,4,8,0,0,,True,strict_or_paper_value_audit_present
86,2,strict_publication_reproducibility,outcome_reproducibility_audit_trials81_94.csv,2,2,0,0,,True,strict_or_paper_value_audit_present
87,12,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,10,11,1,0,fail,True,strict_or_paper_value_audit_present
88,10,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,2,10,0,0,,True,strict_or_paper_value_audit_present
89,18,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,6,18,0,0,,True,strict_or_paper_value_audit_present
90,8,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,4,7,1,0,fail,True,strict_or_paper_value_audit_present
91,6,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,6,6,0,0,,True,strict_or_paper_value_audit_present
92,18,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,18,18,0,0,,True,strict_or_paper_value_audit_present
93,6,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,6,6,0,0,,True,strict_or_paper_value_audit_present
94,16,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,4,16,0,0,,True,strict_or_paper_value_audit_present
95,2,strict_publication_reproducibility,outcome_reproducibility_audit_manual_trials87_95.csv,2,2,0,0,,True,strict_or_paper_value_audit_present
96,14,descriptive_summary_screen,generated_from_cleaned_data,12,0,0,14,,False,descriptive_summary_audit_present
97,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
98,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
99,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
