"Trial_ID","has_csv","has_rds","n_rows","n_cols","csv_rows","csv_cols","names_match","data_frame","treatment_factor","treatment_missing","treatment_levels","n_yp","n_ys","n_x","n_bad_prefix","duplicate_names","bad_names","bad_prefix","y_all_missing","x_all_missing","y_model_hostile","exact_duplicate_columns","hard_format_pass","analysis_compatible"
97,TRUE,TRUE,110,10,110,10,TRUE,TRUE,TRUE,0,2,1,3,5,0,FALSE,"","","","","","",TRUE,TRUE
98,TRUE,TRUE,499,6,499,6,TRUE,TRUE,TRUE,0,2,1,1,3,0,FALSE,"","","","","","",TRUE,TRUE
99,TRUE,TRUE,119,10,119,10,TRUE,TRUE,TRUE,0,2,1,3,5,0,FALSE,"","","","","","",TRUE,TRUE
100,TRUE,TRUE,92,4,92,4,TRUE,TRUE,TRUE,0,2,1,1,1,0,FALSE,"","","","","","",TRUE,TRUE
101,TRUE,TRUE,417,7,417,7,TRUE,TRUE,TRUE,0,2,1,1,4,0,FALSE,"","","","","YP_eq5d_pain_3m","",TRUE,TRUE
102,TRUE,TRUE,410,8,410,8,TRUE,TRUE,TRUE,0,2,1,2,4,0,FALSE,"","","","","","",TRUE,TRUE
103,TRUE,TRUE,599,8,599,8,TRUE,TRUE,TRUE,0,3,1,2,4,0,FALSE,"","","","","YP_eq5d_pain_3m;YS_mmse_3m","",TRUE,TRUE
104,TRUE,TRUE,366,7,366,7,TRUE,TRUE,TRUE,0,2,1,2,3,0,FALSE,"","","","","","",TRUE,TRUE
105,TRUE,TRUE,50,8,50,8,TRUE,TRUE,TRUE,0,2,1,2,4,0,FALSE,"","","","","","",TRUE,TRUE
106,TRUE,TRUE,44,8,44,8,TRUE,TRUE,TRUE,0,2,1,2,4,0,FALSE,"","","","","","",TRUE,TRUE
107,TRUE,TRUE,217,6,217,6,TRUE,TRUE,TRUE,0,3,1,0,4,0,FALSE,"","","","","","",TRUE,TRUE
108,TRUE,TRUE,6030,11,6030,11,TRUE,TRUE,TRUE,0,2,1,3,6,0,FALSE,"","","","","","",TRUE,TRUE
109,TRUE,TRUE,120,9,120,9,TRUE,TRUE,TRUE,0,3,1,1,6,0,FALSE,"","","","","","",TRUE,TRUE
110,TRUE,TRUE,80,8,80,8,TRUE,TRUE,TRUE,0,2,1,2,4,0,FALSE,"","","","","","",TRUE,TRUE
111,TRUE,TRUE,20,8,20,8,TRUE,TRUE,TRUE,0,2,1,1,5,0,FALSE,"","","","","","",TRUE,TRUE
112,TRUE,TRUE,210,8,210,8,TRUE,TRUE,TRUE,0,2,1,2,4,0,FALSE,"","","","","","",TRUE,TRUE
113,TRUE,TRUE,28,9,28,9,TRUE,TRUE,TRUE,0,2,1,2,5,0,FALSE,"","","","","","",TRUE,TRUE
114,TRUE,TRUE,138,8,138,8,TRUE,TRUE,TRUE,0,2,1,2,4,0,FALSE,"","","","","YP_rankin_3m;YS_nihss_day7;YS_barthel_3m","",TRUE,TRUE
115,TRUE,TRUE,511,9,511,9,TRUE,TRUE,TRUE,0,4,1,2,5,0,FALSE,"","","","","","",TRUE,TRUE
116,TRUE,TRUE,24,25,24,25,TRUE,TRUE,TRUE,0,2,4,5,15,0,FALSE,"","","","","","",TRUE,TRUE
117,TRUE,TRUE,25,12,25,12,TRUE,TRUE,TRUE,0,3,2,4,5,0,FALSE,"","","","","","",TRUE,TRUE
118,TRUE,TRUE,86,22,86,22,TRUE,TRUE,TRUE,0,3,4,5,12,0,FALSE,"","","","","","",TRUE,TRUE
119,TRUE,TRUE,57,25,57,25,TRUE,TRUE,TRUE,0,2,1,8,15,0,FALSE,"","","","","","",TRUE,TRUE
120,TRUE,TRUE,70,7,70,7,TRUE,TRUE,TRUE,0,2,2,2,2,0,FALSE,"","","","","","",TRUE,TRUE
121,TRUE,TRUE,144,20,144,20,TRUE,TRUE,TRUE,0,3,1,5,13,0,FALSE,"","","","","","",TRUE,TRUE
