Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,paper_source,notes
trial90,YS_mpr_mean_percent,primary_supporting,Intervention,medication_row_weighted_sd,19.03,,BMC Health Services Research 2016 Table 5,Weighted from compact participant-level MPR sum/count/sumsq components.
trial90,YS_mpr_mean_percent,primary_supporting,Control,medication_row_weighted_mean,87.5,,BMC Health Services Research 2016 Table 5,Weighted from compact participant-level MPR sum/count components.
trial90,YS_mpr_mean_percent,primary_supporting,Control,medication_row_weighted_sd,20.75,,BMC Health Services Research 2016 Table 5,Weighted from compact participant-level MPR sum/count/sumsq components.
trial91,YP_vas_sitting_10d,primary,Monocryl,mean,2.8,,BMC Pregnancy and Childbirth 2017 Table 3,Publication reports n=64/67; cleaned nonmissing primary rows are audited separately.
trial91,YP_vas_sitting_10d,primary,Monocryl,sd,2.5,,BMC Pregnancy and Childbirth 2017 Table 3,Publication reports n=64/67; cleaned nonmissing primary rows are audited separately.
trial91,YP_vas_sitting_10d,primary,Vicryl Rapide,mean,2.5,,BMC Pregnancy and Childbirth 2017 Table 3,Publication reports n=64/67; cleaned nonmissing primary rows are audited separately.
trial91,YP_vas_sitting_10d,primary,Vicryl Rapide,sd,2.1,,BMC Pregnancy and Childbirth 2017 Table 3,Publication reports n=64/67; cleaned nonmissing primary rows are audited separately.
trial91,YP_vas_sitting_10d,primary,Monocryl,nonmissing_n,64.0,,BMC Pregnancy and Childbirth 2017 Table 3,Count mismatch retained as a source-data limitation; means/SDs reproduce within tolerance.
trial91,YP_vas_sitting_10d,primary,Vicryl Rapide,nonmissing_n,67.0,,BMC Pregnancy and Childbirth 2017 Table 3,Count mismatch retained as a source-data limitation; means/SDs reproduce within tolerance.
trial92,YP_itn_use_4m,primary,Intervention: category 1,category_count,30.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Intervention: category 2,category_count,8.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Intervention: category 3,category_count,28.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Intervention: category 4,category_count,39.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Intervention: category 5,category_count,34.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Control: category 1,category_count,35.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Control: category 2,category_count,22.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Control: category 3,category_count,24.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Control: category 4,category_count,22.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_itn_use_4m,primary,Control: category 5,category_count,25.0,,Malaria Journal 2021 Table 4,"ITN categories: 1 never, 2 seldom, 3 sometimes, 4 often, 5 almost always."
trial92,YP_ipt_doses_4m,primary,Intervention: category 0,category_count,6.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Intervention: category 1,category_count,20.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Intervention: category 2,category_count,82.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Intervention: category 3,category_count,31.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Control: category 0,category_count,10.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Control: category 1,category_count,47.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Control: category 2,category_count,62.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial92,YP_ipt_doses_4m,primary,Control: category 3,category_count,9.0,,Malaria Journal 2021 Table 4,IPTp categories are reported number of doses by four months.
trial93,YP_adhered_self_report,primary,Control,percent,61.5,,PLOS ONE 2014 Table 2,Any reminder corresponds to treated_ate=1 in the authors' Stata code.
trial93,YP_adhered_self_report,primary,Any reminder,percent,66.4,,PLOS ONE 2014 Table 2,Any reminder corresponds to treated_ate=1 in the authors' Stata code.
trial93,YP_adhered_self_report,primary,Reminder plus information,percent,64.1,,PLOS ONE 2014 Table 2,Any reminder corresponds to treated_ate=1 in the authors' Stata code.
trial93,YP_adhered_self_report,primary,Control,nonmissing_n,538.0,,PLOS ONE 2014 Table 2,
trial93,YP_adhered_self_report,primary,Any reminder,nonmissing_n,572.0,,PLOS ONE 2014 Table 2,
trial93,YP_adhered_self_report,primary,Reminder plus information,nonmissing_n,304.0,,PLOS ONE 2014 Table 2,
trial94,YP_clinical_treatment_success,primary,Zindagi SMS,event_count,917.0,,PLOS ONE 2016 Table 2,
trial94,YP_clinical_treatment_success,primary,Control,event_count,903.0,,PLOS ONE 2016 Table 2,
trial94,YP_clinical_treatment_success,primary,Zindagi SMS,percent,83.0,,PLOS ONE 2016 Table 2,Publication rounds percentages to whole numbers.
trial94,YP_clinical_treatment_success,primary,Control,percent,83.0,,PLOS ONE 2016 Table 2,Publication rounds percentages to whole numbers.
trial94,YS_clinical_treatment_complete,secondary,Zindagi SMS,event_count,332.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_treatment_complete,secondary,Control,event_count,325.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_cured,secondary,Zindagi SMS,event_count,585.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_cured,secondary,Control,event_count,578.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_default,secondary,Zindagi SMS,event_count,108.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_default,secondary,Control,event_count,103.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_died,secondary,Zindagi SMS,event_count,19.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_died,secondary,Control,event_count,19.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_failure,secondary,Zindagi SMS,event_count,27.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_failure,secondary,Control,event_count,29.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_transfer_out,secondary,Zindagi SMS,event_count,33.0,,PLOS ONE 2016 Table 2,
trial94,YS_clinical_transfer_out,secondary,Control,event_count,39.0,,PLOS ONE 2016 Table 2,
trial95,YP_insertion_time_sec,primary,Laryngeal mask,median,31.0,,European Journal of Emergency Medicine 2025 Table 2,Compound free-text timing cells are retained in X_insertion_time_raw and excluded from this compact numeric audit.
trial95,YP_insertion_time_sec,primary,Laryngeal tube,median,37.0,,European Journal of Emergency Medicine 2025 Table 2,Compound free-text timing cells are retained in X_insertion_time_raw and excluded from this compact numeric audit.
