Backup_ID,Original_Trial_ID,source,outcome_variable,outcome_role,group,n_nonmissing,n_missing,mean,variance,sd,median,min,max,note
B06,81,backup_cleaned_csv,YP_delta_qolltif_summary,primary,Arm_2,61,166.0,-0.268631,1.542066,1.241799,-0.12381,-3.271429,3.352381,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_delta_qolltif_summary,primary,Arm_3,50,165.0,-0.2258,1.938325,1.392237,-0.180952,-4.366667,3.255238,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_mqol_global_item_final,secondary,overall,331,111.0,5.864048,5.663279,2.379765,6.0,0.0,10.0,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YS_mqol_global_item_final,secondary,Arm_2,167,60.0,5.820359,5.943438,2.437917,6.0,0.0,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_mqol_global_item_final,secondary,Arm_3,164,51.0,5.908537,5.408761,2.325674,6.0,0.0,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_delta_mqol_global_item,secondary,overall,331,111.0,-0.359517,6.461265,2.541902,0.0,-10.0,10.0,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YS_delta_mqol_global_item,secondary,Arm_2,167,60.0,-0.359281,6.014718,2.452492,0.0,-8.0,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_delta_mqol_global_item,secondary,Arm_3,164,51.0,-0.359756,6.955671,2.637361,0.0,-10.0,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_qolltif_global_item_final,secondary,overall,109,333.0,6.348624,5.062521,2.250005,7.0,0.0,10.0,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YS_qolltif_global_item_final,secondary,Arm_2,60,167.0,6.55,3.878814,1.96947,7.0,3.0,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_qolltif_global_item_final,secondary,Arm_3,49,166.0,6.102041,6.510204,2.55151,7.0,0.0,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_delta_qolltif_global_item,secondary,overall,109,333.0,-0.238532,4.146279,2.036241,0.0,-6.0,5.0,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YS_delta_qolltif_global_item,secondary,Arm_2,60,167.0,-0.166667,5.19209,2.278616,0.0,-6.0,5.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YS_delta_qolltif_global_item,secondary,Arm_3,49,166.0,-0.326531,2.932823,1.712549,0.0,-5.0,3.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YP_days_achieved_goal,primary,overall,133,0.0,6.759398,54.471975,7.380513,4.0,0.0,20.0,Current backup cleaned file summary.
B07,82,backup_cleaned_csv,YP_days_achieved_goal,primary,GR1,31,0.0,6.096774,40.156989,6.336954,5.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YP_days_achieved_goal,primary,GR2,33,0.0,8.878788,53.922348,7.343184,8.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YP_days_achieved_goal,primary,GR3,23,0.0,8.0,89.272727,9.448425,1.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YP_days_achieved_goal,primary,GR4,22,0.0,5.409091,46.729437,6.835893,2.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YP_days_achieved_goal,primary,GR5,24,0.0,4.75,42.630435,6.529199,0.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_adherent_days,secondary,overall,133,0.0,12.661654,69.528594,8.338381,17.0,0.0,20.0,Current backup cleaned file summary.
B07,82,backup_cleaned_csv,YS_adherent_days,secondary,GR1,31,0.0,15.322581,38.892473,6.236383,18.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_adherent_days,secondary,GR2,33,0.0,14.212121,54.922348,7.410961,19.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_adherent_days,secondary,GR3,23,0.0,10.913043,84.628458,9.199373,16.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_adherent_days,secondary,GR4,22,0.0,14.045455,70.997835,8.426021,19.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_adherent_days,secondary,GR5,24,0.0,7.5,80.434783,8.968544,0.0,0.0,20.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_average_steps,secondary,overall,133,0.0,3299.834586,11298163.639098,3361.274109,2707.0,0.0,13846.0,Current backup cleaned file summary.
B07,82,backup_cleaned_csv,YS_average_steps,secondary,GR1,31,0.0,3283.870968,11029429.382796,3321.058473,2472.0,0.0,13846.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_average_steps,secondary,GR2,33,0.0,3851.030303,10568811.655303,3250.970879,3623.0,0.0,10203.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_average_steps,secondary,GR3,23,0.0,3484.869565,17737626.027668,4211.60611,1854.0,0.0,12512.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_average_steps,secondary,GR4,22,0.0,3330.454545,7310549.402597,2703.802767,3173.0,0.0,7696.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_average_steps,secondary,GR5,24,0.0,2357.166667,10711066.84058,3272.776626,0.0,0.0,10769.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_sum_steps,secondary,overall,133,0.0,73039.571429,4539331083.852815,67374.558135,61256.0,-9.0,276915.0,Current backup cleaned file summary.
B07,82,backup_cleaned_csv,YS_sum_steps,secondary,GR1,31,0.0,82148.806452,4973945064.361292,70526.201261,61256.0,0.0,276915.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_sum_steps,secondary,GR2,33,0.0,87460.848485,3531670585.382576,59427.860347,88100.0,-3.0,204062.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_sum_steps,secondary,GR3,23,0.0,69842.304348,7074289842.039524,84108.797649,37081.0,0.0,250235.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_sum_steps,secondary,GR4,22,0.0,66608.181818,2924311799.489178,54076.906342,63450.0,-9.0,153923.0,Current backup cleaned file summary by Treatment.
B07,82,backup_cleaned_csv,YS_sum_steps,secondary,GR5,24,0.0,50403.708333,4219011059.259057,64953.914888,0.0,0.0,215389.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YP_gvl_detectable_6m,primary,overall,185,14.0,0.324324,0.220329,0.469392,0.0,0.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YP_gvl_detectable_6m,primary,C-IUD,92,6.0,0.315217,0.218227,0.467148,0.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YP_gvl_detectable_6m,primary,LNG IUD,93,8.0,0.333333,0.224638,0.47396,0.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YP_gvl_detectable_24m,primary,overall,153,46.0,0.294118,0.208978,0.457141,0.0,0.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YP_gvl_detectable_24m,primary,C-IUD,77,21.0,0.298701,0.212235,0.46069,0.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YP_gvl_detectable_24m,primary,LNG IUD,76,25.0,0.289474,0.208421,0.456532,0.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YP_gvl_detectable_any_6_24m,primary,overall,190,9.0,0.436842,0.247313,0.497305,0.0,0.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YP_gvl_detectable_any_6_24m,primary,C-IUD,94,4.0,0.43617,0.24857,0.498568,0.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YP_gvl_detectable_any_6_24m,primary,LNG IUD,96,5.0,0.4375,0.248684,0.498682,0.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_iud_removal_any_24m,secondary,overall,40,159.0,1.0,0.0,0.0,1.0,1.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_iud_removal_any_24m,secondary,C-IUD,34,64.0,1.0,0.0,0.0,1.0,1.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_iud_removal_any_24m,secondary,LNG IUD,6,95.0,1.0,0.0,0.0,1.0,1.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_iud_expulsion_any_24m,secondary,overall,9,190.0,1.444444,0.277778,0.527046,1.0,1.0,2.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_iud_expulsion_any_24m,secondary,C-IUD,8,90.0,1.5,0.285714,0.534522,1.5,1.0,2.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_iud_expulsion_any_24m,secondary,LNG IUD,1,100.0,1.0,,,1.0,1.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_any_rti_any_24m,secondary,overall,194,5.0,0.649485,0.228834,0.478366,1.0,0.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_any_rti_any_24m,secondary,C-IUD,96,2.0,0.65625,0.227961,0.477452,1.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_any_rti_any_24m,secondary,LNG IUD,98,3.0,0.642857,0.231959,0.481621,1.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_pvl_detectable_6m,secondary,overall,187,12.0,0.529412,0.250474,0.500474,1.0,0.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_pvl_detectable_6m,secondary,C-IUD,92,6.0,0.51087,0.252628,0.502621,1.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_pvl_detectable_6m,secondary,LNG IUD,95,6.0,0.547368,0.250392,0.500392,1.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_pvl_detectable_24m,secondary,overall,152,47.0,0.513158,0.251481,0.501479,1.0,0.0,1.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_pvl_detectable_24m,secondary,C-IUD,77,21.0,0.519481,0.252905,0.502897,1.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_pvl_detectable_24m,secondary,LNG IUD,75,26.0,0.506667,0.253333,0.503322,1.0,0.0,1.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_cd4_final,secondary,overall,66,133.0,603.742424,79839.055711,282.558057,489.5,249.0,1424.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_cd4_final,secondary,C-IUD,30,68.0,591.433333,78784.047126,280.684961,469.5,298.0,1424.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_cd4_final,secondary,LNG IUD,36,65.0,614.0,82756.228571,287.673823,508.0,249.0,1328.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_delta_cd4_final,secondary,overall,66,133.0,-22.348485,40979.430536,202.433768,-2.0,-604.0,425.0,Current backup cleaned file summary.
B08,83,backup_cleaned_csv,YS_delta_cd4_final,secondary,C-IUD,30,68.0,-32.033333,49569.205747,222.641429,-30.0,-604.0,425.0,Current backup cleaned file summary by Treatment.
B08,83,backup_cleaned_csv,YS_delta_cd4_final,secondary,LNG IUD,36,65.0,-14.277778,34885.634921,186.776966,-2.0,-513.0,362.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YP_prep_adherence_percent_final,primary,overall,336,12.0,28.429808,592.538751,24.342119,19.744391,0.0,100.0,Current backup cleaned file summary.
B09,84,backup_cleaned_csv,YP_prep_adherence_percent_final,primary,Arm_0,169,6.0,28.48115,642.350813,25.344641,18.75,0.0,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YP_prep_adherence_percent_final,primary,Arm_1,167,6.0,28.377852,545.690654,23.360023,20.121029,0.8726,99.70015,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_pharmacy_adherence_percent_final,secondary,overall,337,11.0,70.898638,1046.9224,32.35618,85.08772,3.061224,100.0,Current backup cleaned file summary.
B09,84,backup_cleaned_csv,YS_pharmacy_adherence_percent_final,secondary,Arm_0,170,5.0,67.799349,1123.502331,33.518686,80.5529,3.061224,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_pharmacy_adherence_percent_final,secondary,Arm_1,167,6.0,74.053603,955.414436,30.909779,87.61194,4.075691,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_prep_adherence_percent_month_final,secondary,overall,194,154.0,18.629299,788.280216,28.076328,4.878049,0.0,100.0,Current backup cleaned file summary.
B09,84,backup_cleaned_csv,YS_prep_adherence_percent_month_final,secondary,Arm_0,96,79.0,19.539447,852.092767,29.190628,4.577834,0.0,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_prep_adherence_percent_month_final,secondary,Arm_1,98,75.0,17.737726,732.287061,27.060803,5.025232,0.0,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_pharmacy_adherence_percent_month_final,secondary,overall,337,11.0,61.15953,2213.356824,47.046326,100.0,0.0,100.0,Current backup cleaned file summary.
B09,84,backup_cleaned_csv,YS_pharmacy_adherence_percent_month_final,secondary,Arm_0,170,5.0,58.226518,2275.285589,47.699954,100.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_pharmacy_adherence_percent_month_final,secondary,Arm_1,167,6.0,64.145232,2145.86437,46.323475,100.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_dbs_tfvdp_adjusted_final,secondary,overall,289,59.0,169.448234,69742.393085,264.087851,100.0,100.0,2029.0,Current backup cleaned file summary.
B09,84,backup_cleaned_csv,YS_dbs_tfvdp_adjusted_final,secondary,Arm_0,143,32.0,168.703736,66511.101526,257.897463,100.0,100.0,1948.0,Current backup cleaned file summary by Treatment.
B09,84,backup_cleaned_csv,YS_dbs_tfvdp_adjusted_final,secondary,Arm_1,146,27.0,170.177433,73386.730327,270.899853,100.0,100.0,2029.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_hunger_day_x3_x1,primary,overall,209,52.0,-8.564593,923.756625,30.393365,0.0,-100.0,75.0,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_delta_hunger_day_x3_x1,primary,Arm_1,106,25.0,-6.745283,1041.239263,32.268239,0.0,-100.0,75.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_hunger_day_x3_x1,primary,Arm_2,103,27.0,-10.436893,804.895488,28.37068,-2.0,-90.0,51.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_hunger_day_x3,primary,overall,209,52.0,40.574163,485.48606,22.033748,50.0,0.0,100.0,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_hunger_day_x3,primary,Arm_1,106,25.0,40.349057,540.705571,23.253077,47.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_hunger_day_x3,primary,Arm_2,103,27.0,40.805825,433.29526,20.815745,50.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_satisfaction_last_meal_x3_x1,primary,overall,209,52.0,15.636364,1476.395979,38.423899,5.0,-100.0,100.0,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_delta_satisfaction_last_meal_x3_x1,primary,Arm_1,106,25.0,17.132075,1687.106199,41.074398,10.0,-100.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_satisfaction_last_meal_x3_x1,primary,Arm_2,103,27.0,14.097087,1269.245384,35.62647,2.0,-70.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_satisfaction_last_meal_x3,primary,overall,209,52.0,83.449761,621.546743,24.930839,100.0,0.0,100.0,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_satisfaction_last_meal_x3,primary,Arm_1,106,25.0,83.59434,635.233872,25.203846,100.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_satisfaction_last_meal_x3,primary,Arm_2,103,27.0,83.300971,613.506568,24.769065,100.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_full_after_3_meals_x3_x1,primary,overall,209,52.0,9.626794,1194.158125,34.556593,1.0,-75.0,100.0,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_delta_full_after_3_meals_x3_x1,primary,Arm_1,106,25.0,11.415094,1208.949865,34.769956,1.5,-75.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_full_after_3_meals_x3_x1,primary,Arm_2,103,27.0,7.786408,1183.895108,34.407777,0.0,-75.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_full_after_3_meals_x3,primary,overall,209,52.0,78.454545,524.826049,22.909082,75.0,0.0,100.0,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_full_after_3_meals_x3,primary,Arm_1,106,25.0,78.716981,435.423899,20.866813,75.0,10.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_full_after_3_meals_x3,primary,Arm_2,103,27.0,78.184466,621.857796,24.937077,75.0,0.0,100.0,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_weight_kg_x3_x1,primary,overall,187,74.0,-0.709358,26.626888,5.160125,-0.4,-31.4,12.1,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_delta_weight_kg_x3_x1,primary,Arm_1,97,34.0,-0.662887,22.187619,4.710374,-0.5,-31.4,9.8,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_weight_kg_x3_x1,primary,Arm_2,90,40.0,-0.759444,31.709601,5.631128,-0.2,-30.8,12.1,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_weight_kg_x3,primary,overall,187,74.0,81.531016,160.337743,12.662454,79.7,57.6,122.7,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_weight_kg_x3,primary,Arm_1,97,34.0,80.549485,125.818151,11.216869,79.5,62.0,107.7,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_weight_kg_x3,primary,Arm_2,90,40.0,82.588889,197.192235,14.042515,79.8,57.6,122.7,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_waist_circumference_x3_x1,primary,overall,185,76.0,-1.525405,59.071145,7.685775,-1.3,-38.8,23.3,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_delta_waist_circumference_x3_x1,primary,Arm_1,95,36.0,-1.914737,54.72744,7.3978,-1.3,-38.8,15.9,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_delta_waist_circumference_x3_x1,primary,Arm_2,90,40.0,-1.114444,63.990014,7.999376,-1.1,-17.0,23.3,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_waist_circumference_x3,primary,overall,186,75.0,100.217742,95.8019,9.787844,98.9,78.6,132.7,Current backup cleaned file summary.
B10,87,backup_cleaned_csv,YP_waist_circumference_x3,primary,Arm_1,96,35.0,98.608333,72.57193,8.518916,98.55,78.6,124.6,Current backup cleaned file summary by Treatment.
B10,87,backup_cleaned_csv,YP_waist_circumference_x3,primary,Arm_2,90,40.0,101.934444,115.900261,10.765698,99.45,79.0,132.7,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YP_mypas_t1,primary,overall,72,0.0,34.537037,150.330377,12.260929,30.833333,23.333333,90.0,Current backup cleaned file summary.
B11,88,backup_cleaned_csv,YP_mypas_t1,primary,Control,38,0.0,37.324561,211.642564,14.54794,31.666667,23.333333,90.0,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YP_mypas_t1,primary,VR,34,0.0,31.421569,67.193999,8.197195,28.333333,23.333333,55.0,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YP_delta_mypas_t1_t0,primary,overall,72,0.0,-1.064815,174.515302,13.210424,0.0,-38.333333,28.333333,Current backup cleaned file summary.
B11,88,backup_cleaned_csv,YP_delta_mypas_t1_t0,primary,Control,38,0.0,1.008772,172.603525,13.137866,0.0,-31.666667,28.333333,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YP_delta_mypas_t1_t0,primary,VR,34,0.0,-3.382353,171.462171,13.094356,0.0,-38.333333,20.0,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YS_stai_state,secondary,overall,72,0.0,41.555556,106.025039,10.296846,41.0,20.0,66.0,Current backup cleaned file summary.
B11,88,backup_cleaned_csv,YS_stai_state,secondary,Control,38,0.0,43.263158,86.415363,9.295986,43.0,27.0,62.0,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YS_stai_state,secondary,VR,34,0.0,39.647059,124.114082,11.14065,38.5,20.0,66.0,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YS_pss_total,secondary,overall,66,6.0,14.257576,3.363403,1.833958,15.0,11.0,16.0,Current backup cleaned file summary.
B11,88,backup_cleaned_csv,YS_pss_total,secondary,Control,34,4.0,14.029412,3.483957,1.866536,14.0,11.0,16.0,Current backup cleaned file summary by Treatment.
B11,88,backup_cleaned_csv,YS_pss_total,secondary,VR,32,2.0,14.5,3.225806,1.796053,16.0,12.0,16.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YP_delta_qmci_score_post_pre,primary,overall,14,2.0,3.5,97.653846,9.881996,3.25,-16.5,16.5,Current backup cleaned file summary.
B12,90,backup_cleaned_csv,YP_delta_qmci_score_post_pre,primary,Exergame,8,2.0,7.0,131.857143,11.482907,9.75,-16.5,16.5,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YP_delta_qmci_score_post_pre,primary,Usual Care,6,0.0,-1.166667,23.566667,4.854551,-0.5,-9.0,4.5,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YP_qmci_score_post,primary,overall,14,2.0,59.428571,82.763736,9.097458,58.75,47.0,74.5,Current backup cleaned file summary.
B12,90,backup_cleaned_csv,YP_qmci_score_post,primary,Exergame,8,2.0,59.8125,121.709821,11.032217,56.75,47.0,74.5,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YP_qmci_score_post,primary,Usual Care,6,0.0,58.916667,44.241667,6.651441,59.0,47.5,66.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YS_dass_depression_post,secondary,overall,14,2.0,3.0,7.846154,2.801099,2.5,0.0,7.0,Current backup cleaned file summary.
B12,90,backup_cleaned_csv,YS_dass_depression_post,secondary,Exergame,8,2.0,3.0,8.0,2.828427,2.5,0.0,7.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YS_dass_depression_post,secondary,Usual Care,6,0.0,3.0,9.2,3.03315,3.0,0.0,7.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YS_dass_anxiety_post,secondary,overall,14,2.0,1.714286,6.835165,2.614415,1.0,0.0,9.0,Current backup cleaned file summary.
B12,90,backup_cleaned_csv,YS_dass_anxiety_post,secondary,Exergame,8,2.0,1.375,3.982143,1.995531,1.0,0.0,6.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YS_dass_anxiety_post,secondary,Usual Care,6,0.0,2.166667,11.766667,3.430258,1.0,0.0,9.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YS_dass_stress_post,secondary,overall,14,2.0,4.928571,13.763736,3.709951,4.0,1.0,15.0,Current backup cleaned file summary.
B12,90,backup_cleaned_csv,YS_dass_stress_post,secondary,Exergame,8,2.0,5.25,19.357143,4.399675,4.0,1.0,15.0,Current backup cleaned file summary by Treatment.
B12,90,backup_cleaned_csv,YS_dass_stress_post,secondary,Usual Care,6,0.0,4.5,8.3,2.880972,4.5,1.0,9.0,Current backup cleaned file summary by Treatment.
B13,94,backup_cleaned_csv,YP_cortisol_auc_log_emreplace,primary,overall,149,4.0,15.057801,3950.007714,62.849087,11.814197,-138.978111,167.862934,Current backup cleaned file summary.
B13,94,backup_cleaned_csv,YP_cortisol_auc_log_emreplace,primary,Control,37,0.0,27.501969,3123.795396,55.890924,24.093156,-68.616618,155.674233,Current backup cleaned file summary by Treatment.
B13,94,backup_cleaned_csv,YP_cortisol_auc_log_emreplace,primary,MonitorAccept,56,2.0,-0.976504,4378.350379,66.169104,-4.521763,-138.978111,167.862934,Current backup cleaned file summary by Treatment.
B13,94,backup_cleaned_csv,YP_cortisol_auc_log_emreplace,primary,MonitorOnly,56,2.0,22.870066,3778.003883,61.465469,18.025429,-84.706255,155.788517,Current backup cleaned file summary by Treatment.
B13,94,backup_cleaned_csv,YS_subjective_stress_overall,secondary,overall,144,9.0,49.261574,553.112919,23.518353,48.25,0.0,100.0,Current backup cleaned file summary.
B13,94,backup_cleaned_csv,YS_subjective_stress_overall,secondary,Control,35,2.0,51.552381,561.434267,23.694604,48.5,12.333333,99.166667,Current backup cleaned file summary by Treatment.
