"Trial_ID","has_csv","has_rds","n_rows","n_cols","csv_rows","csv_cols","names_match","data_frame","treatment_factor","treatment_missing","treatment_levels","n_yp","n_ys","n_x","n_bad_prefix","duplicate_names","bad_names","bad_prefix","y_all_missing","x_all_missing","y_model_hostile","exact_duplicate_columns","hard_format_pass","analysis_compatible"
41,TRUE,TRUE,235,24,235,24,TRUE,TRUE,TRUE,0,2,3,12,8,0,FALSE,"","","","","YS_swallow_30min;YS_cough_extub_0min;YS_cough_30min;YS_cough_90min;YS_cough_4h;YS_throat_30min;YS_throat_90min;YS_throat_4h;YS_throat_POD1;YS_cough_POD1","",TRUE,TRUE
42,TRUE,TRUE,103,16,103,16,TRUE,TRUE,TRUE,0,2,2,7,6,0,FALSE,"","","","","","",TRUE,TRUE
43,TRUE,TRUE,823,43,823,43,TRUE,TRUE,TRUE,0,2,2,4,36,0,FALSE,"","","","","YP_preterm_flag","",TRUE,TRUE
44,TRUE,TRUE,127,13,127,13,TRUE,TRUE,TRUE,0,2,1,3,8,0,FALSE,"","","","","","",TRUE,TRUE
45,TRUE,TRUE,64,73,64,73,TRUE,TRUE,TRUE,0,3,6,28,38,0,FALSE,"","","","","","",TRUE,TRUE
46,TRUE,TRUE,70,16,70,16,TRUE,TRUE,TRUE,0,2,1,5,9,0,FALSE,"","","","","","",TRUE,TRUE
47,TRUE,TRUE,252,76,252,76,TRUE,TRUE,TRUE,0,2,1,15,17,42,FALSE,"","pre_YS_heart_rate_2h;pre_YS_resp_rate_2h;pre_YS_SpO2_2h;pre_YS_WD_score_2h;pre_YS_FiO2_2h;pre_YS_IPAP_2h;pre_YS_EPAP_2h;pre_YS_heart_rate_6h;pre_YS_resp_rate_6h;pre_YS_SpO2_6h;pre_YS_WD_score_6h;pre_YS_FiO2_6h;pre_YS_IPAP_6h;pre_YS_EPAP_6h;pre_YS_heart_rate_12h;pre_YS_resp_rate_12h;pre_YS_SpO2_12h;pre_YS_WD_score_12h;pre_YS_FiO2_12h;pre_YS_IPAP_12h;pre_YS_EPAP_12h;pre_YS_heart_rate_24h;pre_YS_resp_rate_24h;pre_YS_SpO2_24h;pre_YS_WD_score_24h;pre_YS_FiO2_24h;pre_YS_IPAP_24h;pre_YS_EPAP_24h;pre_YS_heart_rate_48h;pre_YS_resp_rate_48h;pre_YS_SpO2_48h;pre_YS_WD_score_48h;pre_YS_FiO2_48h;pre_YS_IPAP_48h;pre_YS_EPAP_48h;pre_YS_heart_rate_72h;pre_YS_resp_rate_72h;pre_YS_SpO2_72h;pre_YS_WD_score_72h;pre_YS_FiO2_72h;pre_YS_IPAP_72h;pre_YS_EPAP_72h","","","YS_enteral_tube_days;YS_PICU_LOS_days;YS_hospital_LOS_days","",FALSE,FALSE
48,TRUE,TRUE,255,10,255,10,TRUE,TRUE,TRUE,0,3,1,1,7,0,FALSE,"","","","","","",TRUE,TRUE
49,TRUE,TRUE,74,46,74,46,TRUE,TRUE,TRUE,0,2,3,16,26,0,FALSE,"","","","","","",TRUE,TRUE
50,TRUE,TRUE,128,12,128,12,TRUE,TRUE,TRUE,0,2,2,1,8,0,FALSE,"","","","","","",TRUE,TRUE
