Trial_ID,candidate_id,outcome_variable,outcome_role,arm,statistic,paper_value,cleaned_value,status,notes
103,RCTC-00180,Treatment,allocation,General ward,n,,86.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
103,RCTC-00180,Treatment,allocation,Geriatric ward,n,,204.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
103,RCTC-00180,Treatment,allocation,MMHU,n,,309.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
103,RCTC-00180,YP_eq5d_pain_3m,primary,General ward,mean,,1.525,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
103,RCTC-00180,YP_eq5d_pain_3m,primary,Geriatric ward,mean,,1.4022988505747127,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
103,RCTC-00180,YP_eq5d_pain_3m,primary,MMHU,mean,,1.4924242424242424,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
104,RCTC-00181,Treatment,allocation,Pharmacist collaborative prescribing,n,,183.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
104,RCTC-00181,Treatment,allocation,Usual care,n,,183.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
104,RCTC-00181,YP_total_medications,primary,Pharmacist collaborative prescribing,mean,,5.371584699453552,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
104,RCTC-00181,YP_total_medications,primary,Usual care,mean,,7.453551912568306,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
105,RCTC-00888,Treatment,allocation,Exercise,n,,25.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
105,RCTC-00888,Treatment,allocation,Standard care,n,,25.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
105,RCTC-00888,YP_counts_per_day_28w,primary,Exercise,mean,,191767.76778711486,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
105,RCTC-00888,YP_counts_per_day_28w,primary,Standard care,mean,,228306.89142857143,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
106,RCTC-00890,Treatment,allocation,Mentalization-based treatment,n,,22.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
106,RCTC-00890,Treatment,allocation,Third wave cognitive therapy,n,,22.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
106,RCTC-00890,YP_hdrs_18w,primary,Mentalization-based treatment,mean,,17.0,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
106,RCTC-00890,YP_hdrs_18w,primary,Third wave cognitive therapy,mean,,12.863636363636363,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
107,RCTC-00893,Treatment,allocation,Doctor,n,,117.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
107,RCTC-00893,Treatment,allocation,Emergency nurse practitioner,n,,122.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
107,RCTC-00893,Treatment,allocation,Extended scope physiotherapist,n,,124.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
107,RCTC-00893,YP_function_8w,primary,Doctor,mean,,58.49219178082192,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
107,RCTC-00893,YP_function_8w,primary,Emergency nurse practitioner,mean,,59.1444,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
107,RCTC-00893,YP_function_8w,primary,Extended scope physiotherapist,mean,,55.236666666666665,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
108,RCTC-01313,Treatment,allocation,AKI alert,n,,3059.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
108,RCTC-01313,Treatment,allocation,Usual care,n,,2971.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
108,RCTC-01313,YP_composite_14d,primary,AKI alert,mean,,0.2134684537430533,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
108,RCTC-01313,YP_composite_14d,primary,Usual care,mean,,0.2093571188152137,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
109,RCTC-01363,Treatment,allocation,Placebo,n,,40.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
109,RCTC-01363,Treatment,allocation,Vitamin K1,n,,40.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
109,RCTC-01363,Treatment,allocation,Vitamin K2,n,,40.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
109,RCTC-01363,YP_mgp_post,primary,Placebo,mean,,175.75,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
109,RCTC-01363,YP_mgp_post,primary,Vitamin K1,mean,,584.0,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
109,RCTC-01363,YP_mgp_post,primary,Vitamin K2,mean,,2706.25,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
110,RCTC-01383,Treatment,allocation,IV iron (ferumoxytol),n,,40.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
110,RCTC-01383,Treatment,allocation,Oral iron,n,,40.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
110,RCTC-01383,YP_hgb_4w,primary,IV iron (ferumoxytol),mean,,11.56111111111111,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
110,RCTC-01383,YP_hgb_4w,primary,Oral iron,mean,,10.628947368421054,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
111,RCTC-01888,Treatment,allocation,Abacus cognitive training,n,,10.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
111,RCTC-01888,Treatment,allocation,Control,n,,10.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
111,RCTC-01888,YP_moca_total_post,primary,Abacus cognitive training,mean,,27.5,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
111,RCTC-01888,YP_moca_total_post,primary,Control,mean,,27.5,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
112,RCTC-01926,Treatment,allocation,NTrainer stimulation,n,,109.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
112,RCTC-01926,Treatment,allocation,Non-pulsatile pacifier,n,,101.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
112,RCTC-01926,YP_time_to_full_oral_feeds_days,primary,NTrainer stimulation,mean,,25.678899082568808,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
112,RCTC-01926,YP_time_to_full_oral_feeds_days,primary,Non-pulsatile pacifier,mean,,27.00990099009901,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
113,RCTC-01937,Treatment,allocation,Counselling + pharmacotherapy,n,,15.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
113,RCTC-01937,Treatment,allocation,Usual care,n,,13.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
113,RCTC-01937,YP_smoking_abstinence_26w,primary,Counselling + pharmacotherapy,mean,,0.6666666666666666,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
113,RCTC-01937,YP_smoking_abstinence_26w,primary,Usual care,mean,,0.8461538461538461,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
114,RCTC-01948,Treatment,allocation,Early sitting,n,,63.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
114,RCTC-01948,Treatment,allocation,Progressive sitting,n,,75.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
114,RCTC-01948,YP_rankin_3m,primary,Early sitting,mean,,1.4426229508196722,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
114,RCTC-01948,YP_rankin_3m,primary,Progressive sitting,mean,,1.6944444444444444,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,RCTC-05226,Treatment,allocation,Control- no SMS,n,,131.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
115,RCTC-05226,Treatment,allocation,PP Checklist & FP SMS,n,,138.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
115,RCTC-05226,Treatment,allocation,PP Checklist & PNC General,n,,114.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
115,RCTC-05226,Treatment,allocation,PP Checklist Only,n,,128.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
115,RCTC-05226,YP_family_planning_uptake,primary,Control- no SMS,mean,,0.4809160305343511,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,RCTC-05226,YP_family_planning_uptake,primary,PP Checklist & FP SMS,mean,,0.5693430656934306,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,RCTC-05226,YP_family_planning_uptake,primary,PP Checklist & PNC General,mean,,0.4122807017543859,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
115,RCTC-05226,YP_family_planning_uptake,primary,PP Checklist Only,mean,,0.4566929133858268,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
