Trial_ID,candidate_id,variable_name,variable_type,brief_explanation
111,RCTC-01888,X_sex,Baseline covariate,X sex
111,RCTC-01888,YP_moca_total_post,Primary outcome,YP moca total post
111,RCTC-01888,YS_cogevo_total_post,Secondary outcome,YS cogevo total post
112,RCTC-01926,Treatment,Treatment assignment,Treatment
112,RCTC-01926,X_birth_weight_g,Baseline covariate,X birth weight g
112,RCTC-01926,X_gender,Baseline covariate,X gender
112,RCTC-01926,X_gestational_age_weeks,Baseline covariate,X gestational age weeks
112,RCTC-01926,X_subgroup,Baseline covariate,X subgroup
112,RCTC-01926,YP_time_to_full_oral_feeds_days,Primary outcome,YP time to full oral feeds days
112,RCTC-01926,YS_length_of_stay_days,Secondary outcome,YS length of stay days
112,RCTC-01926,YS_reached_full_oral_feeds,Secondary outcome,YS reached full oral feeds
113,RCTC-01937,Treatment,Treatment assignment,Treatment
113,RCTC-01937,X_age_years,Baseline covariate,X age years
113,RCTC-01937,X_cigarettes_per_day_0w,Baseline covariate,X cigarettes per day 0w
113,RCTC-01937,X_gender,Baseline covariate,X gender
113,RCTC-01937,X_hads_anxiety_0w,Baseline covariate,X hads anxiety 0w
113,RCTC-01937,X_hads_depression_0w,Baseline covariate,X hads depression 0w
113,RCTC-01937,YP_smoking_abstinence_26w,Primary outcome,YP smoking abstinence 26w
113,RCTC-01937,YS_co_ppm_26w,Secondary outcome,YS co ppm 26w
113,RCTC-01937,YS_smoking_abstinence_7d,Secondary outcome,YS smoking abstinence 7d
114,RCTC-01948,Treatment,Treatment assignment,Treatment
114,RCTC-01948,X_age_years,Baseline covariate,X age years
114,RCTC-01948,X_gender,Baseline covariate,X gender
114,RCTC-01948,X_nihss_admission,Baseline covariate,X nihss admission
114,RCTC-01948,X_rankin_preadmission,Baseline covariate,X rankin preadmission
114,RCTC-01948,YP_rankin_3m,Primary outcome,YP rankin 3m
114,RCTC-01948,YS_barthel_3m,Secondary outcome,YS barthel 3m
114,RCTC-01948,YS_nihss_day7,Secondary outcome,YS nihss day7
115,RCTC-05226,Treatment,Treatment assignment,Treatment
115,RCTC-05226,X_education,Baseline covariate,X education
115,RCTC-05226,X_ever_used_fp,Baseline covariate,X ever used fp
115,RCTC-05226,X_hospital,Baseline covariate,X hospital
115,RCTC-05226,X_marital_status,Baseline covariate,X marital status
115,RCTC-05226,X_number_pregnancies,Baseline covariate,X number pregnancies
115,RCTC-05226,YP_family_planning_uptake,Primary outcome,YP family planning uptake
115,RCTC-05226,YS_chose_longacting_fp,Secondary outcome,YS chose longacting fp
115,RCTC-05226,YS_sought_treatment_postpartum,Secondary outcome,YS sought treatment postpartum
