candidate_id,title,doi,repository,file_count,data_file_count,readable_table_count,extensions,qualification_decision,reasons,best_readable_tables,treatment_evidence,outcome_evidence
RCTC-00180,Data from: Economic evaluation of a general hospital unit for older people with delirium and dementia (TEAM randomised controlled trial),10.5061/dryad.90p17,,2,1,7,.pdf:1; .xlsx:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",TEAM economic evaluation dataset.xlsx:clinical data rows=599.0 cols=195.0 | TEAM economic evaluation dataset.xlsx:inpatient and daycase rows=3122.0 cols=9.0 | TEAM economic evaluation dataset.xlsx:intervention rows=599.0 cols=3.0 | TEAM economic evaluation dataset.xlsx:outpatient rows=4908.0 cols=4.0 | TEAM economic evaluation dataset.xlsx:outpatient baseline rows=599.0 cols=2.0 | TEAM economic evaluation dataset.xlsx:primary and tertiary care rows=599.0 cols=12.0 | TEAM economic evaluation dataset.xlsx:social care rows=1175.0 cols=5.0,TREATMENT_FUNCTION_CODE,baseline cost (0=baseline; 1=follow-up); length of stay at MMHU; pi_eq5d_pain; pi_eq5d_pain_p; pi_feed_b; pi_npi_depress_s; pi_npi_depress_f; type (first visit=0; follow-up visit=1)
RCTC-00181,"Data from: Perioperative medication management: expanding the role of the preadmission clinic pharmacist in a single centre, randomised controlled trial of collaborative prescribing",10.5061/dryad.81tr1,,1,1,5,.xls:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,PAC+dataset.xls:Communication errors rows=1938.0 cols=17.0 | PAC+dataset.xls:Omissions rows=2763.0 cols=11.0 | PAC+dataset.xls:Patient demographics for omiss rows=366.0 cols=9.0 | PAC+dataset.xls:communincation errors by rx rows=45.0 cols=5.0 | PAC+dataset.xls:omissions by rx rows=55.0 cols=5.0,,prescribedcode; prescribed correctly; prescriber; prescriber; no of reg+prn meds to be prescribed; prescribesigned; prescribeclear
RCTC-00888,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,10.5061/dryad.87f03,,1,1,1,.xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,Dryad_data.xlsx:Feuil1 rows=50.0 cols=63.0,,
RCTC-00890,Data from: Third wave cognitive therapy versus mentalization-based treatment for major depressive disorder: a randomised clinical trial,10.5061/dryad.2d7h5,,1,1,1,:1,needs_manual_review_before_cleaning,outcomes not confirmed,RCRC-00890:stata rows=45.0 cols=34.0,Intervention,
RCTC-00893,Data from: A randomised trial comparing the clinical effectiveness of different emergency department healthcare professionals in soft tissue injury management,10.5061/dryad.8jf11,,4,4,3,.sav:2; .txt:2,needs_manual_review_before_cleaning,outcomes not confirmed,Final results SSPS.sav:sav rows=471.0 cols=102.0 | README_for_Final results SSPS.txt:delimited rows=103.0 cols=3.0 | SF6D results SSPS.sav:sav rows=655.0 cols=25.0,Randomisation,
RCTC-00896,Data from: Multilayered and digitally structured presentation formats of trustworthy recommendations: a combined survey and randomised trial,10.5061/dryad.2qv30,,5,1,2,.xlsx:1; .zip:4,needs_manual_review_before_cleaning,treatment assignment not confirmed,Click-IT 1 Summary of results- final version submitted to BMJ Open March 2016.xlsx:Ark 1 rows=585.0 cols=61.0,,Spain (- nurses); Total only Nurses (spain); Percent only Nurses (spain); Total minus Nurses (spain); Percent minus Nurses (spain)
RCTC-01313,Randomized trial of AKI alerts in hospitalized patients,10.5061/dryad.4f4qrfj95,,2,2,2,.csv:2,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",ELAIA-1_data_dictionary_10-6-2020 (1).csv:delimited rows=92.0 cols=2.0 | ELAIA-1_deidentified_data_10-6-2020 (1).csv:delimited rows=5000.0 cols=92.0,alert; duration_of_alert; los_since_alert; other_alert_burden,Description; acearbreninpost24; aminopost24; any_diureticpost24; composite_outcome; contrastirpost24; death14; diastolic_post_24_min; elx_score; fluid_boluspost24; ivpost24; loopdiureticpost24; los_since_alert; lrivpost24; nsaidpost24; nsivpost24; resp_post_24_max; scrpost28; spo2_post_24_min; spo2_post_48_min; systolic_post_24_min
RCTC-01363,A comparative study between Vitamin K1 and K2 on vascular calcification in hemodialysis patients: a randomized controlled trial,10.5061/dryad.vx0k6djsv,,2,1,1,.docx:1; .xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,Raw_data.xlsx:ورقة1 rows=120.0 cols=21.0,,Ca+ Post; PH Post; CA X P Product Post; MGP Post
RCTC-01383,Data from: Intravenous ferumoxytol versus oral ferrous sulfate for iron deficiency anemia in pregnancy: A randomized controlled trial,10.5061/dryad.k3j9kd5qd,,2,1,1,.csv:1; .md:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,5731a26f-520f-41fc-87cd-9aef4af27dc9.csv:delimited rows=80.0 cols=10.0,,screening_hgb
RCTC-01810,Data from: Reducing work-related screen-time in healthcare workers during leisure time (REDUCE SCREEN) – A randomized controlled trial,10.5061/dryad.ghx3ffbz4,,2,1,4,.md:1; .xlsx:1,not_qualified_before_cleaning,Readable tables do not appear participant-level.,,Control; Intervention,Baseline screen time (hours); Change in screen time (hours)
RCTC-01873,"Impact of an integrated intervention package during preconception, pregnancy, and early childhood on inflammation, IGF-1, IGFBP3 during the first 6 months of life: Findings from the WINGS randomized controlled trial",10.5061/dryad.6t1g1jxbs,,2,1,2,.md:1; .xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,dataset_inflammatorymarkermanuscript_28.11.25.xlsx:Sheet1 rows=381.0 cols=22.0 | dataset_inflammatorymarkermanuscript_28.11.25.xlsx:Sheet2 rows=35.0 cols=2.0,,
RCTC-01888,Dataset on the effectiveness of cognitive training using the abacus-based mental calculation training application,10.5061/dryad.1ns1rn8zx,,4,3,3,.md:1; .xlsx:3,needs_manual_review_before_cleaning,treatment assignment not confirmed,CogEvo.xlsx:Sheet rows=20.0 cols=45.0 | MoCAJ.xlsx:Sheet1 rows=20.0 cols=34.0 | characteristics.xlsx:Sheet rows=20.0 cols=13.0,,Follow the order; Follow the order②; Follow the order③; Follow the order④; Follow the order⑤; Follow the order⑥; Follow the order⑦; depression
RCTC-01889,A feasibility randomized controlled superiority trial of fluticasone-vilanterol once daily use for the treatment of mild asthma in adults,10.5061/dryad.bnzs7h4gq,,2,2,1,.sav:1; .txt:1,not_qualified_before_cleaning,Readable tables do not appear participant-level.,,preControlscore; postcontrolscore,preControlscore; postcontrolscore; posttotalscoreQoL; postMeanQoLscore; premeanqolscore; Symptoms; POSTactivitymean; POSTenvironsum; POSTsymmean; POSTemotionalmean
RCTC-01926,Data from: Patterned frequency-modulated oral stimulation in preterm infants: a multicenter randomized controlled trial,10.5061/dryad.rg57q6m,,2,1,1,.csv:1; .docx:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",Song_ntrainerdeidentified_datadryad_2.13.19.csv:delimited rows=210.0 cols=46.0,Intervention Group; PMAfirstintervention; interventionnumber; interventionscompleted; percentinterventionscompleted,Reached Primary Outcome; death; Censoredlos; los
RCTC-01934,"Data from: First-in-human randomized controlled trial of an oral, replicating Adenovirus 26 vector vaccine for HIV-1",10.5061/dryad.697r480,,1,1,3,.xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,Stephenson_PLOS ONE_R001.xlsx:Figure 3 - Vaccine Safety rows=63.0 cols=5.0 | Stephenson_PLOS ONE_R001.xlsx:Figure 4 - Immune Responses rows=29.0 cols=12.0 | Stephenson_PLOS ONE_R001.xlsx:Figure 5 - Viral Shedding rows=80.0 cols=7.0,,
RCTC-01937,Data from: A randomised controlled pilot study of standardised counselling and cost-free pharmacotherapy for smoking cessation among stroke and TIA patients,10.5061/dryad.p67jf576,,1,1,1,.sav:1,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,QuitPilot_Participants sp.sav:sav rows=28.0 cols=99.0,,
RCTC-01941,Data from: Small volume plasma exchange for Guillain-Barré syndrome in resource-limited settings: a phase II safety and feasibility study,10.5061/dryad.55nb389,,2,2,2,.xls:2,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",Non+SVPE+datafile-RCTC-01941.xls:Sheet1 rows=29.0 cols=40.0 | SVPE+datafile+for+data+repository-RCTC-01941.xls:Sheet1 rows=21.0 cols=98.0,Treat_Hypo; Measures taken to treat / prevent the hypersensitivity to Fresh Frozen Plasma (FFP),Follow up WBC count/cc of blood; Neutrophil% in follow up blood sample ; Lymphocyte% in follow up blood sample ; Follow up haemoglobin within 10 days of the study entry; MRC (Medical Research Council) sumscore] at Nadir; GBS disability score at entry; GBS disability score at 2 Weeks; GBS disability score at 1 Month; GBS disability score at 2 Month; GBS disability score at 3 Month; GBS disability score at 6 Month; MRC sumscore at entry; MRC sumscore at 2 weeks; MRC sumscore at 1 month; MRC sumscore at 2 month; MRC sumscore at 3 month; MRC sumscore at 6 month; Overall Neuropathy Limitations Scal
RCTC-01948,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,10.5061/dryad.jh15q,,7,7,8,.xls:7,needs_manual_review_before_cleaning,treatment assignment not confirmed,README_for_TABLE_3_OUTCOME_database resubmit.xls:TABLE_3_OUTCOME rows=139.0 cols=10.0 | README_for_TABLE_4_MEDICAL_COMPLICATIONS database resubmit.xls:TABLE_4_MEDICAL_COMPLICATION rows=140.0 cols=16.0 | Subsequently excluded patients.xls:Emilie_PatientsExclus rows=29.0 cols=4.0 | TABLE_1_DESCRIPTION_Database resubmit.xls:TABLE_1_DESCRIPTION rows=139.0 cols=30.0 | TABLE_2_TOLERANCE database.xls:TABLE_2_TOLERANCE rows=139.0 cols=19.0 | TABLE_3_OUTCOME_database resubmit.xls:TABLE_3_OUTCOME rows=139.0 cols=10.0 | TABLE_4_MEDICAL_COMPLICATIONS database resubmit.xls:TABLE_4_MEDICAL_COMPLICATION rows=140.0 cols=16.0,,Day 7 Rankin score; M3 Rankin score; Pre-admission Rankin score; Admission Rankin score;  Etiology: Subgroup Carotid symptomatic stenosis >50 %; Etiology: Subgroup Symptomatic intra cranial stenosis; Symptomatic hypotension 
RCTC-05141,The effect of sertraline on depression and associations with persistent depression in survivors of HIV-related cryptococcal meningitis,10.5061/dryad.n5tb2rbtr,,2,1,2,.docx:1; .xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,Combined_CM_Depression_Database.xlsx:Depression rows=883.0 cols=33.0,,t2death; death
RCTC-05210,Data from: Use of the lung flute ECO to assist in sputum collection for tuberculosis testing: a randomized crossover trial,10.5061/dryad.b8gtht7m7,,3,2,2,.csv:2; .md:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,Data_Dictionary_Lung_Flute_ECO_Ph1b.csv:delimited rows=121.0 cols=6.0 | Data_Lung_Flute_ECO_Ph1b.csv:delimited rows=1364.0 cols=121.0,,Description; weight_loss; pain1; gpain1; pain1_v2; gpain_v2; pain1_2; gpain1_2; pain1_v2_2; gpain_v2_2; screen_failure2
RCTC-05223,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,10.5061/dryad.qjq2bvqf6,,1,1,1,.xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,RCRC-05223.xlsx:Sheet1 rows=50.0 cols=51.0,,EES_Depress1; EES_Depress2; SF_Pain1; SF_HealthChange1; SF_Pain2; SF_HealthChange2; WeightLoss
RCTC-05226,"Randomized control trial of SMS for postpartum behaviors and family planning in Kiambu County, Kenya",10.5061/dryad.866t1g1nw,,1,1,2,.xls:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",RCTC-05226.xls:Dataset  rows=511.0 cols=241.0 | RCTC-05226.xls:Labels rows=246.0 cols=2.0,seek_treatment; treatment_locale2; treatment_locale2_1; treatment_locale2_2; treatment_locale2_3; treatment_locale2_4; treatment_locale2_5; treatment_locale2_5.1; treatment_locale2_6; treatment_locale2_7; treatment_locale2_8; treatment_locale2_9; treatment_locale2_10; treatment_locale2_11; treatment_locale2__88; treatment_locale2__99; why_no_treatment2; why_no_treatment2_1; why_no_treatment2_2; why_no_treatment2_3,q3_death_cause; baby_symptoms; baby_symptoms_shown; baby_symptoms_shown_1; baby_symptoms_shown_2; baby_symptoms_shown_3; baby_symptoms_shown_4; baby_symptoms_shown_5; baby_symptoms_shown_6; baby_symptoms_shown_7; baby_symptoms_shown_8; baby_symptoms_shown__99; symptoms_other; days_after_symptoms2; q15_breastfeeding
RCTC-05235,Data from: Home-based TB contact investigation in Uganda: a household-randomized trial,10.5061/dryad.kn4gv14,,1,1,1,.csv:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",mHealth Trial Data.csv:delimited rows=919.0 cols=22.0,Randomization Allocation; Randomization Allocation.1,"Was the contact considered at risk for TB (under age 5, PLHIV and/or TB symptoms present)?Ê; Was the contact considered at risk for TB (under age 5, PLHIV and/or TB symptoms present)?Ê.1"
RCTC-05250,Data from: Ambulatory versus inpatient management of severe nausea and vomiting of pregnancy: a randomized control trial with patient preference arm,10.5061/dryad.c3g48,,1,1,1,.xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,HIP data NMJ et al Dryad .xlsx:All data  rows=152.0 cols=84.0,,7 days post discharge; Reattendance/Readmission
