Trial_ID,variable_name,variable_type,brief_explanation
54,X_fsfi_total_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: fsfi total 0m
54,X_full_term_pregnancies_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: full term pregnancies 0m
54,X_iciq_sf_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: iciq sf 0m
54,X_menopause_age_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: menopause age 0m
54,X_oxford_power_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: oxford power 0m
54,X_symptom_duration_months_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: symptom duration months 0m
54,YP_fsfi_total_v5,Primary outcome,Primary outcome: fsfi total v5
54,YS_iciq_sf_v5,Secondary outcome,Secondary outcome: iciq sf v5
54,YS_oxford_power_v5,Secondary outcome,Secondary outcome: oxford power v5
55,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
55,X_age_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0m
55,X_bmi_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0m
55,X_charlson_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: charlson 0m
55,X_current_smoker_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: current smoker 0m
55,X_domiciliary_oxygen_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: domiciliary oxygen 0m
55,X_ethnicity_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: ethnicity 0m
55,X_gender_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: gender 0m
55,X_pack_years_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: pack years 0m
55,X_prior_aecopd_events_12m,Baseline covariate,Baseline covariate or pre-treatment measurement: prior aecopd events 12m
55,X_prior_pulmonary_rehab_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: prior pulmonary rehab 0m
55,YP_total_moderate_serious_aecopd_12m,Primary outcome,Primary outcome: total moderate serious aecopd 12m
55,YS_alive_12m,Secondary outcome,Secondary outcome: alive 12m
55,YS_pulmonary_rehab_attendance_12m,Secondary outcome,Secondary outcome: pulmonary rehab attendance 12m
55,YS_serious_aecopd_12m,Secondary outcome,Secondary outcome: serious aecopd 12m
56,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
56,X_age_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0w
56,X_attention_rbans_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: attention rbans 0w
56,X_burnout_mbs_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: burnout mbs 0w
56,X_depression_bdi_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: depression bdi 0w
56,X_gender_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: gender 0w
56,X_immediate_memory_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: immediate memory 0w
56,X_language_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: language 0w
56,X_quality_of_life_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: quality of life 0w
56,X_recent_memory_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: recent memory 0w
56,X_visuospatial_memory_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: visuospatial memory 0w
56,YP_attention_rbans_post,Primary outcome,Primary outcome: attention rbans post
56,YP_delta_attention_rbans_post,Primary outcome,Primary outcome: delta attention rbans post
56,YS_burnout_mbs_post,Secondary outcome,Secondary outcome: burnout mbs post
56,YS_delta_burnout_mbs_post,Secondary outcome,Secondary outcome: delta burnout mbs post
56,YS_depression_bdi_post,Secondary outcome,Secondary outcome: depression bdi post
56,YS_quality_of_life_post,Secondary outcome,Secondary outcome: quality of life post
57,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
57,X_age_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0m
57,X_bmi_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0m
57,X_female_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: female 0m
57,X_general_quality_of_life_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: general quality of life 0m
57,X_height_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: height 0m
57,X_waist_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: waist 0m
57,X_weight_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: weight 0m
57,YP_weight_loss_12m,Primary outcome,Primary outcome: weight loss 12m
57,YP_weight_loss_6m,Primary outcome,Primary outcome: weight loss 6m
57,YS_general_quality_of_life_6m,Secondary outcome,Secondary outcome: general quality of life 6m
57,YS_waist_loss_12m,Secondary outcome,Secondary outcome: waist loss 12m
57,YS_waist_loss_6m,Secondary outcome,Secondary outcome: waist loss 6m
58,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
58,X_age_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0w
58,X_antidepressant_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: antidepressant 0w
58,X_benzodiazepine_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: benzodiazepine 0w
58,X_education_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: education 0w
58,X_employment_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: employment 0w
58,X_female_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: female 0w
58,X_illness_duration_years_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: illness duration years 0w
58,X_olanzapine_equivalent_mg_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: olanzapine equivalent mg 0w
58,X_panss_total_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: panss total 0w
58,X_rbans_attention_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: rbans attention 0w
58,X_rbans_total_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: rbans total 0w
58,YP_delta_rbans_total_1w,Primary outcome,Primary outcome: delta rbans total 1w
58,YP_rbans_total_1w,Primary outcome,Primary outcome: rbans total 1w
58,YS_delta_panss_total_1w,Secondary outcome,Secondary outcome: delta panss total 1w
58,YS_delta_rbans_attention_1w,Secondary outcome,Secondary outcome: delta rbans attention 1w
58,YS_panss_total_1w,Secondary outcome,Secondary outcome: panss total 1w
58,YS_rbans_attention_1w,Secondary outcome,Secondary outcome: rbans attention 1w
59,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
59,X_age_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0d
59,X_bmi_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0d
59,X_dorsiflexion_dominant_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: dorsiflexion dominant 0d
59,X_dorsiflexion_nondominant_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: dorsiflexion nondominant 0d
59,X_height_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: height 0d
59,X_plantarflexion_dominant_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: plantarflexion dominant 0d
59,X_plantarflexion_nondominant_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: plantarflexion nondominant 0d
59,X_weight_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: weight 0d
59,YP_delta_dorsiflexion_dominant_post,Primary outcome,Primary outcome: delta dorsiflexion dominant post
59,YP_dorsiflexion_dominant_post,Primary outcome,Primary outcome: dorsiflexion dominant post
59,YS_delta_dorsiflexion_nondominant_post,Secondary outcome,Secondary outcome: delta dorsiflexion nondominant post
59,YS_delta_plantarflexion_dominant_post,Secondary outcome,Secondary outcome: delta plantarflexion dominant post
59,YS_dorsiflexion_dominant_followup,Secondary outcome,Secondary outcome: dorsiflexion dominant followup
59,YS_dorsiflexion_nondominant_post,Secondary outcome,Secondary outcome: dorsiflexion nondominant post
59,YS_plantarflexion_dominant_post,Secondary outcome,Secondary outcome: plantarflexion dominant post
60,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
60,X_chewing_ease_vas_pre,Baseline covariate,Baseline covariate or pre-treatment measurement: chewing ease vas pre
60,X_glucose_elution_pre,Baseline covariate,Baseline covariate or pre-treatment measurement: glucose elution pre
60,X_period_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: period 0d
60,X_sequence_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: sequence 0d
60,YP_delta_glucose_elution_post,Primary outcome,Primary outcome: delta glucose elution post
60,YP_glucose_elution_post,Primary outcome,Primary outcome: glucose elution post
60,YS_chewing_ease_vas_post,Secondary outcome,Secondary outcome: chewing ease vas post
60,YS_delta_chewing_ease_vas_post,Secondary outcome,Secondary outcome: delta chewing ease vas post
61,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
61,X_bmi_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0m
61,X_dbp_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: dbp 0m
61,X_fasting_glucose_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: fasting glucose 0m
61,X_fasting_insulin_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: fasting insulin 0m
61,X_hba1c_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: hba1c 0m
61,X_hdl_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: hdl 0m
61,X_hip_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: hip 0m
61,X_homa_ir_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: homa ir 0m
61,X_ldl_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: ldl 0m
61,X_leisure_activity_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: leisure activity 0m
61,X_sbp_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: sbp 0m
61,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
61,X_sport_activity_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: sport activity 0m
61,X_tfeq_disinhibition_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: tfeq disinhibition 0m
61,X_tfeq_hunger_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: tfeq hunger 0m
61,X_tfeq_restraint_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: tfeq restraint 0m
61,X_total_cholesterol_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: total cholesterol 0m
61,X_triglycerides_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: triglycerides 0m
61,X_waist_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: waist 0m
61,X_walking_activity_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: walking activity 0m
61,X_weight_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: weight 0m
61,YP_delta_fasting_glucose_4m,Primary outcome,Primary outcome: delta fasting glucose 4m
61,YS_delta_fasting_insulin_4m,Secondary outcome,Secondary outcome: delta fasting insulin 4m
61,YS_delta_hba1c_4m,Secondary outcome,Secondary outcome: delta hba1c 4m
61,YS_delta_homa_ir_4m,Secondary outcome,Secondary outcome: delta homa ir 4m
62,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
62,X_ckdepi_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: ckdepi 0m
62,X_creatinine_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: creatinine 0m
62,X_csa_trough_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: csa trough 0m
62,X_mdrd4_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: mdrd4 0m
62,YP_ckdepi_24m,Primary outcome,Primary outcome: ckdepi 24m
62,YS_ckdepi_12m,Secondary outcome,Secondary outcome: ckdepi 12m
62,YS_ckdepi_3m,Secondary outcome,Secondary outcome: ckdepi 3m
62,YS_mdrd4_24m,Secondary outcome,Secondary outcome: mdrd4 24m
63,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
63,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
63,X_bmi_class_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi class 0w
63,X_cad_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: cad 0w
63,X_diabetes_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: diabetes 0w
63,X_ef_class_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: ef class 0w
63,X_exercise_duration_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: exercise duration 0w
63,X_fev1_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: fev1 0w
63,X_fmd_pct_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: fmd pct 0w
63,X_fvc_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: fvc 0w
63,X_hypertension_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: hypertension 0w
63,X_lvef_pct_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: lvef pct 0w
63,X_mip_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: mip 0w
63,X_nyha_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: nyha 0w
63,X_peak_power_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: peak power 0w
63,X_peak_vo2_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: peak vo2 0w
63,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
63,X_webber_class_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: webber class 0w
63,YP_delta_fmd_pct_post,Primary outcome,Primary outcome: delta fmd pct post
63,YP_delta_peak_vo2_post,Primary outcome,Primary outcome: delta peak vo2 post
63,YP_fmd_pct_post,Primary outcome,Primary outcome: fmd pct post
63,YP_peak_vo2_post,Primary outcome,Primary outcome: peak vo2 post
63,YS_exercise_duration_post,Secondary outcome,Secondary outcome: exercise duration post
63,YS_peak_mets_post,Secondary outcome,Secondary outcome: peak mets post
63,YS_peak_power_post,Secondary outcome,Secondary outcome: peak power post
64,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
64,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
64,X_back_extension_strength_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: back extension strength 0m
64,X_bmi_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0m
64,X_body_fat_pct_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: body fat pct 0m
64,X_chronic_low_back_pain,Baseline covariate,Baseline covariate or pre-treatment measurement: chronic low back pain
64,X_company,Baseline covariate,Baseline covariate or pre-treatment measurement: company
64,X_dbp_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: dbp 0m
64,X_height_m,Baseline covariate,Baseline covariate or pre-treatment measurement: height m
64,X_lateral_flexion_left_strength_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: lateral flexion left strength 0m
64,X_lateral_flexion_right_strength_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: lateral flexion right strength 0m
64,X_oswestry_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: oswestry 0m
64,X_pain_vas_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: pain vas 0m
64,X_physical_activity_metwk_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: physical activity metwk 0m
64,X_sbp_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: sbp 0m
64,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
64,X_weight_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: weight 0m
64,X_work_ability_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: work ability 0m
64,YP_delta_pain_vas_5m,Primary outcome,Primary outcome: delta pain vas 5m
64,YS_delta_back_extension_strength_5m,Secondary outcome,Secondary outcome: delta back extension strength 5m
64,YS_delta_lateral_flexion_left_strength_5m,Secondary outcome,Secondary outcome: delta lateral flexion left strength 5m
64,YS_delta_lateral_flexion_right_strength_5m,Secondary outcome,Secondary outcome: delta lateral flexion right strength 5m
64,YS_delta_oswestry_5m,Secondary outcome,Secondary outcome: delta oswestry 5m
64,YS_delta_work_ability_5m,Secondary outcome,Secondary outcome: delta work ability 5m
65,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
65,X_adverse_event,Baseline covariate,Baseline covariate or pre-treatment measurement: adverse event
65,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
65,X_blinding_certainty,Baseline covariate,Baseline covariate or pre-treatment measurement: blinding certainty
65,X_blinding_guess,Baseline covariate,Baseline covariate or pre-treatment measurement: blinding guess
65,X_body_fat_pct,Baseline covariate,Baseline covariate or pre-treatment measurement: body fat pct
65,X_category,Baseline covariate,Baseline covariate or pre-treatment measurement: category
65,X_first_allocation,Baseline covariate,Baseline covariate or pre-treatment measurement: first allocation
65,X_height,Baseline covariate,Baseline covariate or pre-treatment measurement: height
65,X_mas,Baseline covariate,Baseline covariate or pre-treatment measurement: mas
65,X_training_years,Baseline covariate,Baseline covariate or pre-treatment measurement: training years
65,X_vo2max_screening,Baseline covariate,Baseline covariate or pre-treatment measurement: vo2max screening
65,X_weekly_training,Baseline covariate,Baseline covariate or pre-treatment measurement: weekly training
65,X_weight,Baseline covariate,Baseline covariate or pre-treatment measurement: weight
65,YP_time_to_exhaustion_min,Primary outcome,Primary outcome: time to exhaustion min
65,YS_hr_max,Secondary outcome,Secondary outcome: hr max
65,YS_lactate_max,Secondary outcome,Secondary outcome: lactate max
65,YS_lactate_min,Secondary outcome,Secondary outcome: lactate min
65,YS_rpe_max,Secondary outcome,Secondary outcome: rpe max
65,YS_rpe_min,Secondary outcome,Secondary outcome: rpe min
65,YS_rq_max,Secondary outcome,Secondary outcome: rq max
65,YS_vo2_final,Secondary outcome,Secondary outcome: vo2 final
66,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
66,X_firm_ec_mtv_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: firm ec mtv 0w
66,X_firm_eo_mtv_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: firm eo mtv 0w
66,X_foam_ec_mtv_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: foam ec mtv 0w
66,X_foam_eo_mtv_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: foam eo mtv 0w
66,YP_delta_foam_eo_mtv_post,Primary outcome,Primary outcome: delta foam eo mtv post
66,YP_foam_ec_mtv_post,Primary outcome,Primary outcome: foam ec mtv post
66,YP_foam_eo_mtv_post,Primary outcome,Primary outcome: foam eo mtv post
66,YS_delta_firm_ec_mtv_post,Secondary outcome,Secondary outcome: delta firm ec mtv post
66,YS_delta_firm_eo_mtv_post,Secondary outcome,Secondary outcome: delta firm eo mtv post
66,YS_delta_foam_ec_mtv_post,Secondary outcome,Secondary outcome: delta foam ec mtv post
66,YS_firm_ec_mtv_post,Secondary outcome,Secondary outcome: firm ec mtv post
66,YS_firm_eo_mtv_post,Secondary outcome,Secondary outcome: firm eo mtv post
67,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
67,X_albumin_concentration_pre_1h,Baseline covariate,Baseline covariate or pre-treatment measurement: albumin concentration pre 1h
67,X_beta2_concentration_pre_1h,Baseline covariate,Baseline covariate or pre-treatment measurement: beta2 concentration pre 1h
67,X_catheter_diameter,Baseline covariate,Baseline covariate or pre-treatment measurement: catheter diameter
67,X_catheter_insertion_side,Baseline covariate,Baseline covariate or pre-treatment measurement: catheter insertion side
67,X_catheter_length,Baseline covariate,Baseline covariate or pre-treatment measurement: catheter length
67,X_creatinine_concentration_pre_1h,Baseline covariate,Baseline covariate or pre-treatment measurement: creatinine concentration pre 1h
67,X_dialyzer_lifespan,Baseline covariate,Baseline covariate or pre-treatment measurement: dialyzer lifespan
67,X_mean_blood_flow,Baseline covariate,Baseline covariate or pre-treatment measurement: mean blood flow
67,X_myoglobin_concentration_pre_1h,Baseline covariate,Baseline covariate or pre-treatment measurement: myoglobin concentration pre 1h
67,X_prescribed_exchange,Baseline covariate,Baseline covariate or pre-treatment measurement: prescribed exchange
67,X_realized_exchange,Baseline covariate,Baseline covariate or pre-treatment measurement: realized exchange
67,X_urea_concentration_pre_1h,Baseline covariate,Baseline covariate or pre-treatment measurement: urea concentration pre 1h
67,YP_beta2_microglobulin_clearance_mean,Primary outcome,Primary outcome: beta2 microglobulin clearance mean
67,YS_albumin_clearance_mean,Secondary outcome,Secondary outcome: albumin clearance mean
67,YS_creatinine_clearance_mean,Secondary outcome,Secondary outcome: creatinine clearance mean
67,YS_il6_clearance_mean,Secondary outcome,Secondary outcome: il6 clearance mean
67,YS_myoglobin_clearance_mean,Secondary outcome,Secondary outcome: myoglobin clearance mean
67,YS_urea_clearance_mean,Secondary outcome,Secondary outcome: urea clearance mean
68,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
68,X_adhd_subtype,Baseline covariate,Baseline covariate or pre-treatment measurement: adhd subtype
68,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
68,X_cbcl_adhd_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: cbcl adhd 0w
68,X_cbcl_externalizing_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: cbcl externalizing 0w
68,X_cbcl_internalizing_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: cbcl internalizing 0w
68,X_cgas_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: cgas 0w
68,X_cgis_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: cgis 0w
68,X_clinician_adhd_inattentive_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: clinician adhd inattentive 0w
68,X_ethnic,Baseline covariate,Baseline covariate or pre-treatment measurement: ethnic
68,X_gender,Baseline covariate,Baseline covariate or pre-treatment measurement: gender
68,X_parent_adhd_inattentive_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: parent adhd inattentive 0w
68,YP_delta_clinician_adhd_inattentive_8w,Primary outcome,Primary outcome: delta clinician adhd inattentive 8w
68,YS_delta_cbcl_adhd_8w,Secondary outcome,Secondary outcome: delta cbcl adhd 8w
68,YS_delta_cgas_8w,Secondary outcome,Secondary outcome: delta cgas 8w
68,YS_delta_parent_adhd_inattentive_8w,Secondary outcome,Secondary outcome: delta parent adhd inattentive 8w
69,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
69,X_period_label,Baseline covariate,Baseline covariate or pre-treatment measurement: period label
69,X_subject_id,Baseline covariate,Baseline covariate or pre-treatment measurement: subject id
69,YP_peak_evas_with_conditioning,Primary outcome,Primary outcome: peak evas with conditioning
69,YP_peak_evas_without_conditioning,Primary outcome,Primary outcome: peak evas without conditioning
69,YS_evas_with_conditioning_t04,Secondary outcome,Secondary outcome: evas with conditioning t04
69,YS_evas_with_conditioning_t05,Secondary outcome,Secondary outcome: evas with conditioning t05
69,YS_evas_with_conditioning_t06,Secondary outcome,Secondary outcome: evas with conditioning t06
69,YS_evas_with_conditioning_t07,Secondary outcome,Secondary outcome: evas with conditioning t07
69,YS_evas_with_conditioning_t08,Secondary outcome,Secondary outcome: evas with conditioning t08
69,YS_evas_with_conditioning_t09,Secondary outcome,Secondary outcome: evas with conditioning t09
69,YS_evas_with_conditioning_t10,Secondary outcome,Secondary outcome: evas with conditioning t10
69,YS_evas_with_conditioning_t11,Secondary outcome,Secondary outcome: evas with conditioning t11
69,YS_evas_with_conditioning_t12,Secondary outcome,Secondary outcome: evas with conditioning t12
69,YS_evas_with_conditioning_t13,Secondary outcome,Secondary outcome: evas with conditioning t13
