district	village	villno	strno	group	hhid	o01
1	4	104.0	1.0	3.0	10410	0
1	4	104.0	1.0	3.0	10411	1
1	4	104.0	1.0	3.0	10412	1
1	4	104.0	1.0	3.0	10413	1
1	4	104.0	1.0	3.0	10414	1
1	4	104.0	1.0	3.0	10416	1
1	4	104.0	1.0	3.0	10417	1
1	4	104.0	1.0	3.0	10418	0
1	4	104.0	1.0	3.0	10419	0
1	4	104.0	1.0	3.0	10420	0
1	5	105.0	1.0	3.0	10501	1
1	5	105.0	1.0	3.0	10502	1
1	5	105.0	1.0	3.0	10503	1
1	5	105.0	1.0	3.0	10504	0
1	5	105.0	1.0	3.0	10505	1
1	5	105.0	1.0	3.0	10507	1
1	5	105.0	1.0	3.0	10508	1
1	5	105.0	1.0	3.0	10509	1
1	5	105.0	1.0	3.0	10510	0
1	5	105.0	1.0	3.0	10511	1
1	5	105.0	1.0	3.0	10512	1
1	5	105.0	1.0	3.0	10513	1
1	5	105.0	1.0	3.0	10515	0
1	5	105.0	1.0	3.0	10516	1
1	5	105.0	1.0	3.0	10518	1
1	5	105.0	1.0	3.0	10519	1
1	5	105.0	1.0	3.0	10520	1
1	6	106.0	1.0	3.0	10601	1
1	6	106.0	1.0	3.0	10602	1
1	6	106.0	1.0	3.0	10603	1
1	6	106.0	1.0	3.0	10604	1
1	6	106.0	1.0	3.0	10605	1
1	6	106.0	1.0	3.0	10606	1
1	6	106.0	1.0	3.0	10607	1
1	6	106.0	1.0	3.0	10608	1
1	6	106.0	1.0	3.0	10609	1
1	6	106.0	1.0	3.0	10610	1
1	6	106.0	1.0	3.0	10611	1
1	6	106.0	1.0	3.0	10612	1
1	6	106.0	1.0	3.0	10613	1
1	6	106.0	1.0	3.0	10614	1
1	6	106.0	1.0	3.0	10615	1
1	6	106.0	1.0	3.0	10617	1
1	6	106.0	1.0	3.0	10618	1
1	6	106.0	1.0	3.0	10620	1
1	7	107.0	1.0	3.0	10701	1
1	7	107.0	1.0	3.0	10702	1
1	7	107.0	1.0	3.0	10703	0
1	7	107.0	1.0	3.0	10705	1
1	7	107.0	1.0	3.0	10706	1
1	7	107.0	1.0	3.0	10707	1
1	7	107.0	1.0	3.0	10708	1
1	7	107.0	1.0	3.0	10710	1
1	7	107.0	1.0	3.0	10711	0
1	7	107.0	1.0	3.0	10713	0
1	7	107.0	1.0	3.0	10714	1
1	7	107.0	1.0	3.0	10715	1
1	7	107.0	1.0	3.0	10716	1
1	7	107.0	1.0	3.0	10717	1
1	7	107.0	1.0	3.0	10718	1
1	7	107.0	1.0	3.0	10719	0
1	8	108.0	1.0	2.0	10802	1
1	8	108.0	1.0	2.0	10803	1
1	8	108.0	1.0	2.0	10804	1
1	8	108.0	1.0	2.0	10805	1
1	8	108.0	1.0	2.0	10806	1
1	8	108.0	1.0	2.0	10807	1
1	8	108.0	1.0	2.0	10808	1
1	8	108.0	1.0	2.0	10809	1
1	8	108.0	1.0	2.0	10810	1
1	8	108.0	1.0	2.0	10811	0
1	8	108.0	1.0	2.0	10812	1
1	8	108.0	1.0	2.0	10814	1
1	8	108.0	1.0	2.0	10815	1
1	8	108.0	1.0	2.0	10816	1
1	8	108.0	1.0	2.0	10817	1
1	8	108.0	1.0	2.0	10819	1
1	9	109.0	1.0	1.0	10902	1
1	9	109.0	1.0	1.0	10904	1
1	9	109.0	1.0	1.0	10905	1
1	9	109.0	1.0	1.0	10906	1
1	9	109.0	1.0	1.0	10907	1
1	9	109.0	1.0	1.0	10908	1
1	9	109.0	1.0	1.0	10909	1
1	9	109.0	1.0	1.0	10911	1
1	9	109.0	1.0	1.0	10912	1
1	9	109.0	1.0	1.0	10913	1
1	9	109.0	1.0	1.0	10914	1
1	9	109.0	1.0	1.0	10915	1
1	9	109.0	1.0	1.0	10916	1
1	9	109.0	1.0	1.0	10917	1
1	9	109.0	1.0	1.0	10919	1
1	10	110.0	1.0	1.0	11001	1
1	10	110.0	1.0	1.0	11003	1
1	10	110.0	1.0	1.0	11004	1
1	10	110.0	1.0	1.0	11005	1
1	10	110.0	1.0	1.0	11006	1
1	10	110.0	1.0	1.0	11007	0
1	10	110.0	1.0	1.0	11009	1
1	10	110.0	1.0	1.0	11011	1
1	10	110.0	1.0	1.0	11013	1
1	10	110.0	1.0	1.0	11014	1
1	10	110.0	1.0	1.0	11015	0
1	10	110.0	1.0	1.0	11016	1
1	10	110.0	1.0	1.0	11017	0
1	10	110.0	1.0	1.0	11018	1
1	10	110.0	1.0	1.0	11019	1
1	11	111.0	1.0	1.0	11102	1
1	11	111.0	1.0	1.0	11103	1
1	11	111.0	1.0	1.0	11104	1
1	11	111.0	1.0	1.0	11105	1
1	11	111.0	1.0	1.0	11108	1
1	11	111.0	1.0	1.0	11109	0
1	11	111.0	1.0	1.0	11110	1
1	11	111.0	1.0	1.0	11112	1
1	11	111.0	1.0	1.0	11113	1
1	11	111.0	1.0	1.0	11114	1
1	11	111.0	1.0	1.0	11115	1
1	11	111.0	1.0	1.0	11116	1
1	11	111.0	1.0	1.0	11117	0
1	11	111.0	1.0	1.0	11118	1
1	11	111.0	1.0	1.0	11119	0
1	11	111.0	1.0	1.0	11120	1
1	12	112.0	1.0	2.0	11201	1
1	12	112.0	1.0	2.0	11202	1
1	12	112.0	1.0	2.0	11203	1
1	12	112.0	1.0	2.0	11204	1
1	12	112.0	1.0	2.0	11205	1
1	12	112.0	1.0	2.0	11206	1
1	12	112.0	1.0	2.0	11207	0
1	12	112.0	1.0	2.0	11208	1
1	12	112.0	1.0	2.0	11209	1
1	12	112.0	1.0	2.0	11210	1
1	12	112.0	1.0	2.0	11211	1
1	12	112.0	1.0	2.0	11212	1
1	12	112.0	1.0	2.0	11213	1
1	12	112.0	1.0	2.0	11214	1
1	12	112.0	1.0	2.0	11215	1
1	12	112.0	1.0	2.0	11216	1
1	12	112.0	1.0	2.0	11217	0
1	12	112.0	1.0	2.0	11218	1
1	12	112.0	1.0	2.0	11219	1
1	12	112.0	1.0	2.0	11220	1
1	13	113.0	1.0	3.0	11301	1
1	13	113.0	1.0	3.0	11302	1
1	13	113.0	1.0	3.0	11303	1
1	13	113.0	1.0	3.0	11304	1
1	13	113.0	1.0	3.0	11305	1
1	13	113.0	1.0	3.0	11306	1
1	13	113.0	1.0	3.0	11307	1
1	13	113.0	1.0	3.0	11308	1
1	13	113.0	1.0	3.0	11309	1
1	13	113.0	1.0	3.0	11310	1
1	13	113.0	1.0	3.0	11311	1
1	13	113.0	1.0	3.0	11312	1
1	13	113.0	1.0	3.0	11313	0
1	13	113.0	1.0	3.0	11314	1
1	13	113.0	1.0	3.0	11316	1
1	13	113.0	1.0	3.0	11317	1
1	13	113.0	1.0	3.0	11318	1
1	14	114.0	1.0	2.0	11401	0
1	14	114.0	1.0	2.0	11402	1
1	14	114.0	1.0	2.0	11403	1
1	14	114.0	1.0	2.0	11404	1
1	14	114.0	1.0	2.0	11405	1
1	14	114.0	1.0	2.0	11406	1
1	14	114.0	1.0	2.0	11407	1
1	14	114.0	1.0	2.0	11408	1
1	14	114.0	1.0	2.0	11409	1
1	14	114.0	1.0	2.0	11410	1
1	14	114.0	1.0	2.0	11411	0
1	14	114.0	1.0	2.0	11412	1
1	14	114.0	1.0	2.0	11413	1
1	14	114.0	1.0	2.0	11414	1
1	14	114.0	1.0	2.0	11415	1
1	14	114.0	1.0	2.0	11416	0
1	14	114.0	1.0	2.0	11417	1
1	14	114.0	1.0	2.0	11418	1
1	14	114.0	1.0	2.0	11419	1
1	14	114.0	1.0	2.0	11420	1
1	15	115.0	1.0	1.0	11502	1
1	15	115.0	1.0	1.0	11503	1
1	15	115.0	1.0	1.0	11504	1
1	15	115.0	1.0	1.0	11505	1
1	15	115.0	1.0	1.0	11506	0
1	15	115.0	1.0	1.0	11507	1
1	15	115.0	1.0	1.0	11508	1
1	15	115.0	1.0	1.0	11510	1
1	15	115.0	1.0	1.0	11511	1
1	15	115.0	1.0	1.0	11512	1
1	15	115.0	1.0	1.0	11513	1
1	15	115.0	1.0	1.0	11514	1
1	15	115.0	1.0	1.0	11515	1
1	15	115.0	1.0	1.0	11516	1
1	15	115.0	1.0	1.0	11517	1
1	15	115.0	1.0	1.0	11519	1
1	16	116.0	1.0	1.0	11601	1
1	16	116.0	1.0	1.0	11602	1
1	16	116.0	1.0	1.0	11603	1
1	16	116.0	1.0	1.0	11604	1
1	16	116.0	1.0	1.0	11606	1
1	16	116.0	1.0	1.0	11607	1
1	16	116.0	1.0	1.0	11608	1
1	16	116.0	1.0	1.0	11609	1
1	16	116.0	1.0	1.0	11610	1
1	16	116.0	1.0	1.0	11612	1
1	16	116.0	1.0	1.0	11613	1
1	16	116.0	1.0	1.0	11614	1
1	16	116.0	1.0	1.0	11615	1
1	16	116.0	1.0	1.0	11616	1
1	16	116.0	1.0	1.0	11617	1
1	16	116.0	1.0	1.0	11618	1
1	16	116.0	1.0	1.0	11619	1
1	16	116.0	1.0	1.0	11620	1
1	17	117.0	1.0	2.0	11701	1
1	17	117.0	1.0	2.0	11702	1
1	17	117.0	1.0	2.0	11703	1
1	17	117.0	1.0	2.0	11704	1
1	17	117.0	1.0	2.0	11705	1
1	17	117.0	1.0	2.0	11706	1
1	17	117.0	1.0	2.0	11707	1
1	17	117.0	1.0	2.0	11708	1
1	17	117.0	1.0	2.0	11709	1
1	17	117.0	1.0	2.0	11710	1
1	17	117.0	1.0	2.0	11711	1
1	17	117.0	1.0	2.0	11712	0
1	17	117.0	1.0	2.0	11713	0
1	17	117.0	1.0	2.0	11714	1
1	17	117.0	1.0	2.0	11715	1
1	17	117.0	1.0	2.0	11716	1
1	17	117.0	1.0	2.0	11717	1
1	17	117.0	1.0	2.0	11718	1
1	17	117.0	1.0	2.0	11719	1
1	18	118.0	1.0	1.0	11801	0
1	18	118.0	1.0	1.0	11803	1
1	18	118.0	1.0	1.0	11804	0
1	18	118.0	1.0	1.0	11805	1
1	18	118.0	1.0	1.0	11806	0
1	18	118.0	1.0	1.0	11807	0
1	18	118.0	1.0	1.0	11808	1
1	18	118.0	1.0	1.0	11811	0
1	18	118.0	1.0	1.0	11812	0
1	18	118.0	1.0	1.0	11813	1
1	18	118.0	1.0	1.0	11814	1
1	18	118.0	1.0	1.0	11815	0
1	18	118.0	1.0	1.0	11816	1
1	18	118.0	1.0	1.0	11817	1
2	1	201.0	2.0	3.0	20101	1
2	1	201.0	2.0	3.0	20102	1
2	1	201.0	2.0	3.0	20103	1
2	1	201.0	2.0	3.0	20104	1
2	1	201.0	2.0	3.0	20105	1
2	1	201.0	2.0	3.0	20106	0
2	1	201.0	2.0	3.0	20107	1
2	1	201.0	2.0	3.0	20108	1
2	1	201.0	2.0	3.0	20109	1
2	1	201.0	2.0	3.0	20110	1
2	1	201.0	2.0	3.0	20111	1
2	1	201.0	2.0	3.0	20112	1
2	1	201.0	2.0	3.0	20113	1
2	1	201.0	2.0	3.0	20114	1
2	1	201.0	2.0	3.0	20115	0
2	1	201.0	2.0	3.0	20116	1
2	1	201.0	2.0	3.0	20117	1
2	1	201.0	2.0	3.0	20118	1
2	1	201.0	2.0	3.0	20119	1
2	1	201.0	2.0	3.0	20120	1
2	2	202.0	2.0	3.0	20201	1
2	2	202.0	2.0	3.0	20202	1
2	2	202.0	2.0	3.0	20203	1
2	2	202.0	2.0	3.0	20204	1
2	2	202.0	2.0	3.0	20205	1
2	2	202.0	2.0	3.0	20206	1
2	2	202.0	2.0	3.0	20207	1
2	2	202.0	2.0	3.0	20208	1
2	2	202.0	2.0	3.0	20209	1
2	2	202.0	2.0	3.0	20210	0
2	2	202.0	2.0	3.0	20211	1
2	2	202.0	2.0	3.0	20212	1
2	2	202.0	2.0	3.0	20213	0
2	2	202.0	2.0	3.0	20214	1
2	2	202.0	2.0	3.0	20215	1
2	2	202.0	2.0	3.0	20216	1
2	2	202.0	2.0	3.0	20217	1
2	2	202.0	2.0	3.0	20218	1
2	2	202.0	2.0	3.0	20219	1
2	2	202.0	2.0	3.0	20220	1
2	3	203.0	2.0	2.0	20301	1
2	3	203.0	2.0	2.0	20302	1
2	3	203.0	2.0	2.0	20303	1
2	3	203.0	2.0	2.0	20304	1
2	3	203.0	2.0	2.0	20305	1
2	3	203.0	2.0	2.0	20306	1
2	3	203.0	2.0	2.0	20307	0
2	3	203.0	2.0	2.0	20308	1
2	3	203.0	2.0	2.0	20309	1
2	3	203.0	2.0	2.0	20310	1
2	3	203.0	2.0	2.0	20311	1
2	3	203.0	2.0	2.0	20312	0
2	3	203.0	2.0	2.0	20313	1
2	3	203.0	2.0	2.0	20314	1
2	3	203.0	2.0	2.0	20315	1
2	3	203.0	2.0	2.0	20316	1
2	3	203.0	2.0	2.0	20317	1
2	3	203.0	2.0	2.0	20318	1
2	3	203.0	2.0	2.0	20319	1
2	3	203.0	2.0	2.0	20320	1
2	4	204.0	2.0	2.0	20401	1
2	4	204.0	2.0	2.0	20402	1
2	4	204.0	2.0	2.0	20403	1
2	4	204.0	2.0	2.0	20404	1
2	4	204.0	2.0	2.0	20405	1
2	4	204.0	2.0	2.0	20407	0
2	4	204.0	2.0	2.0	20408	1
2	4	204.0	2.0	2.0	20409	1
2	4	204.0	2.0	2.0	20410	1
2	4	204.0	2.0	2.0	20411	1
2	4	204.0	2.0	2.0	20412	1
2	4	204.0	2.0	2.0	20413	1
2	4	204.0	2.0	2.0	20414	1
2	4	204.0	2.0	2.0	20415	1
2	4	204.0	2.0	2.0	20416	1
2	4	204.0	2.0	2.0	20417	1
2	4	204.0	2.0	2.0	20418	1
2	4	204.0	2.0	2.0	20419	0
2	5	205.0	2.0	1.0	20501	1
2	5	205.0	2.0	1.0	20502	1
2	5	205.0	2.0	1.0	20503	1
2	5	205.0	2.0	1.0	20504	1
2	5	205.0	2.0	1.0	20505	1
2	5	205.0	2.0	1.0	20506	1
2	5	205.0	2.0	1.0	20507	1
2	5	205.0	2.0	1.0	20509	1
2	5	205.0	2.0	1.0	20510	1
2	5	205.0	2.0	1.0	20511	1
2	5	205.0	2.0	1.0	20512	1
2	5	205.0	2.0	1.0	20515	1
2	5	205.0	2.0	1.0	20516	0
2	5	205.0	2.0	1.0	20517	1
2	5	205.0	2.0	1.0	20518	0
2	5	205.0	2.0	1.0	20519	1
2	5	205.0	2.0	1.0	20520	1
2	6	206.0	2.0	1.0	20601	1
2	6	206.0	2.0	1.0	20602	1
2	6	206.0	2.0	1.0	20603	0
2	6	206.0	2.0	1.0	20604	1
2	6	206.0	2.0	1.0	20607	1
2	6	206.0	2.0	1.0	20609	1
2	6	206.0	2.0	1.0	20610	1
2	6	206.0	2.0	1.0	20611	1
2	6	206.0	2.0	1.0	20612	0
2	6	206.0	2.0	1.0	20615	1
2	6	206.0	2.0	1.0	20616	1
2	6	206.0	2.0	1.0	20617	1
2	6	206.0	2.0	1.0	20618	1
2	6	206.0	2.0	1.0	20619	1
2	6	206.0	2.0	1.0	20620	1
2	7	207.0	2.0	2.0	20701	1
2	7	207.0	2.0	2.0	20702	1
2	7	207.0	2.0	2.0	20703	1
2	7	207.0	2.0	2.0	20704	1
2	7	207.0	2.0	2.0	20705	0
2	7	207.0	2.0	2.0	20706	1
2	7	207.0	2.0	2.0	20707	1
2	7	207.0	2.0	2.0	20708	1
2	7	207.0	2.0	2.0	20709	1
2	7	207.0	2.0	2.0	20710	1
2	7	207.0	2.0	2.0	20711	1
2	7	207.0	2.0	2.0	20712	1
2	7	207.0	2.0	2.0	20713	1
2	7	207.0	2.0	2.0	20714	1
2	7	207.0	2.0	2.0	20715	1
2	7	207.0	2.0	2.0	20716	1
2	7	207.0	2.0	2.0	20717	1
2	7	207.0	2.0	2.0	20718	1
2	8	208.0	2.0	1.0	20801	1
2	8	208.0	2.0	1.0	20802	1
2	8	208.0	2.0	1.0	20803	1
2	8	208.0	2.0	1.0	20804	0
2	8	208.0	2.0	1.0	20805	1
2	8	208.0	2.0	1.0	20806	1
2	8	208.0	2.0	1.0	20807	1
2	8	208.0	2.0	1.0	20808	0
2	8	208.0	2.0	1.0	20809	1
2	8	208.0	2.0	1.0	20810	1
2	8	208.0	2.0	1.0	20811	1
2	8	208.0	2.0	1.0	20813	1
2	8	208.0	2.0	1.0	20814	1
2	8	208.0	2.0	1.0	20815	1
2	8	208.0	2.0	1.0	20816	1
2	8	208.0	2.0	1.0	20817	1
2	8	208.0	2.0	1.0	20818	1
2	8	208.0	2.0	1.0	20819	1
2	8	208.0	2.0	1.0	20820	1
2	9	209.0	2.0	3.0	20902	1
2	9	209.0	2.0	3.0	20903	0
2	9	209.0	2.0	3.0	20904	0
2	9	209.0	2.0	3.0	20905	1
2	9	209.0	2.0	3.0	20907	1
2	9	209.0	2.0	3.0	20908	1
2	9	209.0	2.0	3.0	20909	1
2	9	209.0	2.0	3.0	20910	0
2	9	209.0	2.0	3.0	20914	0
2	9	209.0	2.0	3.0	20915	1
2	9	209.0	2.0	3.0	20916	0
2	9	209.0	2.0	3.0	20917	1
2	9	209.0	2.0	3.0	20918	1
2	9	209.0	2.0	3.0	20919	1
2	9	209.0	2.0	3.0	20920	0
2	9	209.0	2.0	3.0	20921	0
3	1	301.0	3.0	2.0	30101	1
3	1	301.0	3.0	2.0	30102	1
3	1	301.0	3.0	2.0	30103	0
3	1	301.0	3.0	2.0	30104	1
3	1	301.0	3.0	2.0	30105	1
3	1	301.0	3.0	2.0	30106	1
3	1	301.0	3.0	2.0	30107	1
3	1	301.0	3.0	2.0	30108	1
3	1	301.0	3.0	2.0	30109	1
3	1	301.0	3.0	2.0	30110	1
3	1	301.0	3.0	2.0	30111	0
3	1	301.0	3.0	2.0	30112	1
3	1	301.0	3.0	2.0	30113	1
3	1	301.0	3.0	2.0	30115	1
3	1	301.0	3.0	2.0	30116	1
3	1	301.0	3.0	2.0	30117	1
3	1	301.0	3.0	2.0	30118	1
3	1	301.0	3.0	2.0	30119	1
3	1	301.0	3.0	2.0	30120	1
3	2	302.0	3.0	2.0	30201	1
3	2	302.0	3.0	2.0	30202	1
3	2	302.0	3.0	2.0	30203	1
3	2	302.0	3.0	2.0	30204	1
3	2	302.0	3.0	2.0	30205	1
3	2	302.0	3.0	2.0	30206	1
3	2	302.0	3.0	2.0	30207	1
3	2	302.0	3.0	2.0	30208	1
3	2	302.0	3.0	2.0	30209	1
3	2	302.0	3.0	2.0	30210	1
3	2	302.0	3.0	2.0	30212	1
3	2	302.0	3.0	2.0	30213	1
3	2	302.0	3.0	2.0	30214	1
3	2	302.0	3.0	2.0	30215	1
3	2	302.0	3.0	2.0	30216	1
3	2	302.0	3.0	2.0	30217	1
3	2	302.0	3.0	2.0	30218	0
3	2	302.0	3.0	2.0	30219	1
3	2	302.0	3.0	2.0	30220	1
3	3	303.0	3.0	1.0	30301	1
3	3	303.0	3.0	1.0	30302	1
3	3	303.0	3.0	1.0	30303	1
3	3	303.0	3.0	1.0	30304	1
3	3	303.0	3.0	1.0	30305	1
3	3	303.0	3.0	1.0	30306	1
3	3	303.0	3.0	1.0	30307	1
3	3	303.0	3.0	1.0	30308	1
3	3	303.0	3.0	1.0	30309	1
3	3	303.0	3.0	1.0	30310	1
3	3	303.0	3.0	1.0	30311	1
3	3	303.0	3.0	1.0	30312	1
3	3	303.0	3.0	1.0	30313	1
3	3	303.0	3.0	1.0	30315	1
3	3	303.0	3.0	1.0	30316	1
3	3	303.0	3.0	1.0	30317	1
3	3	303.0	3.0	1.0	30318	1
3	3	303.0	3.0	1.0	30319	1
3	4	304.0	3.0	3.0	30401	1
3	4	304.0	3.0	3.0	30402	0
3	4	304.0	3.0	3.0	30403	1
3	4	304.0	3.0	3.0	30404	1
3	4	304.0	3.0	3.0	30405	1
3	4	304.0	3.0	3.0	30406	1
3	4	304.0	3.0	3.0	30407	1
3	4	304.0	3.0	3.0	30408	1
3	4	304.0	3.0	3.0	30409	0
3	4	304.0	3.0	3.0	30410	0
3	4	304.0	3.0	3.0	30411	1
3	4	304.0	3.0	3.0	30412	1
3	4	304.0	3.0	3.0	30413	1
3	4	304.0	3.0	3.0	30414	1
3	4	304.0	3.0	3.0	30415	0
3	4	304.0	3.0	3.0	30416	0
3	4	304.0	3.0	3.0	30417	0
3	4	304.0	3.0	3.0	30419	1
3	4	304.0	3.0	3.0	30420	1
3	5	305.0	3.0	3.0	30501	0
3	5	305.0	3.0	3.0	30502	1
3	5	305.0	3.0	3.0	30503	1
3	5	305.0	3.0	3.0	30504	1
3	5	305.0	3.0	3.0	30505	0
3	5	305.0	3.0	3.0	30506	1
3	5	305.0	3.0	3.0	30507	0
3	5	305.0	3.0	3.0	30508	0
3	5	305.0	3.0	3.0	30509	0
3	5	305.0	3.0	3.0	30510	1
3	5	305.0	3.0	3.0	30512	1
3	5	305.0	3.0	3.0	30513	1
3	5	305.0	3.0	3.0	30515	1
3	5	305.0	3.0	3.0	30516	1
3	5	305.0	3.0	3.0	30517	1
3	5	305.0	3.0	3.0	30518	1
3	5	305.0	3.0	3.0	30519	1
3	5	305.0	3.0	3.0	30520	1
4	1	401.0	3.0	3.0	40101	1
4	1	401.0	3.0	3.0	40104	1
1	4	101.0	1.0	3.0	40105	0
4	1	401.0	3.0	3.0	40106	1
4	1	401.0	3.0	3.0	40107	1
4	1	401.0	3.0	3.0	40108	0
4	1	401.0	3.0	3.0	40110	1
4	1	401.0	3.0	3.0	40111	1
4	1	401.0	3.0	3.0	40112	1
4	1	401.0	3.0	3.0	40113	1
4	1	401.0	3.0	3.0	40114	1
4	1	401.0	3.0	3.0	40115	1
4	1	401.0	3.0	3.0	40116	1
4	1	401.0	3.0	3.0	40117	1
4	1	401.0	3.0	3.0	40118	1
4	1	401.0	3.0	3.0	40119	1
4	1	401.0	3.0	3.0	40120	1
4	2	402.0	3.0	1.0	40201	1
4	2	402.0	3.0	1.0	40202	1
4	2	402.0	3.0	1.0	40203	1
4	2	402.0	3.0	1.0	40204	0
4	2	402.0	3.0	1.0	40205	1
4	2	402.0	3.0	1.0	40206	1
4	2	402.0	3.0	1.0	40207	0
4	2	402.0	3.0	1.0	40208	1
4	2	402.0	3.0	1.0	40209	1
4	2	402.0	3.0	1.0	40210	1
4	2	402.0	3.0	1.0	40211	0
4	2	402.0	3.0	1.0	40212	1
4	2	402.0	3.0	1.0	40213	1
4	2	402.0	3.0	1.0	40214	1
4	2	402.0	3.0	1.0	40215	1
4	2	402.0	3.0	1.0	40216	1
4	2	402.0	3.0	1.0	40217	1
4	2	402.0	3.0	1.0	40218	1
4	2	402.0	3.0	1.0	40219	1
4	3	403.0	3.0	1.0	40301	1
4	3	403.0	3.0	1.0	40302	1
4	3	403.0	3.0	1.0	40303	1
4	3	403.0	3.0	1.0	40304	1
4	3	403.0	3.0	1.0	40305	1
4	3	403.0	3.0	1.0	40306	1
4	3	403.0	3.0	1.0	40307	1
4	3	403.0	3.0	1.0	40308	1
4	3	403.0	3.0	1.0	40309	1
4	3	403.0	3.0	1.0	40310	1
4	3	403.0	3.0	1.0	40311	1
4	3	403.0	3.0	1.0	40312	1
4	3	403.0	3.0	1.0	40313	1
4	3	403.0	3.0	1.0	40314	1
4	3	403.0	3.0	1.0	40315	1
4	3	403.0	3.0	1.0	40316	1
4	3	403.0	3.0	1.0	40318	0
4	3	403.0	3.0	1.0	40319	1
4	3	403.0	3.0	1.0	40320	1
4	4	404.0	3.0	2.0	40401	1
4	4	404.0	3.0	2.0	40402	0
4	4	404.0	3.0	2.0	40403	0
4	4	404.0	3.0	2.0	40405	0
4	4	404.0	3.0	2.0	40406	1
4	4	404.0	3.0	2.0	40408	0
4	4	404.0	3.0	2.0	40409	1
4	4	404.0	3.0	2.0	40410	1
4	4	404.0	3.0	2.0	40411	1
4	4	404.0	3.0	2.0	40413	0
4	4	404.0	3.0	2.0	40414	1
4	4	404.0	3.0	2.0	40415	1
4	4	404.0	3.0	2.0	40416	1
4	4	404.0	3.0	2.0	40417	1
4	4	404.0	3.0	2.0	40419	1
1	1	101.0	1.0	3.0	10150	1
1	1	101.0	1.0	3.0	10151	1
1	1	101.0	1.0	3.0	10152	1
1	2	102.0	1.0	2.0	10250	0
1	2	102.0	1.0	2.0	10251	0
1	2	102.0	1.0	2.0	10260	0
1	2	102.0	1.0	2.0	10261	1
1	2	102.0	1.0	2.0	10262	1
1	2	102.0	1.0	2.0	10263	1
1	2	102.0	1.0	2.0	10264	1
1	2	102.0	1.0	2.0	10265	1
1	2	102.0	1.0	2.0	10266	1
1	2	102.0	1.0	2.0	10267	1
1	2	102.0	1.0	2.0	10268	1
1	2	102.0	1.0	2.0	10269	1
1	2	102.0	1.0	2.0	10270	1
1	3	103.0	1.0	2.0	10350	0
1	3	103.0	1.0	2.0	10351	1
1	3	103.0	1.0	2.0	10352	1
1	3	103.0	1.0	2.0	10360	1
1	3	103.0	1.0	2.0	10361	0
1	3	103.0	1.0	2.0	10362	1
1	3	103.0	1.0	2.0	10363	1
1	3	103.0	1.0	2.0	10364	1
1	3	103.0	1.0	2.0	10365	1
1	3	103.0	1.0	2.0	10366	1
1	3	103.0	1.0	2.0	10367	1
1	3	103.0	1.0	2.0	10368	1
1	3	103.0	1.0	2.0	10369	1
1	4	104.0	1.0	3.0	10450	0
1	4	104.0	1.0	3.0	10451	1
1	4	104.0	1.0	3.0	10452	1
1	5	105.0	1.0	3.0	10550	0
1	8	108.0	1.0	2.0	10551	1
