district	village	villno	strno	group	hhid	g66	g67_01	g67_02	g67_03	g68	g69	g70	g71	g71u	g72	g73	g74_1	g74_2	g74_3	g75	g76	g77_1	g77_2	g77_3	g78	g79	g80	g80a	g80b	g81	g82	g83	g84
1	3	103.0	1.0	2.0	10307	2	5	2		1	0				1	1	5			1	1	1			0	0	9			1	2	1	2
1	3	103.0	1.0	2.0	10308	1	1			3	0				1	1	1			1	1	1			0	1	2			0			
1	3	103.0	1.0	2.0	10309	2	2	9		3	1	1	1	2	1	1	1	4		1	0	2			0	1	4			0			
1	3	103.0	1.0	2.0	10311	1	1			3	1	1	4	1	1	1	3			2	0	2			0	0	9			0			
1	3	103.0	1.0	2.0	10312	1	1			3	0				0		1			2	1	1			0	0	9			0			
1	3	103.0	1.0	2.0	10313	2	2	5		3	0				1	1	8			4	1	2			0	1	2			0			
1	3	103.0	1.0	2.0	10314	2	1			3	0				0		1			2	0	1	2		0	0	9			0			
1	3	103.0	1.0	2.0	10315	2	1	2		4	0				1	1	2			2	1	4			0	1	3			1	2	0	
1	3	103.0	1.0	2.0	10316	2	2	5		3	0				1	1	9			13	1	2			0	0	9			0			
1	3	103.0	1.0	2.0	10317	2	1	5		3	0				0		9			13	1	2			0	0	9			0			
1	3	103.0	1.0	2.0	10318	1	2			4	0				0		9			2	1	2			0	0	9			0			
1	3	103.0	1.0	2.0	10319	2	5			3	1	9	1	3	0		3	4		3	1	4			0	0	9			0			
1	3	103.0	1.0	2.0	10320	3	2			4	0				0		9			12	1	2			0	0	9			0			
1	4	104.0	1.0	3.0	10401	1	5			4	0				0		9			19	0	9			0	0	9			0			
1	4	104.0	1.0	3.0	10405	1	99			2	0				0		2			19	1	9			0	0	9			0			
1	4	104.0	1.0	3.0	10416	2	1	2		2	0				0		4			4	0	2			0	0	9			0			
1	4	104.0	1.0	3.0	10418	1	2			2	0				0		4			4	1	2			0	0	9			0			
1	6	106.0	1.0	3.0	10608	1	1			2	0				0		9			13	0	4			0	0	9			0			
1	7	107.0	1.0	3.0	10711	1	2			3	1	1	1	2	0		1			2	0	2			0	0	9			0			
1	8	108.0	1.0	2.0	10802	2	1	4		4	0				1	1	2			2	0	2			0	1	1			0			
1	8	108.0	1.0	2.0	10803	2	5			4	0				0		2			4	1	5			0	0	9			0			
1	8	108.0	1.0	2.0	10804	2	2			3	0				1	1	1	4		1	1	3	1		0	0	9			1	1	0	
1	8	108.0	1.0	2.0	10805	1	1			1	0				1	1	2			4	1	2	1		0	0	9			0			
1	8	108.0	1.0	2.0	10806	1	1			3	0				1	1	9			12	0	1			0	0	9			0			
1	8	108.0	1.0	2.0	10807	2	1	2		1	0				1	1	2			1	1	3			0	0	9			1	2	0	
1	8	108.0	1.0	2.0	10808	1	2			3	0				1	1	1			4	1	1			0	0	9			0			
1	8	108.0	1.0	2.0	10809	2	1	4		4	0				1	1	2			2	1	2			0	0	9			1	2	0	
1	8	108.0	1.0	2.0	10810	2	1	2		3	0				1	1	1			2	0	2	1		0	0	9			0			
1	8	108.0	1.0	2.0	10811	2	2			4	0				0		1			13	1	4			0	0	9			1	2	0	
1	8	108.0	1.0	2.0	10812	2	2			3	0				1	1	9			2	1	1			0	0	9			0			
1	8	108.0	1.0	2.0	10814	1	5			1	0				0		3			2	1	2			0	1	2			0			
1	8	108.0	1.0	2.0	10815	2	1			3	1	1	2	2	1	1	1	2	4	1	1	2	1		0	0	9			0			
1	8	108.0	1.0	2.0	10816	1	1			4	0				1	1	1			2	1	2			0	1	1			0			
1	8	108.0	1.0	2.0	10817	1	2			3	0				1	1	1			13	1	1			0	0	9			0			
1	8	108.0	1.0	2.0	10819	2	1	4		4	0				1	1	2			2	0	2			0	0	9			1	1	0	
1	9	109.0	1.0	1.0	10902	3	1	6		3	0				1	1	2	4		3	0	1	2		0	0	9			0			
1	9	109.0	1.0	1.0	10904	2	99			4	0				0		1			13	0	4			0	0	9			0			
1	9	109.0	1.0	1.0	10905	4	1			1	1	3	2	3	1	1	1			2	1	2	4		0	1	4			0			
1	9	109.0	1.0	1.0	10906	1	1			3	0				0		9			4	1	2			0	0	9			0			
1	9	109.0	1.0	1.0	10907	3	1	2		3	1	3	2	3	1	1	1	2	4	15	1	1	2		0	0	9			0			
1	9	109.0	1.0	1.0	10908	1	2			1	0				0		9			4	0	2			0	0	9			0			
1	9	109.0	1.0	1.0	10909	3	9			2	1	1	4	1	1	1	1	2	4	3	0	2	3		0	0	9			0			
1	9	109.0	1.0	1.0	10911	3	1	2	4	3	0				1	1	2			2	1	2			0	1	2			0			
1	9	109.0	1.0	1.0	10912	2	1			4	0				1	1	8			1	0	2			0	0	9			0			
1	9	109.0	1.0	1.0	10913	1	1			4	0				1	1	1			2	0	2			0	0	9			0			
1	9	109.0	1.0	1.0	10914	2	1	2		4	0				1	1	2			2	1	2			0	0	9			0			
1	9	109.0	1.0	1.0	10915	2	1			1	0				1	1	1			2	1	2			0	0	9			0			
1	9	109.0	1.0	1.0	10916	2	9			3	0				1	1	2	4		1	1	1	2		0	0	9			0			
1	9	109.0	1.0	1.0	10917	2	1	2		3	0				1	1	2			2	1	2			0	0	9			1	1	0	
1	9	109.0	1.0	1.0	10919	1	5			4	0				0		2			13	0	2			0	0	9			0			
1	10	110.0	1.0	1.0	11001	3	1			3	0				1	1	1			2	0	2			0	0	9			1	2	0	
1	10	110.0	1.0	1.0	11003	2	2	4		4	0				1	1	5			1	0	1			0	0	9			0			
1	10	110.0	1.0	1.0	11004	2	1	2		3	0				0		9			13	1	4			0	0	9			0			
1	10	110.0	1.0	1.0	11005	3	1			3	0				1	1	1			2	1	2			0	0	9			1	2	0	
1	10	110.0	1.0	1.0	11006	1	1			4	0				1	1	1			1	0	4			0	0	9			0			
1	10	110.0	1.0	1.0	11009	1	4			4	0				1	1	5			1	0	2			0	0	9			0			
1	10	110.0	1.0	1.0	11011	2	1	2		3	0				1	1	2			2	1	2			0	1	1			0			
1	10	110.0	1.0	1.0	11013	2	1			4	0				1	1	1			2	0	2			0	1	2			0			
1	10	110.0	1.0	1.0	11014	3	1	2		1	1	1	1	2	1	1	1			2	0	2			0	0	9			0			
1	10	110.0	1.0	1.0	11015	1	4	5	1	4	0				1	1	1			2	0	4			0	1	1	2		0			
1	10	110.0	1.0	1.0	11016	1	4			4	0				0		9			13	0	1			0	0	9			0			
1	10	110.0	1.0	1.0	11017	2	2	5		3	0				0		1			4	1	1	2		0	0	9			0			
1	10	110.0	1.0	1.0	11018	2	6	9		3	0				0		1	4		4	0	1	2		0	0	9			0			
1	10	110.0	1.0	1.0	11019	2	2	5		3	0				0		9			3	0	2	3		0	1	1	4		0			
1	11	111.0	1.0	1.0	11102	2	1	2		3	0				0		1			4	1	4			0	1	1			0			
1	11	111.0	1.0	1.0	11103	3	5			3	0				1	1	1			13	1	4			0	0	9			0			
1	11	111.0	1.0	1.0	11104	2	9	4		4	0				1	1	5			1	0	1			0	0	9			1	2	0	
1	11	111.0	1.0	1.0	11105	2	1	2		3	0				0		1			19	1	2			0	1	1			0			
1	11	111.0	1.0	1.0	11108	2	1	2		3	0				1	1	1			4	1	2			0	1	1			0			
1	11	111.0	1.0	1.0	11109	2	4			4	0				1	1	2			2	1	2	4		1	1	9			1	2	0	
1	11	111.0	1.0	1.0	11110	2	1	2		3	0				0		1			4	1	2			0	1	1			1	2	0	
1	11	111.0	1.0	1.0	11112	2	1	4		3	0				1	1	2			2	1	2			0	0	9			0			
1	11	111.0	1.0	1.0	11113	1	2			1	0				0		1			19	0	2			0	0	9			0			
1	11	111.0	1.0	1.0	11114	2	1	4		4	0				1	1	2			2	0	1			0	0	9			1	2	0	
1	11	111.0	1.0	1.0	11115	2	1	2		3	0				1	1	1			4	1	2			0	1	1			0			
1	11	111.0	1.0	1.0	11116	2	1			2	0				0		1			2	1	4			0	0	9			0			
1	11	111.0	1.0	1.0	11117	2	5			3	0				1	1	1	4		5	0	2			0	0	9			1	2	0	
1	11	111.0	1.0	1.0	11118	6	5			3	1	3	2	2	1	1	2			2	1	2	4		0	1	1	2	4	1	2	0	
1	11	111.0	1.0	1.0	11119	2	5			3	0				1	1	4			2	0	1	2		0	0	9			1	2	0	
1	11	111.0	1.0	1.0	11120	1	1			3	1	2	1	2	0		1			2	1	2			0	0	9			0			
1	12	112.0	1.0	2.0	11201	2	1	2		3	0				1	1	1			3	1	2			0	1	1			1	2	0	
1	12	112.0	1.0	2.0	11202	2	1	2		3	0				1	1	1			1	1	1			0	0	9			0			
1	12	112.0	1.0	2.0	11203	2	1	2		3	0				1	1	3			3	0	1			0	0	9			0			
1	12	112.0	1.0	2.0	11204	2	2			4	0				0		1	3		2	0	2			0	1	2			0			
1	12	112.0	1.0	2.0	11205	2	2	9		1	0				1	1	1	9		1	1	1			0	0	9			0			
1	12	112.0	1.0	2.0	11206	1	5			2	0				1	1	2			3	1	2			0	0	9			0			
1	12	112.0	1.0	2.0	11207	1	2			2	0				1	1	2			2	0	2			0	0	9			0			
1	12	112.0	1.0	2.0	11208	2	1	2		3	0				0		2			4	0	1			1	1	9			0			
1	12	112.0	1.0	2.0	11209	2	1	4		3	0				1	1	1			19	1	2			0	0	9			0			
1	12	112.0	1.0	2.0	11210	2	1	5		3	0				1	1	8			1	0	2	4		0	0	9			0			
1	12	112.0	1.0	2.0	11211	1	99			4	0				0		9			2	0	2			0	0	9			0			
1	12	112.0	1.0	2.0	11212	2	2	5		4	0				0		8			13	1	2			0	0	9			1	4	0	
1	12	112.0	1.0	2.0	11213	1	4			3	0				1	1	1			1	1	4			0	0	9			0			
1	12	112.0	1.0	2.0	11214	1	9			3	0				1	1	1			4	1	1			0	0	9			0			
1	12	112.0	1.0	2.0	11215	2	1	6		1	0				0		2			4	0	1			0	1	1			0			
1	12	112.0	1.0	2.0	11216	1	2			3	0				1	1	2			2	0	2			0	0	9			0			
1	12	112.0	1.0	2.0	11218	2	1	2		4	0				1	1	3			13	1	2			0	0	9			0			
1	12	112.0	1.0	2.0	11219	1	5			2	0				1	1	1	4		1	0	1	2		0	0	9			0			
1	12	112.0	1.0	2.0	11220	1	2			3	0				1	1	2			3	0	2			0	0	9			0			
1	13	113.0	1.0	3.0	11318	1	4			4	0				0		1			4	1	5			0	0	9			0			
1	14	114.0	1.0	2.0	11401	1	5			2	0				0		4			4	0	2			0	0	9			0			
1	14	114.0	1.0	2.0	11402	2	5			3	0				1	1	4	8		2	1	1	2		0	0	9			0			
1	14	114.0	1.0	2.0	11403	2	5	2		1	0				1	1	1			2	1	2			1	1	2			1	2	1	2
1	14	114.0	1.0	2.0	11404	2	5			3	0				1	1	1			1	0	2			1	1	1	2		0			
1	14	114.0	1.0	2.0	11405	2	2			1	1	1	4	1	0		1	2		2	0	2			0	1	2			0			
1	14	114.0	1.0	2.0	11406	2	2	5		4	0				1	1	2			2	1	2			0	0	9			0			
1	14	114.0	1.0	2.0	11407	2	5			2	0				0		1	4		2	1	1	4		0	0	9			0			
1	14	114.0	1.0	2.0	11408	2	2			4	0				1	1	1			2	0	1			0	0	9			0			
1	14	114.0	1.0	2.0	11409	1	2			4	0				0		3			17	1	4			0	0	9			0			
1	14	114.0	1.0	2.0	11410	2	2	5		3	0				1	1	2			2	1	2			0	0	9			1	2	0	
1	14	114.0	1.0	2.0	11411	1	5			4	1	1	1	3	1	1	1			2	1	2			0	0	9			0			
1	14	114.0	1.0	2.0	11412	2	2			1	0				1	1	1			2	0	2			0	1	2			1	2	0	2
1	14	114.0	1.0	2.0	11414	1	5			1	1	1	3	1	0		1	2		1	0	2			0	0	9			0			
1	14	114.0	1.0	2.0	11415	2	4	2		3	0				0		9			13	1	1			0	0	9			0			
1	14	114.0	1.0	2.0	11417	2	5			2	0				1	1	1	2	4	1	1	1	2		0	1	2			0			
1	14	114.0	1.0	2.0	11418	2	2	5		3	0				1	1	2			2	1	2			0	0	9			0			
1	14	114.0	1.0	2.0	11419	2	2	5		3	1	3	2	3	1	1	2			2	1	2			0	0	9			1	2	0	
1	14	114.0	1.0	2.0	11420	2	2	5		4	0				1	1	2			2	1	2			0	1	1			1	1	0	
1	15	115.0	1.0	1.0	11502	2	1	2		3	0				1	1	2			2	1	2			0	0	9			0			
1	15	115.0	1.0	1.0	11503	2	2	4		3	1	3	2	3	1	1	2			2	1	2			0	1	1			1	2	0	
1	15	115.0	1.0	1.0	11504	2	1	2		3	0				1	1	2			2	1	2			0	0	9			0			
1	15	115.0	1.0	1.0	11505	2	1	2		3	1	3	2	3	1	1	1			4	1	4			0	0	9			0			
1	15	115.0	1.0	1.0	11506	2	2	4		3	0				1	1	2			2	1	2			0	1	2			1	2	0	
1	15	115.0	1.0	1.0	11507	2	1	4		4	0				1	1	2			2	1	2			0	0	9			1	2	0	
1	15	115.0	1.0	1.0	11508	1	5			1	0				1	1	1			1	1	2			0	0	9			0			
1	15	115.0	1.0	1.0	11510	1	1			3	1	2	1	2	1	1	2			2	1	2			0	0	9			0			
1	15	115.0	1.0	1.0	11511	1	2			3	0				0		1			4	1	4			0	0	9			0			
1	15	115.0	1.0	1.0	11512	1	1			3	0				0		1			4	1	4			0	0	9			0			
1	15	115.0	1.0	1.0	11513	1	2			4	0				0		1			13	0	4			0	0	9			0			
1	15	115.0	1.0	1.0	11514	1	5			3	0				0		4			4	0	1	2		0	0	9			0			
1	15	115.0	1.0	1.0	11515	1	5			3	0				0		9			2	0	5			0	0	9			0			
1	15	115.0	1.0	1.0	11516	1	2			3	0				0		1			13	0	4			0	0	9			0			
1	15	115.0	1.0	1.0	11517	2	5			2	0				0		4			15	0	1			0	0	9			0			
1	15	115.0	1.0	1.0	11519	1	5			4	0				0		1			2	1	2			0	0	9			0			
1	16	116.0	1.0	1.0	11601	1	2			2	0				1	1	2			2	1	2			0	0	9			0			
1	16	116.0	1.0	1.0	11602	2	2	9		3	0				1	1	1			13	1	2			0	0	9			0			
1	16	116.0	1.0	1.0	11603	2	1	2		1	0				1	1	1			1	0	1			0	0	9			0			
1	16	116.0	1.0	1.0	11604	2	2			4	0				0		1	2		2	0	2			0	0	9			0			
1	16	116.0	1.0	1.0	11606	1	1			3	0				1	1	2			2	1	2			0	0	9			0			
1	16	116.0	1.0	1.0	11607	2	5			3	0				1	1	2			3	1	2			0	0	9			0			
1	16	116.0	1.0	1.0	11608	3	2	4		3	0				1	1	1			4	1	4			0	0	9			0			
1	16	116.0	1.0	1.0	11609	2	1	4		1	0				1	1	2			4	0	1			0	0	9			0			
1	16	116.0	1.0	1.0	11610	1	1			1	0				1	1	1			1	0	1			0	0	9			0			
1	16	116.0	1.0	1.0	11612	1	2			4	0				0		2			2	0	1			0	0	9			0			
1	16	116.0	1.0	1.0	11613	1	9			3	0				1	1	2			2	0	2			0	0	9			0			
1	16	116.0	1.0	1.0	11614	2	9	2		3	0				1	1	1			4	1	1			0	0	9			0			
1	16	116.0	1.0	1.0	11615	1	1			1	0				1	1	1			1	0	1			0	1	4			0			
1	16	116.0	1.0	1.0	11616	1	1			3	0				1	1	1			4	1	4			0	0	9			0			
1	16	116.0	1.0	1.0	11617	1	2			3	0				1	1	2			2	1	2			0	0	9			0			
1	16	116.0	1.0	1.0	11618	2	1	2		4	0				1	1	9			12	1	1			0	0	9			0			
1	16	116.0	1.0	1.0	11619	2	1	2		4	0				0		9			12	1	5			0	0	9			0			
1	16	116.0	1.0	1.0	11620	1	1			3	0				1	1	2			2	0	2			0	0	9			0			
1	17	117.0	1.0	2.0	11701	1	1			4	0				1	1	9			19	0	5			0	0	9			0			
1	17	117.0	1.0	2.0	11702	3	5			2	0				1	1	1			3	1	2	4		0	0	9			0			
1	17	117.0	1.0	2.0	11703	2	1	5		3	0				1	1	1			4	1	3			0	1	1			0			
1	17	117.0	1.0	2.0	11704	2	1	5		3	0				1	1	5			1	0	1			0	0	9			1	2	0	
1	17	117.0	1.0	2.0	11705	2	5			2	0				1	1	4			1	0	1			0	0	9			0			
1	17	117.0	1.0	2.0	11706	2	5			2	1	1	1	2	1	1	8			2	1	5			0	1	1			0			
1	17	117.0	1.0	2.0	11707	3	1			2	0				1	1	1	3		4	0	2	1		0	0	9			1	2	0	
1	17	117.0	1.0	2.0	11708	2	4	5		3	0				1	1	1			2	1	1	2		0	0	9			0			
1	17	117.0	1.0	2.0	11710	1	5			4	0				1	1	9			2	0	1			0	0	9			1	3	0	
1	17	117.0	1.0	2.0	11711	2	2	5		3	0				1	1	9			12	1	2			0	0	9			0			
1	17	117.0	1.0	2.0	11712	2	1	5		1	0				1	1	5			2	1	1			0	0	9			0			
1	17	117.0	1.0	2.0	11713	1	1			3	0				0		1			13	1	4			0	0	9			0			
1	17	117.0	1.0	2.0	11714	1	1			4	0				1	1	5			1	0	1			0	0	9			0			
1	17	117.0	1.0	2.0	11715	4	1	2	4	3	0				1	1	9			2	1	2			1	1	1			1	2	0	
1	17	117.0	1.0	2.0	11716	2	1	2		3	0				1	1	1			2	1	2			0	0	9			1	2	0	
1	17	117.0	1.0	2.0	11717	2	4	5		3	0				1	1	1			2	1	9			0	0	9			0			
1	17	117.0	1.0	2.0	11718	1	1			4	0				0		9			2	1	2			0	0	9			0			
1	17	117.0	1.0	2.0	11719	1	2			1	0				0		4			2	0	9			0	0	9			0			
1	18	118.0	1.0	1.0	11801	2	5	99		3	0				1	1	1	2	4	2	1	1	2		0	0	9			0			
1	18	118.0	1.0	1.0	11803	2	1	2		3	0				0		1	2		4	0	2			0	0	9			0			
1	18	118.0	1.0	1.0	11804	2	1	2		3	0				0		1			13	1	1			0	0	9			0			
1	18	118.0	1.0	1.0	11806	1	4			4	0				1	1	5			1	0	1			0	0	9			0			
1	18	118.0	1.0	1.0	11807	2	1	4		4	0				1	1	5			1	0	2			0	0	9			0			
1	18	118.0	1.0	1.0	11808	1	1			3	0				1	1	2			2	1	5			0	0	9			0			
1	18	118.0	1.0	1.0	11811	4	1	2	4	3	0				0		1			4	1	4			1	1	1			0			
1	18	118.0	1.0	1.0	11812	2	1	4		3	0				1	1	1			1	0	1			0	0	9			0			
1	18	118.0	1.0	1.0	11813	1	2			4	0				1	1	1			1	0	1	2		0	0	9			0			
1	18	118.0	1.0	1.0	11814	1	2			4	0				0		8			12	1	5			0	0	9			0			
1	18	118.0	1.0	1.0	11816	2	4	5		4	0				0		1			19	0	4			0	0	9			0			
2	1	201.0	2.0	3.0	20107	4	9			3	0				0		5			3	1	3			0	1	2			0			
2	2	202.0	2.0	3.0	20207	1	1			3	0				0		1			2	1	2			0	1	1			0			
2	2	202.0	2.0	3.0	20209	3	1	2	4	3	0				0		1			4	1	1			0	0	9			0			
2	2	202.0	2.0	3.0	20218	1	9			3	1	1	2	2	1	1	1			1	0	2			0	0	9			0			
2	3	203.0	2.0	2.0	20301	1	1			3	0				1	1	2			2	1	4			0	1	9			0			
2	3	203.0	2.0	2.0	20302	1	9			3	1	3	2	3	0		1			4	1	2			0	0	9			0			
2	3	203.0	2.0	2.0	20303	1	1			4	0				0		1			13	1	3			0	0	9			0			
2	3	203.0	2.0	2.0	20304	1	4			3	0				0		1			4	1	1			0	0	9			0			
2	3	203.0	2.0	2.0	20305	1	6			3	0				0		1			13	1	2			0	0	9			0			
2	3	203.0	2.0	2.0	20306	1	5			3	1	1	2	2	0		2			2	1	2			0	0	9			0			
2	3	203.0	2.0	2.0	20310	3	2			3	0				1	1	1			13	1	2			0	0	9			0			
2	3	203.0	2.0	2.0	20311	1	1			3	1	3	1	2	0		1			2	1	3			1	1	1			0			
2	3	203.0	2.0	2.0	20312	3	5			3	0				1	1	2			3	1	2			0	1	2			1	2	0	
2	3	203.0	2.0	2.0	20313	2	1	9		3	0				0		1			2	1	2			0	1	1			1	2	0	
2	3	203.0	2.0	2.0	20314	2	2			4	0				0		9			3	1	2			0	0	9			0			
2	3	203.0	2.0	2.0	20315	1	1			3	0				0		1			5	0	1	2		0	0	9			0			
2	3	203.0	2.0	2.0	20316	1	1			3	0				1	1	2	1		2	1	4			0	1	4			1	2	0	
2	3	203.0	2.0	2.0	20317	1	1			3	0				1	1	2			13	1	2			0	0	9			0			
2	3	203.0	2.0	2.0	20318	1	9			3	0				1	1	1			4	1	4			0	0	9			0			
2	3	203.0	2.0	2.0	20319	1	9			3	0				0		1			2	1	1			0	0	9			0			
2	3	203.0	2.0	2.0	20320	1	1			4	0				1	1	2	1		2	1	4			0	0	9			0			
2	4	204.0	2.0	2.0	20401	2	2			3	0				1	1	2			2	0	2			0	0	9			1	2	0	
2	4	204.0	2.0	2.0	20402	1	2			3	1	1	9	1	0		9			2	1	4			0	0	9			0			
2	4	204.0	2.0	2.0	20403	1	1			3	1	1	5	1	1	1	1			2	1	2			0	0	9			0			
2	4	204.0	2.0	2.0	20404	1	1			3	0				0		9			3	0	1	5		1	1	3	1		0			
2	4	204.0	2.0	2.0	20405	1	1			3	0				0		2			13	1	4			0	0	9			0			
2	4	204.0	2.0	2.0	20407	3	1	2	6	3	0				0		1			14	1	2			0	1	1			0			
2	4	204.0	2.0	2.0	20408	2	5	9		3	0				0		2			4	0	1			0	0	9			0			
2	4	204.0	2.0	2.0	20409	2	1	2		3	0				0		3			2	1	1			0	0	9			0			
2	4	204.0	2.0	2.0	20410	3	4	9	1	2	0				0		1			4	1	1			0	0	9			0			
2	4	204.0	2.0	2.0	20411	2	6	2		3	0				1	1	2			1	1	2			0	0	9			0			
2	4	204.0	2.0	2.0	20412	2	1	5		3	0				0		2	1		13	1	1	4		0	0	9			0			
2	4	204.0	2.0	2.0	20413	2	2			4	0				1	1	2			3	0	2			0	0	9			1	2	0	
2	4	204.0	2.0	2.0	20416	3	4			1	0				0		2			2	1	2			0	0	9			0			
2	4	204.0	2.0	2.0	20417	1	5			3	0				1	1	1			1	1	3			0	0	9			0			
2	4	204.0	2.0	2.0	20418	1	1			3	1	3	3	1	1	1	1			2	1	1			0	1	1			1	2	0	
2	4	204.0	2.0	2.0	20419	1	9			3	1	1	1	2	1	1	2			1	1	1			0	0	9			0			
2	5	205.0	2.0	1.0	20501	1	1			3	0				1	1	2			2	1	4			0	0	9			0			
2	5	205.0	2.0	1.0	20502	1	9			3	0				1	1	1			1	1	2			0	0	9			0			
2	5	205.0	2.0	1.0	20503	1	2			4	0				0		1			1	0	5			0	0	9			0			
2	5	205.0	2.0	1.0	20504	1	1			3	0				0		9			19	0	1			0	1	2			1	2	0	
2	5	205.0	2.0	1.0	20505	1	1			3	0				1	1	2			1	1	4			0	1	4	1		1	2	0	
2	5	205.0	2.0	1.0	20506	1	1			3	0				1	1	2			2	1	4			0	0	9			0			
2	5	205.0	2.0	1.0	20507	2	6			3	0				0		2			3	0	2			0	0	9			0			
2	5	205.0	2.0	1.0	20509	1	1			2	0				1	1	9			13	0	1			0	0	9			0			
2	5	205.0	2.0	1.0	20510	1	5			4	0				1	1	1			1	1	1	5		0	1	9			0			
2	5	205.0	2.0	1.0	20511	2	1	2		3	0				1	1	1			2	1	4			0	0	9			0			
2	5	205.0	2.0	1.0	20512	1	5			3	0				0		2			3	1	2			0	0	9			0			
2	5	205.0	2.0	1.0	20515	2	5			3	0				0		1			2	1	2			0	0	9			0			
2	5	205.0	2.0	1.0	20516	1	5			4	1	3	3	3	1	1	1			1	1	3			0	1	4			0			
2	5	205.0	2.0	1.0	20517	3	1			3	0				0		9			2	1	4			0	1	1	4		1	2	0	
2	5	205.0	2.0	1.0	20518	3	4	5	9	3	0				1	1	9			13	1	1			0	1	1			1	2	0	
2	5	205.0	2.0	1.0	20519	2	1	5		3	0				1	1	2			1	1	4			0	1	9			1	2	0	
2	5	205.0	2.0	1.0	20520	1	2			3	0				1	1	1			14	0	1			0	0	9			0			
2	6	206.0	2.0	1.0	20601	1	4			4	0				0		9			19	1	5			0	0	9			0			
2	6	206.0	2.0	1.0	20602	2	1			3	0				1	1	2			1	1	2	3		0	1	4			1	2	0	
2	6	206.0	2.0	1.0	20603	1	1			4	0				0		2			3	1	2			0	0	9			0			
2	6	206.0	2.0	1.0	20604	2	5			3	0				1	1	2			2	1	2			0	0	9			0			
2	6	206.0	2.0	1.0	20607	1	6			3	0				0		1			19	0	4			0	1	1			0			
2	6	206.0	2.0	1.0	20609	2	1			3	0				1	1	1			1	1	1	2		0	0	9			1	2	0	
2	6	206.0	2.0	1.0	20610	1	6			4	0				0		2			2	0	2			0	0	9			0			
2	6	206.0	2.0	1.0	20611	1	99			3	1	1	2	2	0		1			2	1	1			0	0	9			0			
2	6	206.0	2.0	1.0	20612	2	1			3	0				0		1			2	1	2			0	0	9			0			
2	6	206.0	2.0	1.0	20615	2	1			4	1	1	2	2	0		9			1	1	4			0	0	9			0			
2	6	206.0	2.0	1.0	20616	2	1			3	0				0		1			13	1	1			0	0	9			0			
2	6	206.0	2.0	1.0	20617	3	9			3	0				1	1	1			1	1	1			0	1	9			1	2	0	
2	6	206.0	2.0	1.0	20618	3	2			3	0				0		1			1	1	3			0	1	4			0			
2	6	206.0	2.0	1.0	20619	1	99			3	1	1	1	3	0		1			2	1	2			0	0	9			0			
2	6	206.0	2.0	1.0	20620	2	6			3	0				1	1	2			1	1	2			0	0	9			0			
2	7	207.0	2.0	2.0	20701	2	1			3	0				0		2			2	1	2			0	0	9			0			
2	7	207.0	2.0	2.0	20702	2	1			3	0				0		2			13	1	4			0	0	9			0			
2	7	207.0	2.0	2.0	20703	1	1			3	1	1	2	2	0		1			4	1	2			0	1	1			0			
2	7	207.0	2.0	2.0	20704	1	99			3	0				0		1			4	1	2			0	0	9			0			
2	7	207.0	2.0	2.0	20705	2	1			4	0				0		1			13	0	3			0	0	9			0			
2	7	207.0	2.0	2.0	20706	1	5			4	0				0		1			4	1	3			0	0	9			0			
2	7	207.0	2.0	2.0	20707	2	2			3	0				0		1			13	1	4			0	0	9			0			
