district	village	villno	strno	group	hhid	codigo	b01	b02	b03	b04	b05	b06	b07	b08	b09
1	1	101.0	1.0	3.0	10110	103	1			18	3	1	1	1	1
1	1	101.0	1.0	3.0	10110	104	1			14	3	1	1	1	1
1	1	101.0	1.0	3.0	10110	105	1			11	3	2	1	0	1
1	1	101.0	1.0	3.0	10111	101	1			57	1	1		0	1
1	1	101.0	1.0	3.0	10111	102	1			45	2	2		0	1
1	1	101.0	1.0	3.0	10111	103	1			23	3	2	0	0	1
1	1	101.0	1.0	3.0	10111	104	1			17	3	2	0	0	1
1	1	101.0	1.0	3.0	10111	105	1			13	3	2	1	0	1
1	1	101.0	1.0	3.0	10111	106	1			11	3	1	1	0	1
1	1	101.0	1.0	3.0	10111	111	0	1	7	14	5	2			1
1	1	101.0	1.0	3.0	10111	112	1			13	5	2	0	0	1
1	1	101.0	1.0	3.0	10112	101	1			28	1	1	0	0	2
1	1	101.0	1.0	3.0	10112	102	1			21	2	2	0	0	2
1	1	101.0	1.0	3.0	10113	101	1			56	1	2	0	0	9
1	1	101.0	1.0	3.0	10113	104	1			10	5	2	1	1	9
1	1	101.0	1.0	3.0	10114	101	1			41	1	1	0	5	1
1	1	101.0	1.0	3.0	10114	102	1			37	2	2	0	1	1
1	1	101.0	1.0	3.0	10114	103	1			11	3	2	1	4	1
1	1	101.0	1.0	3.0	10114	104	1			9	3	1	1	3	1
1	1	101.0	1.0	3.0	10115	101	1			999	1	2	0	0	1
1	1	101.0	1.0	3.0	10115	102	1			15	3	2	0	0	1
1	1	101.0	1.0	3.0	10115	103	1			9	3	1	1	2	1
1	1	101.0	1.0	3.0	10116	101	1			45	1	1		4	1
1	1	101.0	1.0	3.0	10116	102	1			33	2	2		0	1
1	1	101.0	1.0	3.0	10116	103	1			23	3	1	0	1	1
1	1	101.0	1.0	3.0	10116	104	0	1	7	19	3	1	0	0	1
1	1	101.0	1.0	3.0	10116	106	1			14	3	1	0	0	1
1	1	101.0	1.0	3.0	10116	107	1			9	3	2	0	0	1
1	1	101.0	1.0	3.0	10117	101	1			43	1	1		4	1
1	1	101.0	1.0	3.0	10117	102	1			36	2	2		0	1
1	1	101.0	1.0	3.0	10117	103	1			14	3	2	1	2	1
1	1	101.0	1.0	3.0	10117	104	1			9	3	1	0	0	1
1	1	101.0	1.0	3.0	10118	101	1			33	1	1	0	0	1
1	1	101.0	1.0	3.0	10118	102	1			999	2	2	0	0	1
1	1	101.0	1.0	3.0	10118	103	1			10	3	1	0	0	1
1	1	101.0	1.0	3.0	10119	101	1			39	1	1	0	4	1
1	1	101.0	1.0	3.0	10119	102	1			37	2	2	0	0	1
1	1	101.0	1.0	3.0	10119	104	1			17	3	2	0	1	1
1	1	101.0	1.0	3.0	10119	105	1			12	3	1	0	2	1
1	1	101.0	1.0	3.0	10120	101	1			40	1	1	0	0	1
1	1	101.0	1.0	3.0	10120	102	1			999	2	2	0	0	1
1	1	101.0	1.0	3.0	10120	104	1			16	3	1	0	4	1
1	1	101.0	1.0	3.0	10120	105	1			8	3	1	1	0	1
1	1	101.0	1.0	3.0	10120	106	1			13	3	2	0	0	1
1	2	102.0	1.0	2.0	10202	101	1			27	1	1	0	3	6
1	2	102.0	1.0	2.0	10202	102	1			25	2	2	0	1	6
1	2	102.0	1.0	2.0	10203	101	1			31	1	1	0	2	9
1	2	102.0	1.0	2.0	10203	102	1			26	2	2	0	1	9
1	2	102.0	1.0	2.0	10203	103	1			13	10	1	1	2	9
1	2	102.0	1.0	2.0	10203	104	1			7	10	1	1	2	9
1	2	102.0	1.0	2.0	10203	105	1			11	10	1	1	1	9
1	2	102.0	1.0	2.0	10203	106	1			8	10	2	1	0	9
1	2	102.0	1.0	2.0	10205	101	1			30	1	1	0	5	6
1	2	102.0	1.0	2.0	10205	102	1			25	2	2	0	0	6
1	2	102.0	1.0	2.0	10205	103	1			11	3	2	1	1	6
1	2	102.0	1.0	2.0	10205	104	1			9	3	2	1	0	6
1	2	102.0	1.0	2.0	10207	101	1			45	1	1		6	1
1	2	102.0	1.0	2.0	10207	102	1			30	2	2	0	4	1
1	2	102.0	1.0	2.0	10207	103	1			11	3	2	0	0	1
1	2	102.0	1.0	2.0	10207	111	0	9	7	7	9	1	0	0	1
1	2	102.0	1.0	2.0	10208	101	1			44	1	1		3	1
1	2	102.0	1.0	2.0	10208	102	1			41	2	2		0	1
1	2	102.0	1.0	2.0	10208	104	1			14	3	1	1	1	1
1	2	102.0	1.0	2.0	10208	105	1			8	3	2	1	0	1
1	2	102.0	1.0	2.0	10209	101	1			43	1	1		3	1
1	2	102.0	1.0	2.0	10209	102	1			27	2	2	0	1	1
1	2	102.0	1.0	2.0	10209	103	1			16	2	2	0	2	1
1	2	102.0	1.0	2.0	10209	104	1			11	1	1	1	1	1
1	2	102.0	1.0	2.0	10211	101	1			46	1	1		5	1
1	2	102.0	1.0	2.0	10211	102	1			38	2	2		3	1
1	2	102.0	1.0	2.0	10211	103	1			18	3	1	1	7	1
1	2	102.0	1.0	2.0	10211	104	1			16	3	2	1	6	1
1	2	102.0	1.0	2.0	10211	105	1			13	3	2	1	4	1
1	2	102.0	1.0	2.0	10211	106	1			11	3	1	1	4	1
1	2	102.0	1.0	2.0	10212	101	0	1	7	999	1	1			6
1	2	102.0	1.0	2.0	10212	102	1			27	2	2	0	0	6
1	2	102.0	1.0	2.0	10212	103	1			10	3	2	1	1	6
1	2	102.0	1.0	2.0	10212	104	1			6	12	1	1	0	6
1	2	102.0	1.0	2.0	10214	101	1			26	1	1	0	4	9
1	2	102.0	1.0	2.0	10214	102	1			21	2	2	0	4	9
1	2	102.0	1.0	2.0	10215	101	1			30	1	1	0	4	1
1	2	102.0	1.0	2.0	10215	102	1			27	2	2	0	0	1
1	2	102.0	1.0	2.0	10215	103	1			8	3	1	1	1	1
1	2	102.0	1.0	2.0	10217	101	1			42	1	1		6	9
1	2	102.0	1.0	2.0	10217	102	1			34	2	2		6	9
1	2	102.0	1.0	2.0	10217	103	1			14	3	1	1	7	9
1	2	102.0	1.0	2.0	10217	104	1			12	3	2	1	5	9
1	2	102.0	1.0	2.0	10218	101	1			28	1	1	0	4	6
1	2	102.0	1.0	2.0	10218	102	1			999	2	2	0	3	6
1	2	102.0	1.0	2.0	10219	101	1			29	1	1	0	2	1
1	2	102.0	1.0	2.0	10219	102	1			23	2	2	0	1	1
1	2	102.0	1.0	2.0	10220	101	1			49	1	1		8	6
1	2	102.0	1.0	2.0	10220	102	1			45	2	2		0	6
1	2	102.0	1.0	2.0	10220	103	1			18	3	2	0	4	6
1	2	102.0	1.0	2.0	10220	104	1			15	3	1	1	5	6
1	2	102.0	1.0	2.0	10220	105	1			12	3	2	1	1	6
1	2	102.0	1.0	2.0	10220	106	1			10	3	1	0	0	6
1	3	103.0	1.0	2.0	10302	101	0	6	7	999	1	1			6
1	3	103.0	1.0	2.0	10302	102	1			24	2	2	0	0	6
1	3	103.0	1.0	2.0	10303	101	1			48	1	1		2	9
1	3	103.0	1.0	2.0	10303	102	1			43	2	2		2	9
1	3	103.0	1.0	2.0	10303	103	1			18	3	2	1	6	9
1	3	103.0	1.0	2.0	10303	104	1			16	3	2	1	4	9
1	3	103.0	1.0	2.0	10303	105	1			13	3	2	1	4	9
1	3	103.0	1.0	2.0	10303	106	1			10	3	2	1	1	9
1	3	103.0	1.0	2.0	10304	101	0	6	7						1
1	3	103.0	1.0	2.0	10304	102	1			23	2	2	0	0	1
1	3	103.0	1.0	2.0	10304	103	0	1	7						1
1	3	103.0	1.0	2.0	10304	104	1			9	10	1	1	1	1
1	3	103.0	1.0	2.0	10304	105	1			999	14	2	0	0	1
1	3	103.0	1.0	2.0	10306	101	1			31	1	1		3	1
1	3	103.0	1.0	2.0	10306	102	1			21	2	2	0	0	1
1	3	103.0	1.0	2.0	10307	101	1			34	1	1		5	6
1	3	103.0	1.0	2.0	10307	102	1			999	2	2	0	3	6
1	3	103.0	1.0	2.0	10308	101	1			33	1	1	0	3	1
1	3	103.0	1.0	2.0	10308	102	1			27	2	2	0	0	1
1	3	103.0	1.0	2.0	10308	103	1			13	3	2	1	2	1
1	3	103.0	1.0	2.0	10308	104	1			10	3	2	1	2	1
1	3	103.0	1.0	2.0	10309	101	1			37	1	1		2	6
1	3	103.0	1.0	2.0	10309	102	1			29	2	2	0	0	6
1	3	103.0	1.0	2.0	10309	104	1			10	3	1	1	0	6
1	3	103.0	1.0	2.0	10311	101	1			26	1	1	0	4	1
1	3	103.0	1.0	2.0	10311	102	1			20	2	2	0	3	1
1	3	103.0	1.0	2.0	10312	101	1			999	1	1	0	3	6
1	3	103.0	1.0	2.0	10312	102	1			999	2	2	0	2	6
1	3	103.0	1.0	2.0	10313	101	1			37	1	1		0	1
1	3	103.0	1.0	2.0	10313	102	1			35	2	2		3	1
1	3	103.0	1.0	2.0	10313	103	0	5	5	19	3	1	1	7	1
1	3	103.0	1.0	2.0	10313	105	1			13	3	1	1	3	1
1	3	103.0	1.0	2.0	10313	106	1			10	3	2	1	2	1
1	3	103.0	1.0	2.0	10314	101	1			50	2	2	0	0	9
1	3	103.0	1.0	2.0	10314	102	0	6	7	999	15	1			9
1	3	103.0	1.0	2.0	10314	103	0	1	7	13	3	2	0	0	9
1	3	103.0	1.0	2.0	10314	111	0	7		49	1	1	0	0	9
1	3	103.0	1.0	2.0	10315	101	1			29	2	2	0	3	1
1	3	103.0	1.0	2.0	10315	102	1			9	3	2	0	0	1
1	3	103.0	1.0	2.0	10316	101	1			30	1	2		4	1
1	3	103.0	1.0	2.0	10316	102	1			12	3	1	1	1	1
1	3	103.0	1.0	2.0	10316	103	1			9	3	1	1	0	1
1	3	103.0	1.0	2.0	10317	101	1			33	1	1	0	3	1
1	3	103.0	1.0	2.0	10317	102	1			999	2	2	0	1	1
1	3	103.0	1.0	2.0	10317	201	1			8	3	1	1	0	1
1	3	103.0	1.0	2.0	10318	101	1			999	1	1		0	6
1	3	103.0	1.0	2.0	10318	102	1			999	2	2		0	6
1	3	103.0	1.0	2.0	10318	103	1			18	3	1	1	3	6
1	3	103.0	1.0	2.0	10318	104	1			16	3	1	1	4	6
1	3	103.0	1.0	2.0	10318	105	1			14	3	2	1	3	6
1	3	103.0	1.0	2.0	10318	106	1			11	3	1	1	2	6
1	3	103.0	1.0	2.0	10319	101	1			66	1	2	0	0	1
1	3	103.0	1.0	2.0	10320	101	1			34	1	1		3	6
1	3	103.0	1.0	2.0	10320	102	1			999	2	2	0	0	6
1	3	103.0	1.0	2.0	10320	103	1			9	3	2	1	0	6
1	4	104.0	1.0	3.0	10401	101	1			54	1	1		3	1
1	4	104.0	1.0	3.0	10401	102	1			999	2	2		0	1
1	4	104.0	1.0	3.0	10401	103	1			14	3	2	1	6	1
1	4	104.0	1.0	3.0	10401	104	1			11	3	1	1	4	1
1	4	104.0	1.0	3.0	10401	105	1			9	3	2	1	3	1
1	4	104.0	1.0	3.0	10401	111	0	9	7	17					1
1	4	104.0	1.0	3.0	10402	101	1			999	1	1		4	1
1	4	104.0	1.0	3.0	10402	102	1			23	2	2	0	2	1
1	4	104.0	1.0	3.0	10402	103	1			13	3	1	0	3	1
1	4	104.0	1.0	3.0	10402	104	1			10	3	1	1	1	1
1	4	104.0	1.0	3.0	10402	105	1			8	3	2	1	0	1
1	4	104.0	1.0	3.0	10403	101	1			57	1	1		3	1
1	4	104.0	1.0	3.0	10403	102	1			49	2	2		0	1
1	4	104.0	1.0	3.0	10403	105	0	5	5	17	3	1	1	8	1
1	4	104.0	1.0	3.0	10403	106	1			14	3	1	1	5	1
1	4	104.0	1.0	3.0	10403	107	1			11	3	2	1	3	1
1	4	104.0	1.0	3.0	10404	101	1			36	1	1		3	6
1	4	104.0	1.0	3.0	10404	102	1			31	2	2		1	6
1	4	104.0	1.0	3.0	10404	103	1			15	3	1	1	6	6
1	4	104.0	1.0	3.0	10404	104	1			12	3	1	1	5	6
1	4	104.0	1.0	3.0	10405	101	1			30	1	1		7	1
1	4	104.0	1.0	3.0	10405	102	1			27	2	2	0	4	1
1	4	104.0	1.0	3.0	10407	101	1			34	2	1		6	1
1	4	104.0	1.0	3.0	10407	102	1			28	1	2	0	2	1
1	4	104.0	1.0	3.0	10407	103	1			10	3	1	1	3	1
1	4	104.0	1.0	3.0	10407	104	1			9	3	2	1	1	1
1	4	104.0	1.0	3.0	10408	101	1			32	1	1	0	6	6
1	4	104.0	1.0	3.0	10408	102	1			23	2	2	0	2	6
1	4	104.0	1.0	3.0	10408	111	0	1	9	25	7	1	0	3	6
1	4	104.0	1.0	3.0	10410	102	1			28	2	2		2	9
1	4	104.0	1.0	3.0	10410	103	1			13	3	2	1	4	9
1	4	104.0	1.0	3.0	10410	104	1			10	3	2	1	5	9
1	4	104.0	1.0	3.0	10411	102	1			23	2	2	0	5	1
1	4	104.0	1.0	3.0	10411	111	1			33	1	1	0	6	1
1	4	104.0	1.0	3.0	10412	101	1			35	1	1		5	1
1	4	104.0	1.0	3.0	10412	102	1			31	2	2		1	1
1	4	104.0	1.0	3.0	10412	103	1			17	3	1	1	4	1
1	4	104.0	1.0	3.0	10413	101	1			30	1	1		99	6
1	4	104.0	1.0	3.0	10413	102	1			999	2	2	0	0	6
1	4	104.0	1.0	3.0	10413	103	1			16	3	2	1	3	6
1	4	104.0	1.0	3.0	10413	104	1			13	3	2	1	6	6
1	4	104.0	1.0	3.0	10414	101	1			41	1	1		6	1
1	4	104.0	1.0	3.0	10414	102	1			32	2	2		1	1
1	4	104.0	1.0	3.0	10414	105	1			14	3	2	0	1	1
1	4	104.0	1.0	3.0	10414	106	0	7		13					1
1	4	104.0	1.0	3.0	10414	107	1			10	3	1	1	2	1
1	4	104.0	1.0	3.0	10416	101	1			27	1	2	0	2	6
1	4	104.0	1.0	3.0	10416	102	1			59	6	1		0	6
1	4	104.0	1.0	3.0	10416	103	1			47	6	2		0	6
1	4	104.0	1.0	3.0	10416	104	1			27	7	2	0	1	6
1	4	104.0	1.0	3.0	10416	105	1			23	7	2	0	4	6
1	4	104.0	1.0	3.0	10416	106	0	5	5		7	2			6
1	4	104.0	1.0	3.0	10416	107	0	5	5	12	7	2			6
1	4	104.0	1.0	3.0	10417	102	1			36	1	2	0	1	1
1	4	104.0	1.0	3.0	10417	103	1			18	3	2	0	1	1
1	4	104.0	1.0	3.0	10417	104	1			22	3	2	0	2	1
1	4	104.0	1.0	3.0	10417	105	0	1	5	16	3	2	0	0	1
1	4	104.0	1.0	3.0	10417	106	1			11	3	2	1	2	1
1	4	104.0	1.0	3.0	10418	101	1			34	1	1		1	1
1	4	104.0	1.0	3.0	10418	102	1			27	2	2	0	1	1
1	4	104.0	1.0	3.0	10418	103	1			11	3	2	1	4	1
1	4	104.0	1.0	3.0	10419	101	1			35	1	1	0	6	1
1	4	104.0	1.0	3.0	10419	102	1			29	2	2	0	2	1
1	4	104.0	1.0	3.0	10419	103	1			18	3	1	0	7	1
1	4	104.0	1.0	3.0	10419	104	1			14	3	2	0	2	1
1	4	104.0	1.0	3.0	10419	105	1			9	3	1	0	0	1
1	4	104.0	1.0	3.0	10420	101	1			32	1	1	0	4	1
1	4	104.0	1.0	3.0	10420	102	1			25	2	2	0	5	1
1	4	104.0	1.0	3.0	10420	103	1			10	1	1	1	3	1
1	4	104.0	1.0	3.0	10420	104	1			8	1	1	1	2	1
1	5	105.0	1.0	3.0	10501	101	1			34	1	1		1	1
1	5	105.0	1.0	3.0	10501	102	1			29	2	2	0	1	1
1	5	105.0	1.0	3.0	10501	103	1			12	3	2	1	1	1
1	5	105.0	1.0	3.0	10501	104	1			10	3	2	1	0	1
1	5	105.0	1.0	3.0	10502	101	1			39	1	1		0	1
1	5	105.0	1.0	3.0	10502	102	1			32	2	2		0	1
1	5	105.0	1.0	3.0	10502	103	1			15	3	1	1	2	1
1	5	105.0	1.0	3.0	10502	104	1			9	3	1	1	1	1
1	5	105.0	1.0	3.0	10502	105	1			8	3	2	1	1	1
1	5	105.0	1.0	3.0	10503	101	1			40	1	1		2	1
1	5	105.0	1.0	3.0	10503	102	1			999	2	2		1	1
1	5	105.0	1.0	3.0	10504	101	1			38	1	1		0	9
1	5	105.0	1.0	3.0	10504	102	1			40	2	2		0	9
1	5	105.0	1.0	3.0	10504	103	1			13	3	2	1	1	9
1	5	105.0	1.0	3.0	10504	104	1			8	3	2	0	0	9
1	5	105.0	1.0	3.0	10504	111	0	3	5			1			9
1	5	105.0	1.0	3.0	10505	102	1			37	1	2		3	1
1	5	105.0	1.0	3.0	10507	101	1			57	1	1		3	1
1	5	105.0	1.0	3.0	10507	102	1			999	2	2	0	0	1
1	5	105.0	1.0	3.0	10507	103	1			20	3	2	0	0	1
1	5	105.0	1.0	3.0	10507	104	1			16	3	2	1	1	1
1	5	105.0	1.0	3.0	10508	101	1			24	1	1	0	0	6
1	5	105.0	1.0	3.0	10508	102	1			999	2	2	0	0	6
1	5	105.0	1.0	3.0	10509	101	1			33	1	1		3	6
1	5	105.0	1.0	3.0	10509	102	1			999	2	2	0	0	6
1	5	105.0	1.0	3.0	10509	103	1			15	3	2	1	2	6
1	5	105.0	1.0	3.0	10509	104	1			10	3	2	1	1	6
1	5	105.0	1.0	3.0	10510	101	0	6	7	21	15	1	0	0	9
1	5	105.0	1.0	3.0	10510	102	1			22	2	2	0	0	9
1	5	105.0	1.0	3.0	10510	111	0	9	7	50	6	1	0	0	9
1	5	105.0	1.0	3.0	10510	112	0	9	7	41	6	2	0	0	9
1	5	105.0	1.0	3.0	10511	101	1			26	1	1	0	3	1
1	5	105.0	1.0	3.0	10511	102	1			24	2	2	0	0	1
1	5	105.0	1.0	3.0	10512	102	1			37	2	2		0	1
1	5	105.0	1.0	3.0	10512	104	1			16	3	1	0	2	1
1	5	105.0	1.0	3.0	10512	105	1			14	3	1	1	2	1
1	5	105.0	1.0	3.0	10512	106	1			12	3	2	1	0	1
1	5	105.0	1.0	3.0	10512	107	1			10	3	2	1	0	1
1	5	105.0	1.0	3.0	10513	101	1			49	1	1		3	9
1	5	105.0	1.0	3.0	10513	102	1			34	2	2		0	9
1	5	105.0	1.0	3.0	10513	104	0	3	5	16	3	1			9
1	5	105.0	1.0	3.0	10513	105	1			12	3	1	1	3	9
1	5	105.0	1.0	3.0	10513	106	1			10	3	2	1	1	9
1	5	105.0	1.0	3.0	10513	107	1			8	3	1	1	0	9
1	5	105.0	1.0	3.0	10515	101	1			34	1	1		5	1
1	5	105.0	1.0	3.0	10515	102	1			28	2	2	0	1	1
1	5	105.0	1.0	3.0	10515	103	1			10	3	2	1	1	1
1	5	105.0	1.0	3.0	10516	101	1			31	1	1	0	0	1
1	5	105.0	1.0	3.0	10516	102	1			999	2	2	0	0	1
1	5	105.0	1.0	3.0	10518	101	1			47	1	1		3	6
1	5	105.0	1.0	3.0	10518	102	1			37	2	2		0	6
1	5	105.0	1.0	3.0	10518	103	1			10	3	2	1	0	6
1	5	105.0	1.0	3.0	10519	101	1			38	2	2	0	0	9
1	5	105.0	1.0	3.0	10519	102	1			15	3	1	1	3	9
1	5	105.0	1.0	3.0	10519	103	1			11	3	2	1	2	9
1	5	105.0	1.0	3.0	10519	104	1			9	3	2	1	1	9
1	5	105.0	1.0	3.0	10519	111	1			32	1	1	0	0	9
1	5	105.0	1.0	3.0	10520	101	1			41	1	1		3	1
1	5	105.0	1.0	3.0	10520	102	1			33	2	2		0	1
1	5	105.0	1.0	3.0	10520	103	1			17	3	2	1	6	1
1	5	105.0	1.0	3.0	10520	104	1			14	3	1	1	4	1
1	5	105.0	1.0	3.0	10520	105	1			11	3	1	1	1	1
1	5	105.0	1.0	3.0	10520	106	1			9	3	1	1	0	1
1	6	106.0	1.0	3.0	10601	101	1			34	1	1		2	1
1	6	106.0	1.0	3.0	10601	102	1			30	2	2	0	1	1
1	6	106.0	1.0	3.0	10601	103	1			10	3	1	1	1	1
1	6	106.0	1.0	3.0	10602	101	1			29	1	1	0	4	1
1	6	106.0	1.0	3.0	10602	102	1			27	2	2	0	2	1
1	6	106.0	1.0	3.0	10602	103	1			10	3	2	1	0	1
1	6	106.0	1.0	3.0	10603	101	1			39	1	1		6	1
1	6	106.0	1.0	3.0	10603	102	1			31	2	2		0	1
1	6	106.0	1.0	3.0	10603	103	1			17	10	1	1	3	1
1	6	106.0	1.0	3.0	10603	104	1			16	3	2	1	3	1
1	6	106.0	1.0	3.0	10603	105	1			13	10	2	1	1	1
1	6	106.0	1.0	3.0	10603	106	1			12	3	2	1	2	1
1	6	106.0	1.0	3.0	10603	111	1			999	10	2	1	2	1
1	6	106.0	1.0	3.0	10603	112	1			8	12	1	0	0	1
1	6	106.0	1.0	3.0	10604	101	1			49	1	1		3	6
1	6	106.0	1.0	3.0	10604	102	1			43	2	2		0	6
1	6	106.0	1.0	3.0	10604	103	1			22	3	1	1	5	6
1	6	106.0	1.0	3.0	10604	104	1			18	3	1	1	0	6
1	6	106.0	1.0	3.0	10604	105	1			14	3	2	1	1	6
1	6	106.0	1.0	3.0	10605	102	1			26	1	2	0	1	2
1	6	106.0	1.0	3.0	10605	111	0	6	7						2
1	6	106.0	1.0	3.0	10606	101	1			999	1	1		0	6
1	6	106.0	1.0	3.0	10606	102	1			37	1	1		0	6
1	6	106.0	1.0	3.0	10606	103	0	1	7	27	3	1			6
1	6	106.0	1.0	3.0	10606	104	1			18	3	1	1	5	6
1	6	106.0	1.0	3.0	10606	105	1			11	3	2	1	0	6
1	6	106.0	1.0	3.0	10606	106	1			9	3	1	1	0	6
1	6	106.0	1.0	3.0	10607	101	1			32	1	1		2	1
1	6	106.0	1.0	3.0	10607	102	1			30	2	2	0	0	1
1	6	106.0	1.0	3.0	10607	103	0	9	7	8	3	2			1
1	6	106.0	1.0	3.0	10607	104	1			11	3	1	1	1	1
1	6	106.0	1.0	3.0	10608	101	1			38	1	1		5	1
1	6	106.0	1.0	3.0	10608	102	1			21	2	2	0	0	1
1	6	106.0	1.0	3.0	10608	103	1			8	3	1	1	1	1
1	6	106.0	1.0	3.0	10609	101	1			70	1	1		3	6
1	6	106.0	1.0	3.0	10609	102	1			59	2	2	0	0	6
1	6	106.0	1.0	3.0	10609	103	1			28	3	1	1	5	6
1	6	106.0	1.0	3.0	10609	104	1			26	3	2	1	4	6
1	6	106.0	1.0	3.0	10609	105	1			28	4	1	1	4	6
1	6	106.0	1.0	3.0	10610	101	0	6	7		1	1			1
1	6	106.0	1.0	3.0	10610	102	1			32	2	2		4	1
1	6	106.0	1.0	3.0	10610	103	1			15	3	1	1	5	1
1	6	106.0	1.0	3.0	10610	104	1			13	3	1	1	2	1
1	6	106.0	1.0	3.0	10610	105	1			11	3	2	1	1	1
1	6	106.0	1.0	3.0	10611	101	1			34	1	1		0	6
1	6	106.0	1.0	3.0	10611	102	1			23	2	2	0	0	6
1	6	106.0	1.0	3.0	10611	103	1			14	3	1	1	0	6
1	6	106.0	1.0	3.0	10611	104	1			11	3	2	1	0	6
1	6	106.0	1.0	3.0	10611	105	1			9	3	2	1	0	6
1	6	106.0	1.0	3.0	10612	101	1			999	1	2	0	0	6
1	6	106.0	1.0	3.0	10612	102	1			20	5	2	0	0	6
1	6	106.0	1.0	3.0	10612	103	1			12	5	1	1	0	6
1	6	106.0	1.0	3.0	10612	104	1			9	5	1	1	0	6
1	6	106.0	1.0	3.0	10612	111	0	6	7	23	5	1	0	0	6
1	6	106.0	1.0	3.0	10613	101	1			49	1	1	0	2	9
1	6	106.0	1.0	3.0	10613	102	1			999	2	2	0	1	9
1	6	106.0	1.0	3.0	10613	104	1			13	3	1	1	0	9
1	6	106.0	1.0	3.0	10614	101	1			35	1	1		2	9
1	6	106.0	1.0	3.0	10614	102	1			29	2	2	0	1	9
1	6	106.0	1.0	3.0	10614	103	1			16	3	2	1	0	9
1	6	106.0	1.0	3.0	10614	104	1			13	3	2	1	0	9
1	6	106.0	1.0	3.0	10614	105	1			5	3	1	0	0	9
1	6	106.0	1.0	3.0	10614	106	1			9	3	2	0	0	9
1	6	106.0	1.0	3.0	10615	101	1			41	1	1		4	6
1	6	106.0	1.0	3.0	10615	102	1			33	2	2		0	6
1	6	106.0	1.0	3.0	10615	103	0	1	7	17	3	2	0	0	6
1	6	106.0	1.0	3.0	10615	104	1			13	3	1	1	1	6
1	6	106.0	1.0	3.0	10615	105	1			8	3	2	1	0	6
1	6	106.0	1.0	3.0	10615	111	1			16	13	1	1	0	6
1	6	106.0	1.0	3.0	10617	101	1			999	2	2		0	2
1	6	106.0	1.0	3.0	10617	103	1			13	1	1	1	2	2
1	6	106.0	1.0	3.0	10617	111	1			45	1	1		0	2
1	6	106.0	1.0	3.0	10618	101	1			30	1	1		3	6
1	6	106.0	1.0	3.0	10618	102	1			27	2	2	0	0	6
1	6	106.0	1.0	3.0	10618	104	1			13	7	1	0	0	6
1	6	106.0	1.0	3.0	10618	105	0	9		12	8	1			6
1	6	106.0	1.0	3.0	10620	101	1			26	1	1	0	0	1
1	6	106.0	1.0	3.0	10620	102	1			21	2	2	0	0	1
1	7	107.0	1.0	3.0	10701	101	1			59	1	1		2	9
1	7	107.0	1.0	3.0	10701	102	1			46	2	2		0	9
1	7	107.0	1.0	3.0	10701	103	1			19	3	2	1	4	9
1	7	107.0	1.0	3.0	10701	104	1			13	3	2	1	2	9
1	7	107.0	1.0	3.0	10701	105	1			9	3	2	0	0	9
1	7	107.0	1.0	3.0	10702	102	1			29	2	2	0	0	9
1	7	107.0	1.0	3.0	10702	111	1			29	1	1	0	0	9
