hhid	line	district	village	villno	strno	group	k01	k02	k03	k03u	k04	k05	k05u
10103	21	1	1	101.0	1.0	3.0	21	1	50	2	0		
10103	14	1	1	101.0	1.0	3.0	14	0			0		
10103	16	1	1	101.0	1.0	3.0	16	0			0		
10103	24	1	1	101.0	1.0	3.0	24	0			0		
10103	5	1	1	101.0	1.0	3.0	5	1	80	2	0		
10103	25	1	1	101.0	1.0	3.0	25	0			0		
10103	12	1	1	101.0	1.0	3.0	12	0			0		
10103	2	1	1	101.0	1.0	3.0	2	0			0		
10103	9	1	1	101.0	1.0	3.0	9	0			0		
10103	4	1	1	101.0	1.0	3.0	4	1	200	2	0		
10103	17	1	1	101.0	1.0	3.0	17	0			0		
10103	3	1	1	101.0	1.0	3.0	3	1	550	2	0		
10103	6	1	1	101.0	1.0	3.0	6	0			0		
10103	26	1	1	101.0	1.0	3.0	26	0			0		
10104	3	1	1	101.0	1.0	3.0	3	0			0		
10104	12	1	1	101.0	1.0	3.0	12	0			0		
10104	4	1	1	101.0	1.0	3.0	4	1	500	2	0		
10104	14	1	1	101.0	1.0	3.0	14	0			0		
10104	16	1	1	101.0	1.0	3.0	16	0			0		
10104	7	1	1	101.0	1.0	3.0	7	0			0		
10104	2	1	1	101.0	1.0	3.0	2	1	1400	2	0		
10104	11	1	1	101.0	1.0	3.0	11	0			0		
10104	21	1	1	101.0	1.0	3.0	21	0			0		
10104	24	1	1	101.0	1.0	3.0	24	0			0		
10104	22	1	1	101.0	1.0	3.0	22	1	250	2	0		
10104	15	1	1	101.0	1.0	3.0	15	0			0		
10104	5	1	1	101.0	1.0	3.0	5	1	40	2	0		
10104	1	1	1	101.0	1.0	3.0	1	0			0		
10104	25	1	1	101.0	1.0	3.0	25	0			0		
10104	10	1	1	101.0	1.0	3.0	10	1	50	2	0		
10104	20	1	1	101.0	1.0	3.0	20	0			0		
10104	19	1	1	101.0	1.0	3.0	19	0			0		
10104	17	1	1	101.0	1.0	3.0	17	0			0		
10104	9	1	1	101.0	1.0	3.0	9	0			0		
10104	8	1	1	101.0	1.0	3.0	8	1	80	2	0		
10104	18	1	1	101.0	1.0	3.0	18	0			0		
10104	6	1	1	101.0	1.0	3.0	6	0			0		
10104	13	1	1	101.0	1.0	3.0	13	0			0		
10104	23	1	1	101.0	1.0	3.0	23	1	300	2	0		
10104	26	1	1	101.0	1.0	3.0	26	0			0		
10105	1	1	1	101.0	1.0	3.0	1	0			0		
10105	12	1	1	101.0	1.0	3.0	12	0			0		
10105	5	1	1	101.0	1.0	3.0	5	1	50	2	0		
10105	10	1	1	101.0	1.0	3.0	10	1	20	2	0		
10105	21	1	1	101.0	1.0	3.0	21	0			0		
10105	25	1	1	101.0	1.0	3.0	25	0			0		
10105	7	1	1	101.0	1.0	3.0	7	0			0		
10105	20	1	1	101.0	1.0	3.0	20	0			0		
10105	22	1	1	101.0	1.0	3.0	22	1	60	2	0		
10105	18	1	1	101.0	1.0	3.0	18	0			0		
10105	11	1	1	101.0	1.0	3.0	11	0			0		
10105	26	1	1	101.0	1.0	3.0	26	0			0		
10105	13	1	1	101.0	1.0	3.0	13	0			0		
10105	2	1	1	101.0	1.0	3.0	2	0			0		
10105	19	1	1	101.0	1.0	3.0	19	0			0		
10105	16	1	1	101.0	1.0	3.0	16	0			0		
10105	8	1	1	101.0	1.0	3.0	8	1	100	2	0		
10105	3	1	1	101.0	1.0	3.0	3	0			0		
10105	15	1	1	101.0	1.0	3.0	15	0			0		
10105	24	1	1	101.0	1.0	3.0	24	0			0		
10105	6	1	1	101.0	1.0	3.0	6	0			0		
10105	4	1	1	101.0	1.0	3.0	4	1	200	2	0		
10105	23	1	1	101.0	1.0	3.0	23	0			0		
10105	17	1	1	101.0	1.0	3.0	17	0			0		
10105	9	1	1	101.0	1.0	3.0	9	0			0		
10105	14	1	1	101.0	1.0	3.0	14	0			0		
10106	6	1	1	101.0	1.0	3.0	6	0			0		
10106	25	1	1	101.0	1.0	3.0	25	0			0		
10106	1	1	1	101.0	1.0	3.0	1	0			0		
10106	11	1	1	101.0	1.0	3.0	11	0			0		
10106	10	1	1	101.0	1.0	3.0	10	1	10	2	0		
10106	20	1	1	101.0	1.0	3.0	20	0			0		
10106	23	1	1	101.0	1.0	3.0	23	0			0		
10106	26	1	1	101.0	1.0	3.0	26	0			0		
10106	24	1	1	101.0	1.0	3.0	24	0			0		
10106	8	1	1	101.0	1.0	3.0	8	1	80	2	0		
10106	22	1	1	101.0	1.0	3.0	22	1	40	2	0		
10106	21	1	1	101.0	1.0	3.0	21	0			0		
10106	19	1	1	101.0	1.0	3.0	19	0			0		
10106	17	1	1	101.0	1.0	3.0	17	0			0		
10106	5	1	1	101.0	1.0	3.0	5	1	170	2	0		
10106	13	1	1	101.0	1.0	3.0	13	0			0		
10106	16	1	1	101.0	1.0	3.0	16	0			0		
10106	2	1	1	101.0	1.0	3.0	2	0			0		
10106	12	1	1	101.0	1.0	3.0	12	0			0		
10106	15	1	1	101.0	1.0	3.0	15	0			0		
10106	9	1	1	101.0	1.0	3.0	9	0			0		
10106	14	1	1	101.0	1.0	3.0	14	0			0		
10106	3	1	1	101.0	1.0	3.0	3	1	130	2	0		
10106	4	1	1	101.0	1.0	3.0	4	1	180	2	0		
10106	7	1	1	101.0	1.0	3.0	7	0			0		
10106	18	1	1	101.0	1.0	3.0	18	0			0		
10107	13	1	1	101.0	1.0	3.0	13	0			0		
10107	3	1	1	101.0	1.0	3.0	3	0			0		
10107	23	1	1	101.0	1.0	3.0	23	0			0		
10107	11	1	1	101.0	1.0	3.0	11	0			0		
10107	8	1	1	101.0	1.0	3.0	8	0			0		
10107	6	1	1	101.0	1.0	3.0	6	0			0		
10107	2	1	1	101.0	1.0	3.0	2	0			0		
10107	9	1	1	101.0	1.0	3.0	9	0			0		
10107	18	1	1	101.0	1.0	3.0	18	0			0		
10107	17	1	1	101.0	1.0	3.0	17	0			0		
10107	10	1	1	101.0	1.0	3.0	10	1	50	2	0		
10107	14	1	1	101.0	1.0	3.0	14	0			0		
10107	20	1	1	101.0	1.0	3.0	20	0			0		
10107	25	1	1	101.0	1.0	3.0	25	0			0		
10107	5	1	1	101.0	1.0	3.0	5	1	60	2	0		
10107	21	1	1	101.0	1.0	3.0	21	0			0		
10107	22	1	1	101.0	1.0	3.0	22	1	100	2	0		
10107	12	1	1	101.0	1.0	3.0	12	0			0		
10107	4	1	1	101.0	1.0	3.0	4	1	150	2	0		
10107	24	1	1	101.0	1.0	3.0	24	0			0		
10107	16	1	1	101.0	1.0	3.0	16	0			0		
10107	7	1	1	101.0	1.0	3.0	7	0			0		
10107	15	1	1	101.0	1.0	3.0	15	0			0		
10107	19	1	1	101.0	1.0	3.0	19	0			0		
10107	26	1	1	101.0	1.0	3.0	26	0			0		
10107	1	1	1	101.0	1.0	3.0	1	0			0		
10109	21	1	1	101.0	1.0	3.0	21	0			0		
10109	14	1	1	101.0	1.0	3.0	14	0			0		
10109	22	1	1	101.0	1.0	3.0	22	0			0		
10109	18	1	1	101.0	1.0	3.0	18	1	50	2	0		
10109	16	1	1	101.0	1.0	3.0	16	0			0		
10109	23	1	1	101.0	1.0	3.0	23	0			0		
10109	25	1	1	101.0	1.0	3.0	25	0			0		
10109	10	1	1	101.0	1.0	3.0	10	0			0		
10109	1	1	1	101.0	1.0	3.0	1	1	300	2	0		
10109	11	1	1	101.0	1.0	3.0	11	0			0		
10109	5	1	1	101.0	1.0	3.0	5	1	100	2	0		
10109	24	1	1	101.0	1.0	3.0	24	0			0		
10109	6	1	1	101.0	1.0	3.0	6	0			0		
10109	26	1	1	101.0	1.0	3.0	26	0			0		
10109	17	1	1	101.0	1.0	3.0	17	0			0		
10109	3	1	1	101.0	1.0	3.0	3	0			0		
10109	15	1	1	101.0	1.0	3.0	15	0			0		
10109	12	1	1	101.0	1.0	3.0	12	0			0		
10109	2	1	1	101.0	1.0	3.0	2	1	400	2	0		
10109	8	1	1	101.0	1.0	3.0	8	0			0		
10109	13	1	1	101.0	1.0	3.0	13	0			0		
10109	9	1	1	101.0	1.0	3.0	9	0			0		
10109	7	1	1	101.0	1.0	3.0	7	0			0		
10109	4	1	1	101.0	1.0	3.0	4	1	20	2	0		
10109	19	1	1	101.0	1.0	3.0	19	0			0		
10109	20	1	1	101.0	1.0	3.0	20	0			0		
10110	3	1	1	101.0	1.0	3.0	3	0			0		
10110	9	1	1	101.0	1.0	3.0	9	0			0		
10110	1	1	1	101.0	1.0	3.0	1	0			0		
10110	15	1	1	101.0	1.0	3.0	15	0			0		
10110	10	1	1	101.0	1.0	3.0	10	0			0		
10110	19	1	1	101.0	1.0	3.0	19	0			0		
10110	24	1	1	101.0	1.0	3.0	24	0			0		
10110	2	1	1	101.0	1.0	3.0	2	1	560	2	0		
10110	20	1	1	101.0	1.0	3.0	20	0			0		
10110	4	1	1	101.0	1.0	3.0	4	1	50	2	0		
10110	13	1	1	101.0	1.0	3.0	13	0			0		
10110	12	1	1	101.0	1.0	3.0	12	0			0		
10110	18	1	1	101.0	1.0	3.0	18	1	50	2	0		
10110	8	1	1	101.0	1.0	3.0	8	1	180	2	0		
10110	25	1	1	101.0	1.0	3.0	25	0			0		
10110	26	1	1	101.0	1.0	3.0	26	0			0		
10110	23	1	1	101.0	1.0	3.0	23	0			0		
10110	17	1	1	101.0	1.0	3.0	17	0			0		
10110	5	1	1	101.0	1.0	3.0	5	0			0		
10110	22	1	1	101.0	1.0	3.0	22	0			0		
10110	14	1	1	101.0	1.0	3.0	14	0			0		
10110	21	1	1	101.0	1.0	3.0	21	0			0		
10110	16	1	1	101.0	1.0	3.0	16	0			0		
10110	6	1	1	101.0	1.0	3.0	6	0			0		
10110	7	1	1	101.0	1.0	3.0	7	0			0		
10110	11	1	1	101.0	1.0	3.0	11	0			0		
10111	21	1	1	101.0	1.0	3.0	21	0			0		
10111	19	1	1	101.0	1.0	3.0	19	0			0		
10111	7	1	1	101.0	1.0	3.0	7	0			0		
10111	16	1	1	101.0	1.0	3.0	16	0			0		
10111	4	1	1	101.0	1.0	3.0	4	0			1	20	2
10111	12	1	1	101.0	1.0	3.0	12	0			0		
10111	1	1	1	101.0	1.0	3.0	1	0			0		
10111	25	1	1	101.0	1.0	3.0	25	0			0		
10111	11	1	1	101.0	1.0	3.0	11	0			0		
10111	22	1	1	101.0	1.0	3.0	22	1	20	2	0		
10111	5	1	1	101.0	1.0	3.0	5	0			0		
10111	10	1	1	101.0	1.0	3.0	10	0			0		
10111	6	1	1	101.0	1.0	3.0	6	0			0		
10111	15	1	1	101.0	1.0	3.0	15	0			0		
10111	2	1	1	101.0	1.0	3.0	2	0			0		
10111	24	1	1	101.0	1.0	3.0	24	0			0		
10111	8	1	1	101.0	1.0	3.0	8	0			0		
10111	17	1	1	101.0	1.0	3.0	17	0			0		
10111	20	1	1	101.0	1.0	3.0	20	0			0		
10111	9	1	1	101.0	1.0	3.0	9	0			0		
10111	14	1	1	101.0	1.0	3.0	14	0			0		
10111	23	1	1	101.0	1.0	3.0	23	0			0		
10111	18	1	1	101.0	1.0	3.0	18	1	5	2	0		
10111	3	1	1	101.0	1.0	3.0	3	0			0		
10111	13	1	1	101.0	1.0	3.0	13	0			0		
10111	26	1	1	101.0	1.0	3.0	26	0			0		
10112	13	1	1	101.0	1.0	3.0	13	0			0		
10112	16	1	1	101.0	1.0	3.0	16	0			0		
10112	22	1	1	101.0	1.0	3.0	22	0			0		
10112	5	1	1	101.0	1.0	3.0	5	0			0		
10112	6	1	1	101.0	1.0	3.0	6	1	15	2	0		
10112	4	1	1	101.0	1.0	3.0	4	0			1	20	2
10112	20	1	1	101.0	1.0	3.0	20	0			0		
10112	12	1	1	101.0	1.0	3.0	12	0			0		
10112	3	1	1	101.0	1.0	3.0	3	0			0		
10112	2	1	1	101.0	1.0	3.0	2	0			0		
10112	24	1	1	101.0	1.0	3.0	24	0			0		
10112	9	1	1	101.0	1.0	3.0	9	0			0		
10112	18	1	1	101.0	1.0	3.0	18	1	20	2	0		
10112	8	1	1	101.0	1.0	3.0	8	0			0		
10112	25	1	1	101.0	1.0	3.0	25	0			0		
10112	21	1	1	101.0	1.0	3.0	21	0			0		
10112	17	1	1	101.0	1.0	3.0	17	0			0		
10112	15	1	1	101.0	1.0	3.0	15	1	250	2	0		
10112	10	1	1	101.0	1.0	3.0	10	1	20	2	0		
10112	23	1	1	101.0	1.0	3.0	23	0			0		
10112	26	1	1	101.0	1.0	3.0	26	0			0		
10112	11	1	1	101.0	1.0	3.0	11	0			0		
10112	7	1	1	101.0	1.0	3.0	7	0			0		
10112	14	1	1	101.0	1.0	3.0	14	0			0		
10112	1	1	1	101.0	1.0	3.0	1	0			0		
10112	19	1	1	101.0	1.0	3.0	19	0			0		
10113	19	1	1	101.0	1.0	3.0	19	1	300	2	0		
10113	23	1	1	101.0	1.0	3.0	23	0			0		
10113	1	1	1	101.0	1.0	3.0	1	1	100	2	0		
10113	7	1	1	101.0	1.0	3.0	7	0			0		
10113	26	1	1	101.0	1.0	3.0	26	0			0		
10113	18	1	1	101.0	1.0	3.0	18	1	50	2	0		
10113	14	1	1	101.0	1.0	3.0	14	0			0		
10113	2	1	1	101.0	1.0	3.0	2	0			0		
10113	17	1	1	101.0	1.0	3.0	17	0			0		
10113	9	1	1	101.0	1.0	3.0	9	0			0		
10113	21	1	1	101.0	1.0	3.0	21	0			0		
10113	11	1	1	101.0	1.0	3.0	11	0			0		
10113	24	1	1	101.0	1.0	3.0	24	0			0		
10113	8	1	1	101.0	1.0	3.0	8	0			0		
10113	10	1	1	101.0	1.0	3.0	10	1	10	2	0		
10113	20	1	1	101.0	1.0	3.0	20	0			0		
10113	22	1	1	101.0	1.0	3.0	22	0			0		
10113	5	1	1	101.0	1.0	3.0	5	0			0		
10113	13	1	1	101.0	1.0	3.0	13	0			0		
10113	4	1	1	101.0	1.0	3.0	4	0			0		
10113	3	1	1	101.0	1.0	3.0	3	0			0		
10113	12	1	1	101.0	1.0	3.0	12	0			0		
10113	15	1	1	101.0	1.0	3.0	15	1	200	2	1	100	2
10113	25	1	1	101.0	1.0	3.0	25	0			0		
10113	16	1	1	101.0	1.0	3.0	16	0			0		
10113	6	1	1	101.0	1.0	3.0	6	0			0		
10114	16	1	1	101.0	1.0	3.0	16	0			0		
10114	12	1	1	101.0	1.0	3.0	12	0			0		
10114	7	1	1	101.0	1.0	3.0	7	0			0		
10114	4	1	1	101.0	1.0	3.0	4	1	30	2	0		
10114	21	1	1	101.0	1.0	3.0	21	1	10	2	0		
10114	1	1	1	101.0	1.0	3.0	1	1	2000	2	0		
10114	18	1	1	101.0	1.0	3.0	18	0			0		
10114	26	1	1	101.0	1.0	3.0	26	0			0		
10114	8	1	1	101.0	1.0	3.0	8	1	80	2	0		
10114	2	1	1	101.0	1.0	3.0	2	1	600	2	0		
10114	3	1	1	101.0	1.0	3.0	3	0			0		
10114	5	1	1	101.0	1.0	3.0	5	0			0		
10114	15	1	1	101.0	1.0	3.0	15	0			0		
10114	17	1	1	101.0	1.0	3.0	17	0			0		
10114	11	1	1	101.0	1.0	3.0	11	0			0		
10114	25	1	1	101.0	1.0	3.0	25	0			0		
10114	20	1	1	101.0	1.0	3.0	20	0			0		
10114	22	1	1	101.0	1.0	3.0	22	0			0		
10114	13	1	1	101.0	1.0	3.0	13	0			0		
10114	10	1	1	101.0	1.0	3.0	10	1	10	2	0		
10114	24	1	1	101.0	1.0	3.0	24	0			0		
10114	14	1	1	101.0	1.0	3.0	14	0			0		
10114	9	1	1	101.0	1.0	3.0	9	0			0		
10114	6	1	1	101.0	1.0	3.0	6	0			0		
10114	19	1	1	101.0	1.0	3.0	19	0			0		
10114	23	1	1	101.0	1.0	3.0	23	0			0		
10115	26	1	1	101.0	1.0	3.0	26	0			0		
10115	18	1	1	101.0	1.0	3.0	18	0			0		
10115	3	1	1	101.0	1.0	3.0	3	1	350	2	0		
10115	8	1	1	101.0	1.0	3.0	8	0			0		
10115	21	1	1	101.0	1.0	3.0	21	0			0		
10115	15	1	1	101.0	1.0	3.0	15	0			0		
10115	2	1	1	101.0	1.0	3.0	2	1	250	2	0		
10115	1	1	1	101.0	1.0	3.0	1	1	350	2	0		
10115	5	1	1	101.0	1.0	3.0	5	1	50	2	0		
10115	10	1	1	101.0	1.0	3.0	10	1	20	2	0		
10115	19	1	1	101.0	1.0	3.0	19	0			0		
10115	7	1	1	101.0	1.0	3.0	7	0			0		
10115	23	1	1	101.0	1.0	3.0	23	0			0		
10115	9	1	1	101.0	1.0	3.0	9	0			0		
10115	13	1	1	101.0	1.0	3.0	13	0			0		
10115	12	1	1	101.0	1.0	3.0	12	0			0		
10115	4	1	1	101.0	1.0	3.0	4	1	60	2	0		
10115	22	1	1	101.0	1.0	3.0	22	1	40	2	0		
10115	25	1	1	101.0	1.0	3.0	25	0			0		
10115	17	1	1	101.0	1.0	3.0	17	0			0		
10115	6	1	1	101.0	1.0	3.0	6	0			0		
10115	24	1	1	101.0	1.0	3.0	24	0			0		
10115	14	1	1	101.0	1.0	3.0	14	0			0		
10115	16	1	1	101.0	1.0	3.0	16	0			0		
10115	20	1	1	101.0	1.0	3.0	20	0			0		
10115	11	1	1	101.0	1.0	3.0	11	0			0		
10116	8	1	1	101.0	1.0	3.0	8	0			0		
10116	22	1	1	101.0	1.0	3.0	22	1	100	2	0		
10116	12	1	1	101.0	1.0	3.0	12	0			0		
10116	26	1	1	101.0	1.0	3.0	26	0			0		
10116	19	1	1	101.0	1.0	3.0	19	0			0		
10116	24	1	1	101.0	1.0	3.0	24	0			0		
10116	9	1	1	101.0	1.0	3.0	9	0			0		
10116	17	1	1	101.0	1.0	3.0	17	0			0		
10116	6	1	1	101.0	1.0	3.0	6	0			0		
10116	11	1	1	101.0	1.0	3.0	11	0			0		
10116	5	1	1	101.0	1.0	3.0	5	1	60	2	0		
10116	23	1	1	101.0	1.0	3.0	23	0			0		
10116	3	1	1	101.0	1.0	3.0	3	0			0		
10116	25	1	1	101.0	1.0	3.0	25	0			0		
10116	20	1	1	101.0	1.0	3.0	20	0			0		
10116	10	1	1	101.0	1.0	3.0	10	0			0		
10116	15	1	1	101.0	1.0	3.0	15	0			0		
10116	16	1	1	101.0	1.0	3.0	16	0			0		
10116	2	1	1	101.0	1.0	3.0	2	0			0		
10116	21	1	1	101.0	1.0	3.0	21	0			0		
10116	14	1	1	101.0	1.0	3.0	14	0			0		
10116	18	1	1	101.0	1.0	3.0	18	0			0		
10116	4	1	1	101.0	1.0	3.0	4	1	150	2	0		
10116	1	1	1	101.0	1.0	3.0	1	0			0		
10116	13	1	1	101.0	1.0	3.0	13	0			0		
10116	7	1	1	101.0	1.0	3.0	7	0			0		
10117	2	1	1	101.0	1.0	3.0	2	1	1120	2	0		
10117	12	1	1	101.0	1.0	3.0	12	0			0		
10117	4	1	1	101.0	1.0	3.0	4	1	280	2	0		
10117	17	1	1	101.0	1.0	3.0	17	0			0		
10117	22	1	1	101.0	1.0	3.0	22	1	450	2	0		
10117	6	1	1	101.0	1.0	3.0	6	0			0		
10117	24	1	1	101.0	1.0	3.0	24	0			0		
10117	11	1	1	101.0	1.0	3.0	11	0			0		
10117	15	1	1	101.0	1.0	3.0	15	0			0		
10117	1	1	1	101.0	1.0	3.0	1	1	300	2	0		
10117	21	1	1	101.0	1.0	3.0	21	0			0		
10117	3	1	1	101.0	1.0	3.0	3	0			0		
10117	19	1	1	101.0	1.0	3.0	19	0			0		
10117	5	1	1	101.0	1.0	3.0	5	0			0		
10117	26	1	1	101.0	1.0	3.0	26	0			0		
10117	16	1	1	101.0	1.0	3.0	16	0			0		
10117	14	1	1	101.0	1.0	3.0	14	0			0		
10117	10	1	1	101.0	1.0	3.0	10	1	50	2	0		
10117	18	1	1	101.0	1.0	3.0	18	0			0		
10117	13	1	1	101.0	1.0	3.0	13	0			0		
10117	23	1	1	101.0	1.0	3.0	23	0			0		
10117	7	1	1	101.0	1.0	3.0	7	0			0		
10117	25	1	1	101.0	1.0	3.0	25	0			0		
10117	8	1	1	101.0	1.0	3.0	8	1	150	2	0		
10117	20	1	1	101.0	1.0	3.0	20	0			0		
10117	9	1	1	101.0	1.0	3.0	9	1	100	2	0		
10118	13	1	1	101.0	1.0	3.0	13	0			0		
10118	5	1	1	101.0	1.0	3.0	5	1	50	2	0		
10118	2	1	1	101.0	1.0	3.0	2	0			0		
10118	10	1	1	101.0	1.0	3.0	10	1	20	2	0		
10118	6	1	1	101.0	1.0	3.0	6	0			0		
10118	23	1	1	101.0	1.0	3.0	23	0			0		
10118	25	1	1	101.0	1.0	3.0	25	0			0		
10118	8	1	1	101.0	1.0	3.0	8	1	150	2	0		
10118	11	1	1	101.0	1.0	3.0	11	0			0		
10118	26	1	1	101.0	1.0	3.0	26	0			0		
10118	4	1	1	101.0	1.0	3.0	4	1	200	2	0		
10118	17	1	1	101.0	1.0	3.0	17	0			0		
10118	15	1	1	101.0	1.0	3.0	15	0			0		
10118	9	1	1	101.0	1.0	3.0	9	0			0		
10118	3	1	1	101.0	1.0	3.0	3	0			0		
10118	12	1	1	101.0	1.0	3.0	12	0			0		
10118	22	1	1	101.0	1.0	3.0	22	1	100	2	0		
10118	19	1	1	101.0	1.0	3.0	19	0			0		
10118	14	1	1	101.0	1.0	3.0	14	0			0		
10118	18	1	1	101.0	1.0	3.0	18	0			0		
10118	21	1	1	101.0	1.0	3.0	21	0			0		
10118	7	1	1	101.0	1.0	3.0	7	0			0		
10118	24	1	1	101.0	1.0	3.0	24	0			0		
10118	20	1	1	101.0	1.0	3.0	20	0			0		
10118	16	1	1	101.0	1.0	3.0	16	0			0		
10118	1	1	1	101.0	1.0	3.0	1	0			0		
10119	11	1	1	101.0	1.0	3.0	11	0			0		
10119	22	1	1	101.0	1.0	3.0	22	0			0		
10119	7	1	1	101.0	1.0	3.0	7	0			0		
10119	26	1	1	101.0	1.0	3.0	26	0			0		
10119	23	1	1	101.0	1.0	3.0	23	0			0		
10119	1	1	1	101.0	1.0	3.0	1	0			0		
10119	15	1	1	101.0	1.0	3.0	15	0			0		
10119	5	1	1	101.0	1.0	3.0	5	0			0		
10119	14	1	1	101.0	1.0	3.0	14	0			0		
10119	19	1	1	101.0	1.0	3.0	19	0			0		
10119	13	1	1	101.0	1.0	3.0	13	0			0		
10119	20	1	1	101.0	1.0	3.0	20	0			0		
10119	6	1	1	101.0	1.0	3.0	6	0			0		
10119	12	1	1	101.0	1.0	3.0	12	0			0		
10119	16	1	1	101.0	1.0	3.0	16	0			0		
10119	8	1	1	101.0	1.0	3.0	8	0			0		
10119	10	1	1	101.0	1.0	3.0	10	1	10	2	0		
10119	9	1	1	101.0	1.0	3.0	9	0			0		
10119	17	1	1	101.0	1.0	3.0	17	0			0		
10119	21	1	1	101.0	1.0	3.0	21	0			0		
10119	24	1	1	101.0	1.0	3.0	24	0			0		
10119	18	1	1	101.0	1.0	3.0	18	0			0		
10119	25	1	1	101.0	1.0	3.0	25	0			0		
10119	3	1	1	101.0	1.0	3.0	3	0			0		
10119	4	1	1	101.0	1.0	3.0	4	1	80	2	0		
10119	2	1	1	101.0	1.0	3.0	2	0			0		
10120	3	1	1	101.0	1.0	3.0	3	0			0		
10120	14	1	1	101.0	1.0	3.0	14	0			0		
10120	16	1	1	101.0	1.0	3.0	16	0			0		
10120	1	1	1	101.0	1.0	3.0	1	0			0		
10120	5	1	1	101.0	1.0	3.0	5	1	60	2	0		
10120	20	1	1	101.0	1.0	3.0	20	0			0		
10120	19	1	1	101.0	1.0	3.0	19	0			0		
10120	4	1	1	101.0	1.0	3.0	4	1	150	2	0		
10120	24	1	1	101.0	1.0	3.0	24	0			0		
10120	26	1	1	101.0	1.0	3.0	26	0			0		
10120	13	1	1	101.0	1.0	3.0	13	0			0		
10120	10	1	1	101.0	1.0	3.0	10	1	40	2	0		
10120	25	1	1	101.0	1.0	3.0	25	0			0		
10120	18	1	1	101.0	1.0	3.0	18	0			0		
10120	15	1	1	101.0	1.0	3.0	15	0			0		
