district	village	villno	strno	group	hhid	q08	q09_1	q09_2	q09_3	q10_1	q10_2	q10_3	q11	q12	q13	q14	q15	q16	q17	q18	q19
1	7	107.0	1.0	3.0	10703	0															
1	7	107.0	1.0	3.0	10705	0															
1	7	107.0	1.0	3.0	10706	1	6			4			0								1
1	7	107.0	1.0	3.0	10707	1	3			4			1	2	1	0	0	0	0	0	1
1	7	107.0	1.0	3.0	10708	0															
1	7	107.0	1.0	3.0	10710	1	3			4			1	2	0						2
1	7	107.0	1.0	3.0	10711	1	1	2	3	1	3		1	1	0						3
1	7	107.0	1.0	3.0	10713	0															
1	7	107.0	1.0	3.0	10714	1	3			4			1	2	0						1
1	7	107.0	1.0	3.0	10715	1	3			4			1	9	0						1
1	7	107.0	1.0	3.0	10716	1	3			1	2		1	3	0						3
1	7	107.0	1.0	3.0	10717	0															
1	7	107.0	1.0	3.0	10718	1	6			4			0								1
1	7	107.0	1.0	3.0	10719	0															
1	8	108.0	1.0	2.0	10802	1	2	3		1	2	3	1	4	1	0	0	0	1	0	3
1	8	108.0	1.0	2.0	10803	0															
1	8	108.0	1.0	2.0	10804	1	2			4			1	9	1	0	0	1	0	1	3
1	8	108.0	1.0	2.0	10805	0															
1	8	108.0	1.0	2.0	10806	1	3	2		1	2		0								3
1	8	108.0	1.0	2.0	10807	1	5			4			1	1	1	1	0	1	0	0	1
1	8	108.0	1.0	2.0	10808	1	5	3		4			1	3	1	0	0	0	1	1	3
1	8	108.0	1.0	2.0	10809	2	2	3		1	2	3	1	2	1	0	0	0	1	0	3
1	8	108.0	1.0	2.0	10810	2	2			4			1	2	0						3
1	8	108.0	1.0	2.0	10811	0															
1	8	108.0	1.0	2.0	10812	1	2	3		4			1	2	0						3
1	8	108.0	1.0	2.0	10814	1	2	3		1	2		1	3	0						3
1	8	108.0	1.0	2.0	10815	1	2			1	2		1	3	1	0	0	0	1	1	3
1	8	108.0	1.0	2.0	10816	0															
1	8	108.0	1.0	2.0	10817	1	3	5		4			1	3	1	0	0	0	1	1	3
1	8	108.0	1.0	2.0	10819	0															
1	9	109.0	1.0	1.0	10902	0															
1	9	109.0	1.0	1.0	10904	0															
1	9	109.0	1.0	1.0	10905	0															
1	9	109.0	1.0	1.0	10906	1	3			1	2		0								1
1	9	109.0	1.0	1.0	10907	0															
1	9	109.0	1.0	1.0	10908	0															
1	9	109.0	1.0	1.0	10909	0															
1	9	109.0	1.0	1.0	10911	0															
1	9	109.0	1.0	1.0	10912	0															
1	9	109.0	1.0	1.0	10913	0															
1	9	109.0	1.0	1.0	10914	1	5			2			1	3	0						3
1	9	109.0	1.0	1.0	10915	0															
1	9	109.0	1.0	1.0	10916	0															
1	9	109.0	1.0	1.0	10917	0															
1	9	109.0	1.0	1.0	10919	0															
1	10	110.0	1.0	1.0	11001	0															
1	10	110.0	1.0	1.0	11003	4	6			2			0								3
1	10	110.0	1.0	1.0	11004	0															
1	10	110.0	1.0	1.0	11005	1	2	3		2			1	3	0						3
1	10	110.0	1.0	1.0	11006	0															
1	10	110.0	1.0	1.0	11007	0															
1	10	110.0	1.0	1.0	11009	0															
1	10	110.0	1.0	1.0	11011	1	2	3		2			1	2	1	0	0	0	1	1	3
1	10	110.0	1.0	1.0	11013	0															
1	10	110.0	1.0	1.0	11014	0															
1	10	110.0	1.0	1.0	11015	0															
1	10	110.0	1.0	1.0	11016	3	2	3		2			0								3
1	10	110.0	1.0	1.0	11017	0															
1	10	110.0	1.0	1.0	11018	0															
1	10	110.0	1.0	1.0	11019	0															
1	11	111.0	1.0	1.0	11102	1	3	5		3			1	2	1	0	0	0	0	1	2
1	11	111.0	1.0	1.0	11103	1	3	2		2			1	3	1	0	0	0	0	0	4
1	11	111.0	1.0	1.0	11104	1	3			4			1	3	0						3
1	11	111.0	1.0	1.0	11105	0															
1	11	111.0	1.0	1.0	11108	0															
1	11	111.0	1.0	1.0	11109	0															
1	11	111.0	1.0	1.0	11110	1	3			2			0								3
1	11	111.0	1.0	1.0	11112	0															
1	11	111.0	1.0	1.0	11113	1	3	5		2			1	2	0						1
1	11	111.0	1.0	1.0	11114	0															
1	11	111.0	1.0	1.0	11115	1	3			2			0								1
1	11	111.0	1.0	1.0	11116	1	2	3		2			1	3	1	0	0	0	0	1	3
1	11	111.0	1.0	1.0	11117	1	4			4			1	3	0						3
1	11	111.0	1.0	1.0	11118	1	2			4			1	3	1	0	0	0	0	0	3
1	11	111.0	1.0	1.0	11119	1	2	4		4			1	3	0						3
1	11	111.0	1.0	1.0	11120	0															
1	12	112.0	1.0	2.0	11201	1	3			4			1	3	0						1
1	12	112.0	1.0	2.0	11202	0															
1	12	112.0	1.0	2.0	11203	0															
1	12	112.0	1.0	2.0	11204	0															
1	12	112.0	1.0	2.0	11205	1	3			4			0								2
1	12	112.0	1.0	2.0	11206	0															
1	12	112.0	1.0	2.0	11207	0															
1	12	112.0	1.0	2.0	11208	0															
1	12	112.0	1.0	2.0	11209	0															
1	12	112.0	1.0	2.0	11210	0															
1	12	112.0	1.0	2.0	11211	0															
1	12	112.0	1.0	2.0	11212	3	3			2			1	3	0						3
1	12	112.0	1.0	2.0	11213	1	3			4			1	3	0						1
1	12	112.0	1.0	2.0	11214	0															
1	12	112.0	1.0	2.0	11215	0															
1	12	112.0	1.0	2.0	11216	4	2	3		1			1	2	0						3
1	12	112.0	1.0	2.0	11217	1	3			4			1	2	0						1
1	12	112.0	1.0	2.0	11218	2	3			2			0								3
1	12	112.0	1.0	2.0	11219	0															
1	12	112.0	1.0	2.0	11220	0															
1	13	113.0	1.0	3.0	11301	0															
1	13	113.0	1.0	3.0	11302	0															
1	13	113.0	1.0	3.0	11303	4	3			2			1	2	0						3
1	13	113.0	1.0	3.0	11304	0															
1	13	113.0	1.0	3.0	11305	1	2			4			1	2	0						1
1	13	113.0	1.0	3.0	11306	0															
1	13	113.0	1.0	3.0	11307	0															
1	13	113.0	1.0	3.0	11308	0															
1	13	113.0	1.0	3.0	11309	0															
1	13	113.0	1.0	3.0	11310	1	3			4			1	2	0						1
1	13	113.0	1.0	3.0	11311	1	3			4			0								1
1	13	113.0	1.0	3.0	11312	0															
1	13	113.0	1.0	3.0	11313	0															
1	13	113.0	1.0	3.0	11314	0															
1	13	113.0	1.0	3.0	11316	1	3			4			0								1
1	13	113.0	1.0	3.0	11317	1	3			4			1	2	0						4
1	13	113.0	1.0	3.0	11318	2	3			2			1	2	0						3
1	14	114.0	1.0	2.0	11401	0															
1	14	114.0	1.0	2.0	11402	1	6			4			1	2	0						3
1	14	114.0	1.0	2.0	11403	3	1	2	3	2	3		1	4	0						3
1	14	114.0	1.0	2.0	11404	0															
1	14	114.0	1.0	2.0	11405	3	3			1			1	1	1	1	0	1	0	0	3
1	14	114.0	1.0	2.0	11406	0															
1	14	114.0	1.0	2.0	11407	0															
1	14	114.0	1.0	2.0	11408	0															
1	14	114.0	1.0	2.0	11409	3	3			2	3		0								3
1	14	114.0	1.0	2.0	11410	2	3			2	3		1	2	0						3
1	14	114.0	1.0	2.0	11411	3	3			4			1	1	0						3
1	14	114.0	1.0	2.0	11412	0															
1	14	114.0	1.0	2.0	11413	1	6			4			1	9	0						2
1	14	114.0	1.0	2.0	11414	0															
1	14	114.0	1.0	2.0	11415	0															
1	14	114.0	1.0	2.0	11416	1	3			4			0								1
1	14	114.0	1.0	2.0	11417	4	6	1		4			0								1
1	14	114.0	1.0	2.0	11418	2	3			2	3		0								3
1	14	114.0	1.0	2.0	11419	1	3			2			1	2	1	0	0	1	1	1	3
1	14	114.0	1.0	2.0	11420	2	3			2			1	2	0						3
1	15	115.0	1.0	1.0	11502	0															
1	15	115.0	1.0	1.0	11503	2	3			2	3		1	2	0						3
1	15	115.0	1.0	1.0	11504	4	3			2			1	2	0						3
1	15	115.0	1.0	1.0	11505	1	3			4			0								2
1	15	115.0	1.0	1.0	11506	0															
1	15	115.0	1.0	1.0	11507	0															
1	15	115.0	1.0	1.0	11508	0															
1	15	115.0	1.0	1.0	11510	2	3			2			1	2	0						3
1	15	115.0	1.0	1.0	11511	1	3			4			0								3
1	15	115.0	1.0	1.0	11512	0															
1	15	115.0	1.0	1.0	11513	0															
1	15	115.0	1.0	1.0	11514	0															
1	15	115.0	1.0	1.0	11515	1	6			4			0								3
1	15	115.0	1.0	1.0	11516	0															
1	15	115.0	1.0	1.0	11517	0															
1	15	115.0	1.0	1.0	11519	0															
1	16	116.0	1.0	1.0	11601	1	2			4			1	2	0						1
1	16	116.0	1.0	1.0	11602	0															
1	16	116.0	1.0	1.0	11603	0															
1	16	116.0	1.0	1.0	11604	0															
1	16	116.0	1.0	1.0	11606	1	3			4			1	2	0						1
1	16	116.0	1.0	1.0	11607	1	3			4			1	2	0						1
1	16	116.0	1.0	1.0	11608	0															
1	16	116.0	1.0	1.0	11609	0															
1	16	116.0	1.0	1.0	11610	0															
1	16	116.0	1.0	1.0	11612	0															
1	16	116.0	1.0	1.0	11613	0															
1	16	116.0	1.0	1.0	11614	0															
1	16	116.0	1.0	1.0	11615	0															
1	16	116.0	1.0	1.0	11616	0															
1	16	116.0	1.0	1.0	11617	0															
1	16	116.0	1.0	1.0	11618	4	3			2			1	3	0						3
1	16	116.0	1.0	1.0	11619	0															
1	16	116.0	1.0	1.0	11620	0															
1	17	117.0	1.0	2.0	11701	1	2	3		2			1	2	1	0	0	0	1	0	3
1	17	117.0	1.0	2.0	11702	1	2	6		2	3		1	3	0						3
1	17	117.0	1.0	2.0	11703	1	3			3			1	1	1	0	0	0	0	1	3
1	17	117.0	1.0	2.0	11704	1	2	3		2			1	9	0						3
1	17	117.0	1.0	2.0	11705	1	2	6		1	2	3	1	4	1	0	0	0	1	1	3
1	17	117.0	1.0	2.0	11706	1	3			1	2	3	1	3	1	0	1	0	0	0	3
1	17	117.0	1.0	2.0	11707	1	2	6		4			1	2	1	0	0	0	1	0	1
1	17	117.0	1.0	2.0	11708	1	1	2		2	3		1	9	0						1
1	17	117.0	1.0	2.0	11709	1	3			2			0								3
1	17	117.0	1.0	2.0	11710	1	2			1	2		1	3	1	0	1	1	1	0	3
1	17	117.0	1.0	2.0	11711	1	2	3		2			1	2	0						1
1	17	117.0	1.0	2.0	11712	1	9			2			0								3
1	17	117.0	1.0	2.0	11713	0															
1	17	117.0	1.0	2.0	11714	2	2			1			1	9	0						3
1	17	117.0	1.0	2.0	11715	1	2	3		1	2		1	3	1	0	0	0	0	1	3
1	17	117.0	1.0	2.0	11716	4	2	3		1	2		1	3	1	0	0	0	1	0	3
1	17	117.0	1.0	2.0	11717	0															
1	17	117.0	1.0	2.0	11718	1	3	2		1	3		1	2	0						3
1	17	117.0	1.0	2.0	11719	0															
1	18	118.0	1.0	1.0	11801	1	2	4		2	3		0								3
1	18	118.0	1.0	1.0	11803	0															
1	18	118.0	1.0	1.0	11804	0															
1	18	118.0	1.0	1.0	11805	0															
1	18	118.0	1.0	1.0	11806	3	3			1			0								3
1	18	118.0	1.0	1.0	11807	1	2	3		4			0								3
1	18	118.0	1.0	1.0	11808	0															
1	18	118.0	1.0	1.0	11811	0															
1	18	118.0	1.0	1.0	11812	0															
1	18	118.0	1.0	1.0	11813	3	2			4			1	1	0						3
1	18	118.0	1.0	1.0	11814	1	3			2			1	2	0						3
1	18	118.0	1.0	1.0	11815	3	2	3		4			1	4	0						3
1	18	118.0	1.0	1.0	11816	0															
1	18	118.0	1.0	1.0	11817	1	2	3		4			0								3
2	1	201.0	2.0	3.0	20101	1	1	2		4			1	2	0						3
2	1	201.0	2.0	3.0	20102	1	5			4			0								2
2	1	201.0	2.0	3.0	20103	0															
2	1	201.0	2.0	3.0	20104	0															
2	1	201.0	2.0	3.0	20105	0															
2	1	201.0	2.0	3.0	20106	0															
2	1	201.0	2.0	3.0	20107	1	5			4			1	2	0						1
2	1	201.0	2.0	3.0	20108	1	5			4			1	3	1	0	0	0	0	0	1
2	1	201.0	2.0	3.0	20109	1	1	3		3			0								3
2	1	201.0	2.0	3.0	20110	0															
2	1	201.0	2.0	3.0	20111	1	1	4		4			1	1	0						3
2	1	201.0	2.0	3.0	20112	1	3			2			1	9	1	0	0	1	0	0	1
2	1	201.0	2.0	3.0	20113	3	3			2			0								3
2	1	201.0	2.0	3.0	20114	0															
2	1	201.0	2.0	3.0	20115	1	3			1			0								1
2	1	201.0	2.0	3.0	20116	1	1			2			0								1
2	1	201.0	2.0	3.0	20117	0															
2	1	201.0	2.0	3.0	20118	0															
2	1	201.0	2.0	3.0	20119	0															
2	1	201.0	2.0	3.0	20120	1	1			4			1	3	1	0	0	0	0	0	3
2	2	202.0	2.0	3.0	20201	0															
2	2	202.0	2.0	3.0	20202	0															
2	2	202.0	2.0	3.0	20203	1	1			2			0								1
2	2	202.0	2.0	3.0	20204	0															
2	2	202.0	2.0	3.0	20205	1	7			3			1	3	1	0	0	0	0	1	3
2	2	202.0	2.0	3.0	20206	1	9			4			1	9	1	1	0	0	0	0	1
2	2	202.0	2.0	3.0	20207	0															
2	2	202.0	2.0	3.0	20208	1	1			2			0								1
2	2	202.0	2.0	3.0	20209	0															
2	2	202.0	2.0	3.0	20210	1	9			1			1	2	0						1
2	2	202.0	2.0	3.0	20211	1	1			1			1	4	0						3
2	2	202.0	2.0	3.0	20212	0															
2	2	202.0	2.0	3.0	20213	0															
2	2	202.0	2.0	3.0	20214	0															
2	2	202.0	2.0	3.0	20215	1	1			3			1	2	1	0	0	0	0	0	1
2	2	202.0	2.0	3.0	20216	1	1	3		4			1	2	1	0	0	0	0	1	1
2	2	202.0	2.0	3.0	20217	1	7			4			1	2	0						1
2	2	202.0	2.0	3.0	20218	1	1			2			0								1
2	2	202.0	2.0	3.0	20219	1	1	3		4			1	2	1	0	0	0	1	0	4
2	2	202.0	2.0	3.0	20220	1	5			4			1	2	1	0	0	0	1	1	1
2	3	203.0	2.0	2.0	20301	2	1			4			1	2	1	0	0	0	0	0	1
2	3	203.0	2.0	2.0	20302	1	1			2			1	3	1	1	0	0	0	1	1
2	3	203.0	2.0	2.0	20303	0															
2	3	203.0	2.0	2.0	20304	0															
2	3	203.0	2.0	2.0	20305	1	5			4			1	1	1	0	0	0	1	0	3
2	3	203.0	2.0	2.0	20306	0															
2	3	203.0	2.0	2.0	20307	0															
2	3	203.0	2.0	2.0	20308	1	1			3			1	2	1	0	0	0	1	0	1
2	3	203.0	2.0	2.0	20309	0															
2	3	203.0	2.0	2.0	20310	1	5			4			1	1	1	0	0	0	0	1	3
2	3	203.0	2.0	2.0	20311	1	5			4			1	2	1	0	0	0	0	0	3
2	3	203.0	2.0	2.0	20312	1	2			4			1	2	1	1	0	0	1	1	3
2	3	203.0	2.0	2.0	20313	1	5			4			1	2	1	0	0	0	0	0	3
2	3	203.0	2.0	2.0	20314	0															
2	3	203.0	2.0	2.0	20315	0															
2	3	203.0	2.0	2.0	20316	2	5			4			1	2	1	0	0	0	0	0	1
2	3	203.0	2.0	2.0	20317	0															
2	3	203.0	2.0	2.0	20318	3	1			2			1	9	0						1
2	3	203.0	2.0	2.0	20319	0															
2	3	203.0	2.0	2.0	20320	1	1			4			1	2	1	0	0	0	0	1	2
2	4	204.0	2.0	2.0	20401	1	5			4			1	2	1	0	0	0	0	0	1
2	4	204.0	2.0	2.0	20402	0															
2	4	204.0	2.0	2.0	20403	1	5			2			1	9	1	0	0	0	0	1	1
2	4	204.0	2.0	2.0	20404	0															
2	4	204.0	2.0	2.0	20405	0															
2	4	204.0	2.0	2.0	20407	1	5			4			1	1	0						3
2	4	204.0	2.0	2.0	20408	0															
2	4	204.0	2.0	2.0	20409	0															
2	4	204.0	2.0	2.0	20410	0															
2	4	204.0	2.0	2.0	20411	0															
2	4	204.0	2.0	2.0	20412	1	1	4		1	3		1	9	0						1
2	4	204.0	2.0	2.0	20413	0															
2	4	204.0	2.0	2.0	20414	1	5			4			1	2	0						3
2	4	204.0	2.0	2.0	20415	1	1	3		4			1	9	0						1
2	4	204.0	2.0	2.0	20416	2	5			4			0								1
2	4	204.0	2.0	2.0	20417	0															
2	4	204.0	2.0	2.0	20418	0															
2	4	204.0	2.0	2.0	20419	0															
2	5	205.0	2.0	1.0	20501	3	5			4			1	3	1	0	0	0	0	0	3
2	5	205.0	2.0	1.0	20502	3	1			2			0								1
2	5	205.0	2.0	1.0	20503	1	5			1	3		1	2	1	0	0	0	0	1	1
2	5	205.0	2.0	1.0	20504	1	2			4			1	9	1	1	1	0	0	0	3
2	5	205.0	2.0	1.0	20505	1	5			4			1	2	1	0	0	0	0	0	3
2	5	205.0	2.0	1.0	20506	0															
2	5	205.0	2.0	1.0	20507	1	5			4			1	2	1	0	1	0	1	1	1
2	5	205.0	2.0	1.0	20509	0															
2	5	205.0	2.0	1.0	20510	1	2			3			1	9	1	1	0	0	0	1	3
2	5	205.0	2.0	1.0	20511	0															
2	5	205.0	2.0	1.0	20512	0															
2	5	205.0	2.0	1.0	20515	0															
2	5	205.0	2.0	1.0	20516	1	5			3			1	3	0						3
2	5	205.0	2.0	1.0	20517	1	5			4			1	2	1	0	1	0	0	0	1
2	5	205.0	2.0	1.0	20518	1	5			4			1	2	1	0	0	0	0	1	3
2	5	205.0	2.0	1.0	20519	2	5			4			1	2	1	0	0	0	0	0	3
2	5	205.0	2.0	1.0	20520	1	5			4			1	3	1	0	0	0	0	1	3
2	6	206.0	2.0	1.0	20601	0															
2	6	206.0	2.0	1.0	20602	1	5			4			1	2	1	0	0	0	0	0	1
2	6	206.0	2.0	1.0	20603	0															
2	6	206.0	2.0	1.0	20604	1	2			1			1	2	1	0	0	0	1	1	1
2	6	206.0	2.0	1.0	20607	0															
2	6	206.0	2.0	1.0	20609	0															
2	6	206.0	2.0	1.0	20610	1	2			4			1	2	1	0	0	0	1	1	2
2	6	206.0	2.0	1.0	20611	3	2			3			1	3	1	1	1	1	0	0	1
2	6	206.0	2.0	1.0	20612	1	5			4			1	9	1	1	0	0	0	1	3
2	6	206.0	2.0	1.0	20615	0															
2	6	206.0	2.0	1.0	20616	1	5			4			1	1	1	0	0	0	0	0	3
2	6	206.0	2.0	1.0	20617	0															
2	6	206.0	2.0	1.0	20618	0															
2	6	206.0	2.0	1.0	20619	3	2			4			1	9	1	0	1	0	1	1	3
2	6	206.0	2.0	1.0	20620	0															
2	7	207.0	2.0	2.0	20701	1	5	3		4			1	2	1	0	0	0	0	0	1
2	7	207.0	2.0	2.0	20702	1	5	3		4			1	2	0						3
2	7	207.0	2.0	2.0	20703	1	5			2			1	2	1	0	0	0	0	0	3
2	7	207.0	2.0	2.0	20704	1	2			4			1	3	1	1	0	0	1	1	1
2	7	207.0	2.0	2.0	20705	0															
2	7	207.0	2.0	2.0	20706	1	7			4			1	2	0						1
2	7	207.0	2.0	2.0	20707	1	5			4			1	2	1	0	0	0	0	0	3
2	7	207.0	2.0	2.0	20708	0															
2	7	207.0	2.0	2.0	20709	0															
2	7	207.0	2.0	2.0	20710	0															
2	7	207.0	2.0	2.0	20711	1	5			4			1	2	1	0	0	0	0	1	3
2	7	207.0	2.0	2.0	20712	0															
2	7	207.0	2.0	2.0	20713	1	5			2			1	3	1	0	0	0	0	0	1
2	7	207.0	2.0	2.0	20714	1	2			2			1	3	1	1	1	1	1	1	1
2	7	207.0	2.0	2.0	20715	1	5			3			1	3	1	1	0	0	1	1	3
2	7	207.0	2.0	2.0	20716	1	5			2			1	2	1	0	0	0	0	0	3
2	7	207.0	2.0	2.0	20717	3	2			2			0								1
2	7	207.0	2.0	2.0	20718	1	2			4			1	9	1	0	0	0	0	0	3
2	8	208.0	2.0	1.0	20801	0															
2	8	208.0	2.0	1.0	20802	3	2			2			1	3	1	1	1	0	0	1	1
2	8	208.0	2.0	1.0	20803	1	5			4			1	2	1	0	0	0	0	0	3
2	8	208.0	2.0	1.0	20804	4	2			4			1	2	1	0	0	0	0	0	1
2	8	208.0	2.0	1.0	20805	2	5			3			1	3	1	0	0	0	1	1	3
2	8	208.0	2.0	1.0	20806	0															
2	8	208.0	2.0	1.0	20807	0															
2	8	208.0	2.0	1.0	20808	0															
2	8	208.0	2.0	1.0	20809	1	2			3			1	9	1	1	1	1	0	0	1
2	8	208.0	2.0	1.0	20810	0															
2	8	208.0	2.0	1.0	20811	3	2			3			1	9	1	1	0	0	0	1	1
2	8	208.0	2.0	1.0	20813	1	2			4			1	2	1	0	0	0	1	1	1
2	8	208.0	2.0	1.0	20814	1	5			4			1	1	1	0	0	0	0	0	3
2	8	208.0	2.0	1.0	20815	1	5			4			1	2	1	0	0	0	1	1	3
2	8	208.0	2.0	1.0	20816	0															
2	8	208.0	2.0	1.0	20817	1	2			4			1	2	1	0	0	0	0	0	3
2	8	208.0	2.0	1.0	20818	1	5			4			1	3	1	0	0	0	0	0	3
2	8	208.0	2.0	1.0	20819	0															
2	8	208.0	2.0	1.0	20820	1	2			4			1	3	1	1	1	0	0	1	1
2	9	209.0	2.0	3.0	20901	0															
2	9	209.0	2.0	3.0	20902	2	2			1			1	9	1	1	0	0	0	0	1
2	9	209.0	2.0	3.0	20903	1	2			4			1	2	1	0	0	0	0	0	3
2	9	209.0	2.0	3.0	20904	1	2			4			1	2	1	0	0	0	1	1	1
2	9	209.0	2.0	3.0	20905	0															
2	9	209.0	2.0	3.0	20907	0															
2	9	209.0	2.0	3.0	20908	0															
2	9	209.0	2.0	3.0	20909	4	1			2			1	2	1	0	0	0	0	1	3
2	9	209.0	2.0	3.0	20913	1	5			4			1	3	1	0	0	0	0	0	3
2	9	209.0	2.0	3.0	20914	3	2			4			1	2	1	0	0	0	0	0	3
2	9	209.0	2.0	3.0	20915	1	2			3			1	9	1	0	0	0	0	0	3
2	9	209.0	2.0	3.0	20916	1	5			4			1	3	1	0	0	0	0	0	3
2	9	209.0	2.0	3.0	20917	2	2			4			1	9	1	0	0	1	1	0	1
2	9	209.0	2.0	3.0	20918	1	2			4			1	2	1	0	0	0	0	0	3
