district	village	villno	strno	group	hhid	codigo	m01	m02	m03	m04_1	m04_2	m04_3	m05	m06a	m06b	m06c	m06d	m07	m07a	m07b	m07c	m08a	m08b	m08c	m08d	m08e	m08f	m08g	m08h	m08i	m08j	m08k	m08l	m08m	m08n	m08o	m08oc	m08p	m08q	m08r	m08s	m08t	m08u	m08v	m08w	m08x	m08y	m08z	m08la	m08ma	m08na	m08oa	m08ob
1	2	102.0	1.0	2.0	10208	102	1	1	2008	2	5		1	1	1	0	0	5	6			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
1	2	102.0	1.0	2.0	10209	102	0						1	0	1	0	0	4				1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
1	2	102.0	1.0	2.0	10211	101	1	2	2008	5	4		1	0	0	0	1	2	4			0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1
1	2	102.0	1.0	2.0	10214	101	0						1	1	0	0	1	1	3			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	2	102.0	1.0	2.0	10215	101	1	1	2008	5			1	1	0	0	0	9	7			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
1	2	102.0	1.0	2.0	10217	101	0						1	0	0	1	0	2				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
1	2	102.0	1.0	2.0	10220	101	0						1	1	0	1	0	2	7			0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1
1	3	103.0	1.0	2.0	10303	101	1	3	2008	4			1	1	0	0	1	4	7			0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1
1	3	103.0	1.0	2.0	10306	101	0						1	0	0	1	0	1	2			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	3	103.0	1.0	2.0	10307	101	1	9	2008	1	1		1	1	1	1	0	10				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1
1	3	103.0	1.0	2.0	10308	101	0						1	0	0	0	0	9				1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	3	103.0	1.0	2.0	10309	101	1	1	2007	3			1	0	0	0	1	6				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	3	103.0	1.0	2.0	10311	101	0						1	0	1	0	1	7				0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
1	3	103.0	1.0	2.0	10312	101	1	1	2008	4	5		1	1	0	1	1	19				0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
1	3	103.0	1.0	2.0	10313	101	1	1	2007	5			1	1	0	1	0	6				0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	3	103.0	1.0	2.0	10315	121	1	2	2008	4	5		1	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	3	103.0	1.0	2.0	10317	101	0						1	0	0	0	0	2	6			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	3	103.0	1.0	2.0	10318	101	1	3	2008	4	5		1	1	0	0	0	6	5			0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1
1	4	104.0	1.0	3.0	10404	101	0						1	0	0	0	1	1				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	4	104.0	1.0	3.0	10405	101	0						1	0	0	0	1	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	104.0	1.0	3.0	10408	101	0						1	1	0	1	0	1	3			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
1	4	104.0	1.0	3.0	10412	101	0						1	1	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
1	4	104.0	1.0	3.0	10414	101	0						1	1	1	0	0	4				0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1	4	104.0	1.0	3.0	10419	101	0						1	1	0	0	0	4	3			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1
1	4	104.0	1.0	3.0	10420	101	0						1	1	0	0	0	4				0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1
1	5	105.0	1.0	3.0	10501	101	0						1	1	0	0	0	1				0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0
1	5	105.0	1.0	3.0	10502	101	0						1	1	0	0	0	1				0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	105.0	1.0	3.0	10503	101	0						1	0	0	0	1	1	3			0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0
1	5	105.0	1.0	3.0	10504	101	0						1	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	5	105.0	1.0	3.0	10507	101	0						1	1	1	0	0	4				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	105.0	1.0	3.0	10508	101	0						1	1	0	0	0	4				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	105.0	1.0	3.0	10510	121	0						1	0	1	0	0	1				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	5	105.0	1.0	3.0	10511	101	0						1	1	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1	5	105.0	1.0	3.0	10512	101	0						1	1	0	0	0	4	1			0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	5	105.0	1.0	3.0	10513	101	0						1	0	0	0	1	4				0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	5	105.0	1.0	3.0	10515	101	0						1	1	0	1	0	1				0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0
1	5	105.0	1.0	3.0	10516	101	0						1	1	0	0	0	1	4			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	5	105.0	1.0	3.0	10518	101	0						1	0	1	0	0	9				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
1	5	105.0	1.0	3.0	10520	101	1	1	2008	4			1	1	0	0	0	4				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1	6	106.0	1.0	3.0	10601	101	0						0																																								
1	6	106.0	1.0	3.0	10604	101	0						1	0	0	0	1	4				0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	6	106.0	1.0	3.0	10606	101	0						1	1	0	0	0	1				0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	106.0	1.0	3.0	10607	101	0						1	1	0	0	0	1				0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	6	106.0	1.0	3.0	10613	101	0						1	0	1	0	0	7				0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	6	106.0	1.0	3.0	10614	101	1	2	2007	1	3		1	0	0	1	0	1				1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	6	106.0	1.0	3.0	10617	111	0						1	1	0	0	0	1	3			1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
1	7	107.0	1.0	3.0	10701	101	0						1	1	0	0	1	1	2			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	7	107.0	1.0	3.0	10702	111	0						0																																								
1	7	107.0	1.0	3.0	10706	101	0						1	0	0	0	0	7				0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	7	107.0	1.0	3.0	10707	101	0						1	0	0	0	0	1	4			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
1	7	107.0	1.0	3.0	10708	101	0						1	0	0	0	0	1				0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	107.0	1.0	3.0	10710	101	0						1	1	0	0	0	4				0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
1	7	107.0	1.0	3.0	10711	101	1	1	2009	4	5		1	1	0	0	0	1	5			0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
1	7	107.0	1.0	3.0	10714	101	0						1	1	0	0	0	1				0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	7	107.0	1.0	3.0	10715	101	0						1	1	0	0	0	1				0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
1	7	107.0	1.0	3.0	10716	101	0						1	0	1	0	0	1				0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
1	7	107.0	1.0	3.0	10717	101	1	2	2008	4	5		1	1	0	0	0	1	4			0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
1	7	107.0	1.0	3.0	10718	101	0						1	1	0	0	0	3				0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
1	8	108.0	1.0	2.0	10802	101	1	2	2007	4	5		1	1	0	0	0	5				0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	8	108.0	1.0	2.0	10804	101	1	4	2008	3	4		1	0	0	0	1	6	4			0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	8	108.0	1.0	2.0	10806	122	0						0																																								
1	8	108.0	1.0	2.0	10810	101	1	2	2008	4	5		1	1	0	0	1	1	6			0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
1	8	108.0	1.0	2.0	10812	101	1	3	2008	1			1	1	1	0	1	1	7			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	9	109.0	1.0	1.0	10902	101	0						1	0	1	0	0	7	9			0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1
1	9	109.0	1.0	1.0	10904	121	1	1	2009	5			1	1	0	0	1	10	4			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	9	109.0	1.0	1.0	10905	101	1	3	2009	4	2	5	1	1	1	0	0	5	2	4		0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	9	109.0	1.0	1.0	10908	101	0						1	1	0	0	0	4	2			1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1	9	109.0	1.0	1.0	10909	101	0						1	1	0	0	0	7				0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	9	109.0	1.0	1.0	10912	101	0						1	0	0	0	1	1	9			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
1	9	109.0	1.0	1.0	10913	101	1	2	2008	5			1	0	0	0	1	6	1			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1
1	9	109.0	1.0	1.0	10914	101	1	2	2009	4	5		1	1	0	0	0	3				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1
1	10	110.0	1.0	1.0	11001	101	1	2	2008	4	5		1	0	1	0	0	2	3			0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0
1	10	110.0	1.0	1.0	11003	101	0						1	1	0	0	0	7				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	10	110.0	1.0	1.0	11004	101	1	1	2007	1			1	0	1	0	0	5				0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	10	110.0	1.0	1.0	11005	101	1	4	2008	4	5		1	0	1	0	0	6	7			0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
1	10	110.0	1.0	1.0	11006	101	0						0																																								
1	10	110.0	1.0	1.0	11007	101	0						1	1	0	0	1	4				0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
1	10	110.0	1.0	1.0	11014	101	1	2	2009	1	5	4	1	0	1	0	0	6	7			0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	110.0	1.0	1.0	11018	101	0						1	0	0	0	1	2	5			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
1	10	110.0	1.0	1.0	11019	101	1	3	2008	2	5		1	1	1	0	0	2				0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1
1	11	111.0	1.0	1.0	11102	101	1	2	2008	5			1	0	0	0	0	4	6			1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	11	111.0	1.0	1.0	11103	101	1	1	2008	4	5		1	0	0	0	0	1				0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	11	111.0	1.0	1.0	11104	101	0						1	1	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	11	111.0	1.0	1.0	11105	101	0						1	1	0	0	0	2				0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
1	11	111.0	1.0	1.0	11110	101	1	2	2008	5			1	0	1	0	0	2				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
1	11	111.0	1.0	1.0	11113	101	0						1	1	0	0	1	1	4			1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1	11	111.0	1.0	1.0	11116	101	1	3	2008	5	4		1	0	1	1	0	6	2	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1
1	11	111.0	1.0	1.0	11118	101	1	8	2008	1	2		1	1	1	1	0	2				0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1	12	112.0	1.0	2.0	11201	102	1	3	2008	4	5		1	0	1	1	0	1	2			0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1
1	12	112.0	1.0	2.0	11205	101	1	3	2007	1	5		0																																								
1	12	112.0	1.0	2.0	11206	121	0						1	1	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0
1	12	112.0	1.0	2.0	11210	101	0						1	0	0	0	0	1	2			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	12	112.0	1.0	2.0	11211	101	1	3	2008	3	5		1	0	0	0	0	2				0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	12	112.0	1.0	2.0	11212	101	1	1	2006	1	5	4	1	1	1	1	0	5				0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1	12	112.0	1.0	2.0	11214	101	1	3	2008	3	4		1	1	0	0	0	1	4			1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1
1	12	112.0	1.0	2.0	11216	101	1	1	2006	4			1	1	0	0	0	5				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
1	12	112.0	1.0	2.0	11219	101	1	1	2009	4	3	5	1	1	0	0	1	2	6	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
1	13	113.0	1.0	3.0	11302	101	0						1	0	0	0	1	3				0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	13	113.0	1.0	3.0	11305	101	0						1	1	0	0	0	4				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	13	113.0	1.0	3.0	11306	101	0						1	1	1	0	0	1				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1
1	13	113.0	1.0	3.0	11309	101	0						1	1	0	0	0	9				0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	13	113.0	1.0	3.0	11310	101	0						1	0	0	0	1	1				0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
1	13	113.0	1.0	3.0	11313	101	0						1	1	0	0	1	1	10			1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0
1	13	113.0	1.0	3.0	11316	101	0						1	0	0	1	0	1				1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1
1	13	113.0	1.0	3.0	11318	101	0						1	1	0	0	1	1				0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	14	114.0	1.0	2.0	11401	121	0						0																																								
1	14	114.0	1.0	2.0	11402	101	1	2	2009	5	4	3	1	1	1	0	0	9	6			0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
1	14	114.0	1.0	2.0	11403	101	0						1	0	0	0	1	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	14	114.0	1.0	2.0	11404	101	1	4	2009	1	3	4	1	0	0	0	1	6				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1
1	14	114.0	1.0	2.0	11408	101	0						1	0	1	0	0	1	4			0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1
1	14	114.0	1.0	2.0	11409	101	0						1	1	0	0	1	4	1			0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1
1	14	114.0	1.0	2.0	11410	101	1	1	2007	3	5	4	1	1	1	0	1	6	10			0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1
1	14	114.0	1.0	2.0	11411	101	1	3	2008	4	5		1	1	0	0	0	1	4	7		0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	14	114.0	1.0	2.0	11412	101	0						1	1	1	0	0	9	1	7		0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	14	114.0	1.0	2.0	11414	101	1	3	2008	2	5		1	1	0	0	1	9	6	7		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
1	14	114.0	1.0	2.0	11416	101	0						1	1	1	0	0	1				0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1
1	14	114.0	1.0	2.0	11417	101	1	1	2008	1	3	5	0																																								
1	15	115.0	1.0	1.0	11503	101	1	4	2009	4	5		1	1	0	0	1	1	4	2		0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1
1	15	115.0	1.0	1.0	11505	101	0						1	1	0	0	1	1	4			1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1	15	115.0	1.0	1.0	11508	101	1	1	2009	4	5		1	0	0	0	1	5	9			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	15	115.0	1.0	1.0	11510	101	0						1	1	0	0	0	3	6			0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
1	15	115.0	1.0	1.0	11511	101	0						1	1	0	0	0	1				1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1
1	15	115.0	1.0	1.0	11512	101	0						1	1	0	0	0	4				0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	15	115.0	1.0	1.0	11514	101	0						1	0	1	0	0	7				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	15	115.0	1.0	1.0	11515	101	0						1	1	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	16	116.0	1.0	1.0	11601	101	0						1	1	0	0	1	1				0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0
1	16	116.0	1.0	1.0	11604	101	0						1	0	0	0	1	5				0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
