hhid	strno	villno	group	district	size	line	village	j01	j02	j03	j04	j04u	j05	j06	j06u	j07	j07u
10101	1.0	101.0	3.0	1.0	7	28	1	28	0								
10101	1.0	101.0	3.0	1.0	7	20	1	20	0								
10101	1.0	101.0	3.0	1.0	7	57	1	57	0								
10101	1.0	101.0	3.0	1.0	7	33	1	33	0								
10101	1.0	101.0	3.0	1.0	7	14	1	14	0								
10101	1.0	101.0	3.0	1.0	7	8	1	8	0								
10101	1.0	101.0	3.0	1.0	7	22	1	22	0								
10101	1.0	101.0	3.0	1.0	7	56	1	56	0								
10101	1.0	101.0	3.0	1.0	7	48	1	48	0								
10101	1.0	101.0	3.0	1.0	7	25	1	25	0								
10101	1.0	101.0	3.0	1.0	7	45	1	45	0								
10101	1.0	101.0	3.0	1.0	7	43	1	43	0								
10101	1.0	101.0	3.0	1.0	7	47	1	47	0								
10101	1.0	101.0	3.0	1.0	7	72	1	72	0								
10101	1.0	101.0	3.0	1.0	7	46	1	46	1	5	3.0	5	0				
10101	1.0	101.0	3.0	1.0	7	70	1	70	0								
10101	1.0	101.0	3.0	1.0	7	26	1	26	0								
10101	1.0	101.0	3.0	1.0	7	55	1	55	0								
10101	1.0	101.0	3.0	1.0	7	38	1	38	1	3	10.0	3	0				
10101	1.0	101.0	3.0	1.0	7	5	1	5	0								
10101	1.0	101.0	3.0	1.0	7	40	1	40	0								
10101	1.0	101.0	3.0	1.0	7	61	1	61	0								
10101	1.0	101.0	3.0	1.0	7	15	1	15	0								
10101	1.0	101.0	3.0	1.0	7	12	1	12	0								
10102	1.0	101.0	3.0	1.0	5	56	1	56	0								
10102	1.0	101.0	3.0	1.0	5	10	1	10	0								
10102	1.0	101.0	3.0	1.0	5	46	1	46	0								
10102	1.0	101.0	3.0	1.0	5	34	1	34	0								
10102	1.0	101.0	3.0	1.0	5	23	1	23	0								
10102	1.0	101.0	3.0	1.0	5	27	1	27	0								
10102	1.0	101.0	3.0	1.0	5	22	1	22	0								
10102	1.0	101.0	3.0	1.0	5	4	1	4	1	1	2.0	27	0				
10102	1.0	101.0	3.0	1.0	5	64	1	64	0								
10102	1.0	101.0	3.0	1.0	5	3	1	3	0								
10102	1.0	101.0	3.0	1.0	5	38	1	38	0								
10102	1.0	101.0	3.0	1.0	5	26	1	26	0								
10102	1.0	101.0	3.0	1.0	5	15	1	15	0								
10102	1.0	101.0	3.0	1.0	5	53	1	53	0								
10102	1.0	101.0	3.0	1.0	5	37	1	37	0								
10102	1.0	101.0	3.0	1.0	5	1	1	1	0								
10102	1.0	101.0	3.0	1.0	5	25	1	25	0								
10102	1.0	101.0	3.0	1.0	5	57	1	57	0								
10102	1.0	101.0	3.0	1.0	5	35	1	35	0								
10102	1.0	101.0	3.0	1.0	5	31	1	31	1	1	0.5	3	0				
10102	1.0	101.0	3.0	1.0	5	45	1	45	0								
10102	1.0	101.0	3.0	1.0	5	8	1	8	0								
10102	1.0	101.0	3.0	1.0	5	65	1	65	0								
10102	1.0	101.0	3.0	1.0	5	29	1	29	0								
10102	1.0	101.0	3.0	1.0	5	68	1	68	0								
10102	1.0	101.0	3.0	1.0	5	13	1	13	0								
10102	1.0	101.0	3.0	1.0	5	70	1	70	0								
10102	1.0	101.0	3.0	1.0	5	42	1	42	0								
10102	1.0	101.0	3.0	1.0	5	12	1	12	1	7	10.0	3	0				
10102	1.0	101.0	3.0	1.0	5	36	1	36	0								
10102	1.0	101.0	3.0	1.0	5	60	1	60	0								
10102	1.0	101.0	3.0	1.0	5	6	1	6	1	3	6.0	27	0				
10102	1.0	101.0	3.0	1.0	5	71	1	71	0								
10102	1.0	101.0	3.0	1.0	5	58	1	58	0								
10102	1.0	101.0	3.0	1.0	5	32	1	32	0								
10102	1.0	101.0	3.0	1.0	5	40	1	40	0								
10102	1.0	101.0	3.0	1.0	5	17	1	17	0								
10102	1.0	101.0	3.0	1.0	5	49	1	49	0								
10102	1.0	101.0	3.0	1.0	5	72	1	72	0								
10102	1.0	101.0	3.0	1.0	5	11	1	11	0								
10102	1.0	101.0	3.0	1.0	5	61	1	61	0								
10102	1.0	101.0	3.0	1.0	5	59	1	59	0								
10102	1.0	101.0	3.0	1.0	5	44	1	44	0								
10102	1.0	101.0	3.0	1.0	5	50	1	50	0								
10102	1.0	101.0	3.0	1.0	5	30	1	30	0								
10102	1.0	101.0	3.0	1.0	5	67	1	67	0								
10102	1.0	101.0	3.0	1.0	5	66	1	66	0								
10102	1.0	101.0	3.0	1.0	5	5	1	5	0								
10102	1.0	101.0	3.0	1.0	5	24	1	24	0								
10102	1.0	101.0	3.0	1.0	5	62	1	62	0								
10102	1.0	101.0	3.0	1.0	5	19	1	19	1	2	1.0	28	1	2.0	28	40	2
10102	1.0	101.0	3.0	1.0	5	63	1	63	0								
10102	1.0	101.0	3.0	1.0	5	43	1	43	0								
10102	1.0	101.0	3.0	1.0	5	52	1	52	0								
10102	1.0	101.0	3.0	1.0	5	69	1	69	0								
10102	1.0	101.0	3.0	1.0	5	14	1	14	0								
10102	1.0	101.0	3.0	1.0	5	7	1	7	0								
10102	1.0	101.0	3.0	1.0	5	55	1	55	0								
10102	1.0	101.0	3.0	1.0	5	39	1	39	0		1.0						
10102	1.0	101.0	3.0	1.0	5	18	1	18	0								
10102	1.0	101.0	3.0	1.0	5	20	1	20	0								
10102	1.0	101.0	3.0	1.0	5	33	1	33	0								
10102	1.0	101.0	3.0	1.0	5	51	1	51	0								
10102	1.0	101.0	3.0	1.0	5	47	1	47	0								
10102	1.0	101.0	3.0	1.0	5	2	1	2	1	7	6.0	27	0				
10102	1.0	101.0	3.0	1.0	5	9	1	9	0								
10102	1.0	101.0	3.0	1.0	5	48	1	48	0								
10102	1.0	101.0	3.0	1.0	5	21	1	21	1	2	1.0	27	0				
10102	1.0	101.0	3.0	1.0	5	41	1	41	0								
10102	1.0	101.0	3.0	1.0	5	28	1	28	0								
10102	1.0	101.0	3.0	1.0	5	54	1	54	0								
10103	1.0	101.0	3.0	1.0	6	70	1	70	0								
10103	1.0	101.0	3.0	1.0	6	53	1	53	0								
10103	1.0	101.0	3.0	1.0	6	7	1	7	0								
10103	1.0	101.0	3.0	1.0	6	68	1	68	0								
10103	1.0	101.0	3.0	1.0	6	71	1	71	0								
10103	1.0	101.0	3.0	1.0	6	54	1	54	1	1	12.0	3	0				
10103	1.0	101.0	3.0	1.0	6	4	1	4	1	2	2.5	27	0				
10103	1.0	101.0	3.0	1.0	6	57	1	57	0								
10103	1.0	101.0	3.0	1.0	6	23	1	23	0								
10103	1.0	101.0	3.0	1.0	6	33	1	33	0								
10103	1.0	101.0	3.0	1.0	6	58	1	58	0								
10103	1.0	101.0	3.0	1.0	6	62	1	62	0								
10103	1.0	101.0	3.0	1.0	6	42	1	42	0								
10103	1.0	101.0	3.0	1.0	6	55	1	55	1	1	2.0	3	0				
10103	1.0	101.0	3.0	1.0	6	15	1	15	1	2	1.5	27	0				
10103	1.0	101.0	3.0	1.0	6	35	1	35	0								
10103	1.0	101.0	3.0	1.0	6	65	1	65	0								
10103	1.0	101.0	3.0	1.0	6	1	1	1	0								
10103	1.0	101.0	3.0	1.0	6	39	1	39	0		1.0						
10103	1.0	101.0	3.0	1.0	6	19	1	19	0								
10103	1.0	101.0	3.0	1.0	6	37	1	37	0								
10103	1.0	101.0	3.0	1.0	6	40	1	40	0								
10103	1.0	101.0	3.0	1.0	6	50	1	50	0								
10103	1.0	101.0	3.0	1.0	6	21	1	21	0								
10103	1.0	101.0	3.0	1.0	6	46	1	46	1	2	3.0	5	0				
10103	1.0	101.0	3.0	1.0	6	52	1	52	0								
10103	1.0	101.0	3.0	1.0	6	49	1	49	0								
10103	1.0	101.0	3.0	1.0	6	22	1	22	0								
10103	1.0	101.0	3.0	1.0	6	18	1	18	0								
10103	1.0	101.0	3.0	1.0	6	17	1	17	0								
10103	1.0	101.0	3.0	1.0	6	25	1	25	0								
10103	1.0	101.0	3.0	1.0	6	6	1	6	1	3	3.0	27	0				
10103	1.0	101.0	3.0	1.0	6	60	1	60	0								
10103	1.0	101.0	3.0	1.0	6	56	1	56	0								
10103	1.0	101.0	3.0	1.0	6	28	1	28	0								
10103	1.0	101.0	3.0	1.0	6	5	1	5	0								
10103	1.0	101.0	3.0	1.0	6	14	1	14	0								
10103	1.0	101.0	3.0	1.0	6	48	1	48	0								
10103	1.0	101.0	3.0	1.0	6	32	1	32	0								
10103	1.0	101.0	3.0	1.0	6	63	1	63	0								
10103	1.0	101.0	3.0	1.0	6	12	1	12	0								
10103	1.0	101.0	3.0	1.0	6	11	1	11	1	2	4.0	25	0				
10103	1.0	101.0	3.0	1.0	6	59	1	59	0								
10103	1.0	101.0	3.0	1.0	6	29	1	29	1	4	1.0	5	1	4.0	5	200	2
10103	1.0	101.0	3.0	1.0	6	31	1	31	0								
10103	1.0	101.0	3.0	1.0	6	34	1	34	0								
10103	1.0	101.0	3.0	1.0	6	20	1	20	0								
10103	1.0	101.0	3.0	1.0	6	51	1	51	0								
10103	1.0	101.0	3.0	1.0	6	26	1	26	0								
10103	1.0	101.0	3.0	1.0	6	72	1	72	0								
10103	1.0	101.0	3.0	1.0	6	67	1	67	0								
10103	1.0	101.0	3.0	1.0	6	9	1	9	0								
10103	1.0	101.0	3.0	1.0	6	10	1	10	0								
10103	1.0	101.0	3.0	1.0	6	66	1	66	0								
10103	1.0	101.0	3.0	1.0	6	69	1	69	0								
10103	1.0	101.0	3.0	1.0	6	44	1	44	0								
10103	1.0	101.0	3.0	1.0	6	27	1	27	0								
10103	1.0	101.0	3.0	1.0	6	64	1	64	0								
10103	1.0	101.0	3.0	1.0	6	45	1	45	0								
10103	1.0	101.0	3.0	1.0	6	24	1	24	0								
10103	1.0	101.0	3.0	1.0	6	43	1	43	1	2	3.0	5	0				
10103	1.0	101.0	3.0	1.0	6	30	1	30	0								
10103	1.0	101.0	3.0	1.0	6	61	1	61	0								
10103	1.0	101.0	3.0	1.0	6	38	1	38	0								
10103	1.0	101.0	3.0	1.0	6	3	1	3	0								
10103	1.0	101.0	3.0	1.0	6	36	1	36	0								
10103	1.0	101.0	3.0	1.0	6	8	1	8	1	4	4.0	25	0				
10103	1.0	101.0	3.0	1.0	6	2	1	2	1	7	3.0	27	0				
10103	1.0	101.0	3.0	1.0	6	13	1	13	0								
10103	1.0	101.0	3.0	1.0	6	47	1	47	0								
10103	1.0	101.0	3.0	1.0	6	41	1	41	0								
10104	1.0	101.0	3.0	1.0	5	71	1	71	0								
10104	1.0	101.0	3.0	1.0	5	38	1	38	0								
10104	1.0	101.0	3.0	1.0	5	21	1	21	0								
10104	1.0	101.0	3.0	1.0	5	14	1	14	0								
10104	1.0	101.0	3.0	1.0	5	3	1	3	0								
10104	1.0	101.0	3.0	1.0	5	10	1	10	0								
10104	1.0	101.0	3.0	1.0	5	48	1	48	0								
10104	1.0	101.0	3.0	1.0	5	35	1	35	0								
10104	1.0	101.0	3.0	1.0	5	67	1	67	0								
10104	1.0	101.0	3.0	1.0	5	63	1	63	0								
10104	1.0	101.0	3.0	1.0	5	28	1	28	0								
10104	1.0	101.0	3.0	1.0	5	40	1	40	0								
10104	1.0	101.0	3.0	1.0	5	50	1	50	0								
10104	1.0	101.0	3.0	1.0	5	55	1	55	0								
10104	1.0	101.0	3.0	1.0	5	49	1	49	0								
10104	1.0	101.0	3.0	1.0	5	12	1	12	1	1	10.0	3	0				
10104	1.0	101.0	3.0	1.0	5	42	1	42	0								
10104	1.0	101.0	3.0	1.0	5	61	1	61	0								
10104	1.0	101.0	3.0	1.0	5	68	1	68	0								
10104	1.0	101.0	3.0	1.0	5	47	1	47	0								
10104	1.0	101.0	3.0	1.0	5	9	1	9	0								
10104	1.0	101.0	3.0	1.0	5	59	1	59	0								
10104	1.0	101.0	3.0	1.0	5	15	1	15	0								
10104	1.0	101.0	3.0	1.0	5	56	1	56	0								
10104	1.0	101.0	3.0	1.0	5	19	1	19	1	2	1.0	28	1	2.0	28	40	2
10104	1.0	101.0	3.0	1.0	5	39	1	39	0		1.0						
10104	1.0	101.0	3.0	1.0	5	6	1	6	0								
10104	1.0	101.0	3.0	1.0	5	2	1	2	1	7	6.0	27	0				
10104	1.0	101.0	3.0	1.0	5	11	1	11	0								
10104	1.0	101.0	3.0	1.0	5	37	1	37	0								
10104	1.0	101.0	3.0	1.0	5	8	1	8	1	1	1.0	3	0				
10104	1.0	101.0	3.0	1.0	5	65	1	65	0								
10104	1.0	101.0	3.0	1.0	5	58	1	58	0								
10104	1.0	101.0	3.0	1.0	5	45	1	45	0								
10104	1.0	101.0	3.0	1.0	5	44	1	44	1	1	2.0	5	1	2.0	5	20	2
10104	1.0	101.0	3.0	1.0	5	18	1	18	0								
10104	1.0	101.0	3.0	1.0	5	69	1	69	0								
10104	1.0	101.0	3.0	1.0	5	54	1	54	0								
10104	1.0	101.0	3.0	1.0	5	41	1	41	0								
10104	1.0	101.0	3.0	1.0	5	46	1	46	1	2	2.0	5	0				
10104	1.0	101.0	3.0	1.0	5	43	1	43	0								
10104	1.0	101.0	3.0	1.0	5	60	1	60	0								
10104	1.0	101.0	3.0	1.0	5	1	1	1	0								
10104	1.0	101.0	3.0	1.0	5	57	1	57	0								
10104	1.0	101.0	3.0	1.0	5	31	1	31	0								
10104	1.0	101.0	3.0	1.0	5	26	1	26	0								
10104	1.0	101.0	3.0	1.0	5	66	1	66	0								
10104	1.0	101.0	3.0	1.0	5	4	1	4	1	1	3.0	27	0				
10104	1.0	101.0	3.0	1.0	5	23	1	23	0								
10104	1.0	101.0	3.0	1.0	5	64	1	64	0								
10104	1.0	101.0	3.0	1.0	5	13	1	13	0								
10104	1.0	101.0	3.0	1.0	5	62	1	62	0								
10104	1.0	101.0	3.0	1.0	5	29	1	29	0								
10104	1.0	101.0	3.0	1.0	5	72	1	72	0								
10104	1.0	101.0	3.0	1.0	5	51	1	51	0								
10104	1.0	101.0	3.0	1.0	5	36	1	36	0								
10104	1.0	101.0	3.0	1.0	5	20	1	20	0								
10104	1.0	101.0	3.0	1.0	5	24	1	24	0								
10104	1.0	101.0	3.0	1.0	5	25	1	25	0								
10104	1.0	101.0	3.0	1.0	5	33	1	33	0								
10104	1.0	101.0	3.0	1.0	5	70	1	70	0								
10104	1.0	101.0	3.0	1.0	5	30	1	30	0								
10104	1.0	101.0	3.0	1.0	5	17	1	17	0								
10104	1.0	101.0	3.0	1.0	5	32	1	32	0								
10104	1.0	101.0	3.0	1.0	5	34	1	34	0								
10104	1.0	101.0	3.0	1.0	5	7	1	7	0								
10104	1.0	101.0	3.0	1.0	5	27	1	27	0								
10104	1.0	101.0	3.0	1.0	5	22	1	22	0								
10104	1.0	101.0	3.0	1.0	5	53	1	53	0								
10104	1.0	101.0	3.0	1.0	5	5	1	5	0								
10104	1.0	101.0	3.0	1.0	5	52	1	52	1	1	4.0	3	1	4.0	3	10	2
10105	1.0	101.0	3.0	1.0	8	71	1	71	0								
10105	1.0	101.0	3.0	1.0	8	19	1	19	1	4	1.0	28	1	4.0	28	80	2
10105	1.0	101.0	3.0	1.0	8	26	1	26	0								
10105	1.0	101.0	3.0	1.0	8	50	1	50	0								
10105	1.0	101.0	3.0	1.0	8	2	1	2	1	7	6.0	27	0				
10105	1.0	101.0	3.0	1.0	8	8	1	8	0								
10105	1.0	101.0	3.0	1.0	8	72	1	72	0								
10105	1.0	101.0	3.0	1.0	8	64	1	64	0								
10105	1.0	101.0	3.0	1.0	8	52	1	52	1	7	4.0	3	0				
10105	1.0	101.0	3.0	1.0	8	39	1	39	0		1.0						
10105	1.0	101.0	3.0	1.0	8	49	1	49	0								
10105	1.0	101.0	3.0	1.0	8	62	1	62	0								
10105	1.0	101.0	3.0	1.0	8	51	1	51	0								
10105	1.0	101.0	3.0	1.0	8	23	1	23	0								
10105	1.0	101.0	3.0	1.0	8	53	1	53	0								
10105	1.0	101.0	3.0	1.0	8	70	1	70	1	3	1.0	27	1	3.0	27	150	2
10105	1.0	101.0	3.0	1.0	8	35	1	35	0								
10105	1.0	101.0	3.0	1.0	8	56	1	56	0								
10105	1.0	101.0	3.0	1.0	8	25	1	25	0								
10105	1.0	101.0	3.0	1.0	8	24	1	24	0								
10105	1.0	101.0	3.0	1.0	8	32	1	32	0								
10105	1.0	101.0	3.0	1.0	8	18	1	18	1	2	3.0	27	0				
10105	1.0	101.0	3.0	1.0	8	68	1	68	0								
10105	1.0	101.0	3.0	1.0	8	48	1	48	0								
10105	1.0	101.0	3.0	1.0	8	36	1	36	0								
10105	1.0	101.0	3.0	1.0	8	17	1	17	0								
10105	1.0	101.0	3.0	1.0	8	60	1	60	0								
10105	1.0	101.0	3.0	1.0	8	1	1	1	0								
10105	1.0	101.0	3.0	1.0	8	10	1	10	0								
10105	1.0	101.0	3.0	1.0	8	34	1	34	0								
10105	1.0	101.0	3.0	1.0	8	7	1	7	0								
10105	1.0	101.0	3.0	1.0	8	41	1	41	0								
10105	1.0	101.0	3.0	1.0	8	44	1	44	0								
10105	1.0	101.0	3.0	1.0	8	30	1	30	0								
10105	1.0	101.0	3.0	1.0	8	47	1	47	0								
10105	1.0	101.0	3.0	1.0	8	37	1	37	0								
10105	1.0	101.0	3.0	1.0	8	12	1	12	0								
10105	1.0	101.0	3.0	1.0	8	31	1	31	0								
10105	1.0	101.0	3.0	1.0	8	15	1	15	0								
10105	1.0	101.0	3.0	1.0	8	20	1	20	0								
10105	1.0	101.0	3.0	1.0	8	45	1	45	0								
10105	1.0	101.0	3.0	1.0	8	40	1	40	0								
10105	1.0	101.0	3.0	1.0	8	29	1	29	0								
10105	1.0	101.0	3.0	1.0	8	13	1	13	0								
10105	1.0	101.0	3.0	1.0	8	59	1	59	0								
10105	1.0	101.0	3.0	1.0	8	4	1	4	0								
10105	1.0	101.0	3.0	1.0	8	63	1	63	0								
10105	1.0	101.0	3.0	1.0	8	6	1	6	0								
10105	1.0	101.0	3.0	1.0	8	46	1	46	1	7	4.0	5	0				
10105	1.0	101.0	3.0	1.0	8	43	1	43	0								
10105	1.0	101.0	3.0	1.0	8	57	1	57	0								
10105	1.0	101.0	3.0	1.0	8	66	1	66	0								
10105	1.0	101.0	3.0	1.0	8	42	1	42	0								
10105	1.0	101.0	3.0	1.0	8	38	1	38	1	3	15.0	3	0				
10105	1.0	101.0	3.0	1.0	8	28	1	28	0								
10105	1.0	101.0	3.0	1.0	8	27	1	27	0								
10105	1.0	101.0	3.0	1.0	8	22	1	22	0								
10105	1.0	101.0	3.0	1.0	8	55	1	55	0								
10105	1.0	101.0	3.0	1.0	8	11	1	11	1	7	1.0	24	0				
10105	1.0	101.0	3.0	1.0	8	21	1	21	0								
10105	1.0	101.0	3.0	1.0	8	58	1	58	0								
10105	1.0	101.0	3.0	1.0	8	65	1	65	0								
10105	1.0	101.0	3.0	1.0	8	67	1	67	0								
10105	1.0	101.0	3.0	1.0	8	54	1	54	0								
10105	1.0	101.0	3.0	1.0	8	5	1	5	0								
10105	1.0	101.0	3.0	1.0	8	9	1	9	0								
10105	1.0	101.0	3.0	1.0	8	33	1	33	0								
10105	1.0	101.0	3.0	1.0	8	69	1	69	0								
10105	1.0	101.0	3.0	1.0	8	14	1	14	0								
10105	1.0	101.0	3.0	1.0	8	3	1	3	0								
10105	1.0	101.0	3.0	1.0	8	61	1	61	0								
10106	1.0	101.0	3.0	1.0	4	31	1	31	1	2	0.5	3	0				
10106	1.0	101.0	3.0	1.0	4	35	1	35	0								
10106	1.0	101.0	3.0	1.0	4	53	1	53	0								
10106	1.0	101.0	3.0	1.0	4	7	1	7	0								
10106	1.0	101.0	3.0	1.0	4	48	1	48	0								
10106	1.0	101.0	3.0	1.0	4	49	1	49	0								
10106	1.0	101.0	3.0	1.0	4	10	1	10	1	2	4.0	27	0				
10106	1.0	101.0	3.0	1.0	4	68	1	68	0								
10106	1.0	101.0	3.0	1.0	4	69	1	69	0								
10106	1.0	101.0	3.0	1.0	4	2	1	2	1	7	4.0	27	0				
10106	1.0	101.0	3.0	1.0	4	47	1	47	0								
10106	1.0	101.0	3.0	1.0	4	11	1	11	0								
10106	1.0	101.0	3.0	1.0	4	22	1	22	0								
10106	1.0	101.0	3.0	1.0	4	28	1	28	0								
10106	1.0	101.0	3.0	1.0	4	38	1	38	1	1	4.0	3	0				
10106	1.0	101.0	3.0	1.0	4	20	1	20	0								
10106	1.0	101.0	3.0	1.0	4	58	1	58	0								
10106	1.0	101.0	3.0	1.0	4	18	1	18	0								
10106	1.0	101.0	3.0	1.0	4	61	1	61	0								
10106	1.0	101.0	3.0	1.0	4	19	1	19	0								
10106	1.0	101.0	3.0	1.0	4	15	1	15	0								
10106	1.0	101.0	3.0	1.0	4	70	1	70	0								
10106	1.0	101.0	3.0	1.0	4	65	1	65	0								
10106	1.0	101.0	3.0	1.0	4	27	1	27	0								
10106	1.0	101.0	3.0	1.0	4	3	1	3	0								
10106	1.0	101.0	3.0	1.0	4	5	1	5	0								
10106	1.0	101.0	3.0	1.0	4	8	1	8	1	2	2.0	3	0				
10106	1.0	101.0	3.0	1.0	4	24	1	24	0								
10106	1.0	101.0	3.0	1.0	4	21	1	21	0								
10106	1.0	101.0	3.0	1.0	4	17	1	17	0								
10106	1.0	101.0	3.0	1.0	4	12	1	12	1	2	8.0	3	0				
10106	1.0	101.0	3.0	1.0	4	32	1	32	0								
10106	1.0	101.0	3.0	1.0	4	4	1	4	1	2	3.0	27	0				
10106	1.0	101.0	3.0	1.0	4	29	1	29	1	1	1.0	5	1	1.0	5	50	2
10106	1.0	101.0	3.0	1.0	4	67	1	67	0								
10106	1.0	101.0	3.0	1.0	4	46	1	46	1	2	2.0	5	0				
10106	1.0	101.0	3.0	1.0	4	40	1	40	0								
10106	1.0	101.0	3.0	1.0	4	64	1	64	0								
10106	1.0	101.0	3.0	1.0	4	42	1	42	1	1	1.0	27	0				
10106	1.0	101.0	3.0	1.0	4	33	1	33	0								
10106	1.0	101.0	3.0	1.0	4	43	1	43	0								
10106	1.0	101.0	3.0	1.0	4	71	1	71	0								
10106	1.0	101.0	3.0	1.0	4	41	1	41	0								
10106	1.0	101.0	3.0	1.0	4	66	1	66	0								
10106	1.0	101.0	3.0	1.0	4	36	1	36	0								
10106	1.0	101.0	3.0	1.0	4	56	1	56	0								
10106	1.0	101.0	3.0	1.0	4	54	1	54	0								
10106	1.0	101.0	3.0	1.0	4	26	1	26	0								
10106	1.0	101.0	3.0	1.0	4	72	1	72	0								
10106	1.0	101.0	3.0	1.0	4	34	1	34	0								
10106	1.0	101.0	3.0	1.0	4	52	1	52	1	1	4.0	3	0				
10106	1.0	101.0	3.0	1.0	4	60	1	60	0								
10106	1.0	101.0	3.0	1.0	4	37	1	37	0								
10106	1.0	101.0	3.0	1.0	4	55	1	55	0								
10106	1.0	101.0	3.0	1.0	4	25	1	25	0								
10106	1.0	101.0	3.0	1.0	4	62	1	62	0								
10106	1.0	101.0	3.0	1.0	4	9	1	9	0								
10106	1.0	101.0	3.0	1.0	4	57	1	57	0								
10106	1.0	101.0	3.0	1.0	4	1	1	1	0								
10106	1.0	101.0	3.0	1.0	4	51	1	51	1	1	2.0	3	0				
10106	1.0	101.0	3.0	1.0	4	6	1	6	0								
10106	1.0	101.0	3.0	1.0	4	45	1	45	0								
10106	1.0	101.0	3.0	1.0	4	44	1	44	1	2	2.0	5	0				
10106	1.0	101.0	3.0	1.0	4	23	1	23	0								
10106	1.0	101.0	3.0	1.0	4	63	1	63	0								
10106	1.0	101.0	3.0	1.0	4	50	1	50	0								
10106	1.0	101.0	3.0	1.0	4	13	1	13	0								
10106	1.0	101.0	3.0	1.0	4	14	1	14	0								
10106	1.0	101.0	3.0	1.0	4	30	1	30	0								
10106	1.0	101.0	3.0	1.0	4	59	1	59	0								
10106	1.0	101.0	3.0	1.0	4	39	1	39	0		1.0						
10107	1.0	101.0	3.0	1.0	7	22	1	22	0								
10107	1.0	101.0	3.0	1.0	7	25	1	25	0								
10107	1.0	101.0	3.0	1.0	7	40	1	40	0								
10107	1.0	101.0	3.0	1.0	7	56	1	56	0								
10107	1.0	101.0	3.0	1.0	7	55	1	55	1	1	1.0	3	0				
10107	1.0	101.0	3.0	1.0	7	32	1	32	0								
10107	1.0	101.0	3.0	1.0	7	44	1	44	1	1	3.0	5	0				
10107	1.0	101.0	3.0	1.0	7	58	1	58	0								
10107	1.0	101.0	3.0	1.0	7	9	1	9	0								
10107	1.0	101.0	3.0	1.0	7	38	1	38	0								
10107	1.0	101.0	3.0	1.0	7	70	1	70	0								
10107	1.0	101.0	3.0	1.0	7	45	1	45	0								
10107	1.0	101.0	3.0	1.0	7	43	1	43	0								
