hhid	line	district	village	villno	strno	group	g88	g89	g90	g91	g92	g93	g94	g94b	g95	g96	g96u	g97	g98	g98u
11404	1	1	14	114.0	1.0	2.0	1	2009	1	0	1	2	888	1.0	2	5	1	0		
11404	2	1	14	114.0	1.0	2.0	2	2009	1	0	1	5	888	1.0	2	3	1	0		
11405	1	1	14	114.0	1.0	2.0	2	2009	0		1	4	888	1.0	3	2	1	0		
11412	1	1	14	114.0	1.0	2.0	1	2008	0		0		888	1.0	3	20	1	0		
11412	2	1	14	114.0	1.0	2.0	1	2008	0		0		888	1.0	3	15	1	0		
11414	1	1	14	114.0	1.0	2.0	1	2008	0		0		888	1.0	3	1	1	0		
11503	1	1	15	115.0	1.0	1.0	1	2008	0		1	2	888	1.0	2	2	1	0		
11506	1	1	15	115.0	1.0	1.0	2	2009	0		1	2	888	1.0	2	5	1	0		
11515	1	1	15	115.0	1.0	1.0	1	2008	0		1	2	888	1.0	2	7	1	0		
11515	2	1	15	115.0	1.0	1.0	1	2008	0		0		888	1.0	2	5	1	0		
11705	1	1	17	117.0	1.0	2.0	1	2009	0		1	1	888	1.0	2	2	1	0		
11706	1	1	17	117.0	1.0	2.0	2	2009	1	0	1	7	888	1.0	2	1	1	0		
11706	2	1	17	117.0	1.0	2.0	1	2008	0		1	2	7	0.0	2	1	1	0		
11707	1	1	17	117.0	1.0	2.0	1	2009	0		1	2	888	1.0	2	6	1	0		
11707	2	1	17	117.0	1.0	2.0	1	2009	0		1	2	888	1.0	2	6	1	0		
11715	1	1	17	117.0	1.0	2.0	1	2009	1	0	0		888	1.0	3	20	1	0		
11716	1	1	17	117.0	1.0	2.0	2	2006	0		0		888	1.0	2	1	1	0		
11716	2	1	17	117.0	1.0	2.0	2	2009	0		1	1	5	0.0	2	6	1	0		
20207	1	2	2	202.0	2.0	3.0	1	2009	0		0		888	1.0	2	1	1	0		
20207	2	2	2	202.0	2.0	3.0	1	2008	0		0		888	1.0	1	1	1	0		
20207	3	2	2	202.0	2.0	3.0	1	2008	0		0		888	1.0	1	1	1	0		
20301	1	2	3	203.0	2.0	2.0	1	2008	0		1	3	888	1.0	2	4	1	0		
20311	1	2	3	203.0	2.0	2.0	1	2007	0		1	5	25	0.0	2	3	1	0		
20312	1	2	3	203.0	2.0	2.0	1	2009	0		1	6	888	1.0	2	4	1	0		
20312	2	2	3	203.0	2.0	2.0	1	2009	0		0		888	1.0	3	2	1	0		
20312	3	2	3	203.0	2.0	2.0	1	2009	0		0		26	0.0	2	2	1	0		
20312	4	2	3	203.0	2.0	2.0	1	2009	0		1	7	26	0.0	1	3	1	0		
20316	1	2	3	203.0	2.0	2.0	1	2007	1	0	0		27	0.0	2	200	1	1	500	1
20316	2	2	3	203.0	2.0	2.0	2	2007	1	0	0		28	0.0	2	250	1	1	600	1
20317	1	2	3	203.0	2.0	2.0	2	2008	0		1	1	888	1.0	2	2	1	0		
20320	1	2	3	203.0	2.0	2.0	2	2008	0		1	1	888	1.0	2	2	1	0		
20320	2	2	3	203.0	2.0	2.0	1	2009	0		1	7	888	1.0	2	2	1	0		
20405	1	2	4	204.0	2.0	2.0	1	2009	0		1	3	888	1.0	2	1	1	0		
20412	1	2	4	204.0	2.0	2.0	1	2008	0		1	4	888	1.0	2	3	1	0		
20417	1	2	4	204.0	2.0	2.0	2	2009	0		1	5	888	1.0	1	4	1	0		
20418	1	2	4	204.0	2.0	2.0	1	2006	0		1	1	888	1.0	2	2	1	0		
20418	2	2	4	204.0	2.0	2.0	1	2007	0		0		888	1.0	2	3	1	0		
20418	3	2	4	204.0	2.0	2.0	1	2007	0		1	2	888	1.0	2	4	1	0		
20501	1	2	5	205.0	2.0	1.0	2	2009	0		1	3	888	1.0	3	2	1	0		
20501	2	2	5	205.0	2.0	1.0	2	2009	0		1	3	888	1.0	3	2	1	0		
20505	1	2	5	205.0	2.0	1.0	2	2009	0		0		888	1.0	2	1	1	0		
20506	1	2	5	205.0	2.0	1.0	2	2009	0		0		888	1.0	3	0.5	1	0		
20506	2	2	5	205.0	2.0	1.0	2	2009	0		0		888	1.0	3	0.5	1	0		
20507	1	2	5	205.0	2.0	1.0	1	2008	0		0		888	1.0	2	2	2	1	3	1
20512	1	2	5	205.0	2.0	1.0	2	2008	0		0		888	1.0	3	1	1	0		
20515	1	2	5	205.0	2.0	1.0	1	2008	0		0		888	1.0	3	3	1	0		
20517	1	2	5	205.0	2.0	1.0	1	2009	0		0		888	1.0	2	1	1	0		
20519	1	2	5	205.0	2.0	1.0	2	2009	0		1	3	888	1.0	2	2	1	0		
20519	2	2	5	205.0	2.0	1.0	2	2009	0		0		29	0.0	2	3	1	0		
20520	1	2	5	205.0	2.0	1.0	2	2008	0		1	7	888	1.0	2	1	1	0		
20604	1	2	6	206.0	2.0	1.0	1	2009	0		0		888	1.0	2	5	1	0		
20701	1	2	7	207.0	2.0	2.0	1	2009	0		0		888	1.0	2	3	1	0		
20703	1	2	7	207.0	2.0	2.0	1	2008	0		1	2	888	1.0	2	5	1	0		
20703	2	2	7	207.0	2.0	2.0	1	2009	0		0		888	1.0	3	5	1	0		
20703	3	2	7	207.0	2.0	2.0	1	2009	0		1	7	888	1.0	2	10	1	0		
20703	4	2	7	207.0	2.0	2.0	1	2009	0		1	7	888	1.0	2	20	1	0		
20706	1	2	7	207.0	2.0	2.0	2	2008	0		1	5	888	1.0	2	3	1	0		
20710	1	2	7	207.0	2.0	2.0	2	2008	0		1	7	888	1.0	2	3	1	0		
20718	1	2	7	207.0	2.0	2.0	1	2007	0		1	2	888	1.0	2	4	1	0		
20803	1	2	8	208.0	2.0	1.0	1	2009	0		0		28	0.0	2	4	1	0		
20803	2	2	8	208.0	2.0	1.0	2	2009	0		0		28	0.0	2	4	1	0		
20806	1	2	8	208.0	2.0	1.0	2	2007	0		0		30	0.0	3	1	1	0		
20807	1	2	8	208.0	2.0	1.0	2	2008	0		1	1	888	1.0	2	2	1	0		
20808	1	2	8	208.0	2.0	1.0	1	2009	0		1	2	888	1.0	2	3	1	0		
20810	1	2	8	208.0	2.0	1.0	2	2009	0		0		888	1.0	2	4	1	0		
20810	2	2	8	208.0	2.0	1.0	1	2009	0		0		888	1.0	2	3	1	0		
20810	3	2	8	208.0	2.0	1.0	1	2009	0		1	7	888	1.0	2	6	1	0		
20813	1	2	8	208.0	2.0	1.0	1	2008	1	1	0		31	0.0	2	2	1	0		
20813	2	2	8	208.0	2.0	1.0	1	2009	0		0		888	1.0	2	2	1	0		
20813	3	2	8	208.0	2.0	1.0	1	2009	0		0		888	1.0	2	1	1	0		
20817	1	2	8	208.0	2.0	1.0	2	2008	0		1	2	888	1.0	2	2	1	0		
20817	2	2	8	208.0	2.0	1.0	2	2009	0		1	2	888	1.0	2	3	1	0		
20817	3	2	8	208.0	2.0	1.0	2	2008	0		0		888	1.0	2	1	1	0		
30101	1	3	1	301.0	3.0	2.0	2	2008	0		0		8	0.0	2	1	1	0		
30101	2	3	1	301.0	3.0	2.0	1	2008	0		0		888	1.0	3	1	1	0		
30105	1	3	1	301.0	3.0	2.0	1	2009	0		0		888	1.0	3	1	1	0		
30110	1	3	1	301.0	3.0	2.0	2	2009	0		0		41	0.0	3	3	1	0		
30110	2	3	1	301.0	3.0	2.0	2	2009	0		0		888	1.0	1	2	1	0		
30112	1	3	1	301.0	3.0	2.0	2	2008	0		1	1	888	1.0	2	1	1	0		
30113	1	3	1	301.0	3.0	2.0	2	2008	0		1	1	11	0.0	3	4	1	0		
30113	2	3	1	301.0	3.0	2.0	2	2009	0		1	7	11	0.0	2	2	1	0		
30118	1	3	1	301.0	3.0	2.0	1	2009	0		0		888	1.0	2	4	1	0		
30118	2	3	1	301.0	3.0	2.0	1	2008	0		1	2	8	0.0	2	7	1	0		
30205	1	3	2	302.0	3.0	2.0	1	2009	0		0		888	1.0	3	30	1	0		
30205	2	3	2	302.0	3.0	2.0	1	2009	0		0		13	0.0	3	40	1	0		
30205	3	3	2	302.0	3.0	2.0	2	2009	0		0		888	1.0	3	50	1	1	70	1
30205	4	3	2	302.0	3.0	2.0	1	2009	0		0		888	1.0	3	25	1	1	20	1
30205	5	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	3	10	1	0		
30208	1	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	2	4	1	1	6	1
30208	2	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	2	3	1	1	4.5	1
30208	3	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	2	6	1	1	9	1
30208	4	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	2	10	1	1	15	1
30208	5	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	2	6	1	1	9	1
30208	6	3	2	302.0	3.0	2.0	1	2009	1	0	0		888	1.0	2	2	1	1	3	1
30301	1	3	3	303.0	3.0	1.0	1	2009	0		0		8	0.0	2	110	1	1	100	1
30301	2	3	3	303.0	3.0	1.0	1	2009	0		0		9	0.0	2	5	1	0		
30301	3	3	3	303.0	3.0	1.0	1	2009	0		1	5	9	0.0	2	4	1	0		
30301	4	3	3	303.0	3.0	1.0	1	2009	0		0		888	1.0	2	3	1	0		
30301	5	3	3	303.0	3.0	1.0	1	2009	1	0	0		888	1.0	2	15	1	1	10	1
30301	6	3	3	303.0	3.0	1.0	1	2009	1	0	0		888	1.0	2	11	1	0		
30303	1	3	3	303.0	3.0	1.0	1	2008	0		1	1	888	1.0	2	4	1	0		
30303	2	3	3	303.0	3.0	1.0	2	2008	0		0		888	1.0	2	3	1	0		
30307	1	3	3	303.0	3.0	1.0	1	2009	0		1	1	888	1.0	3	1	1	0		
30307	2	3	3	303.0	3.0	1.0	1	2009	0		1	7	888	1.0	3	1	1	0		
30307	3	3	3	303.0	3.0	1.0	1	2009	0		1	7	888	1.0	3	1	1	0		
30311	1	3	3	303.0	3.0	1.0	1	2008	0		0		888	1.0	2	1	1	0		
30311	2	3	3	303.0	3.0	1.0	1	2008	0		1	1	15	0.0	2	3.5	1	0		
30311	3	3	3	303.0	3.0	1.0	1	2008	0		0		16	0.0	3	2	1	0		
30311	4	3	3	303.0	3.0	1.0	1	2009	0		1	7	888	1.0	2	5	1	0		
30313	1	3	3	303.0	3.0	1.0	1	2009	0		0		888	1.0	3	5	1	0		
30313	2	3	3	303.0	3.0	1.0	1	2009	0		0		888	1.0	3	3	1	0		
30313	3	3	3	303.0	3.0	1.0	1	2009	0		1	4	888	1.0	3	2	1	0		
30313	4	3	3	303.0	3.0	1.0	1	2009	0		1	7	17	0.0	3	6	1	0		
30313	5	3	3	303.0	3.0	1.0	2	2009	0		0		888	1.0	3	4	1	0		
30518	1	3	5	305.0	3.0	3.0	2	2009	0		1	1	888	1.0	2	1	1	0		
30518	2	3	5	305.0	3.0	3.0	2	2009	0		1	4	888	1.0	2	1	1	0		
30518	3	3	5	305.0	3.0	3.0	2	2009	0		1	7	888	1.0	2	1	1	0		
30518	4	3	5	305.0	3.0	3.0	2	2009	0		1	7	888	1.0	2	4	1	0		
30518	5	3	5	305.0	3.0	3.0	2	2009	0		1	7	888	1.0	2	1	1	0		
40101	1	4	1	401.0	3.0	3.0	1	2008	0		0		888	1.0	2	15	1	0		
40101	2	4	1	401.0	3.0	3.0	1	2009	0		0		888	1.0	2	5	1	0		
40101	3	4	1	401.0	3.0	3.0	2	2009	0		0		888	1.0	2	10	1	0		
40108	1	4	1	401.0	3.0	3.0	1	2009	0		0		888	1.0	2	2	1	0		
40111	1	4	1	401.0	3.0	3.0	2	2008	0		1	1	888	1.0	2	4	1	0		
40111	2	4	1	401.0	3.0	3.0	2	2009	0		0		888	1.0	2	2	1	0		
40113	1	4	1	401.0	3.0	3.0	2	2009	0		1	2	888	1.0	2	10	1	0		
40113	2	4	1	401.0	3.0	3.0	1	2009	0		1	7	888	1.0	2	5	1	0		
40113	3	4	1	401.0	3.0	3.0	2	2009	0		0		888	1.0	2	20	1	0		
40113	4	4	1	401.0	3.0	3.0	2	2009	0		0		888	1.0	2	20	1	0		
40113	5	4	1	401.0	3.0	3.0	2	2009	0		1	7	888	1.0	2	15	1	0		
40113	6	4	1	401.0	3.0	3.0	2	2009	0		1	7	888	1.0	2	5	1	0		
40116	1	4	1	401.0	3.0	3.0	2	2009	1	0	1	2	888	1.0	2	3	1	0		
40116	2	4	1	401.0	3.0	3.0	2	2009	1	0	0		888	1.0	2	5	1	0		
40116	3	4	1	401.0	3.0	3.0	1	2009	0		1	1	888	1.0	2	3	1	0		
40201	1	4	2	402.0	3.0	1.0	1	2009	0		1	4	39	0.0	2	3	1	0		
40203	1	4	2	402.0	3.0	1.0	1	2009	0		1	7	888	1.0	2	1	1	0		
40203	2	4	2	402.0	3.0	1.0	1	2009	1	0	0		888	1.0	2	2	1	0		
40207	1	4	2	402.0	3.0	1.0	1	2008	0		0		888	1.0	2	2	1	0		
40212	1	4	2	402.0	3.0	1.0	2	2009	0		1	2	18	0.0	3	2	1	0		
40212	2	4	2	402.0	3.0	1.0	2	2007	0		1	2	19	0.0	3	3	1	0		
40212	3	4	2	402.0	3.0	1.0	1	2009	0		1	2	888	1.0	3	5	1	0		
40217	1	4	2	402.0	3.0	1.0	2	2009	0		1	7	40	0.0	2	1	1	0		
40217	2	4	2	402.0	3.0	1.0	2	2009	0		1	7	40	0.0	2	1	1	0		
40217	3	4	2	402.0	3.0	1.0	2	2009	0		0		888	1.0	2	1	1	0		
40301	1	4	3	403.0	3.0	1.0	1	2009	0		1	7	20	0.0	3	1	1	0		
40302	1	4	3	403.0	3.0	1.0	1	2009	0		0		888	1.0	2	3	1	0		
40309	1	4	3	403.0	3.0	1.0	1	2009	0		1	2	888	1.0	1	1	1	0		
40310	1	4	3	403.0	3.0	1.0	1	2009	0		1	3	888	1.0	3	4	1	0		
40313	1	4	3	403.0	3.0	1.0	1	2009	1	0	0		888	1.0	2	6	1	0		
40313	2	4	3	403.0	3.0	1.0	1	2009	1	0	0		888	1.0	2	4	1	0		
40313	3	4	3	403.0	3.0	1.0	1	2009	1	0	0		888	1.0	2	13	1	0		
40313	4	4	3	403.0	3.0	1.0	1	2009	1	0	1	2	888	1.0	2	7	1	0		
40401	1	4	4	404.0	3.0	2.0	2	2009	1	0	1	5	888	1.0	2	10	1	0		
40401	2	4	4	404.0	3.0	2.0	2	2009	0		0		888	1.0	2	50	1	0		
40401	3	4	4	404.0	3.0	2.0	2	2009	0		0		888	1.0	2	5	1	0		
40401	4	4	4	404.0	3.0	2.0	2	2009	0		0		888	1.0	2	25	1	0		
40401	5	4	4	404.0	3.0	2.0	1	2009	0		0		888	1.0	2	40	1	1	50	1
40403	1	4	4	404.0	3.0	2.0	2	2008	0		0		888	1.0	2	5	1	0		
40403	2	4	4	404.0	3.0	2.0	1	2009	0		0		888	1.0	2	2	1	0		
40405	1	4	4	404.0	3.0	2.0	1	2007	0		0		888	1.0	1	10	1	0		
40406	1	4	4	404.0	3.0	2.0	2	2008	1	0	0		888	1.0	2	3	1	0		
40409	1	4	4	404.0	3.0	2.0	1	2008	0		1	4	42	0.0	2	4	1	0		
40409	2	4	4	404.0	3.0	2.0	2	2008	0		1	4	23	0.0	2	2	1	0		
40411	1	4	4	404.0	3.0	2.0	1	2008	1	0	0		888	1.0	2	50	1	1	50	1
40413	1	4	4	404.0	3.0	2.0	2	2009	0		1	4	888	1.0	1	5	1	1	15	1
40415	1	4	4	404.0	3.0	2.0	1	2009	0		1	2	24	0.0	2	5	1	1	1	1
40417	1	4	4	404.0	3.0	2.0	1	2009	0		0		888	1.0	2	2	1	0		
10267	1	1	2	102.0	1.0	2.0	1	2009	0		1	2	888	1.0	3	2	1	0		
10363	1	1	3	103.0	1.0	2.0	2	2009	0		0		888	1.0	2	3	1	0		
10367	1	1	3	103.0	1.0	2.0	2	2007	1	0	1	4	888	1.0	3	4	1	0		
10367	2	1	3	103.0	1.0	2.0	2	2007	1	0	1	1	888	1.0	3	4	1	0		
11060	1	1	10	110.0	1.0	1.0	1	2009	0		0		888	1.0	2	6	1	0		
11060	2	1	10	110.0	1.0	1.0	1	2008	0		1	2	888	1.0	2	7	1	0		
11060	3	1	10	110.0	1.0	1.0	1	2009	0		0		888	1.0	2	4	1	0		
11153	1	1	11	111.0	1.0	1.0	1	2008	0		1	1	888	1.0	2	20	1	0		
11153	2	1	11	111.0	1.0	1.0	1	2008	0		1	2	888	1.0	2	20	1	0		
11153	3	1	11	111.0	1.0	1.0	1	2009	0		0		888	1.0	2	5	1	0		
11153	4	1	11	111.0	1.0	1.0	1	2009	0		0		888	1.0	2	7	1	0		
11153	5	1	11	111.0	1.0	1.0	1	2008	0		0		888	1.0	2	10	1	0		
11252	1	1	12	112.0	1.0	2.0	1	2009	0		1	1	48	0.0	2	5	1	0		
11252	2	1	12	112.0	1.0	2.0	1	2009	0		1	2	48	0.0	2	4	1	0		
11252	3	1	12	112.0	1.0	2.0	1	2009	0		0		49	0.0	2	2	1	0		
11265	1	1	12	112.0	1.0	2.0	1	2006	1	0	1	2	888	1.0	3	2	1	0		
11468	1	1	14	114.0	1.0	2.0	1	2009	0		1	1	888	1.0	3	6	1	0		
11663	1	1	16	116.0	1.0	1.0	1	2009	0		0		888	1.0	3	1	1	0		
11761	1	1	17	117.0	1.0	2.0	2	2008	0		1	7	888	1.0	2	3	1	0		
11766	1	1	17	117.0	1.0	2.0	2	2009	0		1	2	888	1.0	2	5	1	0		
11766	2	1	17	117.0	1.0	2.0	2	2009	0		1	4	888	1.0	2	8	1	0		
11769	1	1	17	117.0	1.0	2.0	2	2008	0		1	2	1	0.0	2	6	1	0		
11870	1	1	18	118.0	1.0	1.0	1	2009	0		0		888	1.0	2	10	1	0		
11870	2	1	18	118.0	1.0	1.0	2	2009	0		0		888	1.0	2	10	1	0		
20250	1	2	2	202.0	2.0	3.0	2	2008	0		1	2	888	1.0	2	3	1	0		
20351	1	2	3	203.0	2.0	2.0	1	2009	1	0	0		888	1.0	2	5	1	0		
20461	1	2	4	204.0	2.0	2.0	2	2008	0		1	4	888	1.0	1	2	1	0		
20468	1	2	4	204.0	2.0	2.0	1	2009	0		1	4	44	0.0	2	4	1	0		
20468	2	2	4	204.0	2.0	2.0	1	2009	0		0		44	0.0	2	4	1	0		
20468	3	2	4	204.0	2.0	2.0	1	2008	0		0		888	1.0	2	2	1	0		
20468	4	2	4	204.0	2.0	2.0	1	2008	0		0		888	1.0	2	2	1	0		
20753	1	2	7	207.0	2.0	2.0	1	2009	0		0		888	1.0	2	1	1	0		
20760	1	2	7	207.0	2.0	2.0	1	2008	0		1	2	888	1.0	2	4	1	0		
20760	2	2	7	207.0	2.0	2.0	1	2008	1	0	0		888	1.0	2	3	1	0		
20760	3	2	7	207.0	2.0	2.0	1	2008	1	0	0		888	1.0	2	15	1	0		
20762	1	2	7	207.0	2.0	2.0	2	2009	0		0		888	1.0	2	2	1	0		
20860	1	2	8	208.0	2.0	1.0	2	2008	0		1	5	28	0.0	1	3	1	0		
20860	2	2	8	208.0	2.0	1.0	2	2008	0		1	1	888	1.0	2	5	1	0		
20860	3	2	8	208.0	2.0	1.0	2	2009	0		1	7	888	1.0	2	2	1	0		
20861	1	2	8	208.0	2.0	1.0	1	2008	0		0		888	1.0	2	2	1	0		
30160	1	3	1	301.0	3.0	2.0	1	2008	0		0		888	1.0	2	50	1	0		
30160	2	3	1	301.0	3.0	2.0	1	2009	0		1	1	888	1.0	2	10	1	0		
30160	3	3	1	301.0	3.0	2.0	2	2009	0		1	1	888	1.0	2	4	1	0		
30160	4	3	1	301.0	3.0	2.0	1	2009	0		0		888	1.0	2	7	1	0		
30161	1	3	1	301.0	3.0	2.0	2	2007	0		1	2	888	1.0	3	5	1	0		
30161	2	3	1	301.0	3.0	2.0	1	2008	0		1	2	888	1.0	3	3	1	0		
30162	1	3	1	301.0	3.0	2.0	2	2009	0		0		888	1.0	2	60	1	1	60	1
30162	2	3	1	301.0	3.0	2.0	1	2009	0		0		42	0.0	2	100	1	1	100	1
30162	3	3	1	301.0	3.0	2.0	2	2009	0		1	2	43	0.0	2	60	1	0		
30163	1	3	1	301.0	3.0	2.0	2	2009	0		1	6	888	1.0	2	2	1	0		
30164	1	3	1	301.0	3.0	2.0	2	2009	0		0		888	1.0	1	3	1	0		
30166	1	3	1	301.0	3.0	2.0	2	2009	0		1	1	888	1.0	2	2	1	0		
30263	1	3	2	302.0	3.0	2.0	2	2009	0		1	4	11	0.0	1	3	1	0		
30267	1	3	2	302.0	3.0	2.0	2	2009	0		1	4	888	1.0	2	2	1	0		
30351	1	3	3	303.0	3.0	1.0	2	2009	0		1	4	888	1.0	2	2	1	0		
30351	2	3	3	303.0	3.0	1.0	2	2009	0		1	4	888	1.0	2	5	1	0		
30363	1	3	3	303.0	3.0	1.0	1	2009	0		1	2	888	1.0	2	5	1	0		
30363	2	3	3	303.0	3.0	1.0	1	2009	0		1	2	888	1.0	2	6	1	0		
40252	1	4	2	402.0	3.0	1.0	2	2009	1	0	1	2	888	1.0	2	5	1	0		
40361	1	4	3	403.0	3.0	1.0	1	2009	0		0		45	0.0	3	1	1	0		
40361	2	4	3	403.0	3.0	1.0	1	2008	0		1	2	50	0.0	3	1	1	0		
40362	1	4	3	403.0	3.0	1.0	2	2009	0		1	1	888	1.0	3	4	1	0		
40366	1	4	3	403.0	3.0	1.0	2	2009	1	0	1	2	888	1.0	2	2	1	0		
40366	2	4	3	403.0	3.0	1.0	1	2009	0		1	1	45	0.0	2	5	1	0		
40366	3	4	3	403.0	3.0	1.0	1	2009	0		1	2	45	0.0	2	2	1	0		
40368	1	4	3	403.0	3.0	1.0	2	2008	0		1	5	888	1.0	3	1	1	0		
40368	2	4	3	403.0	3.0	1.0	2	2009	0		0		888	1.0	3	1	1	0		
40460	1	4	4	404.0	3.0	2.0	2	2009	1	0	1	7	888	1.0	3	1	1	0		
40462	1	4	4	404.0	3.0	2.0	2	2009	0		0		888	1.0	3	2	1	0		
