district	village	villno	strno	group	hhid	codigo	c02	c03	c04	c05	c06	c07	c08	c09
2	2	202.0	2.0	3.0	20205	124	1	14	14	1	1	1	1	6
2	2	202.0	2.0	3.0	20210	121	1	4	18	2	2	1	1	6
2	2	202.0	2.0	3.0	20213	121	1	1	23	1	2	0	1	4
2	3	203.0	2.0	2.0	20310	121	1	8	16	1	1	0	1	5
2	3	203.0	2.0	2.0	20312	103	1	3	17	1	1	1	1	6
2	4	204.0	2.0	2.0	20405	121	1	1	49	1	2		1	4
2	4	204.0	2.0	2.0	20405	122	1	3	6	3	1	1	0	0
2	4	204.0	2.0	2.0	20410	121	1	10	999	3	1		0	0
2	5	205.0	2.0	1.0	20518	121	1	10	14	2	1	1	1	5
2	5	205.0	2.0	1.0	20519	121	1	4	22	1	2	0	1	5
2	6	206.0	2.0	1.0	20619	121	1	3	17	1	1	1	1	2
2	7	207.0	2.0	2.0	20703	121	2	3	22	1	5	0	1	5
2	7	207.0	2.0	2.0	20710	121	1	3	15	2	1	1	0	3
2	7	207.0	2.0	2.0	20715	121	2	3	22	2	6	0	0	3
2	9	209.0	2.0	3.0	20904	121	1	2	25	2	3	1	1	4
2	9	209.0	2.0	3.0	20914	121	1	1	999	2	2		0	1
3	1	301.0	3.0	2.0	30102	121	2	12	10	1	1	1	0	1
3	1	301.0	3.0	2.0	30102	122	2	12	14	1	1	0	1	4
3	2	302.0	3.0	2.0	30202	121	1	4	20	3	2	0	0	4
3	2	302.0	3.0	2.0	30206	121	1	15	25	2	1	0	0	0
3	2	302.0	3.0	2.0	30210	121	2	10	0	2	1	0	0	0
3	3	303.0	3.0	1.0	30310	121	1	8	4	3	1	0	0	0
3	3	303.0	3.0	1.0	30316	121	2	10	14	1	1	0	0	3
3	4	304.0	3.0	3.0	30409	121	1	10	29	2	1	0	1	4
3	4	304.0	3.0	3.0	30416	103	1	3	16	1	1	1	1	6
3	5	305.0	3.0	3.0	30501	121	2	3	14	2	1	1	0	3
3	5	305.0	3.0	3.0	30519	121	1	15	27	1	1	1	1	3
4	1	401.0	3.0	3.0	40104	121	1	10	23	1	2	0	0	1
4	1	401.0	3.0	3.0	40104	122	2	10	21	3	2	0	0	1
1	4	101.0	1.0	3.0	40105	121	1	1	32	1	2		0	2
4	1	401.0	3.0	3.0	40113	121	2	8	10	2	1	1	0	0
4	1	401.0	3.0	3.0	40113	122	1	8	13	2	1	1	0	1
4	2	402.0	3.0	1.0	40215	121	2	3	8	1	1	1	0	1
4	3	403.0	3.0	1.0	40301	121	1	4	7	3	1	1	0	0
4	3	403.0	3.0	1.0	40307	121	2	2	24	3	2	0	0	0
4	3	403.0	3.0	1.0	40315	121	2	3	20	3	5	0	0	1
4	3	403.0	3.0	1.0	40319	121	2	2	20	2	2	0	0	2
4	3	403.0	3.0	1.0	40319	122	1	3	13	3	1	1	0	1
4	4	404.0	3.0	2.0	40403	121	2	4	21	1	2	1	1	8
4	4	404.0	3.0	2.0	40409	121	2	10	15	1	1	1	1	7
4	4	404.0	3.0	2.0	40419	121	2	12	15	1	1	0	1	5
1	1	101.0	1.0	3.0	10150	101	1	1	999	2	2		1	3
1	1	101.0	1.0	3.0	10150	102	2	2	47	3	2		0	0
1	1	101.0	1.0	3.0	10150	103	1	3	999	3	1		0	1
1	1	101.0	1.0	3.0	10150	104	1	3	999	3	1		0	0
1	1	101.0	1.0	3.0	10151	101	1	1	25	3	2	0	0	0
1	1	101.0	1.0	3.0	10151	102	2	2	21	3	2	0	0	0
1	1	101.0	1.0	3.0	10152	101	1	1	21	3	3	0	0	1
1	1	101.0	1.0	3.0	10152	102	2	2	19	3	3	0	0	0
1	1	101.0	1.0	3.0	10152	103	1	3	9	3	1	0	0	0
1	2	102.0	1.0	2.0	10250	101	1	1	37	1	3		1	10
1	2	102.0	1.0	2.0	10250	102	2	2	30	2	3	0	1	7
1	2	102.0	1.0	2.0	10250	103	2	3	10	3	1	1	0	3
1	2	102.0	1.0	2.0	10250	104	2	3	7	3	1	1	0	0
1	2	102.0	1.0	2.0	10251	101	1	1	26	1	2	0	1	6
1	2	102.0	1.0	2.0	10251	102	2	2	21	1	2	0	1	5
1	2	102.0	1.0	2.0	10260	101	1	1	25	1	3	0	0	5
1	2	102.0	1.0	2.0	10260	102	2	2	29	2	3	0	0	3
1	2	102.0	1.0	2.0	10260	103	2	3	12	2	1	1	1	2
1	2	102.0	1.0	2.0	10260	104	1	3	8	3	1	1	1	1
1	2	102.0	1.0	2.0	10261	101	1	1	45	1	3		1	3
1	2	102.0	1.0	2.0	10261	102	2	2	32	3	3		0	1
1	2	102.0	1.0	2.0	10261	103	1	3	15	2	1	1	0	3
1	2	102.0	1.0	2.0	10261	104	2	3	18	3	2	0	0	2
1	2	102.0	1.0	2.0	10261	105	1	4	21	3	2	0	0	3
1	2	102.0	1.0	2.0	10261	106	1	3	11	3	1	1	0	0
1	2	102.0	1.0	2.0	10261	107	1	3	8	3	1	0	0	0
1	2	102.0	1.0	2.0	10262	101	1	1	999	1	2		1	4
1	2	102.0	1.0	2.0	10262	102	2	2	38	2	2		1	3
1	2	102.0	1.0	2.0	10262	103	1	3	12	1	1	1	1	3
1	2	102.0	1.0	2.0	10262	104	2	3	8	2	1	1	1	2
1	2	102.0	1.0	2.0	10262	105	1	3	6	3	1	1	0	0
1	2	102.0	1.0	2.0	10263	101	1	1	35	2	3		0	5
1	2	102.0	1.0	2.0	10263	102	2	2	29	3	3	0	0	2
1	2	102.0	1.0	2.0	10263	103	1	3	13	2	1	1	1	4
1	2	102.0	1.0	2.0	10263	104	2	3	10	3	1	1	0	1
1	2	102.0	1.0	2.0	10263	105	1	3	6	3	1	0	0	0
1	2	102.0	1.0	2.0	10264	101	1	1	23	2	3	0	1	6
1	2	102.0	1.0	2.0	10264	102	2	2	24	2	3	0	0	0
1	2	102.0	1.0	2.0	10265	101	1	1	43	2	3		1	5
1	2	102.0	1.0	2.0	10265	102	2	2	30	3	3	0	0	1
1	2	102.0	1.0	2.0	10265	103	2	3	13	3	1	1	1	3
1	2	102.0	1.0	2.0	10265	104	1	3	8	3	1	0	1	0
1	2	102.0	1.0	2.0	10266	101	1	1	30	1	3	0	0	0
1	2	102.0	1.0	2.0	10266	102	2	2	26	3	3	0	1	4
1	2	102.0	1.0	2.0	10266	103	1	3	6	3	1	0	0	0
1	2	102.0	1.0	2.0	10267	101	1	1	30	1	3	0	1	3
1	2	102.0	1.0	2.0	10267	102	2	2	29	3	3	0	0	1
1	2	102.0	1.0	2.0	10267	103	2	3	9	3	1	1	0	1
1	2	102.0	1.0	2.0	10267	104	1	3	7	3	1	1	0	0
1	2	102.0	1.0	2.0	10268	101	1	1	31	2	2		1	7
1	2	102.0	1.0	2.0	10268	102	2	2	28	3	2	1	0	1
1	2	102.0	1.0	2.0	10268	103	2	3	10	3	1	1	0	1
1	2	102.0	1.0	2.0	10268	104	1	3	9	3	1	1	0	1
1	2	102.0	1.0	2.0	10268	105	2	3	7	3	1	1	0	0
1	2	102.0	1.0	2.0	10269	101	1	1	999	2	3		1	6
1	2	102.0	1.0	2.0	10269	102	2	2	25	3	3	0	0	3
1	2	102.0	1.0	2.0	10269	103	1	3	8	3	1	1	0	0
1	2	102.0	1.0	2.0	10269	104	1	3	6	3	1	1	0	0
1	2	102.0	1.0	2.0	10270	101	2	1	999	3	1		0	0
1	2	102.0	1.0	2.0	10270	102	2	3	999	3	1		0	0
1	3	103.0	1.0	2.0	10350	101	1	1	39	2	3		1	3
1	3	103.0	1.0	2.0	10350	102	2	2	34	3	3		0	0
1	3	103.0	1.0	2.0	10351	101	1	1	36	2	3		1	2
1	3	103.0	1.0	2.0	10351	102	2	2	32	3	3		0	0
1	3	103.0	1.0	2.0	10352	101	1	1	999	3	3		0	2
1	3	103.0	1.0	2.0	10352	102	2	2	999	3	3		0	0
1	3	103.0	1.0	2.0	10352	103	2	3	8	3	1	0	0	0
1	3	103.0	1.0	2.0	10352	104	2	3	5	3	1	0	0	0
1	3	103.0	1.0	2.0	10360	101	1	1	36	2	2		0	0
1	3	103.0	1.0	2.0	10360	102	2	2	31	3	2		0	0
1	3	103.0	1.0	2.0	10360	103	2	3	9	3	1	1	0	1
1	3	103.0	1.0	2.0	10360	104	1	3	6	3	1	1	0	0
1	3	103.0	1.0	2.0	10361	101	1	1	26	1	3	0	0	0
1	3	103.0	1.0	2.0	10361	102	2	2	24	1	3	0	0	0
1	3	103.0	1.0	2.0	10362	101	2	1	23	1	2	0	1	4
1	3	103.0	1.0	2.0	10362	102	1	8	12	3	2	1	0	1
1	3	103.0	1.0	2.0	10362	103	1	8	10	3	1	1	0	0
1	3	103.0	1.0	2.0	10363	101	1	1	39	2	2		0	1
1	3	103.0	1.0	2.0	10363	102	2	2	35	3	2		0	0
1	3	103.0	1.0	2.0	10363	103	2	3	15	3	1	1	0	3
1	3	103.0	1.0	2.0	10363	104	2	3	10	3	1	1	0	1
1	3	103.0	1.0	2.0	10363	105	1	3	7	3	1	0	0	0
1	3	103.0	1.0	2.0	10364	101	1	1	37	1	3		0	0
1	3	103.0	1.0	2.0	10364	102	2	2	999	3	3		1	2
1	3	103.0	1.0	2.0	10364	103	2	3	12	1	1	1	0	2
1	3	103.0	1.0	2.0	10364	104	1	3	9	1	1	1	0	1
1	3	103.0	1.0	2.0	10364	105	2	3	6	3	1	1	0	0
1	3	103.0	1.0	2.0	10365	101	1	1	49	2	2		1	2
1	3	103.0	1.0	2.0	10365	102	2	2	37	3	2		0	0
1	3	103.0	1.0	2.0	10365	103	2	5	15	2	1	1	1	5
1	3	103.0	1.0	2.0	10365	104	2	5	13	2	1	1	1	3
1	3	103.0	1.0	2.0	10365	105	1	5	12	3	1	1	1	3
1	3	103.0	1.0	2.0	10365	106	1	5	10	3	1	1	1	1
1	3	103.0	1.0	2.0	10366	101	1	1	23	1	3	0	1	4
1	3	103.0	1.0	2.0	10366	102	2	2	20	2	3	0	0	3
1	3	103.0	1.0	2.0	10366	103	1	7	16	3	1	1	1	2
1	3	103.0	1.0	2.0	10367	101	1	1	33	2	3		1	2
1	3	103.0	1.0	2.0	10367	102	2	2	25	3	3	0	0	0
1	3	103.0	1.0	2.0	10367	103	2	3	8	3	1	1	0	1
1	3	103.0	1.0	2.0	10368	101	1	1	50	1	2		1	4
1	3	103.0	1.0	2.0	10368	102	2	2	45	3	2		0	1
1	3	103.0	1.0	2.0	10368	103	1	3	14	2	1	1	1	4
1	3	103.0	1.0	2.0	10368	104	1	8	9	3	1	1	0	1
1	3	103.0	1.0	2.0	10369	101	1	1	999	2	3		1	3
1	3	103.0	1.0	2.0	10369	102	2	2	22	3	1	1	1	0
1	4	104.0	1.0	3.0	10450	101	1	1	26	1	3	1	1	4
1	4	104.0	1.0	3.0	10450	102	2	2	24	3	3	1	0	4
1	4	104.0	1.0	3.0	10450	103	2	3	7	3	1	1	0	2
1	4	104.0	1.0	3.0	10451	101	1	1	999	3	3		1	5
1	4	104.0	1.0	3.0	10451	102	2	2	23	3	3	0	0	2
1	4	104.0	1.0	3.0	10451	103	2	2	9	3	1	1	0	1
1	4	104.0	1.0	3.0	10451	104	2	3	5	3	1	1	0	0
1	4	104.0	1.0	3.0	10452	101	1	1	32	2	2		1	4
1	4	104.0	1.0	3.0	10452	102	2	2	26	3	2	0	0	1
1	5	105.0	1.0	3.0	10550	101	1	1	999	2	3		1	4
1	5	105.0	1.0	3.0	10550	102	2	2	29	2	3	0	1	3
1	8	108.0	1.0	2.0	10551	101	1	1	40	3	2		0	0
1	8	108.0	1.0	2.0	10551	102	2	2	34	2	2		1	3
1	8	108.0	1.0	2.0	10551	103	1	3	17	3	1	0	0	3
1	8	108.0	1.0	2.0	10551	104	1	12	20	1	1	0	1	5
1	8	108.0	1.0	2.0	10551	105	1	3	10	3	1	1	0	1
1	8	108.0	1.0	2.0	10551	106	1	3	8	3	1	1	0	2
1	8	108.0	1.0	2.0	10551	107	1	3	7	3	1	1	0	0
1	5	105.0	1.0	3.0	10552	101	1	1	22	2	2	0	1	4
1	5	105.0	1.0	3.0	10552	102	2	2	20	2	2	0	0	4
1	6	106.0	1.0	3.0	10650	101	1	1	22	2	3	0	1	3
1	6	106.0	1.0	3.0	10650	102	2	2	20	2	3	0	0	0
1	6	106.0	1.0	3.0	10651	101	1	1	54	3	3		0	0
1	6	106.0	1.0	3.0	10651	102	2	2	32	3	3		0	0
1	6	106.0	1.0	3.0	10652	101	1	1	32	2	2		1	3
1	6	106.0	1.0	3.0	10652	102	2	2	23	3	2	0	0	1
1	7	107.0	1.0	3.0	10750	101	1	1	25	1	3	0	1	4
1	7	107.0	1.0	3.0	10750	102	2	2	19	1	3	0	1	4
1	7	107.0	1.0	3.0	10751	101	1	1	39	1	2		1	4
1	7	107.0	1.0	3.0	10751	102	2	2	24	3	2	0	0	0
1	7	107.0	1.0	3.0	10752	101	1	1	999	1	3		0	7
1	7	107.0	1.0	3.0	10752	102	2	2	20	1	3	0	0	2
1	8	108.0	1.0	2.0	10850	101	1	1	39	2	2		1	7
1	8	108.0	1.0	2.0	10850	102	2	2	26	1	2	0	1	4
1	8	108.0	1.0	2.0	10850	103	1	3	13	2	1	1	0	2
1	8	108.0	1.0	2.0	10850	104	2	3	10	3	1	1	0	2
1	8	108.0	1.0	2.0	10850	105	2	3	8	3	1	1	0	1
1	8	108.0	1.0	2.0	10850	106	2	6	61	3	6		0	0
1	8	108.0	1.0	2.0	10852	101	1	1	21	3	2	0	0	1
1	8	108.0	1.0	2.0	10852	102	1	2	19	3	2	0	0	0
1	8	108.0	1.0	2.0	10860	101	1	1	30	2	2	0	1	4
1	8	108.0	1.0	2.0	10860	102	2	2	20	2	2	0	1	4
1	8	108.0	1.0	2.0	10860	103	2	3	9	3	1	1	0	1
1	8	108.0	1.0	2.0	10861	101	1	1	25	3	2	0	1	2
1	8	108.0	1.0	2.0	10861	102	2	2	23	3	2	0	0	1
1	8	108.0	1.0	2.0	10861	103	2	12	13	3	1	1	1	3
1	8	108.0	1.0	2.0	10861	104	2	3	6	3	1	1	0	0
1	8	108.0	1.0	2.0	10862	101	1	1	45	3	3		0	0
1	8	108.0	1.0	2.0	10862	102	2	2	41	3	3		0	0
1	8	108.0	1.0	2.0	10862	103	2	3	999	3	5		0	0
1	8	108.0	1.0	2.0	10862	104	1	3	999	2	1		0	0
1	8	108.0	1.0	2.0	10862	105	2	3	11	3	1	0	0	0
1	8	108.0	1.0	2.0	10862	106	2	3	9	3	1	0	0	0
1	8	108.0	1.0	2.0	10863	101	1	1	999	2	2		1	5
1	8	108.0	1.0	2.0	10863	102	2	2	21	2	2	0	1	3
1	8	108.0	1.0	2.0	10863	103	1	10	14	2	1	1	0	3
1	8	108.0	1.0	2.0	10863	104	1	11	3	3	1	0	0	0
1	8	108.0	1.0	2.0	10864	101	1	1	999	1	2		1	4
1	8	108.0	1.0	2.0	10864	102	2	2	20	3	2	0	0	0
1	8	108.0	1.0	2.0	10865	101	1	1	22	1	3	0	1	10
1	8	108.0	1.0	2.0	10865	102	2	2	18	1	3	0	1	5
1	8	108.0	1.0	2.0	10865	103	2	8	999	1	1		0	2
1	8	108.0	1.0	2.0	10866	101	1	1	999	1	2		1	4
1	8	108.0	1.0	2.0	10866	102	2	2	34	3	2		0	1
1	8	108.0	1.0	2.0	10866	103	1	3	15	1	1	1	1	3
1	8	108.0	1.0	2.0	10866	104	2	3	12	3	1	1	0	0
1	8	108.0	1.0	2.0	10866	105	1	3	10	3	1	1	0	1
1	8	108.0	1.0	2.0	10866	106	2	3	8	3	1	1	0	0
1	8	108.0	1.0	2.0	10866	107	2	3	6	3	1	0	0	0
1	8	108.0	1.0	2.0	10867	101	2	1	35	2	6		1	4
1	8	108.0	1.0	2.0	10867	102	2	3	19	2	2	0	1	7
1	8	108.0	1.0	2.0	10868	101	1	1	20	1	2	0	1	4
1	8	108.0	1.0	2.0	10868	102	2	2	19	2	2	0	0	2
1	8	108.0	1.0	2.0	10868	103	1	10	9	3	1	1	0	1
1	8	108.0	1.0	2.0	10869	101	2	1	19	3	1	0	0	0
1	8	108.0	1.0	2.0	10869	102	2	7	10	3	1	1	0	2
1	9	109.0	1.0	1.0	10950	101	1	1	48	2	1		0	2
1	9	109.0	1.0	1.0	10950	102	2	2	49	3	1		0	0
1	9	109.0	1.0	1.0	10951	101	1	1	25	3	2	0	0	0
1	9	109.0	1.0	1.0	10951	102	2	2	22	3	2	0	0	0
1	9	109.0	1.0	1.0	10951	103	1	3	7	3	1	0	0	0
1	9	109.0	1.0	1.0	10952	101	1	1	30	2	2	0	1	1
1	9	109.0	1.0	1.0	10952	102	2	2	25	3	2	0	0	0
1	9	109.0	1.0	1.0	10952	103	2	11	6	3	1	1	0	0
1	9	109.0	1.0	1.0	10953	101	1	1	32	1	2		1	7
1	9	109.0	1.0	1.0	10953	102	2	2	28	2	2	0	0	0
1	9	109.0	1.0	1.0	10953	103	2	3	8	3	1	0	0	0
1	9	109.0	1.0	1.0	10960	101	1	1	35	2	2		0	0
1	9	109.0	1.0	1.0	10960	102	2	2	29	3	2	0	0	0
1	9	109.0	1.0	1.0	10960	103	1	3	10	3	1	1	0	0
1	9	109.0	1.0	1.0	10960	104	2	3	7	3	1	0	0	0
1	9	109.0	1.0	1.0	10961	101	2	1	25	2	5	0	1	3
1	9	109.0	1.0	1.0	10961	102	2	3	6	3	1	0	0	0
1	9	109.0	1.0	1.0	10962	101	1	1	26	3	3	0	0	0
1	9	109.0	1.0	1.0	10962	102	2	2	25	1	3	0	1	7
1	9	109.0	1.0	1.0	10962	103	2	3	6	3	1	0	0	0
1	9	109.0	1.0	1.0	10963	101	1	1	68	2	3		1	1
1	9	109.0	1.0	1.0	10963	102	1	2	39	3	3		0	0
1	9	109.0	1.0	1.0	10963	103	1	3	12	2	1	1	0	1
1	9	109.0	1.0	1.0	10964	101	1	1	36	3	3		0	0
1	9	109.0	1.0	1.0	10964	102	2	2	33	3	3		0	0
1	9	109.0	1.0	1.0	10965	101	1	1	41	1	3		0	0
1	9	109.0	1.0	1.0	10965	102	2	2	28	3	3	0	0	0
1	9	109.0	1.0	1.0	10965	103	2	3	11	3	1	1	0	0
1	9	109.0	1.0	1.0	10965	104	1	1	9	3	1	1	0	0
1	9	109.0	1.0	1.0	10966	101	1	1	36	2	3		1	2
1	9	109.0	1.0	1.0	10966	102	2	2	35	3	3		0	0
1	9	109.0	1.0	1.0	10966	103	1	3	5	3	1	0	0	0
1	9	109.0	1.0	1.0	10967	101	1	1	30	1	3	0	1	6
1	9	109.0	1.0	1.0	10967	102	2	2	34	3	3		0	0
1	9	109.0	1.0	1.0	10967	103	2	3	14	3	1	1	0	1
1	9	109.0	1.0	1.0	10967	104	1	3	12	3	1	1	0	1
1	9	109.0	1.0	1.0	10967	105	1	3	9	3	1	1	0	0
1	9	109.0	1.0	1.0	10967	106	1	3	7	3	1	0	0	0
1	9	109.0	1.0	1.0	10967	107	1	3	5	3	1	0	0	0
1	9	109.0	1.0	1.0	10968	101	1	1	30	3	3	0	1	4
1	9	109.0	1.0	1.0	10968	102	2	2	27	3	3	0	0	0
1	9	109.0	1.0	1.0	10968	103	1	3	15	2	1	1	0	2
1	9	109.0	1.0	1.0	10968	104	1	3	10	2	1	1	0	1
1	9	109.0	1.0	1.0	10968	105	2	3	6	3	1	1	0	0
1	9	109.0	1.0	1.0	10969	101	1	1	39	3	2		0	0
1	9	109.0	1.0	1.0	10969	102	1	3	10	3	1	1	0	0
1	10	110.0	1.0	1.0	11050	101	1	1	42	3	2		0	0
1	10	110.0	1.0	1.0	11050	102	2	2	36	3	2		0	0
1	10	110.0	1.0	1.0	11050	103	2	3	16	3	1	1	0	0
1	10	110.0	1.0	1.0	11050	104	1	3	14	3	1	1	0	0
1	10	110.0	1.0	1.0	11050	105	1	3	9	3	1	1	0	0
1	10	110.0	1.0	1.0	11051	101	1	1	999	3	2		1	5
1	10	110.0	1.0	1.0	11051	102	2	2	999	3	2		0	0
1	10	110.0	1.0	1.0	11052	101	1	1	37	1	3		1	3
1	10	110.0	1.0	1.0	11052	102	2	2	34	1	3		1	3
1	10	110.0	1.0	1.0	11052	103	1	3	14	2	1	1	1	4
1	10	110.0	1.0	1.0	11052	104	2	3	11	3	1	1	0	1
1	10	110.0	1.0	1.0	11052	105	1	3	9	3	1	1	0	0
1	10	110.0	1.0	1.0	11053	101	1	1	44	1	3		1	4
1	10	110.0	1.0	1.0	11053	102	2	2	36	3	3		0	2
1	10	110.0	1.0	1.0	11053	103	2	3	15	2	1	0	0	1
1	10	110.0	1.0	1.0	11053	104	2	3	12	2	1	1	0	1
1	10	110.0	1.0	1.0	11053	105	2	3	10	3	1	1	0	0
1	10	110.0	1.0	1.0	11053	106	2	12	7	3	1	1	0	0
1	10	110.0	1.0	1.0	11054	101	1	4	37	3	2		1	2
1	10	110.0	1.0	1.0	11054	102	2	2	37	3	2		1	2
1	10	110.0	1.0	1.0	11054	103	2	1	51	3	6		0	0
1	10	110.0	1.0	1.0	11054	104	2	8	16	3	2	0	0	0
1	10	110.0	1.0	1.0	11054	105	1	8	19	2	1	0	1	3
1	10	110.0	1.0	1.0	11054	106	2	8	13	3	1	1	0	1
1	10	110.0	1.0	1.0	11054	107	2	8	11	3	1	1	0	0
1	10	110.0	1.0	1.0	11054	108	2	8	8	3	1	1	0	0
1	10	110.0	1.0	1.0	11054	109	1	8	21	3	1	0	0	0
1	10	110.0	1.0	1.0	11054	110	1	3	28	3	5	0	1	1
