district	village	villno	strno	group	hhid	o14	o15	o16
1	4	104.0	1.0	3.0	10407	2	4	4
1	4	104.0	1.0	3.0	10408	4	3	2
1	4	104.0	1.0	3.0	10410	4	4	2
1	4	104.0	1.0	3.0	10411	3	2	2
1	4	104.0	1.0	3.0	10412	4	1	4
1	4	104.0	1.0	3.0	10413	3	2	1
1	4	104.0	1.0	3.0	10414	4	4	2
1	4	104.0	1.0	3.0	10416	5	1	4
1	4	104.0	1.0	3.0	10417	2	2	4
1	4	104.0	1.0	3.0	10418	5	2	4
1	4	104.0	1.0	3.0	10419	3	3	3
1	4	104.0	1.0	3.0	10420	4	2	2
1	5	105.0	1.0	3.0	10501	3	2	2
1	5	105.0	1.0	3.0	10502	2	2	3
1	5	105.0	1.0	3.0	10503	3	2	3
1	5	105.0	1.0	3.0	10504	4	2	1
1	5	105.0	1.0	3.0	10505	2	2	3
1	5	105.0	1.0	3.0	10507	2	2	4
1	5	105.0	1.0	3.0	10508	4	2	2
1	5	105.0	1.0	3.0	10509	4	2	4
1	5	105.0	1.0	3.0	10510	3	4	5
1	5	105.0	1.0	3.0	10511	2	2	3
1	5	105.0	1.0	3.0	10512	5	2	2
1	5	105.0	1.0	3.0	10513	2	1	4
1	5	105.0	1.0	3.0	10515	3	2	3
1	5	105.0	1.0	3.0	10516	2	2	2
1	5	105.0	1.0	3.0	10518	4	4	2
1	5	105.0	1.0	3.0	10519	2	4	3
1	5	105.0	1.0	3.0	10520	4	5	5
1	6	106.0	1.0	3.0	10601	5	4	4
1	6	106.0	1.0	3.0	10602	4	3	2
1	6	106.0	1.0	3.0	10603	5	4	3
1	6	106.0	1.0	3.0	10604	4	3	2
1	6	106.0	1.0	3.0	10605	5	3	2
1	6	106.0	1.0	3.0	10606	5	3	2
1	6	106.0	1.0	3.0	10607	5	2	3
1	6	106.0	1.0	3.0	10608	5	4	2
1	6	106.0	1.0	3.0	10609	5	2	3
1	6	106.0	1.0	3.0	10610	5	4	5
1	6	106.0	1.0	3.0	10611	5	4	2
1	6	106.0	1.0	3.0	10612	4	4	2
1	6	106.0	1.0	3.0	10613	3	5	5
1	6	106.0	1.0	3.0	10614	4	5	5
1	6	106.0	1.0	3.0	10615	5	2	3
1	6	106.0	1.0	3.0	10617	4	4	4
1	6	106.0	1.0	3.0	10618	5	5	4
1	6	106.0	1.0	3.0	10620	5	4	2
1	7	107.0	1.0	3.0	10701	5	2	2
1	7	107.0	1.0	3.0	10702	4	3	4
1	7	107.0	1.0	3.0	10703	4	2	5
1	7	107.0	1.0	3.0	10705	5	2	4
1	7	107.0	1.0	3.0	10706	5	2	4
1	7	107.0	1.0	3.0	10707	5	5	4
1	7	107.0	1.0	3.0	10708	4	2	3
1	7	107.0	1.0	3.0	10710	4	5	4
1	7	107.0	1.0	3.0	10711	5	3	4
1	7	107.0	1.0	3.0	10713	4	4	3
1	7	107.0	1.0	3.0	10714	5	3	2
1	7	107.0	1.0	3.0	10715	4	4	4
1	7	107.0	1.0	3.0	10716	5	5	4
1	7	107.0	1.0	3.0	10717	4	4	2
1	7	107.0	1.0	3.0	10718	5	2	4
1	7	107.0	1.0	3.0	10719	5	5	4
1	8	108.0	1.0	2.0	10802	3	4	2
1	8	108.0	1.0	2.0	10803	5	2	2
1	8	108.0	1.0	2.0	10804	4	2	3
1	8	108.0	1.0	2.0	10805	1	5	4
1	8	108.0	1.0	2.0	10806	4	2	2
1	8	108.0	1.0	2.0	10807	5	1	4
1	8	108.0	1.0	2.0	10808	4	4	2
1	8	108.0	1.0	2.0	10809	3	3	4
1	8	108.0	1.0	2.0	10810	5	1	5
1	8	108.0	1.0	2.0	10811	5	3	2
1	8	108.0	1.0	2.0	10812	3	5	4
1	8	108.0	1.0	2.0	10814	4	5	4
1	8	108.0	1.0	2.0	10815	4	1	4
1	8	108.0	1.0	2.0	10816	5	4	2
1	8	108.0	1.0	2.0	10817	4	4	3
1	8	108.0	1.0	2.0	10819	3	4	4
1	9	109.0	1.0	1.0	10902	4	4	2
1	9	109.0	1.0	1.0	10904	5	2	2
1	9	109.0	1.0	1.0	10905	5	2	2
1	9	109.0	1.0	1.0	10906	5	2	2
1	9	109.0	1.0	1.0	10907	5	2	1
1	9	109.0	1.0	1.0	10908	4	4	2
1	9	109.0	1.0	1.0	10909	4	4	2
1	9	109.0	1.0	1.0	10911	4	3	3
1	9	109.0	1.0	1.0	10912	2	4	4
1	9	109.0	1.0	1.0	10913	5	2	4
1	9	109.0	1.0	1.0	10914	4	3	2
1	9	109.0	1.0	1.0	10915	4	3	4
1	9	109.0	1.0	1.0	10916	5	1	4
1	9	109.0	1.0	1.0	10917	4	2	3
1	9	109.0	1.0	1.0	10919	2	5	2
1	10	110.0	1.0	1.0	11001	5	2	4
1	10	110.0	1.0	1.0	11003	2	4	4
1	10	110.0	1.0	1.0	11004	4	2	2
1	10	110.0	1.0	1.0	11005	4	4	4
1	10	110.0	1.0	1.0	11006	4	2	3
1	10	110.0	1.0	1.0	11007	4	4	2
1	10	110.0	1.0	1.0	11009	2	2	4
1	10	110.0	1.0	1.0	11011	4	2	2
1	10	110.0	1.0	1.0	11013	2	4	4
1	10	110.0	1.0	1.0	11014	4	5	2
1	10	110.0	1.0	1.0	11015	5	2	2
1	10	110.0	1.0	1.0	11016	3	3	2
1	10	110.0	1.0	1.0	11017	4	2	4
1	10	110.0	1.0	1.0	11018	4	3	4
1	10	110.0	1.0	1.0	11019	4	3	4
1	11	111.0	1.0	1.0	11102	5	5	4
1	11	111.0	1.0	1.0	11103	5	2	2
1	11	111.0	1.0	1.0	11104	2	3	2
1	11	111.0	1.0	1.0	11105	5	4	4
1	11	111.0	1.0	1.0	11108	4	4	5
1	11	111.0	1.0	1.0	11109	5	2	4
1	11	111.0	1.0	1.0	11110	4	5	5
1	11	111.0	1.0	1.0	11112	3	4	3
1	11	111.0	1.0	1.0	11113	5	5	5
1	11	111.0	1.0	1.0	11114	4	3	2
1	11	111.0	1.0	1.0	11115	4	4	5
1	11	111.0	1.0	1.0	11116	2	3	5
1	11	111.0	1.0	1.0	11117	4	2	3
1	11	111.0	1.0	1.0	11118	5	2	2
1	11	111.0	1.0	1.0	11119	2	1	4
1	11	111.0	1.0	1.0	11120	2	4	4
1	12	112.0	1.0	2.0	11201	5	5	4
1	12	112.0	1.0	2.0	11202	4	5	2
1	12	112.0	1.0	2.0	11203	4	1	3
1	12	112.0	1.0	2.0	11204	4	2	4
1	12	112.0	1.0	2.0	11205	5	2	4
1	12	112.0	1.0	2.0	11206	5	3	2
1	12	112.0	1.0	2.0	11207	5	3	2
1	12	112.0	1.0	2.0	11208	5	4	4
1	12	112.0	1.0	2.0	11209	2	5	4
1	12	112.0	1.0	2.0	11210	4	2	4
1	12	112.0	1.0	2.0	11211	5	2	4
1	12	112.0	1.0	2.0	11212	4	2	2
1	12	112.0	1.0	2.0	11213	5	4	4
1	12	112.0	1.0	2.0	11214	2	2	2
1	12	112.0	1.0	2.0	11215	5	4	4
1	12	112.0	1.0	2.0	11216	3	2	4
1	12	112.0	1.0	2.0	11217	5	3	2
1	12	112.0	1.0	2.0	11218	4	3	2
1	12	112.0	1.0	2.0	11219	4	1	5
1	12	112.0	1.0	2.0	11220	5	3	2
1	13	113.0	1.0	3.0	11301	4	2	2
1	13	113.0	1.0	3.0	11302	3	1	5
1	13	113.0	1.0	3.0	11303	3	3	2
1	13	113.0	1.0	3.0	11304	5	3	3
1	13	113.0	1.0	3.0	11305	5	5	3
1	13	113.0	1.0	3.0	11306	4	4	5
1	13	113.0	1.0	3.0	11307	4	2	4
1	13	113.0	1.0	3.0	11308	5	4	5
1	13	113.0	1.0	3.0	11309	5	1	2
1	13	113.0	1.0	3.0	11310	5	5	5
1	13	113.0	1.0	3.0	11311	5	5	5
1	13	113.0	1.0	3.0	11312	4	3	2
1	13	113.0	1.0	3.0	11313	4	4	4
1	13	113.0	1.0	3.0	11314	4	4	5
1	13	113.0	1.0	3.0	11316	5	4	4
1	13	113.0	1.0	3.0	11317	5	4	2
1	13	113.0	1.0	3.0	11318	4	3	3
1	14	114.0	1.0	2.0	11401	5	3	4
1	14	114.0	1.0	2.0	11402	5	1	4
1	14	114.0	1.0	2.0	11403	4	4	2
1	14	114.0	1.0	2.0	11404	5	1	4
1	14	114.0	1.0	2.0	11405	4	4	4
1	14	114.0	1.0	2.0	11406	3	3	2
1	14	114.0	1.0	2.0	11407	5	1	5
1	14	114.0	1.0	2.0	11408	4	3	4
1	14	114.0	1.0	2.0	11409	5	3	4
1	14	114.0	1.0	2.0	11410	4	2	3
1	14	114.0	1.0	2.0	11411	4	3	4
1	14	114.0	1.0	2.0	11412	4	3	1
1	14	114.0	1.0	2.0	11413	5	1	4
1	14	114.0	1.0	2.0	11414	4	2	3
1	14	114.0	1.0	2.0	11415	4	5	4
1	14	114.0	1.0	2.0	11416	2	4	4
1	14	114.0	1.0	2.0	11417	5	1	4
1	14	114.0	1.0	2.0	11418	2	3	2
1	14	114.0	1.0	2.0	11419	4	2	3
1	14	114.0	1.0	2.0	11420	4	3	2
1	15	115.0	1.0	1.0	11502	4	3	3
1	15	115.0	1.0	1.0	11503	4	3	2
1	15	115.0	1.0	1.0	11504	3	3	2
1	15	115.0	1.0	1.0	11505	4	4	2
1	15	115.0	1.0	1.0	11506	4	3	2
1	15	115.0	1.0	1.0	11507	4	2	2
1	15	115.0	1.0	1.0	11508	4	3	4
1	15	115.0	1.0	1.0	11510	4	2	2
1	15	115.0	1.0	1.0	11511	5	4	4
1	15	115.0	1.0	1.0	11512	2	4	5
1	15	115.0	1.0	1.0	11513	2	4	4
1	15	115.0	1.0	1.0	11514	5	1	4
1	15	115.0	1.0	1.0	11515	5	1	4
1	15	115.0	1.0	1.0	11516	4	4	2
1	15	115.0	1.0	1.0	11517	4	4	5
1	15	115.0	1.0	1.0	11519	4	3	4
1	16	116.0	1.0	1.0	11601	5	5	5
1	16	116.0	1.0	1.0	11602	5	5	4
1	16	116.0	1.0	1.0	11603	5	5	5
1	16	116.0	1.0	1.0	11604	5	3	4
1	16	116.0	1.0	1.0	11606	5	3	3
1	16	116.0	1.0	1.0	11607	4	2	3
1	16	116.0	1.0	1.0	11608	5	5	4
1	16	116.0	1.0	1.0	11609	5	5	4
1	16	116.0	1.0	1.0	11610	4	4	4
1	16	116.0	1.0	1.0	11612	4	5	3
1	16	116.0	1.0	1.0	11613	5	5	4
1	16	116.0	1.0	1.0	11614	5	4	4
1	16	116.0	1.0	1.0	11615	4	4	5
1	16	116.0	1.0	1.0	11616	5	4	4
1	16	116.0	1.0	1.0	11617	5	5	2
1	16	116.0	1.0	1.0	11618	4	3	3
1	16	116.0	1.0	1.0	11619	2	4	3
1	16	116.0	1.0	1.0	11620	5	5	2
1	17	117.0	1.0	2.0	11701	4	2	3
1	17	117.0	1.0	2.0	11702	5	2	1
1	17	117.0	1.0	2.0	11703	3	4	2
1	17	117.0	1.0	2.0	11704	4	2	3
1	17	117.0	1.0	2.0	11705	4	1	2
1	17	117.0	1.0	2.0	11706	5	5	3
1	17	117.0	1.0	2.0	11707	5	2	4
1	17	117.0	1.0	2.0	11708	4	2	2
1	17	117.0	1.0	2.0	11709	4	2	3
1	17	117.0	1.0	2.0	11710	5	2	4
1	17	117.0	1.0	2.0	11711	4	2	2
1	17	117.0	1.0	2.0	11712	4	4	4
1	17	117.0	1.0	2.0	11713	4	4	2
1	17	117.0	1.0	2.0	11714	1	2	4
1	17	117.0	1.0	2.0	11715	4	2	3
1	17	117.0	1.0	2.0	11716	3	1	5
1	17	117.0	1.0	2.0	11717	4	2	4
1	17	117.0	1.0	2.0	11718	5	4	1
1	17	117.0	1.0	2.0	11719	4	2	2
1	18	118.0	1.0	1.0	11801	5	3	5
1	18	118.0	1.0	1.0	11803	4	1	5
1	18	118.0	1.0	1.0	11804	5	3	2
1	18	118.0	1.0	1.0	11805	1	1	1
1	18	118.0	1.0	1.0	11806	2	4	3
1	18	118.0	1.0	1.0	11807	1	2	4
1	18	118.0	1.0	1.0	11808	3	3	3
1	18	118.0	1.0	1.0	11811	5	5	4
1	18	118.0	1.0	1.0	11812	2	1	3
1	18	118.0	1.0	1.0	11813	5	4	5
1	18	118.0	1.0	1.0	11814	4	3	3
1	18	118.0	1.0	1.0	11815	2	4	4
1	18	118.0	1.0	1.0	11816	1	1	1
1	18	118.0	1.0	1.0	11817	1	2	3
2	1	201.0	2.0	3.0	20101	5	4	3
2	1	201.0	2.0	3.0	20102	5	2	4
2	1	201.0	2.0	3.0	20103	5	4	5
2	1	201.0	2.0	3.0	20104	5	5	2
2	1	201.0	2.0	3.0	20105	4	2	4
2	1	201.0	2.0	3.0	20106	4	5	5
2	1	201.0	2.0	3.0	20107	5	2	4
2	1	201.0	2.0	3.0	20108	4	3	2
2	1	201.0	2.0	3.0	20109	3	1	4
2	1	201.0	2.0	3.0	20110	1	4	4
2	1	201.0	2.0	3.0	20111	3	4	2
2	1	201.0	2.0	3.0	20112	5	3	4
2	1	201.0	2.0	3.0	20113	5	4	2
2	1	201.0	2.0	3.0	20114	5	2	5
2	1	201.0	2.0	3.0	20115	5	4	2
2	1	201.0	2.0	3.0	20116	5	5	2
2	1	201.0	2.0	3.0	20117	5	4	5
2	1	201.0	2.0	3.0	20118	2	1	4
2	1	201.0	2.0	3.0	20119	5	4	4
2	1	201.0	2.0	3.0	20120	5	4	5
2	2	202.0	2.0	3.0	20201	1	5	1
2	2	202.0	2.0	3.0	20202	4	4	2
2	2	202.0	2.0	3.0	20203	5	4	5
2	2	202.0	2.0	3.0	20204	1	5	4
2	2	202.0	2.0	3.0	20205	1	4	4
2	2	202.0	2.0	3.0	20206	5	4	4
2	2	202.0	2.0	3.0	20207	5	4	4
2	2	202.0	2.0	3.0	20208	5	4	3
2	2	202.0	2.0	3.0	20209	5	2	5
2	2	202.0	2.0	3.0	20210	2	5	5
2	2	202.0	2.0	3.0	20211	1	4	3
2	2	202.0	2.0	3.0	20212	5	2	1
2	2	202.0	2.0	3.0	20213	5	5	4
2	2	202.0	2.0	3.0	20214	5	2	4
2	2	202.0	2.0	3.0	20215	5	4	4
2	2	202.0	2.0	3.0	20216	2	4	4
2	2	202.0	2.0	3.0	20217	1	5	5
2	2	202.0	2.0	3.0	20218	5	4	5
2	2	202.0	2.0	3.0	20219	1	2	5
2	2	202.0	2.0	3.0	20220	4	5	5
2	3	203.0	2.0	2.0	20301	1	5	2
2	3	203.0	2.0	2.0	20302	5	4	5
2	3	203.0	2.0	2.0	20303	5	2	1
2	3	203.0	2.0	2.0	20304	5	5	4
2	3	203.0	2.0	2.0	20305	5	2	4
2	3	203.0	2.0	2.0	20306	2	5	5
2	3	203.0	2.0	2.0	20307	5	5	5
2	3	203.0	2.0	2.0	20308	4	3	5
2	3	203.0	2.0	2.0	20309	4	4	5
2	3	203.0	2.0	2.0	20310	4	5	1
2	3	203.0	2.0	2.0	20311	4	2	4
2	3	203.0	2.0	2.0	20312	4	5	5
2	3	203.0	2.0	2.0	20313	4	4	4
2	3	203.0	2.0	2.0	20314	2	5	5
2	3	203.0	2.0	2.0	20315	2	5	5
2	3	203.0	2.0	2.0	20316	2	5	5
2	3	203.0	2.0	2.0	20317	4	5	4
2	3	203.0	2.0	2.0	20318	5	5	4
2	3	203.0	2.0	2.0	20319	5	4	5
2	3	203.0	2.0	2.0	20320	1	5	5
2	4	204.0	2.0	2.0	20401	2	5	2
2	4	204.0	2.0	2.0	20402	4	5	4
2	4	204.0	2.0	2.0	20403	5	4	4
2	4	204.0	2.0	2.0	20404	5	5	5
2	4	204.0	2.0	2.0	20405	3	5	4
2	4	204.0	2.0	2.0	20407	4	4	5
2	4	204.0	2.0	2.0	20408	3	2	1
2	4	204.0	2.0	2.0	20409	5	2	5
2	4	204.0	2.0	2.0	20410	4	3	4
2	4	204.0	2.0	2.0	20411	4	4	3
2	4	204.0	2.0	2.0	20412	5	2	2
2	4	204.0	2.0	2.0	20413	2	5	5
2	4	204.0	2.0	2.0	20414	4	2	4
2	4	204.0	2.0	2.0	20415	5	2	5
2	4	204.0	2.0	2.0	20416	5	5	5
2	4	204.0	2.0	2.0	20417	4	2	3
2	4	204.0	2.0	2.0	20418	4	5	5
2	4	204.0	2.0	2.0	20419	4	3	5
2	5	205.0	2.0	1.0	20501	5	2	5
2	5	205.0	2.0	1.0	20502	5	4	5
2	5	205.0	2.0	1.0	20503	4	2	3
2	5	205.0	2.0	1.0	20504	4	2	4
2	5	205.0	2.0	1.0	20505	5	5	5
2	5	205.0	2.0	1.0	20506	5	2	5
2	5	205.0	2.0	1.0	20507	5	3	2
2	5	205.0	2.0	1.0	20509	5	2	2
2	5	205.0	2.0	1.0	20510	5	2	5
2	5	205.0	2.0	1.0	20511	4	4	2
2	5	205.0	2.0	1.0	20512	5	2	4
2	5	205.0	2.0	1.0	20515	5	2	5
2	5	205.0	2.0	1.0	20516	5	4	3
2	5	205.0	2.0	1.0	20517	5	1	4
2	5	205.0	2.0	1.0	20518	2	5	5
2	5	205.0	2.0	1.0	20519	5	2	5
2	5	205.0	2.0	1.0	20520	5	4	4
2	6	206.0	2.0	1.0	20601	5	2	4
2	6	206.0	2.0	1.0	20602	5	2	2
2	6	206.0	2.0	1.0	20603	3	2	5
2	6	206.0	2.0	1.0	20604	5	2	2
2	6	206.0	2.0	1.0	20607	4	5	5
2	6	206.0	2.0	1.0	20609	5	2	4
2	6	206.0	2.0	1.0	20610	5	2	2
2	6	206.0	2.0	1.0	20611	5	5	4
2	6	206.0	2.0	1.0	20612	5	2	4
2	6	206.0	2.0	1.0	20615	5	3	2
2	6	206.0	2.0	1.0	20616	5	4	2
2	6	206.0	2.0	1.0	20617	5	1	2
2	6	206.0	2.0	1.0	20618	5	2	1
2	6	206.0	2.0	1.0	20619	5	5	4
2	6	206.0	2.0	1.0	20620	5	2	2
2	7	207.0	2.0	2.0	20701	5	1	5
2	7	207.0	2.0	2.0	20702	1	5	2
2	7	207.0	2.0	2.0	20703	4	5	5
2	7	207.0	2.0	2.0	20704	5	3	4
2	7	207.0	2.0	2.0	20705	4	3	2
2	7	207.0	2.0	2.0	20706	4	2	3
2	7	207.0	2.0	2.0	20707	4	4	2
2	7	207.0	2.0	2.0	20708	3	5	2
2	7	207.0	2.0	2.0	20709	5	2	5
2	7	207.0	2.0	2.0	20710	5	2	2
2	7	207.0	2.0	2.0	20711	4	1	3
2	7	207.0	2.0	2.0	20712	5	2	5
2	7	207.0	2.0	2.0	20713	4	2	1
2	7	207.0	2.0	2.0	20714	5	3	5
2	7	207.0	2.0	2.0	20715	5	4	1
2	7	207.0	2.0	2.0	20716	5	3	2
2	7	207.0	2.0	2.0	20717	5	4	5
2	7	207.0	2.0	2.0	20718	5	2	4
2	8	208.0	2.0	1.0	20801	5	4	2
2	8	208.0	2.0	1.0	20802	5	5	4
2	8	208.0	2.0	1.0	20803	5	5	5
2	8	208.0	2.0	1.0	20804	4	2	1
2	8	208.0	2.0	1.0	20805	5	4	3
2	8	208.0	2.0	1.0	20806	5	2	2
2	8	208.0	2.0	1.0	20807	4	2	3
2	8	208.0	2.0	1.0	20808	1	4	5
2	8	208.0	2.0	1.0	20809	5	4	5
2	8	208.0	2.0	1.0	20810	5	2	4
2	8	208.0	2.0	1.0	20811	5	5	4
2	8	208.0	2.0	1.0	20813	5	2	5
2	8	208.0	2.0	1.0	20814	5	2	4
2	8	208.0	2.0	1.0	20815	2	5	5
2	8	208.0	2.0	1.0	20816	5	2	2
2	8	208.0	2.0	1.0	20817	5	2	3
2	8	208.0	2.0	1.0	20818	5	2	2
2	8	208.0	2.0	1.0	20819	4	2	3
2	8	208.0	2.0	1.0	20820	5	4	5
2	9	209.0	2.0	3.0	20902	5	5	4
2	9	209.0	2.0	3.0	20903	3	2	5
2	9	209.0	2.0	3.0	20904	5	2	2
2	9	209.0	2.0	3.0	20905	3	3	5
2	9	209.0	2.0	3.0	20907	4	2	3
2	9	209.0	2.0	3.0	20908	5	2	2
2	9	209.0	2.0	3.0	20909	5	3	2
2	9	209.0	2.0	3.0	20910	3	4	3
2	9	209.0	2.0	3.0	20914	4	3	2
2	9	209.0	2.0	3.0	20915	4	2	4
2	9	209.0	2.0	3.0	20916	4	5	1
2	9	209.0	2.0	3.0	20917	5	4	5
2	9	209.0	2.0	3.0	20918	5	2	4
2	9	209.0	2.0	3.0	20919	5	4	5
2	9	209.0	2.0	3.0	20920	5	2	4
2	9	209.0	2.0	3.0	20921	4	2	4
3	1	301.0	3.0	2.0	30101	4	2	2
3	1	301.0	3.0	2.0	30102	2	3	2
3	1	301.0	3.0	2.0	30103	4	5	4
3	1	301.0	3.0	2.0	30104	4	2	3
3	1	301.0	3.0	2.0	30105	5	4	2
3	1	301.0	3.0	2.0	30106	5	2	4
3	1	301.0	3.0	2.0	30107	5	3	4
3	1	301.0	3.0	2.0	30108	5	5	5
3	1	301.0	3.0	2.0	30109	4	5	4
3	1	301.0	3.0	2.0	30110	4	3	2
3	1	301.0	3.0	2.0	30111	1	2	4
3	1	301.0	3.0	2.0	30112	4	5	5
3	1	301.0	3.0	2.0	30113	2	4	5
3	1	301.0	3.0	2.0	30115	5	2	5
3	1	301.0	3.0	2.0	30116	5	4	5
3	1	301.0	3.0	2.0	30117	5	2	2
3	1	301.0	3.0	2.0	30118	5	4	4
3	1	301.0	3.0	2.0	30119	5	4	2
3	1	301.0	3.0	2.0	30120	5	5	4
3	2	302.0	3.0	2.0	30201	4	5	5
3	2	302.0	3.0	2.0	30202	2	4	4
3	2	302.0	3.0	2.0	30203	4	5	5
3	2	302.0	3.0	2.0	30204	4	2	2
3	2	302.0	3.0	2.0	30205	2	5	2
3	2	302.0	3.0	2.0	30206	5	2	4
3	2	302.0	3.0	2.0	30207	5	5	5
3	2	302.0	3.0	2.0	30208	5	2	2
3	2	302.0	3.0	2.0	30209	5	2	4
3	2	302.0	3.0	2.0	30210	4	4	4
3	2	302.0	3.0	2.0	30212	5	4	2
3	2	302.0	3.0	2.0	30213	5	2	2
3	2	302.0	3.0	2.0	30214	2	1	5
3	2	302.0	3.0	2.0	30215	1	3	1
3	2	302.0	3.0	2.0	30216	4	4	2
3	2	302.0	3.0	2.0	30217	4	4	4
3	2	302.0	3.0	2.0	30218	4	2	3
3	2	302.0	3.0	2.0	30219	4	2	2
3	2	302.0	3.0	2.0	30220	5	4	5
3	3	303.0	3.0	1.0	30301	5	4	4
3	3	303.0	3.0	1.0	30302	1	1	2
3	3	303.0	3.0	1.0	30303	2	5	4
3	3	303.0	3.0	1.0	30304	5	5	2
3	3	303.0	3.0	1.0	30305	5	5	4
3	3	303.0	3.0	1.0	30306	4	5	5
3	3	303.0	3.0	1.0	30307	2	2	5
3	3	303.0	3.0	1.0	30308	2	4	2
3	3	303.0	3.0	1.0	30309	2	2	3
3	3	303.0	3.0	1.0	30310	2	4	4
3	3	303.0	3.0	1.0	30311	4	2	5
3	3	303.0	3.0	1.0	30312	2	5	5
3	3	303.0	3.0	1.0	30313	5	4	5
3	3	303.0	3.0	1.0	30315	2	2	2
3	3	303.0	3.0	1.0	30316	2	3	4
3	3	303.0	3.0	1.0	30317	5	5	3
3	3	303.0	3.0	1.0	30318	5	5	2
3	3	303.0	3.0	1.0	30319	5	5	4
3	4	304.0	3.0	3.0	30401	1	4	4
3	4	304.0	3.0	3.0	30402	4	4	5
3	4	304.0	3.0	3.0	30403	5	2	5
3	4	304.0	3.0	3.0	30404	4	5	4
3	4	304.0	3.0	3.0	30405	4	2	5
3	4	304.0	3.0	3.0	30406	4	4	2
3	4	304.0	3.0	3.0	30407	4	3	2
3	4	304.0	3.0	3.0	30408	5	5	4
3	4	304.0	3.0	3.0	30409	5	5	2
3	4	304.0	3.0	3.0	30410	4	4	2
3	4	304.0	3.0	3.0	30411	2	3	3
3	4	304.0	3.0	3.0	30412	4	4	4
3	4	304.0	3.0	3.0	30413	2	5	4
3	4	304.0	3.0	3.0	30414	5	2	5
3	4	304.0	3.0	3.0	30415	5	2	4
3	4	304.0	3.0	3.0	30416	5	4	4
3	4	304.0	3.0	3.0	30417	4	2	2
3	4	304.0	3.0	3.0	30419	5	2	4
3	4	304.0	3.0	3.0	30420	4	5	5
3	5	305.0	3.0	3.0	30501	4	2	3
3	5	305.0	3.0	3.0	30502	4	2	5
3	5	305.0	3.0	3.0	30503	4	3	4
3	5	305.0	3.0	3.0	30504	5	4	5
3	5	305.0	3.0	3.0	30505	5	4	2
3	5	305.0	3.0	3.0	30506	5	5	4
3	5	305.0	3.0	3.0	30507	5	4	4
3	5	305.0	3.0	3.0	30508	4	1	2
3	5	305.0	3.0	3.0	30509	2	1	4
3	5	305.0	3.0	3.0	30510	5	2	5
3	5	305.0	3.0	3.0	30512	5	2	2
3	5	305.0	3.0	3.0	30513	5	5	4
3	5	305.0	3.0	3.0	30515	4	4	3
3	5	305.0	3.0	3.0	30516	2	5	5
3	5	305.0	3.0	3.0	30517	3	4	4
3	5	305.0	3.0	3.0	30518	4	2	1
