hhid	district	village	villno	strno	group	g50	g51	g52a	g52b	g52c	g52d	g52e	g52f	g52g	g52h	g52i	g52j	g52k	g52l	g53	g53u	g54	g54u	g55	g55u	g56	g56u	g57	g57u	g58	g59	g60	g60u	g61	g62	g62u	g63	g64	g65	g66a	g66u
10208	1	2	102.0	1.0	2.0	13	3	0	0	0	0	0	0	0	1	2	2	1	0	3	2	1.0	23	1	2	1.0	24	500	2	0	0								1	1.0	15
10208	1	2	102.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1.0	24					150	2	0	0								1	0.5	15
10209	1	2	102.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	24					230	2	1	0								0		
10209	1	2	102.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	24					350	2	1	0								0		
10211	1	2	102.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	8	3	1.0	23					520	2	1	1	1.0	15		500	2	2	3	1	1.0	24
10212	1	2	102.0	1.0	2.0	13	2	0	0	0	0	0	0	0	2	0	0	0	0	4	3	0.5	24					30	2	0	0								0		
10214	1	2	102.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	2	2	0	0	3	2	2.0	21					1390	2	0	0								1	1.0	22
10215	1	2	102.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	12	3	1.0	24					175	2	1	0								0		
10215	1	2	102.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	12	3	1.0	24					210	2	1	0								1	1.0	24
10217	1	2	102.0	1.0	2.0	13	2	0	0	0	0	0	0	0	1	1	2	0	0	1	3	2.0	22	24	3	1.0	24	876	2	0	0								0		
10219	1	2	102.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	1	0	0	28	3	1.0	24	8	3	1.0	24	420	2	1	1	1.0	15		650	2	2	3	1	1.0	23
10220	1	2	102.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	2	0	0	0	4	2	1.5	24					100	2	0	0								1	3.0	22
10220	1	2	102.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	1	2	0	0	3	2	1.0	24	2	2	0.5	24	2500	2	0	0								0		
10302	1	3	103.0	1.0	2.0	13	2	0	0	0	0	0	0	0	0	2	0	0	0	6	3	1.0	17					1200	2	0	0								1	1.0	23
10303	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	1	1	0	0	0	0					4	3	1.0	23	1316.9	2	1	0								0		
10303	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	1	0	0					2	3	2.0	15	1316.9	2	1	1	2.0	15	400		2	2	3	0		
10304	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	6	3	1.0	24					105	2	1	0								0		
10304	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									145	2	1	0								0		
10306	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	1	2	0	0	0	5	3	1.0	22	3	3	1.0	23	500	2	0	1	4.0	15	500		2	2	2	0		
10306	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	1	0	0					6	3	1.0	23	300	2	0	0								0		
10307	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	1	2	0	0	0	8	3	1.0	21	4	3	1.0	17	600	2	1	0								1	1.0	21
10307	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	17					50	2	1	0								1	0.5	21
10308	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	2	3	1.0	15					350	2	1	1	0.5	15		300	2	1	2	1	1.0	24
10308	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									410	2	1	0								0		
10309	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	1	2	0	0	0	0	3	3	1.0	22	1	3	1.0	22	1700	2	1	0								0		
10311	1	3	103.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	0	1	0	0					3	2	1.0	24	820	2	0	0								0		
10311	1	3	103.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	1	0	0	0					2	2	1.0	24	614	2	0	1	3.0	14	750		2	1	4	0		
10312	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	0	0	0	0									500	2	1	0								0		
10312	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	2	1	0	0	6	3	1.0	24	2	3	1.0	24	576	2	1	0								0		
10313	1	3	103.0	1.0	2.0	13	3	0	0	0	0	0	0	0	1	2	0	0	0	3	2	1.0	17	2	2	1.0	17	1500	2	0	1	3.0	15	1050		1	1	3	1	1.5	15
10314	1	3	103.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	0	0	0	0									423	2	0	0								0		
10314	1	3	103.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1.0	23					423	2	0	0								1	1.0	24
10315	1	3	103.0	1.0	2.0	13	2	0	0	0	0	0	1	1	0	2	2	0	0	3	2	2.0	24	1	2	0.5	24	500	2	0	0								0		
10315	1	3	103.0	1.0	2.0	14	2	0	0	0	0	0	0	0	1	1	1	0	0					2	2	1.0	24	440	2	0	0								0		
10316	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	0	2	0	0	3	2	1.0	24					650	2	0	0								1	1.0	22
10317	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	23					300	2	1	0								0		
10317	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	2	1	0	0	0	8	3	1.0	23	4	3	1.0	24	315	2	1	0								1	1.0	25
10318	1	3	103.0	1.0	2.0	13	4	0	0	0	0	0	0	0	0	1	0	0	0					2	2	1.0	24	1932	2	0	0								0		
10318	1	3	103.0	1.0	2.0	14	2	0	0	0	0	0	0	0	0	0	1	0	0					2	2	1.0	24	1110	2	1	0								1	1.0	24
10319	1	3	103.0	1.0	2.0	13	1	0	0	0	0	0	0	0	0	0	1	0	0					5	3	1.0	23	800	2	1	0								1	1.0	16
10319	1	3	103.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	1	0	0					3	3	1.0	22	450	2	1	0								1	1.0	22
10320	1	3	103.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	2	1	0	0	3	2	1.0	24	2	2	0.5	24	250	2	1	0								0		
10401	1	4	104.0	1.0	3.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	5	3	1.0	24					65	2	1	0								0		
10401	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	0	0	1	2	1	0	0	3	2	2.0	24	1	2	1.0	24	800	2	1	0								0		
10402	1	4	104.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	1	0	0					3	2	1.0	23	1350	2	1	0								1	1.0	22
10403	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	0	0	0	0									1350	2	0	0								0		
10404	1	4	104.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									400	2	0	0								0		
10405	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	1	2	2	1	1	1	0	3	2	1.0	23	2	2	1.0	24	800	2	1	0								1	1.0	15
10407	1	4	104.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	8	3	1.0	16					300	2	1	1	2.0	15	600		2	2	3	1	1.0	22
10408	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	2	1	0	0	0	0	0	4	3	1.5	21	3	2	1.0	24	300	2	0	1	2.0	13	700		2	1	2	1	1.0	21
10410	1	4	104.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	12	3	1.0	24					350	2	1	0								0		
10412	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	0	2	0	0	3	2	1.0	23					602	2	0	0								1	1.0	15
10413	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	0	0	0	3	2	1.0	22					160	2	0	1	3.0	15	3000		2	1	3	1	1.0	21
10417	1	4	104.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	22					350	2	1	0								1	1.0	17
10418	1	4	104.0	1.0	3.0	14	1	0	0	0	0	0	0	0	1	2	0	0	0	2	3	2.0	15	1	2	1.0	22	2250	2	1	1	3.0	15	500		2	2	4	1	3.0	22
10419	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	0	1	1	2	2	0	0	3	2	1.0	23	2	2	1.0	24	250	2	0	1	3.0	15	350		2	1	3	1	2.0	21
10420	1	4	104.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	0	2	1	0	3	2	1.0	24	2	2	2.0	25	200	2	0	0								1	1.0	22
10502	1	5	105.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	1	0	0	3	2	1.0	21	3	2	1.0	23	1200	2	1	0								1	1.0	21
10503	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	1	2	0	0	6	3	1.0	22	2	3	1.0	23	800	2	1	0								1	1.0	22
10504	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	1	1	1	1	1	0	0					7	3	1.0	24	450	2	1	0								0		
10505	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	1	0	0	2	2	1.0	24	3	2	0.5	24	200	2	0	0								0		
10507	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	1	0	0	11	3	1.0	23	1	2	1.0	24	155	2	1	0								0		
10508	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	1	0	0	12	3	1.0	24	8	3	1.0	24	820	2	1	0								0		
10509	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	2	0	0	0	0	4	3	1.0	23					450	2	1	0								1	1.0	24
10510	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	2	0	0	3	2	1.0	23					1050	2	1	0								1	1.0	23
10511	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	8	3	1.0	22					400	2	1	0								1	1.0	22
10512	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	1	1	0	0					3	2	1.0	24	450	2	1	0								0		
10513	1	5	105.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	1	0	0					8	2	1.0	23	3700	2	0	0								0		
10515	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	1	2	0	0	0	0	3	3	1.5	22	2	3	0.5	22	670	2	1	0								1	0.5	21
10516	1	5	105.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	1	0	0	2	2	1.0	23	2	2	1.0	24	2000	2	1	0								0		
10518	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	1	0	0					5	3	1.0	23	670	2	0	0								1	1.0	24
10519	1	5	105.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	0	0	0	3	2	1.0	24					750	2	1	0								0		
10520	1	5	105.0	1.0	3.0	14	1	0	0	0	0	0	0	1	0	0	0	0	0					3	2	1.0	15	520	2	1	0								0		
10601	1	6	106.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	0	2	1	0	2	2	1.0	17	1	2	1.0	24	3000	2	0	0								1	1.0	23
10602	1	6	106.0	1.0	3.0	14	3	0	0	0	0	0	0	0	2	2	1	1	0	3	2	1.0	23	2	2	1.0	24	1150	2	0	0								0		
10603	1	6	106.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	1	1	0	6	2	1.0	24	2	2	1.0	24	1402	2	0	0								1	1.0	23
10604	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	1	0	7	3	1.0	24	4	3	1.0	24	300	2	0	0								1	1.0	23
10605	1	6	106.0	1.0	3.0	14	2	0	0	0	0	0	0	0	0	2	1	0	0	8	3	1.0	25	3	3	1.0	25	300	2	0	0								0		
10606	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	14	3	1.0	24					500	2	1	0								0		
10607	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	13	3	1.0	23					300	2	1	0								0		
10608	1	6	106.0	1.0	3.0	13	1	0	0	0	0	0	0	0	0	0	1	2	0	14	3	1.0	23	2	2	1.0	24	1500	2	1	0								0		
10608	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	1	1	2	0	8	3	1.0	23	2	2	1.0	23	1500	2	1	0								0		
10612	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2	1.0	24					100	2	1	0								0		
10613	1	6	106.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	0	0	1	0					1	2	1.0	24	150	2	0	0								1	1.0	24
10614	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	9	2	2.0	22					200	2	1	0								1	2.0	15
10615	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	7	3	1.0	24					400	2	1	0								0		
10617	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	1	0	0	0	0					3	2	1.0	23	400	2	1	0								0		
10618	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	16	3	1.0	24					250	2	1	0								0		
10620	1	6	106.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									2500	2	1	0								0		
10701	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	0	1	1	2	0	0	0	2	3	1.0	22	2	2	1.0	17	450	2	0	0								0		
10702	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	1	1	1	0					4	3	1.0	17	675	2	0	0								1	1.0	15
10703	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	0	0	1	1	0	0	0					3	2	1.0	24	420	2	0	0								0		
10705	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	1	1	0					8	3	1.0	23	470	2	0	0								1	2.0	24
10706	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	0	1	1	1	1	1	0					3	2	1.0	24	3000	2	1	0								0		
10707	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	1	0	9	3	1.0	23	5	3	1.0	23	600	2	1	0								1	1.0	24
10708	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	0	2	0	5	3	1.0	23					200	2	1	0								0		
10710	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	16	3	1.0	23					700	2	1	0								1	1.0	23
10711	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	2	2	2	1	0	0	0	7	2	1.0	24	3	2	1.0	24	5220	2	0	0								1	1.0	21
10713	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	1	0	0	6	2	1.0	24	2	2	1.0	24	4400	2	0	0								1	1.0	15
10714	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	1	0	8	3	1.0	23	5	3	1.0	23	400	2	1	0								1	1.0	24
10715	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	1	1	0	16	3	1.0	23	8	3	1.0	24	550	2	1	0								1	1.0	23
10716	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	8	3	1.0	24					330	2	1	0								0		
10717	1	7	107.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	2	1	0	4	2	1.0	24	1	2	1.0	24	310	2	0	0								0		
10718	1	7	107.0	1.0	3.0	14	1	0	0	0	0	1	1	1	1	1	1	1	0					4	2	1.0	23	910	2	0	0								1	1.0	17
10719	1	7	107.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	1	0	0	8	3	1.0	23	4	3	1.0	23	750	2	1	0								1	2.0	23
10802	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	1	2	0	0	0	0	0	2	3	2.5	15	1	2	1.0	24	450	2	0	1	1.0	15	600		2	1	3	1	1.0	21
10803	1	8	108.0	1.0	2.0	13	1	0	0	0	0	0	0	2	0	0	0	0	0	4	3	1.0	24					55	2	0	0								0		
10804	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	1	2	0	0	0	0	2	3	3.0	22	4	3	1.0	23	1250	2	0	0								0		
10804	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	0	1	0	0					1	1	1.0	23	1250	2	0	0								0		
10805	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1.0	15					130	2	1	0								1	1.0	15
10805	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1.0	15					140	2	1	0								1	1.0	23
10806	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	0	2	0	0	5	3	1.0	23					70	2	0	0								0		
10806	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	1	2	0	0	3	2	1.0	22	2	2	1.0	24	110	2	0	0								1	1.0	22
10808	1	8	108.0	1.0	2.0	13	1	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0.5	15					342	2	1	0								1	1.0	24
10808	1	8	108.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	15					430	2	1	0								0		
10809	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	1	2	0	0	2	2	1.0	23	3	2	1.0	22	120	2	0	0								1	1.0	23
10809	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	1	1	2	1	0	1	2	1.0	23	2	2	1.0	22	180	2	0	0								1	2.0	22
10810	1	8	108.0	1.0	2.0	13	1	0	0	0	0	2	0	0	0	0	0	0	0	3	2	1.0	23					400	2	0	0								1	1.0	23
10810	1	8	108.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									450	2	0	0								0		
10811	1	8	108.0	1.0	2.0	13	2	0	0	0	0	0	0	2	0	0	0	0	0	12	3	1.0	24					60	2	0	0								0		
10811	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	0	0	0	0									300	2	0	0								0		
10812	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	3	2	1.0	25					325	2	1	0								0		
10812	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	0	2	0	0	3	2	1.0	25					310	2	1	0								0		
10814	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	7	2	1.0	23					390	2	0	1	0.5	21		400	2	1	1	0		
10814	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	0	0	2	0	0	3	2	1.0	24					390	2	0	0								0		
10815	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	2	3	1.0	22					700	2	1	0								1	1.0	24
10815	1	8	108.0	1.0	2.0	14	3	0	0	0	0	0	0	0	1	1	1	0	0					2	3	1.0	23	800	2	1	0								1	1.0	22
10816	1	8	108.0	1.0	2.0	13	2	0	0	0	0	0	2	0	0	0	0	0	0	2	2	1.0	21					298	2	0	0								1	1.0	24
10817	1	8	108.0	1.0	2.0	13	1	0	0	0	0	0	0	0	2	0	0	0	0	14	3	1.0	24					250	2	1	0								0		
10817	1	8	108.0	1.0	2.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									330	2	1	0								0		
10819	1	8	108.0	1.0	2.0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	3	2	1.0	22					300	2	1	0								0		
10902	1	9	109.0	1.0	1.0	13	1	0	0	0	0	0	0	0	0	0	0	0	0									700	2	0	0								0		
10902	1	9	109.0	1.0	1.0	14	1	0	0	0	0	0	0	0	0	1	1	1	0					2	2	1.0	23	700	2	1	0								0		
10905	1	9	109.0	1.0	1.0	13	1	0	0	0	0	0	0	0	2	0	0	0	0	3	2	1.0	24					400	2	0	0								0		
10905	1	9	109.0	1.0	1.0	14	3	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1.0	24	1	2	0.5	24	800	2	0	0								1	0.5	15
10906	1	9	109.0	1.0	1.0	13	1	0	0	0	0	0	0	0	0	2	1	0	0	8	3	1.0	23	4	3	1.0	24	340	2	1	0								0		
10906	1	9	109.0	1.0	1.0	14	1	0	0	0	0	0	0	0	0	0	2	0	0	8	3	1.0	24					250	2	1	0								0		
10907	1	9	109.0	1.0	1.0	13	2	0	0	0	0	0	0	0	0	1	2	0	0	8	3	1.0	23	3	2	1.0	24	3300	2	1	0								0		
10907	1	9	109.0	1.0	1.0	14	2	0	0	0	0	0	0	0	0	0	0	0	0									3300	2	1	0								0		
10908	1	9	109.0	1.0	1.0	14	1	0	0	0	0	0	0	2	0	0	0	0	0	4	3	1.0	23					430	2	1	0								0		
10909	1	9	109.0	1.0	1.0	13	1	0	0	0	0	0	0	0	0	0	0	0	0									870	2	0	0								0		
10909	1	9	109.0	1.0	1.0	14	1	0	0	0	0	0	0	0	0	1	2	0	0	2	3	1.0	15	7	3	1.0	24	3570	2	1	0								0		
10911	1	9	109.0	1.0	1.0	13	3	0	0	0	0	0	0	0	0	2	1	0	0	4	2	1.5	24	2	2	3.0	25	400	2	0	0								0		
10912	1	9	109.0	1.0	1.0	13	3	0	0	0	0	0	0	1	0	0	2	2	0	7	2	1.0	24	3	2	1.0	24	4400	2	0	0								1	1.0	24
10912	1	9	109.0	1.0	1.0	14	3	0	0	0	0	0	0	2	2	0	0	0	0	7	2	1.0	24					3750	2	0	0								0		
10913	1	9	109.0	1.0	1.0	13	3	0	0	0	0	0	0	0	0	2	2	1	0	7	2	1.0	23	2	2	0.5	24	1600	2	0	0								0		
10913	1	9	109.0	1.0	1.0	14	3	0	0	0	0	0	0	0	0	1	1	0	0					2	2	1.0	24	1880	2	0	0								0		
10914	1	9	109.0	1.0	1.0	14	3	0	0	0	0	0	0	0	0	1	2	0	0	4	2	1.0	24	2	2	1.0	24	150	2	0	0								0		
10915	1	9	109.0	1.0	1.0	13	3	0	0	0	0	0	0	1	1	0	0	0	0					2	2	1.0	24	405	2	0	0								1	1.0	24
10916	1	9	109.0	1.0	1.0	13	3	0	0	0	0	0	0	0	0	0	0	1	0					2	3	1.0	23	1300	2	1	0								0		
10916	1	9	109.0	1.0	1.0	14	3	0	0	0	0	0	0	0	1	1	2	0	0	2	3	3.0	22	1	2	1.0	17	2600	2	1	0								0		
10917	1	9	109.0	1.0	1.0	13	3	0	0	0	0	0	0	0	0	1	2	0	0	3	2	1.0	24	1	2	1.0	24	200	2	0	0								1	1.5	24
10917	1	9	109.0	1.0	1.0	14	3	0	0	0	0	0	0	0	1	2	1	0	0	2	2	1.0	24	3	3	1.0	24	350	2	0	0								1	1.0	23
10919	1	9	109.0	1.0	1.0	14	1	0	0	0	0	0	0	0	0	0	0	0	0									40	2	0	0								0		
11001	1	10	110.0	1.0	1.0	13	3	0	0	0	0	0	0	2	2	0	0	0	0	4	2	2.0	21					64	2	0	1	1.5	21		500	2	1	1	1	1.0	24
11001	1	10	110.0	1.0	1.0	14	3	0	0	0	0	0	0	0	1	0	0	0	0					2	2	1.0	24	24	2	0	0								0		
11003	1	10	110.0	1.0	1.0	13	2	0	0	0	0	0	0	0	0	2	0	0	0	4	3	1.0	17					110	2	1	0								0		
11004	1	10	110.0	1.0	1.0	13	1	0	0	0	0	0	0	0	0	2	1	0	0	16	3	1.0	23	4	3	1.0	24	460	2	1	0								1	2.0	24
11005	1	10	110.0	1.0	1.0	13	3	0	0	0	0	0	2	2	1	0	0	0	0	7	2	1.0	24	3	2	0.5	24	450	2	0	0								1	1.0	24
11005	1	10	110.0	1.0	1.0	14	3	0	0	0	0	0	2	2	0	0	0	0	0	6	2	1.0	24					400	2	0	0								0		
11006	1	10	110.0	1.0	1.0	13	1	0	0	0	0	0	0	0	0	0	2	0	0	4	3	1.5	17					80	2	1	0								0		
