district	village	villno	strno	group	hhid	g09	g10	g11	g12a	g12b	g12c	g12d	g13	g13a	g14	g14a	g15	g30	g40
1	3	103.0	1.0	2.0	10302	1	4	1	0	1	1	1	1	0			1	1	1
1	3	103.0	1.0	2.0	10303	1	4	1	0	1	1	1	1	0			1	1	1
1	3	103.0	1.0	2.0	10304	1	4	1	0	0	1	1	2	0			1	1	0
1	3	103.0	1.0	2.0	10306	1	4	1	1	1	1	1	1	0			1	1	1
1	3	103.0	1.0	2.0	10307	1	4	1	1	1	1	1	2	0			1	1	1
1	3	103.0	1.0	2.0	10308	1	4	1	0	0	1	1	3	0			1	1	0
1	3	103.0	1.0	2.0	10309	1	4	1	0	1	0	1	1	1	4		1	0	1
1	3	103.0	1.0	2.0	10311	1	4	1	0	0	0	1		0			1	0	0
1	3	103.0	1.0	2.0	10312	1	4	1	0	0	0	1		0			1	0	0
1	3	103.0	1.0	2.0	10313	1	4	1	0	1	1	1	1	0			1	1	1
1	3	103.0	1.0	2.0	10314	1	4	1	0	0	1	1	2	0			1	1	0
1	3	103.0	1.0	2.0	10315	1	4	1	0	1	1	1	1	0			1	1	1
1	3	103.0	1.0	2.0	10316	1	4	1	0	1	1	1	1	0			1	1	1
1	3	103.0	1.0	2.0	10317	1	4	1	0	0	1	1	1	0			1	1	0
1	3	103.0	1.0	2.0	10318	1	4	1	0	0	0	1		0			1	0	0
1	3	103.0	1.0	2.0	10319	1	4	1	0	1	1	1	3	0			1	1	1
1	3	103.0	1.0	2.0	10320	1	4	1	0	0	1	1	1	0			1	1	0
1	4	104.0	1.0	3.0	10401	1	4	1	0	0	0	1		0			1	0	0
1	4	104.0	1.0	3.0	10402	1	4	0											
1	4	104.0	1.0	3.0	10403	1	4	0											
1	4	104.0	1.0	3.0	10404	1	4	0											
1	4	104.0	1.0	3.0	10405	1	4	1	0	0	1	0		1	1		0	1	0
1	4	104.0	1.0	3.0	10407	1	4	0											
1	4	104.0	1.0	3.0	10408	1	4	0											
1	4	104.0	1.0	3.0	10410	1	4	0											
1	4	104.0	1.0	3.0	10411	1	4	0											
1	4	104.0	1.0	3.0	10412	1	4	0											
1	4	104.0	1.0	3.0	10413	1	4	0											
1	4	104.0	1.0	3.0	10414	1	4	0											
1	4	104.0	1.0	3.0	10416	1	4	1	0	1	0	0		1	4		0	0	1
1	4	104.0	1.0	3.0	10417	1	4	0											
1	4	104.0	1.0	3.0	10418	1	3	1	0	0	1	0		1	2	3	0	1	0
1	4	104.0	1.0	3.0	10419	1	4	0											
1	4	104.0	1.0	3.0	10420	1	1	0											
1	5	105.0	1.0	3.0	10501	1	4	0											
1	5	105.0	1.0	3.0	10502	1	4	0											
1	5	105.0	1.0	3.0	10503	1	4	0											
1	5	105.0	1.0	3.0	10504	1	4	0											
1	5	105.0	1.0	3.0	10505	1	4	0											
1	5	105.0	1.0	3.0	10507	1	3	0											
1	5	105.0	1.0	3.0	10508	1	4	0											
1	5	105.0	1.0	3.0	10509	1	4	0											
1	5	105.0	1.0	3.0	10510	1	4	0											
1	5	105.0	1.0	3.0	10511	1	4	0											
1	5	105.0	1.0	3.0	10512	1	4	0											
1	5	105.0	1.0	3.0	10513	1	4	0											
1	5	105.0	1.0	3.0	10515	1	4	0											
1	5	105.0	1.0	3.0	10516	1	4	0											
1	5	105.0	1.0	3.0	10518	1	4	0											
1	5	105.0	1.0	3.0	10519	1	4	0											
1	5	105.0	1.0	3.0	10520	1	4	0											
1	6	106.0	1.0	3.0	10601	1	4	0											
1	6	106.0	1.0	3.0	10602	1	4	0											
1	6	106.0	1.0	3.0	10603	1	4	0											
1	6	106.0	1.0	3.0	10604	1	4	0											
1	6	106.0	1.0	3.0	10605	1	4	0											
1	6	106.0	1.0	3.0	10606	1	4	0											
1	6	106.0	1.0	3.0	10607	1	4	0											
1	6	106.0	1.0	3.0	10608	1	4	1	0	0	0	1		0			1	0	0
1	6	106.0	1.0	3.0	10609	1	4	0											
1	6	106.0	1.0	3.0	10610	0													
1	6	106.0	1.0	3.0	10611	1	4	0											
1	6	106.0	1.0	3.0	10612	1	4	0											
1	6	106.0	1.0	3.0	10613	1	4	0											
1	6	106.0	1.0	3.0	10614	1	4	0											
1	6	106.0	1.0	3.0	10615	1	4	0											
1	6	106.0	1.0	3.0	10617	1	4	0											
1	6	106.0	1.0	3.0	10618	1	4	0											
1	6	106.0	1.0	3.0	10620	1	4	0											
1	7	107.0	1.0	3.0	10701	1	4	0											
1	7	107.0	1.0	3.0	10702	1	4	0											
1	7	107.0	1.0	3.0	10703	1	4	0											
1	7	107.0	1.0	3.0	10705	1	4	0											
1	7	107.0	1.0	3.0	10706	1	4	0											
1	7	107.0	1.0	3.0	10707	1	4	0											
1	7	107.0	1.0	3.0	10708	1	4	0											
1	7	107.0	1.0	3.0	10710	1	4	0											
1	7	107.0	1.0	3.0	10711	1	4	1	1	0	0	0		1	2		0	0	0
1	7	107.0	1.0	3.0	10713	1	4	0											
1	7	107.0	1.0	3.0	10714	1	4	0											
1	7	107.0	1.0	3.0	10715	1	4	0											
1	7	107.0	1.0	3.0	10716	1	4	0											
1	7	107.0	1.0	3.0	10717	1	4	0											
1	7	107.0	1.0	3.0	10718	1	4	0											
1	7	107.0	1.0	3.0	10719	1	4	0											
1	8	108.0	1.0	2.0	10802	1	4	1	0	0	1	1	1	0			1	1	0
1	8	108.0	1.0	2.0	10803	1	4	1	0	0	0	1		0			1	0	0
1	8	108.0	1.0	2.0	10804	1	4	1	0	1	1	1	3	0			1	1	1
1	8	108.0	1.0	2.0	10805	1	4	1	0	0	0	1		0			1	0	0
1	8	108.0	1.0	2.0	10806	1	4	1	0	0	0	1		0			1	0	0
1	8	108.0	1.0	2.0	10807	1	4	1	0	1	1	0		1	19		0	1	1
1	8	108.0	1.0	2.0	10808	1	4	1	0	0	1	1	1	0			1	1	0
1	8	108.0	1.0	2.0	10809	1	4	1	0	1	1	1	2	0			1	1	1
1	8	108.0	1.0	2.0	10810	1	3	1	0	1	1	1	1	0			1	1	1
1	8	108.0	1.0	2.0	10811	1	4	1	0	1	1	1	2	0			1	1	1
1	8	108.0	1.0	2.0	10812	1	4	1	0	1	1	1	1	0			1	1	1
1	8	108.0	1.0	2.0	10814	1	4	1	0	0	0	1		0			1	0	0
1	8	108.0	1.0	2.0	10815	1	4	1	0	1	1	1	3	0			1	1	1
1	8	108.0	1.0	2.0	10816	1	4	1	0	0	0	1		0			1	0	0
1	8	108.0	1.0	2.0	10817	1	4	1	0	0	0	1		0			1	0	0
1	8	108.0	1.0	2.0	10819	1	4	1	0	1	0	1	3	1	2		1	1	1
1	9	109.0	1.0	1.0	10902	1	4	1	0	0	1	1	2	0			1	1	0
1	9	109.0	1.0	1.0	10904	1	4	1	0	1	0	0		1	19		0	0	1
1	9	109.0	1.0	1.0	10905	1	4	1	0	1	1	1	1	0			1	1	1
1	9	109.0	1.0	1.0	10906	1	4	1	0	0	0	1		0			1	0	0
1	9	109.0	1.0	1.0	10907	1	4	1	0	1	1	1	1	0			1	1	1
1	9	109.0	1.0	1.0	10908	1	4	1	0	1	0	0		1	2		0	0	1
1	9	109.0	1.0	1.0	10909	1	4	1	0	1	1	1	1	0			1	1	1
1	9	109.0	1.0	1.0	10911	1	4	1	0	0	1	1	1	0			1	1	0
1	9	109.0	1.0	1.0	10912	1	4	1	0	1	1	1	1	0			1	1	1
1	9	109.0	1.0	1.0	10913	1	4	1	0	0	1	1	1	0			1	1	0
1	9	109.0	1.0	1.0	10914	1	4	1	0	0	1	1	2	0			1	1	0
1	9	109.0	1.0	1.0	10915	1	4	1	0	0	1	1	2	0			1	1	0
1	9	109.0	1.0	1.0	10916	1	1	1	0	1	0	1	3	1	2		1	0	1
1	9	109.0	1.0	1.0	10917	1	4	1	0	0	1	1	2	0			1	1	0
1	9	109.0	1.0	1.0	10919	1	4	1	0	0	1	0		1	4		0	1	0
1	10	110.0	1.0	1.0	11001	1	4	1	0	1	1	1	1	0			1	1	1
1	10	110.0	1.0	1.0	11003	1	4	1	0	1	0	1	2	1	11		1	0	1
1	10	110.0	1.0	1.0	11004	1	4	1	0	0	1	1	1	0			1	1	0
1	10	110.0	1.0	1.0	11005	1	4	1	0	1	1	1	1	0			1	1	1
1	10	110.0	1.0	1.0	11006	1	4	1	0	0	1	1	1	0			1	1	0
1	10	110.0	1.0	1.0	11007	1	4	0											
1	10	110.0	1.0	1.0	11009	1	4	1	0	1	0	0		1	4	19	0	0	1
1	10	110.0	1.0	1.0	11011	1	4	1	0	1	1	1	2	0			1	1	1
1	10	110.0	1.0	1.0	11013	1	4	1	0	1	1	1	1	0			1	1	1
1	10	110.0	1.0	1.0	11014	1	4	1	0	1	1	1	1	0			1	1	1
1	10	110.0	1.0	1.0	11015	1	4	1	0	1	1	0		1	19		0	1	1
1	10	110.0	1.0	1.0	11016	1	4	1	0	0	0	1		0			1	0	0
1	10	110.0	1.0	1.0	11017	1	4	1	0	1	1	1	3	0			1	1	1
1	10	110.0	1.0	1.0	11018	1	4	1	0	1	1	1	2	0			1	1	1
1	10	110.0	1.0	1.0	11019	1	4	1	0	1	1	1	1	0			1	1	1
1	11	111.0	1.0	1.0	11102	1	4	1	0	1	1	1	1	0			1	1	1
1	11	111.0	1.0	1.0	11103	1	4	1	0	1	1	1	2	0			1	1	1
1	11	111.0	1.0	1.0	11104	1	4	1	0	0	1	0		1	4		0	1	0
1	11	111.0	1.0	1.0	11105	1	4	1	0	0	1	1	1	0			1	1	0
1	11	111.0	1.0	1.0	11108	1	4	1	0	0	1	1	1	0			1	1	0
1	11	111.0	1.0	1.0	11109	1	4	1	0	1	1	1	2	0			1	1	1
1	11	111.0	1.0	1.0	11110	1	4	1	0	1	1	1	1	0			1	1	1
1	11	111.0	1.0	1.0	11112	1	4	1	0	1	1	1	2	0			1	1	1
1	11	111.0	1.0	1.0	11113	1	3	1	0	1	0	0		1	2		0	0	1
1	11	111.0	1.0	1.0	11114	1	4	1	0	1	0	0		1	1		0	0	1
1	11	111.0	1.0	1.0	11115	1	4	1	0	1	1	1	1	0			1	1	1
1	11	111.0	1.0	1.0	11116	1	4	1	0	1	1	1	1	0			1	1	1
1	11	111.0	1.0	1.0	11117	1	4	1	0	1	1	1	3	0			1	1	1
1	11	111.0	1.0	1.0	11118	1	4	1	0	1	1	1	2	0			1	1	1
1	11	111.0	1.0	1.0	11119	1	4	1	0	1	1	1	3	0			1	1	1
1	11	111.0	1.0	1.0	11120	1	4	1	0	0	0	1		0			1	0	0
1	12	112.0	1.0	2.0	11201	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11202	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11203	1	4	1	0	0	1	1	2	0			1	1	0
1	12	112.0	1.0	2.0	11204	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11205	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11206	1	4	1	0	0	0	1		0			1	0	0
1	12	112.0	1.0	2.0	11207	1	4	1	0	0	1	0		1	4		0	1	0
1	12	112.0	1.0	2.0	11208	1	4	1	0	0	0	1		0			1	0	0
1	12	112.0	1.0	2.0	11209	1	4	1	0	1	1	1	2	0			1	1	1
1	12	112.0	1.0	2.0	11210	1	4	1	0	1	1	1	3	0			1	1	1
1	12	112.0	1.0	2.0	11211	1	4	1	0	1	0	0		1	19		0	0	1
1	12	112.0	1.0	2.0	11212	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11213	1	4	1	0	0	1	1	1	0			1	1	0
1	12	112.0	1.0	2.0	11214	1	4	1	0	0	1	1	2	0			1	1	0
1	12	112.0	1.0	2.0	11215	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11216	1	4	1	0	1	0	1	1	1	1		1	0	1
1	12	112.0	1.0	2.0	11217	1	4	0											
1	12	112.0	1.0	2.0	11218	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11219	1	4	1	0	1	1	1	1	0			1	1	1
1	12	112.0	1.0	2.0	11220	1	4	1	0	1	0	1	1	1	19		1	0	1
1	13	113.0	1.0	3.0	11301	1	4	0											
1	13	113.0	1.0	3.0	11302	1	3	0											
1	13	113.0	1.0	3.0	11303	1	4	0											
1	13	113.0	1.0	3.0	11304	1	4	0											
1	13	113.0	1.0	3.0	11305	1	4	0											
1	13	113.0	1.0	3.0	11306	1	4	0											
1	13	113.0	1.0	3.0	11307	1	4	0											
1	13	113.0	1.0	3.0	11308	1	4	0											
1	13	113.0	1.0	3.0	11309	1	4	0											
1	13	113.0	1.0	3.0	11310	1	4	0											
1	13	113.0	1.0	3.0	11311	1	4	0											
1	13	113.0	1.0	3.0	11312	1	4	0											
1	13	113.0	1.0	3.0	11313	1	4	0											
1	13	113.0	1.0	3.0	11314	1	4	0											
1	13	113.0	1.0	3.0	11316	1	4	0											
1	13	113.0	1.0	3.0	11317	1	4	0											
1	13	113.0	1.0	3.0	11318	1	4	1	0	1	0	0		1	3		0	0	1
1	14	114.0	1.0	2.0	11401	1	4	1	0	0	1	1	2	0			1	1	0
1	14	114.0	1.0	2.0	11402	1	4	1	0	1	1	1	2	0			1	1	1
1	14	114.0	1.0	2.0	11403	1	4	1	0	1	1	1	2	0			1	1	1
1	14	114.0	1.0	2.0	11404	1	4	1	0	1	1	1	1	0			1	1	1
1	14	114.0	1.0	2.0	11405	1	4	1	0	1	1	1	2	0			1	1	1
1	14	114.0	1.0	2.0	11406	1	4	1	0	0	1	1	1	0			1	1	0
1	14	114.0	1.0	2.0	11407	1	4	1	0	1	1	1	1	0			1	1	1
1	14	114.0	1.0	2.0	11408	1	4	1	0	0	1	1	1	0			1	1	0
1	14	114.0	1.0	2.0	11409	1	4	1	0	0	1	0		1	2		0	1	0
1	14	114.0	1.0	2.0	11410	1	4	1	0	1	1	1	1	0			1	1	1
1	14	114.0	1.0	2.0	11411	1	4	1	0	1	1	0		1	5		0	1	1
1	14	114.0	1.0	2.0	11412	1	4	1	0	1	1	1	1	0			1	1	1
1	14	114.0	1.0	2.0	11413	1	3	0											
1	14	114.0	1.0	2.0	11414	1	4	1	0	0	1	1	2	0			1	1	0
1	14	114.0	1.0	2.0	11415	1	4	1	0	0	1	1	1	0			1	1	0
1	14	114.0	1.0	2.0	11416	1	4	0											
1	14	114.0	1.0	2.0	11417	1	4	1	0	1	1	1	1	0			1	1	1
1	14	114.0	1.0	2.0	11418	1	4	1	0	0	1	1	1	0			1	1	0
1	14	114.0	1.0	2.0	11419	1	4	1	0	1	1	1	1	0			1	1	1
1	14	114.0	1.0	2.0	11420	1	4	1	0	1	1	1	1	0			1	1	1
1	15	115.0	1.0	1.0	11502	1	4	1	0	1	1	1	1	0			1	1	1
1	15	115.0	1.0	1.0	11503	1	4	1	0	1	1	1	1	0			1	1	1
1	15	115.0	1.0	1.0	11504	1	4	1	0	0	1	1	1	0			1	1	0
1	15	115.0	1.0	1.0	11505	1	4	1	0	0	1	1	1	0			1	1	0
1	15	115.0	1.0	1.0	11506	1	4	1	0	1	1	1	1	0			1	1	1
1	15	115.0	1.0	1.0	11507	1	4	1	0	1	0	0		1	6		0	0	1
1	15	115.0	1.0	1.0	11508	1	4	1	0	0	1	1	2	0			1	1	0
1	15	115.0	1.0	1.0	11510	1	4	1	0	1	1	1	1	0			1	1	1
1	15	115.0	1.0	1.0	11511	1	4	1	0	1	1	1	2	0			1	1	1
1	15	115.0	1.0	1.0	11512	1	4	1	0	0	0	1		0			1	0	0
1	15	115.0	1.0	1.0	11513	1	4	1	0	0	1	0		1	2		0	1	0
1	15	115.0	1.0	1.0	11514	1	3	1	0	0	0	1		0			1	0	0
1	15	115.0	1.0	1.0	11515	1	4	1	0	0	1	1	1	0			1	1	0
1	15	115.0	1.0	1.0	11516	1	4	1	0	1	1	0		1	1		0	1	1
1	15	115.0	1.0	1.0	11517	1	4	1	0	1	0	0		1	8		0	0	1
1	15	115.0	1.0	1.0	11519	1	4	1	0	1	0	1	2	1	2		1	0	1
1	16	116.0	1.0	1.0	11601	1	4	1	0	1	0	0		1	4		0	0	1
1	16	116.0	1.0	1.0	11602	1	4	1	0	1	1	1	1	0			1	1	1
1	16	116.0	1.0	1.0	11603	1	4	1	0	1	1	1	1	0			1	1	1
1	16	116.0	1.0	1.0	11604	1	4	1	0	1	1	0		1	1		0	1	1
1	16	116.0	1.0	1.0	11606	1	4	1	0	0	1	1	1	0			1	1	0
1	16	116.0	1.0	1.0	11607	1	4	1	0	1	1	1	2	0			1	1	1
1	16	116.0	1.0	1.0	11608	1	4	1	0	1	1	1	1	0			1	1	1
1	16	116.0	1.0	1.0	11609	1	4	1	0	1	1	1	2	0			1	1	1
1	16	116.0	1.0	1.0	11610	1	4	1	0	1	1	1	2	0			1	1	1
1	16	116.0	1.0	1.0	11612	1	4	1	0	0	0	1		0			1	0	0
1	16	116.0	1.0	1.0	11613	1	4	1	0	0	0	1		0			1	0	0
1	16	116.0	1.0	1.0	11614	1	4	1	0	0	1	1	1	0			1	1	0
1	16	116.0	1.0	1.0	11615	1	4	1	0	1	1	1	1	0			1	1	1
1	16	116.0	1.0	1.0	11616	1	4	1	0	1	1	1	3	0			1	1	1
1	16	116.0	1.0	1.0	11617	1	4	1	0	0	0	1		0			1	0	0
1	16	116.0	1.0	1.0	11618	1	4	1	0	0	0	1		0			1	0	0
1	16	116.0	1.0	1.0	11619	1	4	1	0	0	0	1		0			1	0	0
1	16	116.0	1.0	1.0	11620	1	4	1	0	0	0	1		0			1	0	0
1	17	117.0	1.0	2.0	11701	1	4	1	0	0	0	1		0			1	0	0
1	17	117.0	1.0	2.0	11702	1	4	1	0	1	1	1	3	0			1	1	1
1	17	117.0	1.0	2.0	11703	1	4	1	0	0	1	1	3	0			1	1	0
1	17	117.0	1.0	2.0	11704	1	4	1	0	1	1	1	2	0			1	1	1
1	17	117.0	1.0	2.0	11705	1	4	1	0	1	0	1	2	1	3		1	0	1
1	17	117.0	1.0	2.0	11706	1	4	1	0	1	1	1	1	0			1	1	1
1	17	117.0	1.0	2.0	11707	1	4	1	0	1	1	1	1	0			1	1	1
1	17	117.0	1.0	2.0	11708	1	4	1	0	1	1	1	1	0			1	1	1
1	17	117.0	1.0	2.0	11709	1	4	0											
1	17	117.0	1.0	2.0	11710	1	4	1	0	1	0	1	1	1	3	4	1	0	1
1	17	117.0	1.0	2.0	11711	1	4	1	0	0	1	1	1	0			1	1	0
1	17	117.0	1.0	2.0	11712	1	4	1	0	1	0	1	2	1	1		1	0	1
1	17	117.0	1.0	2.0	11713	1	4	1	0	0	1	1	2	0			1	1	0
1	17	117.0	1.0	2.0	11714	1	4	1	0	0	0	1		0			1	0	0
1	17	117.0	1.0	2.0	11715	1	4	1	0	1	1	1	1	0			1	1	1
1	17	117.0	1.0	2.0	11716	1	4	1	0	1	1	1	2	0			1	1	1
1	17	117.0	1.0	2.0	11717	1	4	1	0	1	1	1	2	0			1	1	1
1	17	117.0	1.0	2.0	11718	1	4	1	0	0	1	1	1	0			1	1	0
1	17	117.0	1.0	2.0	11719	1	4	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11801	1	4	1	0	1	1	1	3	0			1	1	1
1	18	118.0	1.0	1.0	11803	1	2	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11804	1	4	1	0	0	1	1	1	0			1	1	0
1	18	118.0	1.0	1.0	11805	1	4	0											
1	18	118.0	1.0	1.0	11806	1	4	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11807	1	4	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11808	1	4	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11811	1	4	1	0	1	1	1	1	0			1	1	1
1	18	118.0	1.0	1.0	11812	1	4	1	0	1	0	1	2	1	2		1	0	1
1	18	118.0	1.0	1.0	11813	1	4	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11814	1	4	1	0	1	0	0		1	1		0	0	1
1	18	118.0	1.0	1.0	11815	1	4	0											
1	18	118.0	1.0	1.0	11816	1	4	1	0	0	0	1		0			1	0	0
1	18	118.0	1.0	1.0	11817	1	4	0											
2	1	201.0	2.0	3.0	20101	1	4	0											
2	1	201.0	2.0	3.0	20102	1	3	0											
2	1	201.0	2.0	3.0	20103	1	4	0											
2	1	201.0	2.0	3.0	20104	1	3	0											
2	1	201.0	2.0	3.0	20105	1	4	0											
2	1	201.0	2.0	3.0	20106	1	2	0											
2	1	201.0	2.0	3.0	20107	1	3	1	0	0	1	1	3	0			1	1	0
2	1	201.0	2.0	3.0	20108	1	3	0											
2	1	201.0	2.0	3.0	20109	1	3	0											
2	1	201.0	2.0	3.0	20110	1	4	0											
2	1	201.0	2.0	3.0	20111	1	1	0											
2	1	201.0	2.0	3.0	20112	0													
2	1	201.0	2.0	3.0	20113	1	4	0											
2	1	201.0	2.0	3.0	20114	1	4	0											
2	1	201.0	2.0	3.0	20115	0													
2	1	201.0	2.0	3.0	20116	0													
2	1	201.0	2.0	3.0	20117	1	3	0											
2	1	201.0	2.0	3.0	20118	1	1	0											
2	1	201.0	2.0	3.0	20119	1	4	0											
2	1	201.0	2.0	3.0	20120	1	4	0											
2	2	202.0	2.0	3.0	20201	1	4	0											
2	2	202.0	2.0	3.0	20202	1	4	1	0	0	1	0		1	19		0	0	1
2	2	202.0	2.0	3.0	20203	1	4	0											
2	2	202.0	2.0	3.0	20204	1	4	0											
2	2	202.0	2.0	3.0	20205	0													
2	2	202.0	2.0	3.0	20206	1	4	0											
2	2	202.0	2.0	3.0	20207	1	4	1	0	1	1	1	1	0			1	1	1
2	2	202.0	2.0	3.0	20208	1	4	0											
2	2	202.0	2.0	3.0	20209	1	4	1	0	1	1	1	1	0			1	1	1
2	2	202.0	2.0	3.0	20210	1	2	0											
2	2	202.0	2.0	3.0	20211	1	3	0											
2	2	202.0	2.0	3.0	20212	1	2	0											
2	2	202.0	2.0	3.0	20213	1	3	0											
2	2	202.0	2.0	3.0	20214	1	4	0											
2	2	202.0	2.0	3.0	20215	1	2	0											
2	2	202.0	2.0	3.0	20216	1	4	0											
2	2	202.0	2.0	3.0	20217	1	4	1	1	0	0	0		0			1	0	0
2	2	202.0	2.0	3.0	20218	1	1	1	0	0	1	0		1	1		0	1	0
2	2	202.0	2.0	3.0	20219	1	4	0											
2	2	202.0	2.0	3.0	20220	1	4	0											
2	3	203.0	2.0	2.0	20301	1	4	1	0	1	1	1	1	0			1	1	1
2	3	203.0	2.0	2.0	20302	1	4	1	0	1	1	1	1	0			1	1	1
2	3	203.0	2.0	2.0	20303	1	3	1	0	0	1	1	1	0			1	1	0
2	3	203.0	2.0	2.0	20304	1	3	1	0	0	1	1	1	0			1	1	0
2	3	203.0	2.0	2.0	20305	1	4	1	0	1	1	0		1	4		0	1	1
2	3	203.0	2.0	2.0	20306	1	4	1	0	1	1	1	2	0			1	1	1
2	3	203.0	2.0	2.0	20307	0													
2	3	203.0	2.0	2.0	20308	1	4	1	1	0	0	0		0			1	0	0
2	3	203.0	2.0	2.0	20309	1	4	1	1	0	0	0		0			1	0	0
2	3	203.0	2.0	2.0	20310	1	4	1	0	1	1	1	1	0			1	1	1
2	3	203.0	2.0	2.0	20311	1	4	1	0	1	1	1	2	0			1	1	1
2	3	203.0	2.0	2.0	20312	1	3	1	0	0	1	1	2	0			1	1	0
2	3	203.0	2.0	2.0	20313	1	4	1	0	1	1	0		1	4		0	1	1
2	3	203.0	2.0	2.0	20314	1	4	1	0	1	1	0		1	3		0	1	1
2	3	203.0	2.0	2.0	20315	1	4	1	0	0	1	0		1	4		0	1	0
2	3	203.0	2.0	2.0	20316	1	4	1	0	1	1	1	2	0			1	1	1
2	3	203.0	2.0	2.0	20317	1	4	1	0	1	1	1	1	0			1	1	1
2	3	203.0	2.0	2.0	20318	1	4	1	0	0	1	1	3	0			1	1	0
2	3	203.0	2.0	2.0	20319	1	4	1	0	0	1	1	3	0			1	1	0
2	3	203.0	2.0	2.0	20320	1	4	1	0	0	1	1	2	0			1	1	0
2	4	204.0	2.0	2.0	20401	1	3	1	0	1	1	1	1	0			1	1	1
2	4	204.0	2.0	2.0	20402	1	4	1	0	1	1	1	2	0			1	1	1
2	4	204.0	2.0	2.0	20403	1	4	1	0	1	1	1	3	0			1	1	1
2	4	204.0	2.0	2.0	20404	1	4	1	0	1	1	1	1	0			1	1	1
2	4	204.0	2.0	2.0	20405	1	3	1	0	0	1	1	2	0			1	1	0
2	4	204.0	2.0	2.0	20407	1	4	1	0	0	1	1	2	0			1	1	0
2	4	204.0	2.0	2.0	20408	1	3	1	0	0	1	1	2	0			1	1	0
2	4	204.0	2.0	2.0	20409	1	4	1	0	1	1	1	1	0			1	1	1
2	4	204.0	2.0	2.0	20410	1	4	1	0	1	1	1	2	0			1	1	1
2	4	204.0	2.0	2.0	20411	1	4	1	0	1	0	0		1	4		0	0	1
2	4	204.0	2.0	2.0	20412	1	4	1	0	1	1	1	1	0			1	1	1
2	4	204.0	2.0	2.0	20413	1	2	1	0	1	1	0		1	4		0	1	1
2	4	204.0	2.0	2.0	20414	1	4	0											
2	4	204.0	2.0	2.0	20415	1	4	0											
2	4	204.0	2.0	2.0	20416	1	4	1	0	0	1	1	2	0			1	1	0
2	4	204.0	2.0	2.0	20417	1	3	1	1	1	1	1	3	0			1	1	1
