district	village	villno	strno	group	hhid	i01	i02	i03	i04	i05	i06	i07	i07a	i07b	i08	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30
1	6	106.0	1.0	3.0	10609	1	3	1	2	1	0				0	0																				
1	6	106.0	1.0	3.0	10610	1	3	1	6	6	1	1			1	0																				
1	6	106.0	1.0	3.0	10611	0		1	7	7	1	1			1	0																				
1	6	106.0	1.0	3.0	10612	0		0		1	1	1			1	0																				
1	6	106.0	1.0	3.0	10613	0		0		4	1	1			0	0																				
1	6	106.0	1.0	3.0	10614	0		0		2	0				0	0																				
1	6	106.0	1.0	3.0	10615	0		0		1	1	1			1	0																				
1	6	106.0	1.0	3.0	10617	0		0		2	1	1			0	0																				
1	6	106.0	1.0	3.0	10618	0		0		1	0				1	0																				
1	6	106.0	1.0	3.0	10620	0		1	2	6	1	1			1	0																				
1	7	107.0	1.0	3.0	10701	0		0		6	1	1			0	1	8																			
1	7	107.0	1.0	3.0	10702	0		0		2	1	1			0	0																				
1	7	107.0	1.0	3.0	10703	1	4	0		1	1	1			1	0																				
1	7	107.0	1.0	3.0	10705	0		1	1	1	0				1	0																				
1	7	107.0	1.0	3.0	10706	0		0		1	1	1			1	0																				
1	7	107.0	1.0	3.0	10707	0		1	1	1	0				0	0																				
1	7	107.0	1.0	3.0	10708	1	3	1	1	1	0				0	0																				
1	7	107.0	1.0	3.0	10710	0		0		2	0				0	0																				
1	7	107.0	1.0	3.0	10711	0		0		4	1	1			1	0																				
1	7	107.0	1.0	3.0	10713	0		0		2	1	1			0	0																				
1	7	107.0	1.0	3.0	10714	1	3	1	2	1	0				0	0																				
1	7	107.0	1.0	3.0	10715	0		0		1	1	1			1	0																				
1	7	107.0	1.0	3.0	10716	0		0		1	0				0	0																				
1	7	107.0	1.0	3.0	10717	0		0		2	1	1			0	0																				
1	7	107.0	1.0	3.0	10718	0		0		4	1	1			1	0																				
1	7	107.0	1.0	3.0	10719	0		0		1	1	1			1	0																				
1	8	108.0	1.0	2.0	10802	0		1	9	9	1	1			1	1	9	1	0			1	1	4	1	0	1	0	1	0	0	2	2	0	0	0
1	8	108.0	1.0	2.0	10803	0		0		4	1	1	3		1	1	8	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	3	0	0	0
1	8	108.0	1.0	2.0	10804	0		1	2	1	1	1	3		1	1	8	1	0			1	1	2	2	1	1	0	1	0	1	1	1	0	0	0
1	8	108.0	1.0	2.0	10805	1	4	1	9	4	1	1			0	1	9	1	1	0		1	1	3	0	1	1	0	1	0	1	1	1	0	0	0
1	8	108.0	1.0	2.0	10806	0		1	9	9	1	1			1	1	9	1	0			0											2	0	0	0
1	8	108.0	1.0	2.0	10807	0		1	9	2	1	1	3		0	1	9	1	1	1	2	1	1	6	4	0	1	1	0	1	0	1	2	0	0	0
1	8	108.0	1.0	2.0	10808	0		1	8	8	1	3	1		1	1	8	1	0			1	1	3	1	1	0	0	0	0	0	2	1	0	0	0
1	8	108.0	1.0	2.0	10809	1	5	1	9	9	1	1	3		1	1	9	1	1	0		1	1	3	1	0	1	0	1	1	0	1	2	1	1	0
1	8	108.0	1.0	2.0	10810	1	4	1	4	1	1	1			0	1	9	1	0			1	1	2	0	0	1	1	0	0	1	1	1	0	0	0
1	8	108.0	1.0	2.0	10811	0		0		1	1	3			0	1	8	1	0			1	1	1	0	1	1	0	1	0	0	1	3	0	0	0
1	8	108.0	1.0	2.0	10812	0		0		2	1	1			0	1	9	1	0			1	0	1	0	0	0	0	1	0	0	2	1	0	0	0
1	8	108.0	1.0	2.0	10814	0		0		1	1	1			0	1	9	1	0			0											1	1	0	0
1	8	108.0	1.0	2.0	10815	0		1	3	2	1	1	3		0	1	8	1	1	0		0											1	0	0	0
1	8	108.0	1.0	2.0	10816	0		1	9	9	1	1			1	1	9	1	1	0		1	0	1	0	0	0	0	1	0	0	1	1	0	0	0
1	8	108.0	1.0	2.0	10817	0		0		2	1	1	3		1	0		1	1	1	1	1	1	1	1	1	0	0	0	0	0	2	1	0	0	0
1	8	108.0	1.0	2.0	10819	1	3	1	9	9	1	3			0	1	9	1	1	0		1	1	1	0	0	1	0	1	0	0	1	1	1	0	0
1	9	109.0	1.0	1.0	10902	1	2	1	5	5	1	1	3		1	1	9	1	1	0		1	0	3	0	1	0	0	0	0	1	2	2	0	0	0
1	9	109.0	1.0	1.0	10904	0		0		1	1	1	3		0	0		1	0			0											9	0	0	0
1	9	109.0	1.0	1.0	10905	1	4	0		4	1	1	3		0	1	8	0				1	1	10	4	1	1	0	0	0	0	2	1	1	0	0
1	9	109.0	1.0	1.0	10906	0		0		8	1	3	1		1	1	8	1	0			1	1	2	0	1	1	0	0	0	1	2	1	0	0	0
1	9	109.0	1.0	1.0	10907	0		1	9	9	1	1	3		1	1	9	1	1	0		1	1	4	3	1	1	0	0	1	1	1	1	0	0	0
1	9	109.0	1.0	1.0	10908	0		0		8	1	3			0	1	8	1	1	0		1	1	2	0	1	0	0	0	0	1	2	1	0	0	0
1	9	109.0	1.0	1.0	10909	1	1	0		6	1	1	3		0	1	8	1	1	0		1	1	1	0	1	1	0	0	0	1	1	3	0	0	0
1	9	109.0	1.0	1.0	10911	0		1	9	9	0				0	1	9	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	0	0	0
1	9	109.0	1.0	1.0	10912	0		0		4	1	1	3		0	1	9	1	1	0		0											1	0	0	0
1	9	109.0	1.0	1.0	10913	1	4	1	5	4	1	1	3		0	1	9	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0
1	9	109.0	1.0	1.0	10914	1	2	1	9	9	0				0	1	9	1	1	0		1	1	1	1	1	1	0	1	0	0	2	2	0	0	0
1	9	109.0	1.0	1.0	10915	1	4	1	9	9	1	1	3		0	1	9	1	1	0		1	1	2	1	1	0	0	1	0	0	2	1	0	0	0
1	9	109.0	1.0	1.0	10916	0		0		1	1	1	3		1	1	9	1	1	0		1	1	2	0	1	1	0	0	1	1	1	3	0	0	0
1	9	109.0	1.0	1.0	10917	0		1	9	9	0				0	1	9	1	1	1	1	1	1	3	1	1	0	1	1	1	1	1	1	0	0	0
1	9	109.0	1.0	1.0	10919	0		0		9	1	1	3		1	1	9	1	1	0		1	1	3	1	1	1	0	0	0	0	2	3	1	0	0
1	10	110.0	1.0	1.0	11001	1	11	1	8	6	1	1	3		0	1	8	1	1	1	5	1	1	3	1	1	1	0	1	0	0	1	1	0	0	0
1	10	110.0	1.0	1.0	11003	0		1	1	9	1	1			1	1	9	1	1	0		1	1	2	1	1	1	0	0	0	0	1	1	0	0	0
1	10	110.0	1.0	1.0	11004	0		1	8	8	1	1	3		1	1	8	1	0			1	1	3	1	1	1	0	0	0	1	2	1	0	0	0
1	10	110.0	1.0	1.0	11005	1	4	0		1	1	1	3		0	1	9	1	1	1	3	1	1	4	0	1	0	1	1	0	0	2	1	0	0	0
1	10	110.0	1.0	1.0	11006	0		1	1	9	1	1			1	1	9	1	1	1	1	1	1	2	1	1	1	0	0	0	0	1	3	0	0	0
1	10	110.0	1.0	1.0	11007	0		0		8	1	1	3		1	0		1	0			0											9	0	0	0
1	10	110.0	1.0	1.0	11009	0		0		4	1	1			1	1	9	1	0			1	0	1	0	1	1	0	0	0	0	1	3	0	0	0
1	10	110.0	1.0	1.0	11011	1	4	1	9	9	1	1			1	1	9	1	1	1	2	1	1	3	1	1	1	0	1	1	1	1	1	1	0	0
1	10	110.0	1.0	1.0	11013	1	4	1	9	9	1	1	3		1	1	9	1	1	0		1	1	3	0	1	0	0	1	0	0	2	1	1	0	0
1	10	110.0	1.0	1.0	11014	1	4	1	9	9	1	1	3		0	1	9	1	1	0		1	0	4	0	1	1	0	1	0	0	2	1	0	0	0
1	10	110.0	1.0	1.0	11015	0		1	1	1	1	1	3		1	1	8	1	1	0		1	1	4	1	1	1	0	1	0	1	1	1	1	0	0
1	10	110.0	1.0	1.0	11016	0		1	9	9	1	1			1	1	9	1	0			1	1	2	1	1	0	0	0	0	1	2	1	0	0	0
1	10	110.0	1.0	1.0	11017	1	3	1	9	9	1	1	3		1	1	8	1	1	0		1	1	6	1	1	1	0	0	1	0	1	3	1	0	0
1	10	110.0	1.0	1.0	11018	0		1	9	4	1	1	3		1	1	9	1	0			1	1	1	0	1	0	0	0	0	0	2	2	0	0	0
1	10	110.0	1.0	1.0	11019	0		1	4	2	1	1	3		1	1	8	1	1	0		1	1	3	0	1	1	0	0	0	0	1	2	0	0	0
1	11	111.0	1.0	1.0	11102	0		1	8	8	1	1	3		1	1	8	1	0			1	1	2	0	1	1	0	0	0	1	2	1	0	0	0
1	11	111.0	1.0	1.0	11103	1	4	1	5	4	1	1			0	1	9	1	1	1	3	1	1	2	1	1	1	0	0	0	0	1	3	1	0	0
1	11	111.0	1.0	1.0	11104	0		1	6	6	1	1			1	1	9	1	0			1	0	1	0	1	1	0	0	0	0	1	1	0	0	0
1	11	111.0	1.0	1.0	11105	0		1	8	8	1	1	3		1	1	8	1	1	1	2	1	1	2	0	1	1	0	0	0	0	2	1	0	0	0
1	11	111.0	1.0	1.0	11108	1	5	1	8	8	1	3			0	1	8	1	1	1	1	1	1	4	1	1	1	1	0	0	0	2	1	0	0	0
1	11	111.0	1.0	1.0	11109	1	4	0		1	1	3	9	1	1	1	9	1	1	1	1	1	1	3	1	1	1	0	1	0	0	1	1	1	0	0
1	11	111.0	1.0	1.0	11110	1	5	1	8	8	1	1	3		1	1	8	1	1	0		1	1	4	1	1	1	0	0	0	1	2	1	0	0	0
1	11	111.0	1.0	1.0	11112	0		1	2	2	1	1			1	1	2	1	1	1	1	1	1	3	1	1	1	0	1	1	1	2	1	0	0	0
1	11	111.0	1.0	1.0	11113	0		0		8	1	1	3		1	1	6	1	1	0		0											1	0	0	0
1	11	111.0	1.0	1.0	11114	0		0		9	0				0	1	8	1	1	0		1	1	2	0	0	1	0	1	1	0	2	1	0	0	0
1	11	111.0	1.0	1.0	11115	0		1	8	8	1	3	1		1	1	8	1	1	1	1	1	1	3	1	1	1	0	0	0	0	2	1	0	0	0
1	11	111.0	1.0	1.0	11116	1	4	1	4	4	1	1	3		1	1	9	1	1	0		1	1	3	1	1	1	1	0	0	0	2	2	1	0	0
1	11	111.0	1.0	1.0	11117	1	2	1	9	1	1	1	3		1	1	9	1	1	1	4	1	1	7	2	1	1	0	1	1	1	1	1	1	0	0
1	11	111.0	1.0	1.0	11118	1	6	1	8	8	1	1	3		1	1	8	0				1	1	10	4	1	1	1	1	0	0	1	2	1	1	0
1	11	111.0	1.0	1.0	11119	1	1	1	7	8	1	1	3		1	1	9	1	1	0		1	1	2	0	1	0	0	1	0	1	1	1	1	0	0
1	11	111.0	1.0	1.0	11120	0		0		1	1	1	3		0	1	9	1	0			0											1	0	0	0
1	12	112.0	1.0	2.0	11201	1	5	1	1	8	1	3	1		1	1	8	3				1	1	3	1	1	1	0	0	0	0	2	1	0	0	0
1	12	112.0	1.0	2.0	11202	0		1	8	8	1	1	3		1	1	8	1	1	1	1	1	1	3	1	1	1	0	0	0	1	2	1	0	0	0
1	12	112.0	1.0	2.0	11203	0		1	5	1	0				0	1	8	1	1	1	3	1	1	4	3	0	1	1	0	0	0	2	1	0	0	0
1	12	112.0	1.0	2.0	11204	0		0		1	1	1			0	0		1	0			1	0	3	0	0	1	0	1	0	0	2	1	0	0	0
1	12	112.0	1.0	2.0	11205	1	3	0		1	1	1			0	1	8	1	1	1	4	1	1	5	4	0	1	1	0	0	0	1	1	1	0	0
1	12	112.0	1.0	2.0	11206	0		1	2	1	0				0	1	9	1	1	1	1	1	1	1	1	0	1	0	0	0	0	2	1	0	0	0
1	12	112.0	1.0	2.0	11207	0		1	1	1	0				0	1	9	1	0			0											3	0	0	0
1	12	112.0	1.0	2.0	11208	0		0		2	0				0	1	8	1	0			1	1	5	3	0	0	1	0	0	1	2	1	1	0	0
1	12	112.0	1.0	2.0	11209	0		1	8	8	1	1	3		1	1	8	1	1	1	1	1	1	1	1	1	1	0	0	0	1	2	1	0	0	0
1	12	112.0	1.0	2.0	11210	1	6	1	8	8	1	1	3		0	1	8	1	1	0		1	1	3	0	1	1	0	0	1	0	1	1	1	0	0
1	12	112.0	1.0	2.0	11211	1	2	1	8	8	1	1	3		0	1	8	1	1	0		0											9	0	0	0
1	12	112.0	1.0	2.0	11212	1	2	1	9	9	1	3			0	1	9	1	1	1	1	1	1	3	1	1	0	0	0	0	1	2	3	0	0	0
1	12	112.0	1.0	2.0	11213	0		1	8	8	1	3			0	1	8	1	0			1	1	1	0	1	1	1	0	0	1	2	1	0	0	0
1	12	112.0	1.0	2.0	11214	1	6	1	9	2	0				0	1	8	1	1	1	2	1	1	3	2	1	1	1	0	1	1	2	1	0	0	1
1	12	112.0	1.0	2.0	11215	0		0		2	0				0	1	9	1	1	1	3	1	1	4	4	0	0	1	0	0	1	2	1	0	0	0
1	12	112.0	1.0	2.0	11216	1	2	1	9	9	1	1	3		1	1	9	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	1	0	0	0
1	12	112.0	1.0	2.0	11217	1	3	1	2	1	0				0	0		1	0			0											2	0	0	0
1	12	112.0	1.0	2.0	11218	0		1	9	9	1	1	3		1	1	9	1	1	1	1	1	1	3	1	1	1	0	0	0	0	2	1	0	0	0
1	12	112.0	1.0	2.0	11219	0		0		8	1	1	3		0	1	8	1	1	1	3	1	1	6	0	1	1	1	1	0	1	1	1	1	0	0
1	12	112.0	1.0	2.0	11220	1	3	1	2	1	0				0	1	9	1	1	1	1	1	1	2	1	1	1	0	0	0	0	1	1	0	0	0
1	13	113.0	1.0	3.0	11301	0		0		7	1	1			1	0																				
1	13	113.0	1.0	3.0	11302	0		0		4	0				0	0																				
1	13	113.0	1.0	3.0	11303	0		0		7	0				0	0																				
1	13	113.0	1.0	3.0	11304	0		1	1	1	1	1			0	0																				
1	13	113.0	1.0	3.0	11305	1	3	1	1	1	1	1			1	0																				
1	13	113.0	1.0	3.0	11306	0		0		2	1	1			1	0																				
1	13	113.0	1.0	3.0	11307	0		1	4	4	1	1			1	0																				
1	13	113.0	1.0	3.0	11308	0		1	4	2	1	1			1	0																				
1	13	113.0	1.0	3.0	11309	1	1	1	11	11	1	1	2		1	0																				
1	13	113.0	1.0	3.0	11310	1	3	1	1	1	1	1			1	0																				
1	13	113.0	1.0	3.0	11311	0		0		1	1	1			0	0																				
1	13	113.0	1.0	3.0	11312	0		0		7	0				0	0																				
1	13	113.0	1.0	3.0	11313	0		0		1	1	1			0	0																				
1	13	113.0	1.0	3.0	11314	0		0		1	1	1			0	0																				
1	13	113.0	1.0	3.0	11316	0		0		1	1	1			0	0																				
1	13	113.0	1.0	3.0	11317	1	3	1	1	1	1	1			0	0																				
1	13	113.0	1.0	3.0	11318	0		0		7	0				0	0																				
1	14	114.0	1.0	2.0	11401	0		0		1	1	1	3		1	1	9	1	1	1	2	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0
1	14	114.0	1.0	2.0	11402	0		0		2	1	1	3		1	1	8	1	1	1	1	0											3	1	0	0
1	14	114.0	1.0	2.0	11403	0		0		2	1	1	3		0	1	9	1	1	1	2	1	1	3	1	1	0	1	1	0	0	1	2	0	0	0
1	14	114.0	1.0	2.0	11404	1	6	1	8	8	1	1	3		1	1	8	0				1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1	14	114.0	1.0	2.0	11405	1	4	1	9	9	1	1			1	1	9	1	0			1	1	5	3	0	1	0	1	0	0	1	1	0	0	0
1	14	114.0	1.0	2.0	11406	0		1	9	9	1	3			0	1	9	1	1	1	1	1	1	3	1	1	1	0	1	1	0	2	1	0	0	0
1	14	114.0	1.0	2.0	11407	0		1	9	9	1	1	3		1	1	8	1	1	1	1	1	1	2	0	1	1	1	0	0	1	1	1	0	0	0
1	14	114.0	1.0	2.0	11408	0		0		4	1	1			0	1	9	1	0			0											2	0	0	0
1	14	114.0	1.0	2.0	11409	0		0		4	0				0	1	9	1	1	0		1	0	1	0	1	1	0	0	0	0	2	2	0	0	0
1	14	114.0	1.0	2.0	11410	0		1	9	9	1	3			0	1	9	1	1	1	2	1	1	4	1	1	1	0	0	1	1	2	1	1	0	0
1	14	114.0	1.0	2.0	11411	0		0		4	1	1			0	1	9	1	1	0		1	1	3	0	1	1	1	0	0	0	1	1	0	0	0
1	14	114.0	1.0	2.0	11412	0		1	6	6	1	1			0	0		1	1	0		1	0	2	0	1	1	1	0	0	0	1	1	0	0	0
1	14	114.0	1.0	2.0	11413	0		0		1	1	3			0	0		1	0			0											9	0	0	0
1	14	114.0	1.0	2.0	11414	1	6	1	6	8	1	1			1	1	9	1	0			1	1	3	0	1	1	1	0	0	0	1	1	0	0	0
1	14	114.0	1.0	2.0	11415	0		0		1	1	1	3		0	0		1	0			1	1	1	1	1	1	0	0	0	1	2	1	0	0	0
1	14	114.0	1.0	2.0	11416	0		0		1	1	1	3		0	0		1	0			0											9	0	0	0
1	14	114.0	1.0	2.0	11417	1	4	0		4	1	1	3		1	1	9	1	0			1	1	1	0	1	1	0	0	0	1	1	1	0	0	0
1	14	114.0	1.0	2.0	11418	0		1	9	9	1	3			0	1	9	1	1	1	2	1	1	2	2	1	1	0	1	1	1	2	1	0	0	0
1	14	114.0	1.0	2.0	11419	1	3	1	9	9	1	1	3		1	1	9	1	1	1	1	1	1	3	1	1	1	0	1	1	1	2	1	0	0	0
1	14	114.0	1.0	2.0	11420	0		1	9	9	1	1	3		1	1	9	1	1	1	1	1	1	3	1	1	1	0	0	0	1	2	1	0	0	0
1	15	115.0	1.0	1.0	11502	0		1	9	9	1	3			0	1	9	1	1	1	1	1	1	4	1	1	1	0	0	1	1	2	1	0	0	0
1	15	115.0	1.0	1.0	11503	1	4	1	8	2	1	3			0	1	8	0				1	1	6	1	1	1	1	0	1	1	1	1	1	1	0
1	15	115.0	1.0	1.0	11504	0		1	1	1	1	3			0	1	1	1	1	1	2	1	1	5	1	1	1	0	0	1	1	2	1	0	0	0
1	15	115.0	1.0	1.0	11505	0		1	8	8	1	1	3		1	1	9	1	0			1	1	3	1	1	1	1	0	0	1	2	1	0	0	0
1	15	115.0	1.0	1.0	11506	1	6	1	9	9	1	3			0	1	9	1	1	1	2	1	1	4	1	1	1	0	0	1	1	2	1	1	0	0
1	15	115.0	1.0	1.0	11507	0		0		1	0				0	1	1	1	1	0		1	1	4	1	1	1	0	0	1	1	2	1	0	0	0
1	15	115.0	1.0	1.0	11508	1	4	1	6	6	1	1			0	1	9	1	0			1	0	1	0	1	1	0	0	0	0	1	1	0	0	0
1	15	115.0	1.0	1.0	11510	0		1	9	9	1	3			0	1	9	1	1	1	1	1	1	5	1	1	1	1	0	1	1	1	1	0	0	0
1	15	115.0	1.0	1.0	11511	0		1	8	8	1	1	3		0	1	8	1	0			1	1	4	2	1	1	0	0	0	1	2	1	0	0	0
1	15	115.0	1.0	1.0	11512	0		1	8	8	1	1	3		0	1	8	1	1	0		0											1	0	0	0
