hhid	district	village	villno	strno	group	g85a	g85b
11205	1	12	112.0	1.0	2.0	0	
11206	1	12	112.0	1.0	2.0	0	
11207	1	12	112.0	1.0	2.0	0	
11208	1	12	112.0	1.0	2.0	0	
11209	1	12	112.0	1.0	2.0	1	2
11210	1	12	112.0	1.0	2.0	1	1
11211	1	12	112.0	1.0	2.0	0	
11212	1	12	112.0	1.0	2.0	0	
11213	1	12	112.0	1.0	2.0	0	
11214	1	12	112.0	1.0	2.0	0	
11215	1	12	112.0	1.0	2.0	0	
11216	1	12	112.0	1.0	2.0	0	
11218	1	12	112.0	1.0	2.0	0	
11219	1	12	112.0	1.0	2.0	0	
11220	1	12	112.0	1.0	2.0	0	
11318	1	13	113.0	1.0	3.0	0	
11401	1	14	114.0	1.0	2.0	0	
11402	1	14	114.0	1.0	2.0	0	
11403	1	14	114.0	1.0	2.0	1	1
11404	1	14	114.0	1.0	2.0	1	2
11405	1	14	114.0	1.0	2.0	1	1
11406	1	14	114.0	1.0	2.0	0	
11407	1	14	114.0	1.0	2.0	0	
11408	1	14	114.0	1.0	2.0	0	
11409	1	14	114.0	1.0	2.0	0	
11410	1	14	114.0	1.0	2.0	0	
11411	1	14	114.0	1.0	2.0	0	
11412	1	14	114.0	1.0	2.0	1	2
11414	1	14	114.0	1.0	2.0	1	1
11415	1	14	114.0	1.0	2.0	0	
11417	1	14	114.0	1.0	2.0	0	
11418	1	14	114.0	1.0	2.0	0	
11419	1	14	114.0	1.0	2.0	0	
11420	1	14	114.0	1.0	2.0	0	
11502	1	15	115.0	1.0	1.0	0	
11503	1	15	115.0	1.0	1.0	1	1
11504	1	15	115.0	1.0	1.0	0	
11505	1	15	115.0	1.0	1.0	0	
11506	1	15	115.0	1.0	1.0	1	1
11507	1	15	115.0	1.0	1.0	0	
11508	1	15	115.0	1.0	1.0	0	
11510	1	15	115.0	1.0	1.0	0	
11511	1	15	115.0	1.0	1.0	0	
11512	1	15	115.0	1.0	1.0	0	
11513	1	15	115.0	1.0	1.0	0	
11514	1	15	115.0	1.0	1.0	0	
11515	1	15	115.0	1.0	1.0	1	2
11516	1	15	115.0	1.0	1.0	0	
11517	1	15	115.0	1.0	1.0	0	
11519	1	15	115.0	1.0	1.0	0	
11601	1	16	116.0	1.0	1.0	0	
11602	1	16	116.0	1.0	1.0	0	
11603	1	16	116.0	1.0	1.0	0	
11604	1	16	116.0	1.0	1.0	0	
11606	1	16	116.0	1.0	1.0	0	
11607	1	16	116.0	1.0	1.0	0	
11608	1	16	116.0	1.0	1.0	0	
11609	1	16	116.0	1.0	1.0	0	
11610	1	16	116.0	1.0	1.0	0	
11612	1	16	116.0	1.0	1.0	0	
11613	1	16	116.0	1.0	1.0	0	
11614	1	16	116.0	1.0	1.0	0	
11615	1	16	116.0	1.0	1.0	0	
11616	1	16	116.0	1.0	1.0	0	
11617	1	16	116.0	1.0	1.0	0	
11618	1	16	116.0	1.0	1.0	0	
11619	1	16	116.0	1.0	1.0	0	
11620	1	16	116.0	1.0	1.0	0	
11701	1	17	117.0	1.0	2.0	0	
11702	1	17	117.0	1.0	2.0	0	
11703	1	17	117.0	1.0	2.0	0	
11704	1	17	117.0	1.0	2.0	0	
11705	1	17	117.0	1.0	2.0	1	1
11706	1	17	117.0	1.0	2.0	1	2
11707	1	17	117.0	1.0	2.0	1	2
11708	1	17	117.0	1.0	2.0	0	
11710	1	17	117.0	1.0	2.0	0	
11711	1	17	117.0	1.0	2.0	0	
11712	1	17	117.0	1.0	2.0	0	
11713	1	17	117.0	1.0	2.0	0	
11714	1	17	117.0	1.0	2.0	0	
11715	1	17	117.0	1.0	2.0	1	1
11716	1	17	117.0	1.0	2.0	1	2
11717	1	17	117.0	1.0	2.0	0	
11718	1	17	117.0	1.0	2.0	0	
11719	1	17	117.0	1.0	2.0	0	
11801	1	18	118.0	1.0	1.0	0	
11803	1	18	118.0	1.0	1.0	0	
11804	1	18	118.0	1.0	1.0	0	
11806	1	18	118.0	1.0	1.0	0	
11807	1	18	118.0	1.0	1.0	0	
11808	1	18	118.0	1.0	1.0	0	
11811	1	18	118.0	1.0	1.0	0	
11812	1	18	118.0	1.0	1.0	0	
11813	1	18	118.0	1.0	1.0	0	
11814	1	18	118.0	1.0	1.0	0	
11816	1	18	118.0	1.0	1.0	0	
20107	2	1	201.0	2.0	3.0	0	
20202	2	2	202.0	2.0	3.0	0	
20207	2	2	202.0	2.0	3.0	1	3
20209	2	2	202.0	2.0	3.0	0	
20217	2	2	202.0	2.0	3.0	0	
20218	2	2	202.0	2.0	3.0	0	
20301	2	3	203.0	2.0	2.0	1	1
20302	2	3	203.0	2.0	2.0	0	
20303	2	3	203.0	2.0	2.0	0	
20304	2	3	203.0	2.0	2.0	0	
20305	2	3	203.0	2.0	2.0	0	
20306	2	3	203.0	2.0	2.0	0	
20308	2	3	203.0	2.0	2.0	0	
20309	2	3	203.0	2.0	2.0	0	
20310	2	3	203.0	2.0	2.0	0	
20311	2	3	203.0	2.0	2.0	1	2
20312	2	3	203.0	2.0	2.0	1	4
20313	2	3	203.0	2.0	2.0	0	
20314	2	3	203.0	2.0	2.0	0	
20315	2	3	203.0	2.0	2.0	0	
20316	2	3	203.0	2.0	2.0	1	3
20317	2	3	203.0	2.0	2.0	1	1
20318	2	3	203.0	2.0	2.0	0	
20319	2	3	203.0	2.0	2.0	0	
20320	2	3	203.0	2.0	2.0	1	2
20401	2	4	204.0	2.0	2.0	0	
20402	2	4	204.0	2.0	2.0	0	
20403	2	4	204.0	2.0	2.0	0	
20404	2	4	204.0	2.0	2.0	0	
20405	2	4	204.0	2.0	2.0	1	1
20407	2	4	204.0	2.0	2.0	0	
20408	2	4	204.0	2.0	2.0	0	
20409	2	4	204.0	2.0	2.0	0	
20410	2	4	204.0	2.0	2.0	0	
20411	2	4	204.0	2.0	2.0	0	
20412	2	4	204.0	2.0	2.0	1	1
20413	2	4	204.0	2.0	2.0	0	
20416	2	4	204.0	2.0	2.0	0	
20417	2	4	204.0	2.0	2.0	1	1
20418	2	4	204.0	2.0	2.0	1	3
20419	2	4	204.0	2.0	2.0	0	
20501	2	5	205.0	2.0	1.0	1	2
20502	2	5	205.0	2.0	1.0	0	
20503	2	5	205.0	2.0	1.0	0	
20504	2	5	205.0	2.0	1.0	0	
20505	2	5	205.0	2.0	1.0	1	1
20506	2	5	205.0	2.0	1.0	1	2
20507	2	5	205.0	2.0	1.0	1	1
20509	2	5	205.0	2.0	1.0	0	
20510	2	5	205.0	2.0	1.0	0	
20511	2	5	205.0	2.0	1.0	0	
20512	2	5	205.0	2.0	1.0	1	1
20515	2	5	205.0	2.0	1.0	1	1
20516	2	5	205.0	2.0	1.0	0	
20517	2	5	205.0	2.0	1.0	1	1
20518	2	5	205.0	2.0	1.0	0	
20519	2	5	205.0	2.0	1.0	1	2
20520	2	5	205.0	2.0	1.0	1	1
20601	2	6	206.0	2.0	1.0	0	
20602	2	6	206.0	2.0	1.0	0	
20603	2	6	206.0	2.0	1.0	0	
20604	2	6	206.0	2.0	1.0	1	1
20607	2	6	206.0	2.0	1.0	0	
20609	2	6	206.0	2.0	1.0	0	
20610	2	6	206.0	2.0	1.0	0	
20611	2	6	206.0	2.0	1.0	0	
20612	2	6	206.0	2.0	1.0	0	
20615	2	6	206.0	2.0	1.0	0	
20616	2	6	206.0	2.0	1.0	0	
20617	2	6	206.0	2.0	1.0	0	
20618	2	6	206.0	2.0	1.0	0	
20619	2	6	206.0	2.0	1.0	0	
20620	2	6	206.0	2.0	1.0	0	
20701	2	7	207.0	2.0	2.0	1	1
20702	2	7	207.0	2.0	2.0	0	
20703	2	7	207.0	2.0	2.0	1	4
20704	2	7	207.0	2.0	2.0	0	
20705	2	7	207.0	2.0	2.0	0	
20706	2	7	207.0	2.0	2.0	1	1
20707	2	7	207.0	2.0	2.0	0	
20708	2	7	207.0	2.0	2.0	0	
20709	2	7	207.0	2.0	2.0	0	
20710	2	7	207.0	2.0	2.0	1	1
20711	2	7	207.0	2.0	2.0	0	
20712	2	7	207.0	2.0	2.0	0	
20713	2	7	207.0	2.0	2.0	0	
20714	2	7	207.0	2.0	2.0	0	
20715	2	7	207.0	2.0	2.0	0	
20716	2	7	207.0	2.0	2.0	0	
20718	2	7	207.0	2.0	2.0	1	1
20801	2	8	208.0	2.0	1.0	0	
20802	2	8	208.0	2.0	1.0	0	
20803	2	8	208.0	2.0	1.0	1	2
20804	2	8	208.0	2.0	1.0	0	
20805	2	8	208.0	2.0	1.0	0	
20806	2	8	208.0	2.0	1.0	1	1
20807	2	8	208.0	2.0	1.0	1	1
20808	2	8	208.0	2.0	1.0	1	1
20809	2	8	208.0	2.0	1.0	0	
20810	2	8	208.0	2.0	1.0	1	3
20811	2	8	208.0	2.0	1.0	0	
20813	2	8	208.0	2.0	1.0	1	3
20814	2	8	208.0	2.0	1.0	0	
20815	2	8	208.0	2.0	1.0	0	
20816	2	8	208.0	2.0	1.0	0	
20817	2	8	208.0	2.0	1.0	1	3
20818	2	8	208.0	2.0	1.0	0	
20819	2	8	208.0	2.0	1.0	0	
20820	2	8	208.0	2.0	1.0	0	
20908	2	9	209.0	2.0	3.0	0	
20915	2	9	209.0	2.0	3.0	0	
20918	2	9	209.0	2.0	3.0	0	
20921	2	9	209.0	2.0	3.0	0	
30101	3	1	301.0	3.0	2.0	1	2
30102	3	1	301.0	3.0	2.0	0	
30103	3	1	301.0	3.0	2.0	0	
30104	3	1	301.0	3.0	2.0	0	
30105	3	1	301.0	3.0	2.0	1	1
30106	3	1	301.0	3.0	2.0	0	
30107	3	1	301.0	3.0	2.0	0	
30108	3	1	301.0	3.0	2.0	0	
30109	3	1	301.0	3.0	2.0	0	
30110	3	1	301.0	3.0	2.0	1	2
30111	3	1	301.0	3.0	2.0	0	
30112	3	1	301.0	3.0	2.0	1	1
30113	3	1	301.0	3.0	2.0	1	2
30115	3	1	301.0	3.0	2.0	0	
30116	3	1	301.0	3.0	2.0	0	
30117	3	1	301.0	3.0	2.0	0	
30118	3	1	301.0	3.0	2.0	1	2
30119	3	1	301.0	3.0	2.0	0	
30120	3	1	301.0	3.0	2.0	0	
30201	3	2	302.0	3.0	2.0	0	
30202	3	2	302.0	3.0	2.0	0	
30203	3	2	302.0	3.0	2.0	0	
30204	3	2	302.0	3.0	2.0	0	
30205	3	2	302.0	3.0	2.0	1	5
30206	3	2	302.0	3.0	2.0	0	
30207	3	2	302.0	3.0	2.0	0	
30208	3	2	302.0	3.0	2.0	1	10
30209	3	2	302.0	3.0	2.0	0	
30210	3	2	302.0	3.0	2.0	0	
30212	3	2	302.0	3.0	2.0	0	
30213	3	2	302.0	3.0	2.0	0	
30214	3	2	302.0	3.0	2.0	0	
30215	3	2	302.0	3.0	2.0	0	
30216	3	2	302.0	3.0	2.0	0	
30217	3	2	302.0	3.0	2.0	0	
30218	3	2	302.0	3.0	2.0	0	
30219	3	2	302.0	3.0	2.0	0	
30220	3	2	302.0	3.0	2.0	0	
30301	3	3	303.0	3.0	1.0	1	9
30302	3	3	303.0	3.0	1.0	0	
30303	3	3	303.0	3.0	1.0	1	2
30304	3	3	303.0	3.0	1.0	0	
30305	3	3	303.0	3.0	1.0	0	
30306	3	3	303.0	3.0	1.0	0	
30307	3	3	303.0	3.0	1.0	1	3
30308	3	3	303.0	3.0	1.0	0	
30309	3	3	303.0	3.0	1.0	0	
30310	3	3	303.0	3.0	1.0	0	
30311	3	3	303.0	3.0	1.0	1	4
30312	3	3	303.0	3.0	1.0	0	
30313	3	3	303.0	3.0	1.0	1	5
30315	3	3	303.0	3.0	1.0	0	
30316	3	3	303.0	3.0	1.0	0	
30317	3	3	303.0	3.0	1.0	0	
30318	3	3	303.0	3.0	1.0	0	
30319	3	3	303.0	3.0	1.0	0	
30401	3	4	304.0	3.0	3.0	0	
30404	3	4	304.0	3.0	3.0	0	
30407	3	4	304.0	3.0	3.0	0	
30420	3	4	304.0	3.0	3.0	0	
30501	3	5	305.0	3.0	3.0	0	
30518	3	5	305.0	3.0	3.0	1	5
30519	3	5	305.0	3.0	3.0	0	
40101	4	1	401.0	3.0	3.0	1	3
40106	4	1	401.0	3.0	3.0	0	
40108	4	1	401.0	3.0	3.0	1	1
40110	4	1	401.0	3.0	3.0	0	
40111	4	1	401.0	3.0	3.0	1	2
40113	4	1	401.0	3.0	3.0	1	12
40115	4	1	401.0	3.0	3.0	0	
40116	4	1	401.0	3.0	3.0	1	3
40201	4	2	402.0	3.0	1.0	1	1
40202	4	2	402.0	3.0	1.0	0	
40203	4	2	402.0	3.0	1.0	1	2
40204	4	2	402.0	3.0	1.0	0	
40205	4	2	402.0	3.0	1.0	0	
40206	4	2	402.0	3.0	1.0	0	
40207	4	2	402.0	3.0	1.0	1	1
40208	4	2	402.0	3.0	1.0	0	
40209	4	2	402.0	3.0	1.0	0	
40210	4	2	402.0	3.0	1.0	0	
40211	4	2	402.0	3.0	1.0	0	
40212	4	2	402.0	3.0	1.0	1	3
40213	4	2	402.0	3.0	1.0	0	
40214	4	2	402.0	3.0	1.0	0	
40215	4	2	402.0	3.0	1.0	0	
40216	4	2	402.0	3.0	1.0	0	
40217	4	2	402.0	3.0	1.0	1	3
40218	4	2	402.0	3.0	1.0	0	
40219	4	2	402.0	3.0	1.0	0	
40301	4	3	403.0	3.0	1.0	1	1
40302	4	3	403.0	3.0	1.0	1	1
40303	4	3	403.0	3.0	1.0	0	
40304	4	3	403.0	3.0	1.0	0	
40305	4	3	403.0	3.0	1.0	0	
40306	4	3	403.0	3.0	1.0	0	
40307	4	3	403.0	3.0	1.0	0	
40308	4	3	403.0	3.0	1.0	0	
40309	4	3	403.0	3.0	1.0	1	1
40310	4	3	403.0	3.0	1.0	1	1
40311	4	3	403.0	3.0	1.0	0	
40312	4	3	403.0	3.0	1.0	0	
40313	4	3	403.0	3.0	1.0	1	4
40314	4	3	403.0	3.0	1.0	0	
40315	4	3	403.0	3.0	1.0	0	
40316	4	3	403.0	3.0	1.0	0	
40318	4	3	403.0	3.0	1.0	0	
40319	4	3	403.0	3.0	1.0	0	
40320	4	3	403.0	3.0	1.0	0	
40401	4	4	404.0	3.0	2.0	1	4
40402	4	4	404.0	3.0	2.0	0	
40403	4	4	404.0	3.0	2.0	1	2
40405	4	4	404.0	3.0	2.0	1	1
40406	4	4	404.0	3.0	2.0	1	1
40408	4	4	404.0	3.0	2.0	0	
40409	4	4	404.0	3.0	2.0	1	2
40410	4	4	404.0	3.0	2.0	0	
40411	4	4	404.0	3.0	2.0	1	1
40413	4	4	404.0	3.0	2.0	1	1
40414	4	4	404.0	3.0	2.0	0	
40415	4	4	404.0	3.0	2.0	1	1
40416	4	4	404.0	3.0	2.0	0	
40417	4	4	404.0	3.0	2.0	1	1
40419	4	4	404.0	3.0	2.0	0	
10250	1	2	102.0	1.0	2.0	0	
10251	1	2	102.0	1.0	2.0	0	
10260	1	2	102.0	1.0	2.0	0	
10261	1	2	102.0	1.0	2.0	0	
10262	1	2	102.0	1.0	2.0	0	
10263	1	2	102.0	1.0	2.0	0	
10264	1	2	102.0	1.0	2.0	0	
10265	1	2	102.0	1.0	2.0	0	
10266	1	2	102.0	1.0	2.0	0	
10267	1	2	102.0	1.0	2.0	1	1
10268	1	2	102.0	1.0	2.0	0	
10269	1	2	102.0	1.0	2.0	0	
10270	1	2	102.0	1.0	2.0	0	
10350	1	3	103.0	1.0	2.0	0	
10351	1	3	103.0	1.0	2.0	0	
10352	1	3	103.0	1.0	2.0	0	
10360	1	3	103.0	1.0	2.0	0	
10361	1	3	103.0	1.0	2.0	0	
10362	1	3	103.0	1.0	2.0	0	
10363	1	3	103.0	1.0	2.0	1	1
10364	1	3	103.0	1.0	2.0	0	
10365	1	3	103.0	1.0	2.0	0	
10366	1	3	103.0	1.0	2.0	0	
10367	1	3	103.0	1.0	2.0	1	2
10368	1	3	103.0	1.0	2.0	0	
10369	1	3	103.0	1.0	2.0	0	
10551	1	8	108.0	1.0	2.0	0	
10850	1	8	108.0	1.0	2.0	0	
10860	1	8	108.0	1.0	2.0	0	
10861	1	8	108.0	1.0	2.0	0	
10862	1	8	108.0	1.0	2.0	0	
10863	1	8	108.0	1.0	2.0	0	
10864	1	8	108.0	1.0	2.0	0	
10866	1	8	108.0	1.0	2.0	0	
10867	1	8	108.0	1.0	2.0	0	
10868	1	8	108.0	1.0	2.0	0	
10950	1	9	109.0	1.0	1.0	0	
10951	1	9	109.0	1.0	1.0	0	
10953	1	9	109.0	1.0	1.0	0	
10960	1	9	109.0	1.0	1.0	0	
10961	1	9	109.0	1.0	1.0	0	
10962	1	9	109.0	1.0	1.0	0	
10963	1	9	109.0	1.0	1.0	0	
10964	1	9	109.0	1.0	1.0	0	
10965	1	9	109.0	1.0	1.0	0	
10966	1	9	109.0	1.0	1.0	0	
10967	1	9	109.0	1.0	1.0	0	
10968	1	9	109.0	1.0	1.0	0	
10969	1	9	109.0	1.0	1.0	0	
11050	1	10	110.0	1.0	1.0	0	
11053	1	10	110.0	1.0	1.0	0	
11054	1	10	110.0	1.0	1.0	0	
11060	1	10	110.0	1.0	1.0	1	3
11061	1	10	110.0	1.0	1.0	0	
11062	1	10	110.0	1.0	1.0	0	
11063	1	10	110.0	1.0	1.0	0	
11064	1	10	110.0	1.0	1.0	0	
11065	1	10	110.0	1.0	1.0	0	
11066	1	10	110.0	1.0	1.0	0	
11067	1	10	110.0	1.0	1.0	0	
11068	1	10	110.0	1.0	1.0	0	
11069	1	10	110.0	1.0	1.0	0	
11070	1	10	110.0	1.0	1.0	0	
11071	1	10	110.0	1.0	1.0	0	
11072	1	10	110.0	1.0	1.0	0	
11150	1	11	111.0	1.0	1.0	0	
11151	1	11	111.0	1.0	1.0	0	
11152	1	11	111.0	1.0	1.0	0	
11153	1	11	111.0	1.0	1.0	1	5
11161	1	11	111.0	1.0	1.0	0	
11162	1	11	111.0	1.0	1.0	0	
11163	1	11	111.0	1.0	1.0	0	
11164	1	11	111.0	1.0	1.0	0	
11165	1	11	111.0	1.0	1.0	0	
11166	1	11	111.0	1.0	1.0	0	
11167	1	11	111.0	1.0	1.0	0	
11168	1	11	111.0	1.0	1.0	0	
11169	1	11	111.0	1.0	1.0	0	
11250	1	12	112.0	1.0	2.0	0	
11251	1	12	112.0	1.0	2.0	0	
11252	1	12	112.0	1.0	2.0	1	3
11260	1	12	112.0	1.0	2.0	0	
11261	1	12	112.0	1.0	2.0	0	
11262	1	12	112.0	1.0	2.0	0	
11263	1	12	112.0	1.0	2.0	0	
11264	1	12	112.0	1.0	2.0	0	
11265	1	12	112.0	1.0	2.0	1	1
11267	1	12	112.0	1.0	2.0	0	
11268	1	12	112.0	1.0	2.0	0	
11269	1	12	112.0	1.0	2.0	0	
11450	1	14	114.0	1.0	2.0	0	
11451	1	14	114.0	1.0	2.0	0	
11452	1	14	114.0	1.0	2.0	0	
11460	1	14	114.0	1.0	2.0	0	
11461	1	14	114.0	1.0	2.0	0	
11462	1	14	114.0	1.0	2.0	0	
11463	1	14	114.0	1.0	2.0	0	
11464	1	14	114.0	1.0	2.0	0	
11465	1	14	114.0	1.0	2.0	0	
11466	1	14	114.0	1.0	2.0	0	
11467	1	14	114.0	1.0	2.0	0	
11468	1	14	114.0	1.0	2.0	1	1
11469	1	14	114.0	1.0	2.0	0	
11470	1	14	114.0	1.0	2.0	0	
11550	1	15	115.0	1.0	1.0	0	
11551	1	15	115.0	1.0	1.0	0	
11553	1	15	115.0	1.0	1.0	0	
11560	1	15	115.0	1.0	1.0	0	
11561	1	15	115.0	1.0	1.0	0	
11562	1	15	115.0	1.0	1.0	0	
11563	1	15	115.0	1.0	1.0	0	
11564	1	15	115.0	1.0	1.0	0	
11565	1	15	115.0	1.0	1.0	0	
11566	1	15	115.0	1.0	1.0	0	
11567	1	15	115.0	1.0	1.0	0	
11568	1	15	115.0	1.0	1.0	0	
11569	1	15	115.0	1.0	1.0	0	
11650	1	16	116.0	1.0	1.0	0	
11652	1	16	116.0	1.0	1.0	0	
11653	1	16	116.0	1.0	1.0	0	
11661	1	16	116.0	1.0	1.0	0	
11662	1	16	116.0	1.0	1.0	0	
11663	1	16	116.0	1.0	1.0	1	1
11664	1	16	116.0	1.0	1.0	0	
11665	1	16	116.0	1.0	1.0	0	
11666	1	16	116.0	1.0	1.0	0	
11667	1	16	116.0	1.0	1.0	0	
11668	1	16	116.0	1.0	1.0	0	
11750	1	17	117.0	1.0	2.0	0	
11751	1	17	117.0	1.0	2.0	0	
11760	1	17	117.0	1.0	2.0	0	
11761	1	17	117.0	1.0	2.0	1	1
11766	1	17	117.0	1.0	2.0	1	2
11768	1	17	117.0	1.0	2.0	0	
11769	1	17	117.0	1.0	2.0	1	1
11851	1	18	118.0	1.0	1.0	0	
11860	1	18	118.0	1.0	1.0	0	
11861	1	18	118.0	1.0	1.0	0	
11862	1	18	118.0	1.0	1.0	0	
11864	1	18	118.0	1.0	1.0	0	
11865	1	18	118.0	1.0	1.0	0	
11866	1	18	118.0	1.0	1.0	0	
11867	1	18	118.0	1.0	1.0	0	
11868	1	18	118.0	1.0	1.0	0	
11869	1	18	118.0	1.0	1.0	0	
11870	1	18	118.0	1.0	1.0	1	2
11871	1	18	118.0	1.0	1.0	0	
11872	1	18	118.0	1.0	1.0	0	
20250	2	2	202.0	2.0	3.0	1	1
20251	2	2	202.0	2.0	3.0	0	
20350	2	3	203.0	2.0	2.0	0	
20351	2	3	203.0	2.0	2.0	1	1
20360	2	3	203.0	2.0	2.0	0	
20361	2	3	203.0	2.0	2.0	0	
20362	2	3	203.0	2.0	2.0	0	
20363	2	3	203.0	2.0	2.0	0	
20364	2	3	203.0	2.0	2.0	0	
20365	2	3	203.0	2.0	2.0	0	
20366	2	3	203.0	2.0	2.0	0	
20367	2	3	203.0	2.0	2.0	0	
20368	2	3	203.0	2.0	2.0	0	
20369	2	3	203.0	2.0	2.0	0	
20450	2	4	204.0	2.0	2.0	0	
20451	2	4	204.0	2.0	2.0	0	
20452	2	4	204.0	2.0	2.0	0	
20461	2	4	204.0	2.0	2.0	1	1
20462	2	4	204.0	2.0	2.0	0	
20463	2	4	204.0	2.0	2.0	0	
20464	2	4	204.0	2.0	2.0	0	
20465	2	4	204.0	2.0	2.0	0	
20466	2	4	204.0	2.0	2.0	0	
20467	2	4	204.0	2.0	2.0	0	
20468	2	4	204.0	2.0	2.0	1	4
20469	2	4	204.0	2.0	2.0	0	
20550	2	5	205.0	2.0	1.0	0	
20551	2	5	205.0	2.0	1.0	0	
20560	2	5	205.0	2.0	1.0	0	
20561	2	5	205.0	2.0	1.0	0	
20562	2	5	205.0	2.0	1.0	0	
20563	2	5	205.0	2.0	1.0	0	
20564	2	5	205.0	2.0	1.0	0	
20565	2	5	205.0	2.0	1.0	0	
20566	2	5	205.0	2.0	1.0	0	
20567	2	5	205.0	2.0	1.0	0	
20568	2	5	205.0	2.0	1.0	0	
20569	2	5	205.0	2.0	1.0	0	
20650	2	6	206.0	2.0	1.0	0	
20651	2	6	206.0	2.0	1.0	0	
20660	2	6	206.0	2.0	1.0	0	
20661	2	6	206.0	2.0	1.0	0	
20662	2	6	206.0	2.0	1.0	0	
20663	2	6	206.0	2.0	1.0	0	
