district	village	villno	strno	group	hhid	plot	f03a	f03b	f03c	f03d	f04	f05	f06	f07	f07a	f08	f09
1	2	102.0	1.0	2.0	10203	3	1	9	13		1	800	2	0		0	2
1	2	102.0	1.0	2.0	10205	1	1	9			1	5500	2	0		0	1
1	2	102.0	1.0	2.0	10205	2	1	9			1	4100	2	0		0	2
1	2	102.0	1.0	2.0	10205	3	1	2			1	3500	2	1	1	0	1
1	2	102.0	1.0	2.0	10205	4	9	1			5	2000	2	0		0	1
1	2	102.0	1.0	2.0	10205	5	1	12	13	3		3800	2				
1	2	102.0	1.0	2.0	10207	1	1	9			4	9380	2	0		0	1
1	2	102.0	1.0	2.0	10207	2	4				4	450	2	0		0	1
1	2	102.0	1.0	2.0	10207	3	12	14			4	2060	2	0		0	2
1	2	102.0	1.0	2.0	10207	4	13				4	864	2	0		0	1
1	2	102.0	1.0	2.0	10208	1	1	3	9		3	1.5	1	0		0	1
1	2	102.0	1.0	2.0	10208	2	12				3	5000	2	0		0	2
1	2	102.0	1.0	2.0	10208	3	2				3	2500	2	1	1	0	1
1	2	102.0	1.0	2.0	10208	4	4				3	800	2	0		0	2
1	2	102.0	1.0	2.0	10208	5	13	16				550	2				
1	2	102.0	1.0	2.0	10209	1	1	9	13		1	2000	2	0		0	1
1	2	102.0	1.0	2.0	10209	2	1	9	3	14	1	1750	2	0		0	2
1	2	102.0	1.0	2.0	10209	3	2				1	1650	2	1	1	0	2
1	2	102.0	1.0	2.0	10211	1	1	9			1	1925	2	0		0	1
1	2	102.0	1.0	2.0	10211	2	1	9	12		1	1640	2	0		0	1
1	2	102.0	1.0	2.0	10211	3	12	13			1	1200	2	0		0	2
1	2	102.0	1.0	2.0	10211	4	40	1			1	950	2	1	1	1	1
1	2	102.0	1.0	2.0	10212	1	1	9			1	3000	2	0		0	2
1	2	102.0	1.0	2.0	10212	2	13				1	30	2	0		0	2
1	2	102.0	1.0	2.0	10214	1	1	3	9		2	6800	2	0		0	1
1	2	102.0	1.0	2.0	10214	2	12	14			2	2780	2	0		0	1
1	2	102.0	1.0	2.0	10215	1	1	9			1	2050	2	1	0	0	1
1	2	102.0	1.0	2.0	10215	2	1	9	12		1	1750	2	0		0	2
1	2	102.0	1.0	2.0	10215	3	1	9	13	16	6	700	2	0		0	2
1	2	102.0	1.0	2.0	10215	4	2				1	650	2	1	1	0	2
1	2	102.0	1.0	2.0	10217	1	1	9			2	1.5	1	0		0	1
1	2	102.0	1.0	2.0	10217	2	1	9	12	4	2	1	1	0		0	1
1	2	102.0	1.0	2.0	10217	3	1	9			1	2625	2	0		0	1
1	2	102.0	1.0	2.0	10217	4	1	9			1	1925	2	0		0	1
1	2	102.0	1.0	2.0	10217	5	13					876	2				
1	2	102.0	1.0	2.0	10218	1	1	9	3		1	2925	2	0		0	1
1	2	102.0	1.0	2.0	10218	2	1	9			1	1500	2	0		0	2
1	2	102.0	1.0	2.0	10219	1	1	9	12		1	1680	2	1	0	0	1
1	2	102.0	1.0	2.0	10219	2	1	9	3	13	2	1538	2	1	0	0	1
1	2	102.0	1.0	2.0	10219	3	1	9			2	1450	2	1	0	0	2
1	2	102.0	1.0	2.0	10220	1	1	9	3		1	4300	2	1	0	0	1
1	2	102.0	1.0	2.0	10220	2	1	13	14		1	3100	2	1	0	0	1
1	3	103.0	1.0	2.0	10302	1	1	9			3	4250	2	0		0	1
1	3	103.0	1.0	2.0	10302	2	12	90			3	1875	2	0		0	1
1	3	103.0	1.0	2.0	10302	3	2				3	1200	2	1	0	0	1
1	3	103.0	1.0	2.0	10302	4	13				3	1200	2	1	0	0	1
1	3	103.0	1.0	2.0	10303	1	1	9	12	14	2	24500	1	0		0	2
1	3	103.0	1.0	2.0	10303	2	1	3	12	30	2	14813	2	0		0	2
1	3	103.0	1.0	2.0	10303	3	2				2	3250	2	1	1	0	1
1	3	103.0	1.0	2.0	10303	4	13	14	12	9	2	2633.9	2	0		0	1
1	3	103.0	1.0	2.0	10304	1	1	9	90		1	1925	2	0		0	1
1	3	103.0	1.0	2.0	10304	2	1	9	90		1	1225	2	0		0	1
1	3	103.0	1.0	2.0	10304	3	1	9	3		1	875	2	0		0	2
1	3	103.0	1.0	2.0	10304	4	2				1	689	2	1	1	0	2
1	3	103.0	1.0	2.0	10306	1	1	9	90		4	12750	2	0		0	2
1	3	103.0	1.0	2.0	10306	2	13	14	16		4	800	2	0		0	2
1	3	103.0	1.0	2.0	10307	1	1	9	3		4	4000	2	0		0	2
1	3	103.0	1.0	2.0	10307	2	1	12	13	14	4	2000	2	0		0	2
1	3	103.0	1.0	2.0	10307	3	2				4	1100	2	1	1	0	2
1	3	103.0	1.0	2.0	10308	1	1	9	90		3	4069	2	0		0	3
1	3	103.0	1.0	2.0	10308	2	1	9	13	14	1	2500	2	0		0	2
1	3	103.0	1.0	2.0	10308	3	1	9	3	90	6	525	2	0		0	2
1	3	103.0	1.0	2.0	10309	1	1	9	12		2	9500	2	0		0	1
1	3	103.0	1.0	2.0	10309	2	1	4	9	12	1	4900	2	0		0	2
1	3	103.0	1.0	2.0	10309	3	1	3	12		1	4900	2	0		0	2
1	3	103.0	1.0	2.0	10309	4	1	12	13	30	1	3100	2	1	0	0	2
1	3	103.0	1.0	2.0	10309	5	1	9	90			1500	2				
1	3	103.0	1.0	2.0	10311	1	1	12	9	90	2	4550	2	0		0	1
1	3	103.0	1.0	2.0	10311	2	2	14			2	2300	2	1	1	0	1
1	3	103.0	1.0	2.0	10311	3	13	14			2	1228	2	0		0	2
1	3	103.0	1.0	2.0	10312	1	1	9	90	13	1	6000	2	1	0	0	3
1	3	103.0	1.0	2.0	10312	2	1	12	9	3	1	4275	2	0		0	2
1	3	103.0	1.0	2.0	10312	3	1	9	90	14	2	1350	2	0		0	2
1	3	103.0	1.0	2.0	10313	1	1	9	12		1	7500	2	0		0	3
1	3	103.0	1.0	2.0	10313	2	1	9			6	5000	2	0		0	3
1	3	103.0	1.0	2.0	10313	3	12	13			1	2500	2	0		0	3
1	3	103.0	1.0	2.0	10313	4	2				1	2400	2	1	1	0	3
1	3	103.0	1.0	2.0	10314	1	1				2	4020	2	0		0	1
1	3	103.0	1.0	2.0	10314	2	1	9	3	12	2	2500	2	0		0	1
1	3	103.0	1.0	2.0	10314	3	2				2	1380	2	1	1	0	2
1	3	103.0	1.0	2.0	10314	4	13	14			2	846	2	1	1	0	1
1	3	103.0	1.0	2.0	10315	1	1	9	12	3	1	6400	2	0		0	1
1	3	103.0	1.0	2.0	10315	2	1	9	12		1	4000	2	0		0	1
1	3	103.0	1.0	2.0	10315	3	2				1	286	2	1	1	0	1
1	3	103.0	1.0	2.0	10315	4	13	16			1	940	2	0		0	2
1	3	103.0	1.0	2.0	10316	1	1	9	12	40	6	3000	2	1	0	0	2
1	3	103.0	1.0	2.0	10317	1	1	9	14		1	4275	2	0		0	1
1	3	103.0	1.0	2.0	10317	2	1	12	3		1	2500	2	0		0	2
1	3	103.0	1.0	2.0	10317	3	1	9	16	13	1	1410	2	0		0	2
1	3	103.0	1.0	2.0	10317	4	40	90	2		1	625	2	1	1	1	2
1	3	103.0	1.0	2.0	10318	1	1	9			2	6600	2	0		0	1
1	3	103.0	1.0	2.0	10318	2	1				2	4908	2	0		0	2
1	3	103.0	1.0	2.0	10318	3	14	90			1	2112	2	1	1	0	1
1	3	103.0	1.0	2.0	10318	4	13				2	1932	2	0		0	2
1	3	103.0	1.0	2.0	10319	1	1	3	9	12	1	4300	2	0		0	1
1	3	103.0	1.0	2.0	10319	2	2				1	1500	2	1	1	0	1
1	3	103.0	1.0	2.0	10319	3	13	14	16	24	1	1250	2	0		0	1
1	3	103.0	1.0	2.0	10320	1	1	9			6	6000	2	0		0	3
1	3	103.0	1.0	2.0	10320	2	1	9	2		1	4000	2	1	1	0	3
1	3	103.0	1.0	2.0	10320	3	1				1	3200	2	0		0	3
1	3	103.0	1.0	2.0	10320	4	1	9			6	2800	2	0		0	2
1	3	103.0	1.0	2.0	10320	5	1	13	9			1100	2				
1	4	104.0	1.0	3.0	10401	1	1				7	1.5	1	0		0	2
1	4	104.0	1.0	3.0	10401	2	1				7	8000	2	0		0	2
1	4	104.0	1.0	3.0	10401	3	2				5	4000	2	1	1	0	1
1	4	104.0	1.0	3.0	10401	4	9	14	16	13	7	2500	2	0		0	2
1	4	104.0	1.0	3.0	10402	1	1	12	9		2	10500	2	0		0	1
1	4	104.0	1.0	3.0	10402	2	1	12	14	16	2	5400	2	0		0	1
1	4	104.0	1.0	3.0	10402	3	1	12	9		2	2980	2	0		0	1
1	4	104.0	1.0	3.0	10402	4	1				2	1550	2	0		0	2
1	4	104.0	1.0	3.0	10402	5	2					530	2				
1	4	104.0	1.0	3.0	10403	1	1	9	3		2	1.5	2	1	0	0	1
1	4	104.0	1.0	3.0	10403	2	1	9	12	14	3	8375	2	0		0	1
1	4	104.0	1.0	3.0	10403	3	2	14			2	1350	2	1	1	0	1
1	4	104.0	1.0	3.0	10403	4	30				2	1200	2	1	0	0	1
1	4	104.0	1.0	3.0	10403	5	9					1100	2				
1	4	104.0	1.0	3.0	10404	1	1	9			4	6000	2	0		0	2
1	4	104.0	1.0	3.0	10404	2	12	14			4	3000	2	0		0	2
1	4	104.0	1.0	3.0	10405	1	1	9	12	16	1	1.75	1	0		0	2
1	4	104.0	1.0	3.0	10405	2	2	16			2	5000	2	1	1	0	1
1	4	104.0	1.0	3.0	10407	1	1	9	12	3	1	4500	2	0		0	1
1	4	104.0	1.0	3.0	10407	2	1	9	12	14	1	2930	2	0		0	2
1	4	104.0	1.0	3.0	10407	3	2				1	625	2	1	1	0	2
1	4	104.0	1.0	3.0	10408	1	1	9	90		1	3500	2	1	1	0	1
1	4	104.0	1.0	3.0	10408	2	12	14			1	1700	2	0		0	1
1	4	104.0	1.0	3.0	10410	1	1	9	3		1	1350	2	0		0	1
1	4	104.0	1.0	3.0	10410	2	2	14			1	225	2	1	1	0	2
1	4	104.0	1.0	3.0	10410	3	1	9			1	150	2	0		0	2
1	4	104.0	1.0	3.0	10411	1	1	9			1	8500	2	1	0	0	2
1	4	104.0	1.0	3.0	10411	2	2				1	4000	2	1	1	0	1
1	4	104.0	1.0	3.0	10412	1	1	9			2	7800	2	0		0	1
1	4	104.0	1.0	3.0	10412	2	1				2	3400	2	0		0	2
1	4	104.0	1.0	3.0	10412	3	1	16			2	1204	2	0		0	1
1	4	104.0	1.0	3.0	10412	4	2				2	204	1	0		0	2
1	4	104.0	1.0	3.0	10413	1	1	9			1	6000	2	0		0	1
1	4	104.0	1.0	3.0	10413	2	9				1	4500	2	0		0	1
1	4	104.0	1.0	3.0	10413	3	2				1	4100	2	1	1	0	1
1	4	104.0	1.0	3.0	10413	4	1	9			1	3050	2	0		0	1
1	4	104.0	1.0	3.0	10414	1	1	9	90		1	2500	2	0		0	2
1	4	104.0	1.0	3.0	10414	2	1	9	12		1	700	2	0		0	2
1	4	104.0	1.0	3.0	10414	3	1	90			1	450	2	1	1	0	2
1	4	104.0	1.0	3.0	10416	1	1	9			3	1.5	1	0		0	2
1	4	104.0	1.0	3.0	10417	1	1	12			4	3500	2	0		0	2
1	4	104.0	1.0	3.0	10417	2	9	14			4	1400	2	0		0	2
1	4	104.0	1.0	3.0	10417	3	2				4	800	2	1	1	0	2
1	4	104.0	1.0	3.0	10418	1	1	9			2	4700	2	0		0	1
1	4	104.0	1.0	3.0	10418	2	9	12	16		1	2250	2	0		0	1
1	4	104.0	1.0	3.0	10418	3	2				1	1780	2	1	1	0	1
1	4	104.0	1.0	3.0	10419	1	12	1	3		1	4000	2	0		0	1
1	4	104.0	1.0	3.0	10419	2	1	9			1	3200	2	0		0	1
1	4	104.0	1.0	3.0	10419	3	1	9			5	2700	2	0		0	1
1	4	104.0	1.0	3.0	10419	4	2				1	900	2	1	1	0	1
1	4	104.0	1.0	3.0	10419	5	2					600	2				
1	4	104.0	1.0	3.0	10420	1	1	9			1	3000	2	0		0	1
1	4	104.0	1.0	3.0	10420	2	9	13			1	1800	2	0		0	2
1	5	105.0	1.0	3.0	10501	1	1	9			4	3900	2	0		0	2
1	5	105.0	1.0	3.0	10501	2	12	9			4	1780	2	0		0	2
1	5	105.0	1.0	3.0	10501	3	40				4	320	2	1	1	1	2
1	5	105.0	1.0	3.0	10502	1	1	9			1	5000	2	0		0	3
1	5	105.0	1.0	3.0	10502	2	1	12	3		1	4000	2	0		0	2
1	5	105.0	1.0	3.0	10502	3	1	9	90		1	3000	2	0		0	2
1	5	105.0	1.0	3.0	10502	4	14	12			1	2400	2	1	1	0	1
1	5	105.0	1.0	3.0	10502	5	2					2200	2				
1	5	105.0	1.0	3.0	10503	1	1	9			4	5800	2	0		0	2
1	5	105.0	1.0	3.0	10503	2	14	12			4	2350	2	0		0	2
1	5	105.0	1.0	3.0	10504	1	1	3	9	12	1	1	1	0		0	2
1	5	105.0	1.0	3.0	10504	2	12	16	9	2	1	3000	2	1	0	0	1
1	5	105.0	1.0	3.0	10505	1	1	9			1	2800	2	1	0	0	1
1	5	105.0	1.0	3.0	10505	2	1	9			1	1800	2	0		0	1
1	5	105.0	1.0	3.0	10505	3	2				1	1000	2	1	1	0	1
1	5	105.0	1.0	3.0	10505	4	14	14			1	200	2	0		0	2
1	5	105.0	1.0	3.0	10507	1	1	9	14		4	5000	2	1	0	0	2
1	5	105.0	1.0	3.0	10507	2	9	4	3	12	4	620	2	0		0	2
1	5	105.0	1.0	3.0	10508	1	1	9	14		1	2500	2	1	0	0	2
1	5	105.0	1.0	3.0	10508	2	1	9	12	90	1	1815	2	0		0	2
1	5	105.0	1.0	3.0	10508	3	2				1	1750	2	1	1	0	2
1	5	105.0	1.0	3.0	10509	1	1	9	12		1	2300	2	0		0	2
1	5	105.0	1.0	3.0	10509	2	1	9	12	3	1	1800	2	0		0	2
1	5	105.0	1.0	3.0	10509	3	1	14			1	1220	2	1	1	0	2
1	5	105.0	1.0	3.0	10510	1	1	9	12		2	9600	2	0		0	1
1	5	105.0	1.0	3.0	10510	2	16	12			2	2100	2	1	0	0	1
1	5	105.0	1.0	3.0	10510	3	2				2	40	2	1	1	0	1
1	5	105.0	1.0	3.0	10511	1	1	9	4		1	4500	2	0		0	2
1	5	105.0	1.0	3.0	10511	2	2	1			2	2000	2	1	1	0	2
1	5	105.0	1.0	3.0	10511	3	12	14			2	1800	2	0		0	2
1	5	105.0	1.0	3.0	10512	1	1	9			1	3600	2	1	0	1	1
1	5	105.0	1.0	3.0	10512	2	1	9	3		1	2000	2	0		0	1
1	5	105.0	1.0	3.0	10512	3	2				1	700	2	1	1	0	1
1	5	105.0	1.0	3.0	10512	4	12	14	16		1	1700	2	0		0	1
1	5	105.0	1.0	3.0	10513	1	1	9	12		1	2	1	0		0	3
1	5	105.0	1.0	3.0	10513	2	1	9			7	4000	2	0		0	3
1	5	105.0	1.0	3.0	10513	3	14	16			1	3700	2	0		0	3
1	5	105.0	1.0	3.0	10513	4	1				2	700	2	0		0	2
1	5	105.0	1.0	3.0	10513	5	2					700	2				
1	5	105.0	1.0	3.0	10515	1	1	12	9	14	4	4380	2	0		0	2
1	5	105.0	1.0	3.0	10515	2	1	12	9		4	1850	2	0		0	2
1	5	105.0	1.0	3.0	10515	3	2				4	750	2	1	1	0	2
1	5	105.0	1.0	3.0	10516	1	1	12			1	7000	2	0		0	1
1	5	105.0	1.0	3.0	10516	2	14	12	9		1	3500	2	0		0	2
1	5	105.0	1.0	3.0	10518	1	1	4	9	12	1	1.5	1	0		0	2
1	5	105.0	1.0	3.0	10518	2	1	3	14	16	1	0.5	1	0		0	2
1	5	105.0	1.0	3.0	10518	3	2	9	30		1	0.5	1	1	1	0	1
1	5	105.0	1.0	3.0	10519	1	9				3	2500	2	0		0	1
1	5	105.0	1.0	3.0	10519	2	12	13			1	1800	2	0		0	2
1	5	105.0	1.0	3.0	10519	3	4	9			1	500	2	0		0	2
1	5	105.0	1.0	3.0	10519	4	9				1	350	2	0		0	2
1	5	105.0	1.0	3.0	10520	1	1	12	16		2	15750	2	0		0	2
1	5	105.0	1.0	3.0	10520	2	1	9	4	30	7	300	2	0		0	1
1	5	105.0	1.0	3.0	10520	3	1	90			2	150	2	0		0	2
1	5	105.0	1.0	3.0	10520	4	2				2	112	2	1	1	0	1
1	6	106.0	1.0	3.0	10601	1	1	9	12	3	4	12000	2	0		0	1
1	6	106.0	1.0	3.0	10601	2	2				4	6000	2	1	1	0	1
1	6	106.0	1.0	3.0	10601	3	14				4	3000	2	0		0	1
1	6	106.0	1.0	3.0	10602	1	1	9			1	8250	2	0		0	1
1	6	106.0	1.0	3.0	10602	2	1	9	12		1	2340	2	0		0	1
1	6	106.0	1.0	3.0	10602	3	14				1	1150	2	0		0	1
1	6	106.0	1.0	3.0	10602	4	2				1	1080	2	1	1	0	1
1	6	106.0	1.0	3.0	10603	1	1	9			2	10000	2	0		0	1
1	6	106.0	1.0	3.0	10603	2	1	9			2	4688	2	0		0	1
1	6	106.0	1.0	3.0	10603	3	2				2	4290	2	1	1	0	1
1	6	106.0	1.0	3.0	10603	4	14				2	1402	2	0		0	1
1	6	106.0	1.0	3.0	10604	1	1	9			1	3800	2	0		0	1
1	6	106.0	1.0	3.0	10604	2	1	3	9	60	1	2200	2	0		0	1
1	6	106.0	1.0	3.0	10604	3	14				1	300	2	0		0	2
1	6	106.0	1.0	3.0	10605	1	1	9	12	3	1	5600	2	0		0	1
1	6	106.0	1.0	3.0	10605	2	2				1	1600	2	1	1	0	1
1	6	106.0	1.0	3.0	10605	3	16				1	300	2	0		0	1
1	6	106.0	1.0	3.0	10606	1	1	9	60		1	4600	2	1	0	0	1
1	6	106.0	1.0	3.0	10606	2	3	9			1	3200	2	0		0	1
1	6	106.0	1.0	3.0	10606	3	3	9			1	2000	2	0		0	1
1	6	106.0	1.0	3.0	10606	4	14	12			1	500	2	0		0	1
1	6	106.0	1.0	3.0	10606	5	2					400	2				
1	6	106.0	1.0	3.0	10607	1	1	9	16		1	3000	2	0		0	1
1	6	106.0	1.0	3.0	10607	2	1	9	3	12	1	2800	2	0		0	1
1	6	106.0	1.0	3.0	10608	1	1	4	9		3	4710	2	0		0	1
1	6	106.0	1.0	3.0	10608	2	1	3	9	12	3	2575	2	0		0	1
1	6	106.0	1.0	3.0	10608	3	12	13	14		3	1500	2	0		0	1
1	6	106.0	1.0	3.0	10608	4	2				3	1400	2	1	1	0	1
1	6	106.0	1.0	3.0	10609	1	1	9			1	3400	2	0		0	1
1	6	106.0	1.0	3.0	10609	2	1	9	3		1	1900	2	0		0	1
1	6	106.0	1.0	3.0	10610	1	1	3	9		1	2450	2	0		0	1
1	6	106.0	1.0	3.0	10610	2	1	3	9		1	1860	2	0		0	1
1	6	106.0	1.0	3.0	10611	1	1	9			3	2650	2	0		0	1
1	6	106.0	1.0	3.0	10611	2	1	9	12		3	1800	2	0		0	2
1	6	106.0	1.0	3.0	10611	3	2				1	1200	2	1	1	0	2
1	6	106.0	1.0	3.0	10612	1	1	9	12		1	3230	2	0		0	1
1	6	106.0	1.0	3.0	10612	2	1	9	14		3	2850	2	0		0	2
1	6	106.0	1.0	3.0	10613	1	1	9			1	4400	2	0		0	1
1	6	106.0	1.0	3.0	10613	2	12				1	3800	2	0		0	1
1	6	106.0	1.0	3.0	10613	3	3				1	1050	2	0		0	1
1	6	106.0	1.0	3.0	10613	4	14				1	150	2	0		0	1
1	6	106.0	1.0	3.0	10614	1	12	9	3		4	6000	2	0		0	1
1	6	106.0	1.0	3.0	10614	2	1	9			4	1500	2	0		0	1
1	6	106.0	1.0	3.0	10614	3	2				2	800	2	1	1	0	1
1	6	106.0	1.0	3.0	10615	1	1	9	3	14	3	3840	2	0		0	2
1	6	106.0	1.0	3.0	10615	2	1	9	12		3	2350	2	0		0	2
1	6	106.0	1.0	3.0	10617	1	1	9			4	5000	2	0		0	1
1	6	106.0	1.0	3.0	10617	2	1	9	90		4	3000	2	0		0	1
1	6	106.0	1.0	3.0	10617	3	1	9	14	12	4	1500	2	0		0	1
1	6	106.0	1.0	3.0	10617	4	2				4	800	2	1	1	0	1
1	6	106.0	1.0	3.0	10618	1	1	9	12	3	1	5000	2	0		0	1
1	6	106.0	1.0	3.0	10618	2	2				1	600	2	1	1	0	1
1	6	106.0	1.0	3.0	10620	1	1	9			1	3600	2	0		0	2
1	6	106.0	1.0	3.0	10620	2	1	9	12	14	4	2500	2	0		0	2
1	7	107.0	1.0	3.0	10701	1	1	3	9	30	4	8870	2	0		0	1
1	7	107.0	1.0	3.0	10701	2	1	12			4	4715	2	0		0	1
1	7	107.0	1.0	3.0	10701	3	2				4	700	2	1	1	0	1
1	7	107.0	1.0	3.0	10701	4	14				4	450	2	0		0	1
1	7	107.0	1.0	3.0	10702	1	1	3	9	30	4	4150	2	0		0	2
1	7	107.0	1.0	3.0	10702	2	1	3	9		4	3150	2	0		0	2
1	7	107.0	1.0	3.0	10702	3	2				4	2015	2	1	1	0	2
1	7	107.0	1.0	3.0	10702	4	14				4	675	2	0		0	2
1	7	107.0	1.0	3.0	10703	1	1	9	90		1	7800	2	0		0	1
1	7	107.0	1.0	3.0	10703	2	1	9			1	2940	2	0		0	1
1	7	107.0	1.0	3.0	10703	3	2				1	1800	2	1	1	0	1
1	7	107.0	1.0	3.0	10703	4	14				1	420	2	0		0	2
1	7	107.0	1.0	3.0	10705	1	1	3	4	9	1	7850	2	0		0	1
1	7	107.0	1.0	3.0	10705	2	1	3	9		4	3425	2	0		0	1
1	7	107.0	1.0	3.0	10705	3	1	9	12		4	1750	2	0		0	1
1	7	107.0	1.0	3.0	10705	4	14				4	470	2	0		0	1
1	7	107.0	1.0	3.0	10706	1	1	3	9	30	4	14000	2	0		0	1
1	7	107.0	1.0	3.0	10706	2	1	9	12	14	3	3000	2	0		0	1
1	7	107.0	1.0	3.0	10706	3	2				3	1975	2	1	1	0	1
1	7	107.0	1.0	3.0	10707	1	1	9			4	6400	2	0		0	1
1	7	107.0	1.0	3.0	10707	2	1	9	4		4	1600	2	0		0	1
1	7	107.0	1.0	3.0	10707	3	90	60			2	1000	2	1	1	0	1
1	7	107.0	1.0	3.0	10707	4	16	12			4	600	2	0		0	1
1	7	107.0	1.0	3.0	10707	5	1	3	9			500	2				
1	7	107.0	1.0	3.0	10708	1	1	9	4	16	4	8500	2	0		0	1
1	7	107.0	1.0	3.0	10708	2	90	60			4	2200	2	1	1	0	1
