hhid	villno	group	strno	district	village	codigo1	codigo2	f01
10313	103.0	2.0	1.0	1	3	101	101	4
10314	103.0	2.0	1.0	1	3	101	101	4
10315	103.0	2.0	1.0	1	3	101	101	4
10316	103.0	2.0	1.0	1	3	101	101	1
10317	103.0	2.0	1.0	1	3	101	102	4
10318	103.0	2.0	1.0	1	3	102	102	4
10319	103.0	2.0	1.0	1	3	102	102	3
10320	103.0	2.0	1.0	1	3	102	102	5
10401	104.0	3.0	1.0	1	4	101	102	4
10402	104.0	3.0	1.0	1	4	102	102	5
10403	104.0	3.0	1.0	1	4	101	102	5
10404	104.0	3.0	1.0	1	4	101	102	2
10405	104.0	3.0	1.0	1	4	101	101	2
10407	104.0	3.0	1.0	1	4	102	102	3
10408	104.0	3.0	1.0	1	4	101	101	2
10410	104.0	3.0	1.0	1	4	102	102	3
10411	104.0	3.0	1.0	1	4	111	102	2
10412	104.0	3.0	1.0	1	4	102	102	4
10413	104.0	3.0	1.0	1	4	102	102	4
10414	104.0	3.0	1.0	1	4	101	102	3
10416	104.0	3.0	1.0	1	4	101	101	1
10417	104.0	3.0	1.0	1	4	102	102	3
10418	104.0	3.0	1.0	1	4	102	102	3
10419	104.0	3.0	1.0	1	4	102	102	5
10420	104.0	3.0	1.0	1	4	102	102	2
10501	105.0	3.0	1.0	1	5	101	101	3
10502	105.0	3.0	1.0	1	5	101	101	5
10503	105.0	3.0	1.0	1	5	102	102	2
10504	105.0	3.0	1.0	1	5	101	101	2
10505	105.0	3.0	1.0	1	5	102	102	4
10507	105.0	3.0	1.0	1	5	101	101	2
10508	105.0	3.0	1.0	1	5	101	101	3
10509	105.0	3.0	1.0	1	5	101	102	3
10510	105.0	3.0	1.0	1	5	121	121	3
10511	105.0	3.0	1.0	1	5	101	101	3
10512	105.0	3.0	1.0	1	5	102	102	4
10513	105.0	3.0	1.0	1	5	101	101	5
10515	105.0	3.0	1.0	1	5	101	101	3
10516	105.0	3.0	1.0	1	5	101	101	2
10518	105.0	3.0	1.0	1	5	101	101	3
10519	105.0	3.0	1.0	1	5	111	111	4
10520	105.0	3.0	1.0	1	5	101	101	4
10601	106.0	3.0	1.0	1	6	101	101	3
10602	106.0	3.0	1.0	1	6	102	102	4
10603	106.0	3.0	1.0	1	6	102	102	4
10604	106.0	3.0	1.0	1	6	101	102	3
10605	106.0	3.0	1.0	1	6	102	102	3
10606	106.0	3.0	1.0	1	6	101	101	5
10607	106.0	3.0	1.0	1	6	101	102	2
10608	106.0	3.0	1.0	1	6	102	102	4
10609	106.0	3.0	1.0	1	6	101	102	2
10610	106.0	3.0	1.0	1	6	102	102	2
10611	106.0	3.0	1.0	1	6	101	102	3
10612	106.0	3.0	1.0	1	6	102	102	2
10613	106.0	3.0	1.0	1	6	101	101	2
10614	106.0	3.0	1.0	1	6	101	101	2
10615	106.0	3.0	1.0	1	6	101	102	2
10617	106.0	3.0	1.0	1	6	111	111	4
10618	106.0	3.0	1.0	1	6	101	102	2
10620	106.0	3.0	1.0	1	6	101	101	2
10701	107.0	3.0	1.0	1	7	101	101	4
10702	107.0	3.0	1.0	1	7	102	102	4
10703	107.0	3.0	1.0	1	7	102	102	4
10705	107.0	3.0	1.0	1	7	102	102	4
10706	107.0	3.0	1.0	1	7	101	101	3
10707	107.0	3.0	1.0	1	7	101	101	5
10708	107.0	3.0	1.0	1	7	101	101	4
10710	107.0	3.0	1.0	1	7	101	102	3
10711	107.0	3.0	1.0	1	7	101	101	2
10713	107.0	3.0	1.0	1	7	102	102	3
10714	107.0	3.0	1.0	1	7	101	102	3
10715	107.0	3.0	1.0	1	7	101	102	2
10716	107.0	3.0	1.0	1	7	101	102	3
10717	107.0	3.0	1.0	1	7	102	102	4
10718	107.0	3.0	1.0	1	7	101	101	4
10719	107.0	3.0	1.0	1	7	121	102	2
10802	108.0	2.0	1.0	1	8	102	102	5
10803	108.0	2.0	1.0	1	8	101	101	2
10804	108.0	2.0	1.0	1	8	102	102	4
10805	108.0	2.0	1.0	1	8	102	102	3
10806	108.0	2.0	1.0	1	8	121	121	4
10807	108.0	2.0	1.0	1	8	102	102	3
10808	108.0	2.0	1.0	1	8	102	102	3
10809	108.0	2.0	1.0	1	8	102	102	6
10810	108.0	2.0	1.0	1	8	101	101	3
10811	108.0	2.0	1.0	1	8	101	102	3
10812	108.0	2.0	1.0	1	8	102	102	4
10814	108.0	2.0	1.0	1	8	102	102	4
10815	108.0	2.0	1.0	1	8	101	101	5
10816	108.0	2.0	1.0	1	8	102	102	2
10817	108.0	2.0	1.0	1	8	101	101	3
10819	108.0	2.0	1.0	1	8	102	102	4
10902	109.0	1.0	1.0	1	9	101	101	5
10904	109.0	1.0	1.0	1	9	121	102	1
10905	109.0	1.0	1.0	1	9	101	102	4
10906	109.0	1.0	1.0	1	9	102	102	3
10907	109.0	1.0	1.0	1	9	102	102	3
10908	109.0	1.0	1.0	1	9	101	101	2
10909	109.0	1.0	1.0	1	9	101	101	4
10911	109.0	1.0	1.0	1	9	102	102	4
10912	109.0	1.0	1.0	1	9	101	101	5
10913	109.0	1.0	1.0	1	9	101	101	5
10914	109.0	1.0	1.0	1	9	101	101	2
10915	109.0	1.0	1.0	1	9	102	102	5
10916	109.0	1.0	1.0	1	9	103	103	4
10917	109.0	1.0	1.0	1	9	102	102	3
10919	109.0	1.0	1.0	1	9	101	121	2
11001	110.0	1.0	1.0	1	10	102	102	6
11003	110.0	1.0	1.0	1	10	101	101	2
11004	110.0	1.0	1.0	1	10	101	102	2
11005	110.0	1.0	1.0	1	10	101	101	4
11006	110.0	1.0	1.0	1	10	101	101	4
11007	110.0	1.0	1.0	1	10	101	101	2
11009	110.0	1.0	1.0	1	10	102	102	1
11011	110.0	1.0	1.0	1	10	102	102	3
11013	110.0	1.0	1.0	1	10	104	104	5
11014	110.0	1.0	1.0	1	10	101	101	4
11015	110.0	1.0	1.0	1	10	102	102	3
11016	110.0	1.0	1.0	1	10	102	102	2
11017	110.0	1.0	1.0	1	10	102	102	4
11018	110.0	1.0	1.0	1	10	101	101	4
11019	110.0	1.0	1.0	1	10	101	101	5
11102	111.0	1.0	1.0	1	11	101	112	5
11103	111.0	1.0	1.0	1	11	101	102	6
11104	111.0	1.0	1.0	1	11	101	102	2
11105	111.0	1.0	1.0	1	11	101	101	4
11108	111.0	1.0	1.0	1	11	101	102	4
11109	111.0	1.0	1.0	1	11	102	102	3
11110	111.0	1.0	1.0	1	11	101	101	5
11112	111.0	1.0	1.0	1	11	102	102	4
11113	111.0	1.0	1.0	1	11	101	101	4
11114	111.0	1.0	1.0	1	11	102	102	4
11115	111.0	1.0	1.0	1	11	101	102	4
11116	111.0	1.0	1.0	1	11	101	101	4
11117	111.0	1.0	1.0	1	11	102	102	4
11118	111.0	1.0	1.0	1	11	101	101	9
11119	111.0	1.0	1.0	1	11	102	102	3
11120	111.0	1.0	1.0	1	11	102	102	3
11201	112.0	2.0	1.0	1	12	101	102	5
11202	112.0	2.0	1.0	1	12	101	101	3
11203	112.0	2.0	1.0	1	12	102	102	4
11204	112.0	2.0	1.0	1	12	102	102	4
11205	112.0	2.0	1.0	1	12	101	101	3
11206	112.0	2.0	1.0	1	12	121	101	3
11207	112.0	2.0	1.0	1	12	101	101	1
11208	112.0	2.0	1.0	1	12	102	102	3
11209	112.0	2.0	1.0	1	12	103	103	3
11210	112.0	2.0	1.0	1	12	102	102	4
11211	112.0	2.0	1.0	1	12	102	102	4
11212	112.0	2.0	1.0	1	12	101	101	2
11213	112.0	2.0	1.0	1	12	101	102	4
11214	112.0	2.0	1.0	1	12	102	102	2
11215	112.0	2.0	1.0	1	12	102	102	5
11216	112.0	2.0	1.0	1	12	101	101	3
11217	112.0	2.0	1.0	1	12	101	102	4
11218	112.0	2.0	1.0	1	12	102	102	3
11219	112.0	2.0	1.0	1	12	101	101	2
11220	112.0	2.0	1.0	1	12	101	102	5
11301	113.0	3.0	1.0	1	13	102	102	2
11302	113.0	3.0	1.0	1	13	102	102	3
11303	113.0	3.0	1.0	1	13	102	102	3
11304	113.0	3.0	1.0	1	13	102	102	3
11305	113.0	3.0	1.0	1	13	101	101	5
11306	113.0	3.0	1.0	1	13	102	102	4
11307	113.0	3.0	1.0	1	13	102	102	4
11308	113.0	3.0	1.0	1	13	102	102	4
11309	113.0	3.0	1.0	1	13	101	101	4
11310	113.0	3.0	1.0	1	13	101	101	5
11311	113.0	3.0	1.0	1	13	102	102	4
11312	113.0	3.0	1.0	1	13	102	102	2
11313	113.0	3.0	1.0	1	13	101	101	3
11314	113.0	3.0	1.0	1	13	102	102	2
11316	113.0	3.0	1.0	1	13	101	101	3
11317	113.0	3.0	1.0	1	13	102	102	4
11318	113.0	3.0	1.0	1	13	102	102	2
11401	114.0	2.0	1.0	1	14	102	102	3
11402	114.0	2.0	1.0	1	14	102	102	5
11403	114.0	2.0	1.0	1	14	101	101	5
11404	114.0	2.0	1.0	1	14	102	102	3
11405	114.0	2.0	1.0	1	14	102	102	5
11406	114.0	2.0	1.0	1	14	102	102	3
11407	114.0	2.0	1.0	1	14	101	101	4
11408	114.0	2.0	1.0	1	14	102	102	2
11409	114.0	2.0	1.0	1	14	101	101	5
11410	114.0	2.0	1.0	1	14	101	101	5
11411	114.0	2.0	1.0	1	14	101	101	3
11412	114.0	2.0	1.0	1	14	101	101	5
11413	114.0	2.0	1.0	1	14	102	102	3
11414	114.0	2.0	1.0	1	14	101	101	4
11415	114.0	2.0	1.0	1	14	101	101	3
11416	114.0	2.0	1.0	1	14	101	102	2
11417	114.0	2.0	1.0	1	14	101	101	4
11418	114.0	2.0	1.0	1	14	102	102	3
11419	114.0	2.0	1.0	1	14	102	102	4
11420	114.0	2.0	1.0	1	14	102	102	3
11502	115.0	1.0	1.0	1	15	102	102	2
11503	115.0	1.0	1.0	1	15	102	102	4
11504	115.0	1.0	1.0	1	15	102	102	4
11505	115.0	1.0	1.0	1	15	101	101	3
11506	115.0	1.0	1.0	1	15	101	101	3
11507	115.0	1.0	1.0	1	15	101	101	2
11508	115.0	1.0	1.0	1	15	101	101	5
11510	115.0	1.0	1.0	1	15	101	101	5
11511	115.0	1.0	1.0	1	15	101	101	2
11512	115.0	1.0	1.0	1	15	101	101	6
11513	115.0	1.0	1.0	1	15	101	102	2
11514	115.0	1.0	1.0	1	15	101	101	4
11515	115.0	1.0	1.0	1	15	101	101	5
11516	115.0	1.0	1.0	1	15	101	101	2
11517	115.0	1.0	1.0	1	15	102	102	3
11519	115.0	1.0	1.0	1	15	102	102	4
11601	116.0	1.0	1.0	1	16	101	101	5
11602	116.0	1.0	1.0	1	16	101	102	2
11603	116.0	1.0	1.0	1	16	102	102	3
11604	116.0	1.0	1.0	1	16	102	102	5
11606	116.0	1.0	1.0	1	16	101	102	5
11607	116.0	1.0	1.0	1	16	101	102	4
11608	116.0	1.0	1.0	1	16	101	102	3
11609	116.0	1.0	1.0	1	16	102	102	4
11610	116.0	1.0	1.0	1	16	102	102	4
11612	116.0	1.0	1.0	1	16	101	101	3
11613	116.0	1.0	1.0	1	16	102	102	4
11614	116.0	1.0	1.0	1	16	101	101	5
11615	116.0	1.0	1.0	1	16	102	102	4
11616	116.0	1.0	1.0	1	16	101	102	4
11617	116.0	1.0	1.0	1	16	102	102	4
11618	116.0	1.0	1.0	1	16	102	102	3
11619	116.0	1.0	1.0	1	16	102	102	3
11620	116.0	1.0	1.0	1	16	101	101	5
11701	117.0	2.0	1.0	1	17	102	102	4
11702	117.0	2.0	1.0	1	17	101	101	4
11703	117.0	2.0	1.0	1	17	101	102	4
11704	117.0	2.0	1.0	1	17	101	101	3
11705	117.0	2.0	1.0	1	17	101	101	5
11706	117.0	2.0	1.0	1	17	101	101	4
11707	117.0	2.0	1.0	1	17	102	102	6
11708	117.0	2.0	1.0	1	17	101	101	5
11709	117.0	2.0	1.0	1	17	101	102	5
11710	117.0	2.0	1.0	1	17	102	102	5
11711	117.0	2.0	1.0	1	17	101	101	7
11712	117.0	2.0	1.0	1	17	101	101	4
11713	117.0	2.0	1.0	1	17	101	102	3
11714	117.0	2.0	1.0	1	17	101	102	4
11715	117.0	2.0	1.0	1	17	102	102	5
11716	117.0	2.0	1.0	1	17	101	101	3
11717	117.0	2.0	1.0	1	17	102	102	2
11718	117.0	2.0	1.0	1	17	101	101	4
11719	117.0	2.0	1.0	1	17	102	102	5
11801	118.0	1.0	1.0	1	18	102	102	3
11803	118.0	1.0	1.0	1	18	111	111	5
11804	118.0	1.0	1.0	1	18	102	102	3
11805	118.0	1.0	1.0	1	18	101	102	2
11806	118.0	1.0	1.0	1	18	101	102	3
11807	118.0	1.0	1.0	1	18	121	102	2
11808	118.0	1.0	1.0	1	18	101	101	2
11811	118.0	1.0	1.0	1	18	101	102	4
11812	118.0	1.0	1.0	1	18	122	101	3
11813	118.0	1.0	1.0	1	18	101	101	5
11814	118.0	1.0	1.0	1	18	102	102	3
11815	118.0	1.0	1.0	1	18	102	102	5
11816	118.0	1.0	1.0	1	18	101	102	3
11817	118.0	1.0	1.0	1	18	101	102	2
20101	201.0	3.0	2.0	2	1	101	101	4
20102	201.0	3.0	2.0	2	1	101	101	3
20103	201.0	3.0	2.0	2	1	101	102	3
20104	201.0	3.0	2.0	2	1	101	102	4
20105	201.0	3.0	2.0	2	1	102	102	3
20106	201.0	3.0	2.0	2	1	101	101	3
20107	201.0	3.0	2.0	2	1	101	102	1
20108	201.0	3.0	2.0	2	1	101	102	3
20109	201.0	3.0	2.0	2	1	101	101	3
20110	201.0	3.0	2.0	2	1	101	102	6
20111	201.0	3.0	2.0	2	1	101	102	3
20112	201.0	3.0	2.0	2	1	101	102	3
20113	201.0	3.0	2.0	2	1	101	102	3
20114	201.0	3.0	2.0	2	1	101	101	4
20115	201.0	3.0	2.0	2	1	101	101	2
20116	201.0	3.0	2.0	2	1	101	101	2
20117	201.0	3.0	2.0	2	1	121	102	2
20118	201.0	3.0	2.0	2	1	101	101	5
20119	201.0	3.0	2.0	2	1	101	101	6
20120	201.0	3.0	2.0	2	1	101	101	4
20201	202.0	3.0	2.0	2	2	101	101	3
20202	202.0	3.0	2.0	2	2	101	101	4
20203	202.0	3.0	2.0	2	2	101	102	4
20204	202.0	3.0	2.0	2	2	101	102	4
20205	202.0	3.0	2.0	2	2	121	121	4
20206	202.0	3.0	2.0	2	2	101	101	5
20207	202.0	3.0	2.0	2	2	102	102	6
20208	202.0	3.0	2.0	2	2	101	102	5
20209	202.0	3.0	2.0	2	2	102	102	5
20210	202.0	3.0	2.0	2	2	101	101	5
20211	202.0	3.0	2.0	2	2	101	101	2
20212	202.0	3.0	2.0	2	2	101	102	3
20213	202.0	3.0	2.0	2	2	121	121	3
20214	202.0	3.0	2.0	2	2	101	101	1
20215	202.0	3.0	2.0	2	2	102	102	3
20216	202.0	3.0	2.0	2	2	102	102	3
20217	202.0	3.0	2.0	2	2	101	102	5
20218	202.0	3.0	2.0	2	2	101	102	3
20219	202.0	3.0	2.0	2	2	102	102	5
20220	202.0	3.0	2.0	2	2	101	101	3
20301	203.0	2.0	2.0	2	3	101	101	4
20302	203.0	2.0	2.0	2	3	101	102	5
20303	203.0	2.0	2.0	2	3	101	102	4
20304	203.0	2.0	2.0	2	3	101	102	4
20305	203.0	2.0	2.0	2	3	102	102	6
20306	203.0	2.0	2.0	2	3	101	102	5
20307	203.0	2.0	2.0	2	3	101	101	1
20308	203.0	2.0	2.0	2	3	102	102	6
20309	203.0	2.0	2.0	2	3	101	101	3
20310	203.0	2.0	2.0	2	3	101	101	6
20311	203.0	2.0	2.0	2	3	101	101	4
20312	203.0	2.0	2.0	2	3	101	102	5
20313	203.0	2.0	2.0	2	3	102	102	4
20314	203.0	2.0	2.0	2	3	101	101	2
20315	203.0	2.0	2.0	2	3	102	102	4
20316	203.0	2.0	2.0	2	3	101	102	4
20317	203.0	2.0	2.0	2	3	101	101	5
20318	203.0	2.0	2.0	2	3	101	102	3
20319	203.0	2.0	2.0	2	3	101	102	3
20320	203.0	2.0	2.0	2	3	102	102	4
20401	204.0	2.0	2.0	2	4	101	102	5
20402	204.0	2.0	2.0	2	4	101	101	6
20403	204.0	2.0	2.0	2	4	101	102	4
20404	204.0	2.0	2.0	2	4	101	101	3
20405	204.0	2.0	2.0	2	4	102	102	3
20407	204.0	2.0	2.0	2	4	102	102	5
20408	204.0	2.0	2.0	2	4	101	102	2
20409	204.0	2.0	2.0	2	4	101	101	5
20410	204.0	2.0	2.0	2	4	101	101	5
20411	204.0	2.0	2.0	2	4	101	101	3
20412	204.0	2.0	2.0	2	4	102	102	5
20413	204.0	2.0	2.0	2	4	101	101	2
20414	204.0	2.0	2.0	2	4	102	102	4
20415	204.0	2.0	2.0	2	4	102	102	2
20416	204.0	2.0	2.0	2	4	101	102	5
20417	204.0	2.0	2.0	2	4	102	102	4
20418	204.0	2.0	2.0	2	4	101	101	5
20419	204.0	2.0	2.0	2	4	101	102	3
20501	205.0	1.0	2.0	2	5	102	102	3
20502	205.0	1.0	2.0	2	5	101	104	4
20503	205.0	1.0	2.0	2	5	102	102	4
20504	205.0	1.0	2.0	2	5	101	102	5
20505	205.0	1.0	2.0	2	5	102	102	4
20506	205.0	1.0	2.0	2	5	102	102	5
20507	205.0	1.0	2.0	2	5	101	101	5
20509	205.0	1.0	2.0	2	5	101	101	6
20510	205.0	1.0	2.0	2	5	101	101	4
20511	205.0	1.0	2.0	2	5	102	102	5
20512	205.0	1.0	2.0	2	5	102	102	3
20515	205.0	1.0	2.0	2	5	111	111	2
20516	205.0	1.0	2.0	2	5	101	102	5
20517	205.0	1.0	2.0	2	5	102	102	4
20518	205.0	1.0	2.0	2	5	102	102	5
20519	205.0	1.0	2.0	2	5	102	102	5
20520	205.0	1.0	2.0	2	5	102	102	5
20601	206.0	1.0	2.0	2	6	102	101	2
20602	206.0	1.0	2.0	2	6	102	102	4
20603	206.0	1.0	2.0	2	6	112	101	2
20604	206.0	1.0	2.0	2	6	101	101	4
20607	206.0	1.0	2.0	2	6	101	101	4
20609	206.0	1.0	2.0	2	6	102	102	4
20610	206.0	1.0	2.0	2	6	101	1	4
20611	206.0	1.0	2.0	2	6	102	102	4
20612	206.0	1.0	2.0	2	6	101	101	4
20615	206.0	1.0	2.0	2	6	102	102	5
20616	206.0	1.0	2.0	2	6	102	102	4
20617	206.0	1.0	2.0	2	6	102	102	4
20618	206.0	1.0	2.0	2	6	102	102	5
20619	206.0	1.0	2.0	2	6	101	102	5
20620	206.0	1.0	2.0	2	6	101	101	4
20701	207.0	2.0	2.0	2	7	101	101	5
20702	207.0	2.0	2.0	2	7	102	102	3
20703	207.0	2.0	2.0	2	7	101	101	4
20704	207.0	2.0	2.0	2	7	101	102	5
20705	207.0	2.0	2.0	2	7	101	102	4
20706	207.0	2.0	2.0	2	7	101	101	5
20707	207.0	2.0	2.0	2	7	102	102	3
20708	207.0	2.0	2.0	2	7	102	102	3
20709	207.0	2.0	2.0	2	7	101	102	4
20710	207.0	2.0	2.0	2	7	101	102	3
20711	207.0	2.0	2.0	2	7	101	102	4
20712	207.0	2.0	2.0	2	7	101	102	5
20713	207.0	2.0	2.0	2	7	102	102	3
20714	207.0	2.0	2.0	2	7	101	102	5
20715	207.0	2.0	2.0	2	7	102	102	4
20716	207.0	2.0	2.0	2	7	102	102	6
20717	207.0	2.0	2.0	2	7	101	102	5
20718	207.0	2.0	2.0	2	7	101	101	5
20801	208.0	1.0	2.0	2	8	101	101	5
20802	208.0	1.0	2.0	2	8	101	102	5
20803	208.0	1.0	2.0	2	8	102	102	4
20804	208.0	1.0	2.0	2	8	101	102	5
20805	208.0	1.0	2.0	2	8	102	101	5
20806	208.0	1.0	2.0	2	8	102	102	4
20807	208.0	1.0	2.0	2	8	101	102	3
20808	208.0	1.0	2.0	2	8	102	102	5
20809	208.0	1.0	2.0	2	8	101	102	4
20810	208.0	1.0	2.0	2	8	102	102	4
20811	208.0	1.0	2.0	2	8	101	102	5
20813	208.0	1.0	2.0	2	8	101	101	5
20814	208.0	1.0	2.0	2	8	101	101	6
20815	208.0	1.0	2.0	2	8	102	102	4
20816	208.0	1.0	2.0	2	8	101	101	5
20817	208.0	1.0	2.0	2	8	102	102	5
20818	208.0	1.0	2.0	2	8	102	102	4
20819	208.0	1.0	2.0	2	8	102	102	5
20820	208.0	1.0	2.0	2	8	101	102	4
20902	209.0	3.0	2.0	2	9	101	102	5
20903	209.0	3.0	2.0	2	9	101	102	5
20904	209.0	3.0	2.0	2	9	121	101	2
20905	209.0	3.0	2.0	2	9	101	102	5
20907	209.0	3.0	2.0	2	9	102	102	3
20908	209.0	3.0	2.0	2	9	101	101	3
20909	209.0	3.0	2.0	2	9	102	102	4
20910	209.0	3.0	2.0	2	9	101	101	3
20914	209.0	3.0	2.0	2	9	121	102	4
20915	209.0	3.0	2.0	2	9	102	101	3
20916	209.0	3.0	2.0	2	9	102	102	4
20917	209.0	3.0	2.0	2	9	101	102	4
20918	209.0	3.0	2.0	2	9	102	102	3
20919	209.0	3.0	2.0	2	9	101	102	3
20920	209.0	3.0	2.0	2	9	101	101	3
20921	209.0	3.0	2.0	2	9	101	101	3
30101	301.0	2.0	3.0	3	1	102	101	4
30102	301.0	2.0	3.0	3	1	101	102	3
30103	301.0	2.0	3.0	3	1	102	102	5
30104	301.0	2.0	3.0	3	1	102	102	3
30105	301.0	2.0	3.0	3	1	102	102	4
30106	301.0	2.0	3.0	3	1	102	102	5
30107	301.0	2.0	3.0	3	1	102	102	4
30108	301.0	2.0	3.0	3	1	102	102	3
30109	301.0	2.0	3.0	3	1	101	102	3
30110	301.0	2.0	3.0	3	1	102	102	4
30111	301.0	2.0	3.0	3	1	101	102	2
30112	301.0	2.0	3.0	3	1	102	102	4
30113	301.0	2.0	3.0	3	1	102	102	3
30115	301.0	2.0	3.0	3	1	101	101	3
30116	301.0	2.0	3.0	3	1	101	102	3
30117	301.0	2.0	3.0	3	1	101	101	3
30118	301.0	2.0	3.0	3	1	101	101	5
30119	301.0	2.0	3.0	3	1	101	102	3
30120	301.0	2.0	3.0	3	1	101	102	4
30201	302.0	2.0	3.0	3	2	101	102	4
30202	302.0	2.0	3.0	3	2	102	102	3
30203	302.0	2.0	3.0	3	2	101	102	4
30204	302.0	2.0	3.0	3	2	102	102	3
30205	302.0	2.0	3.0	3	2	102	102	6
30206	302.0	2.0	3.0	3	2	102	102	4
30207	302.0	2.0	3.0	3	2	102	102	5
30208	302.0	2.0	3.0	3	2	101	101	8
30209	302.0	2.0	3.0	3	2	102	102	5
30210	302.0	2.0	3.0	3	2	102	102	4
30212	302.0	2.0	3.0	3	2	101	102	3
30213	302.0	2.0	3.0	3	2	102	102	4
30214	302.0	2.0	3.0	3	2	101	101	4
30215	302.0	2.0	3.0	3	2	102	102	2
30216	302.0	2.0	3.0	3	2	102	101	2
30217	302.0	2.0	3.0	3	2	101	102	3
30218	302.0	2.0	3.0	3	2	102	102	3
30219	302.0	2.0	3.0	3	2	101	102	5
30220	302.0	2.0	3.0	3	2	101	102	3
30301	303.0	1.0	3.0	3	3	101	101	5
30302	303.0	1.0	3.0	3	3	101	101	4
30303	303.0	1.0	3.0	3	3	102	102	4
30304	303.0	1.0	3.0	3	3	101	102	3
30305	303.0	1.0	3.0	3	3	101	102	4
30306	303.0	1.0	3.0	3	3	102	102	3
30307	303.0	1.0	3.0	3	3	102	102	3
30308	303.0	1.0	3.0	3	3	101	102	5
30309	303.0	1.0	3.0	3	3	102	102	3
30310	303.0	1.0	3.0	3	3	101	102	5
30311	303.0	1.0	3.0	3	3	101	101	6
30312	303.0	1.0	3.0	3	3	102	10	4
30313	303.0	1.0	3.0	3	3	102	102	4
30315	303.0	1.0	3.0	3	3	104	104	3
30316	303.0	1.0	3.0	3	3	102	102	3
30317	303.0	1.0	3.0	3	3	101	102	4
30318	303.0	1.0	3.0	3	3	102	102	3
30319	303.0	1.0	3.0	3	3	101	102	1
30401	304.0	3.0	3.0	3	4	102	102	6
30402	304.0	3.0	3.0	3	4	101	101	4
30403	304.0	3.0	3.0	3	4	102	102	2
30404	304.0	3.0	3.0	3	4	102	102	3
30405	304.0	3.0	3.0	3	4	101	102	4
30406	304.0	3.0	3.0	3	4	102	102	4
30407	304.0	3.0	3.0	3	4	102	101	7
30408	304.0	3.0	3.0	3	4	102	102	4
30409	304.0	3.0	3.0	3	4	102	102	4
30410	304.0	3.0	3.0	3	4	102	102	4
30411	304.0	3.0	3.0	3	4	102	101	4
30412	304.0	3.0	3.0	3	4	101	102	3
30413	304.0	3.0	3.0	3	4	101	101	4
30414	304.0	3.0	3.0	3	4	101	101	3
30415	304.0	3.0	3.0	3	4	101	102	4
30416	304.0	3.0	3.0	3	4	102	101	6
30417	304.0	3.0	3.0	3	4	102	102	4
30419	304.0	3.0	3.0	3	4	101	102	4
30420	304.0	3.0	3.0	3	4	102	102	4
30501	305.0	3.0	3.0	3	5	102	102	4
30502	305.0	3.0	3.0	3	5	102	101	4
30503	305.0	3.0	3.0	3	5	102	101	4
30504	305.0	3.0	3.0	3	5	101	102	3
30505	305.0	3.0	3.0	3	5	102	102	4
30506	305.0	3.0	3.0	3	5	101	101	2
30507	305.0	3.0	3.0	3	5	102	102	4
30508	305.0	3.0	3.0	3	5	102	101	2
30509	305.0	3.0	3.0	3	5	101	101	3
30510	305.0	3.0	3.0	3	5	102	102	3
30512	305.0	3.0	3.0	3	5	101	101	2
30513	305.0	3.0	3.0	3	5	101	102	3
30515	305.0	3.0	3.0	3	5	101	102	2
30516	305.0	3.0	3.0	3	5	101	101	4
30517	305.0	3.0	3.0	3	5	102	102	2
