district	village	villno	strno	group	hhid	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38
1	1	101.0	1.0	3.0	10112	1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	3	1	1	0	0	0	0	0	0	5.0	4.0	1	2	2	1	2	0
1	1	101.0	1.0	3.0	10113	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5.0	3.0	1	2	1	1	1	0
1	1	101.0	1.0	3.0	10114	1	2	0	1	0	0	0	2	0	0	0	1	0	0	0	3	0	1	0	1	0	2	1	0	0	0	0	0	0	0	4.0	5.0	1	3	1	1	2	0
1	1	101.0	1.0	3.0	10115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	2.5	3.0	1	2	1	1	1	0
1	1	101.0	1.0	3.0	10116	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	4	0	2	0	1	0	4	1	1	0	0	1	0	0	0	6.0	7.0	1	3	4	1	3	0
1	1	101.0	1.0	3.0	10117	1	3	0	1	0	0	0	6	0	0	0	1	1	0	0	3	0	1	0	1	0	3	1	1	0	0	1	1	0	0	7.0	6.0	3	3	4	1	3	1
1	1	101.0	1.0	3.0	10118	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	2	0	0	0	3	1	0	0	0	0	0	0	0	5.0	6.0	1	3	2	1	2	0
1	1	101.0	1.0	3.0	10119	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	4	1	1	0	0	1	0	0	0	5.0	9.0	3	3	4	1	3	1
1	1	101.0	1.0	3.0	10120	1	2	0	1	0	1	1	3	3	0	0	3	1	0	0	2	0	1	0	0	0	5	1	1	0	0	0	0	0	0	6.0	7.0	3	3	4	2	3	1
1	2	102.0	1.0	2.0	10202	1	1	0	0	0	0	0	2	5	0	0	1	0	0	0	4	1	1	0	0	0	6	1	0	0	0	0	0	0	0	4.0	5.0	3	3	5	1	3	1
1	2	102.0	1.0	2.0	10203	1	1	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	1	0	0	0	2	1	1	0	0	1	0	0	0	4.5	4.0	1	2	4	1	2	1
1	2	102.0	1.0	2.0	10205	1	1	0	0	1	1	1	1	4	0	0	1	0	0	0	4	0	1	0	0	0	5	1	1	0	0	0	0	0	0	5.0	6.0	3	3	4	2	3	0
1	2	102.0	1.0	2.0	10207	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	1	0	1	0	3	0	2	0	0	1	0	0	0	4.0	5.5	1	2	4	1	2	1
1	2	102.0	1.0	2.0	10208	1	2	0	0	0	0	0	4	0	0	0	1	0	0	0	5	0	1	0	0	0	3	1	1	0	0	1	0	0	0	6.0	5.5	1	2	4	1	2	1
1	2	102.0	1.0	2.0	10209	1	1	0	1	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	5.0	4.0	1	2	1	1	2	0
1	2	102.0	1.0	2.0	10211	0	2	0	0	0	0	0	3	0	0	0	3	0	0	0	3	0	1	0	0	0	4	0	1	0	0	0	0	0	0	5.0	4.0	1	3	1	1	2	1
1	2	102.0	1.0	2.0	10212	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3.0	3.5	1	2	1	2	1	0
1	2	102.0	1.0	2.0	10214	1	3	0	0	0	0	0	0	4	0	0	1	0	0	0	4	0	1	0	1	0	4	0	1	0	0	0	0	0	0	4.0	6.5	3	3	4	1	3	1
1	2	102.0	1.0	2.0	10215	1	2	0	0	0	0	1	1	3	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5.0	3.0	3	3	4	1	3	0
1	2	102.0	1.0	2.0	10217	1	0	0	0	0	1	1	3	6	0	0	2	0	0	1	4	0	1	0	1	0	6	1	1	0	0	0	1	0	0	5.0	6.0	3	3	4	1	2	0
1	2	102.0	1.0	2.0	10218	0	1	0	1	0	0	0	1	2	0	0	1	1	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5.0	3.0	1	2	1	1	2	0
1	2	102.0	1.0	2.0	10219	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	5.0	4.0	1	3	2	1	2	0
1	2	102.0	1.0	2.0	10220	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	2	1	2	0	0	0	4	2	1	0	0	0	0	0	0	3.5	5.0	1	3	1	1	2	0
1	3	103.0	1.0	2.0	10302	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	2	2	1	0	0	1	0	0	0	4.0	4.0	1	2	4	1	1	1
1	3	103.0	1.0	2.0	10303	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	1	0	1	0	4	1	1	0	0	0	0	0	0	4.0	5.5	1	2	1	1	1	0
1	3	103.0	1.0	2.0	10304	1	1	0	0	0	0	0	6	0	0	0	1	0	0	0	3	0	1	0	0	0	3	0	1	0	0	0	0	0	0	5.0	4.0	1	3	1	1	2	0
1	3	103.0	1.0	2.0	10306	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	4	0	1	0	0	0	0	0	0	4.0	4.0	1	2	1	1	1	1
1	3	103.0	1.0	2.0	10307	1	2	0	0	0	1	0	1	3	0	0	0	0	0	0	3	0	1	0	0	0	2	1	1	1	0	1	0	0	0	4.0	5.0	1	2	4	1	2	1
1	3	103.0	1.0	2.0	10308	0	2	0	2	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	4	1	1	1	0	0	0	0	0	5.0	3.0	1	2	4	1	2	0
1	3	103.0	1.0	2.0	10309	1	1	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	3.0	6.0	1	2	1	1	1	0
1	3	103.0	1.0	2.0	10311	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	4.0	5.0	1	2	4	1	2	1
1	3	103.0	1.0	2.0	10312	0	1	0	1	0	0	0	4	0	0	0	1	0	0	0	2	0	1	0	0	0	4	0	1	0	0	0	0	0	0	4.0	6.0	1	3	4	1	3	0
1	3	103.0	1.0	2.0	10313	2	1	0	1	1	0	0	2	0	0	0	1	1	0	0	2	0	2	0	0	0	5	1	3	0	0	1	0	0	0	3.0	4.0	1	2	3	1	2	1
1	3	103.0	1.0	2.0	10314	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	4	1	1	0	0	1	0	0	0	5.0	5.0	1	2	2	1	1	1
1	3	103.0	1.0	2.0	10315	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4.0	4.5	1	2	4	1	2	0
1	3	103.0	1.0	2.0	10316	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2.0	2.5	1	2	1	1	1	0
1	3	103.0	1.0	2.0	10317	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	1	0	0	0	4	0	1	0	0	0	0	0	0	5.0	4.0	1	3	1	1	2	0
1	3	103.0	1.0	2.0	10318	1	1	0	0	0	0	0	3	2	0	0	1	0	0	0	3	0	2	0	1	0	3	1	1	0	0	1	0	0	0	5.5	8.0	3	3	4	1	3	1
1	3	103.0	1.0	2.0	10319	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	3.0	3.5	1	2	1	1	1	0
1	3	103.0	1.0	2.0	10320	1	1	0	1	0	0	1	2	4	0	0	1	0	0	0	2	0	1	0	0	0	4	1	1	0	0	0	0	0	0	3.5	3.0	3	3	1	1	2	0
1	4	104.0	1.0	3.0	10401	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	5	1	2	0	0	1	0	0	0	5.0	3.5	1	3	1	1	2	1
1	4	104.0	1.0	3.0	10402	1	1	0	0	0	0	0	3	3	0	0	1	0	0	0	2	1	1	0	1	0	3	0	1	0	0	1	0	0	0	4.0	4.5	1	2	4	1	2	0
1	4	104.0	1.0	3.0	10403	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	1	1	0	1	0	3	1	1	0	0	2	4	0	0	5.0	5.0	1	2	1	1	1	1
1	4	104.0	1.0	3.0	10404	1	1	0	0	0	1	1	4	4	1	0	2	0	0	0	3	0	1	0	0	0	3	1	1	0	0	0	0	0	0	4.5	6.0	1	3	4	1	2	1
1	4	104.0	1.0	3.0	10405	1	2	0	1	0	1	1	4	0	0	0	1	1	0	0	4	0	1	0	1	0	6	0	2	0	0	1	0	0	0	4.5	3.5	1	2	4	1	2	1
1	4	104.0	1.0	3.0	10407	1	2	0	2	0	2	1	4	1	0	0	2	1	0	0	4	0	1	0	0	0	4	0	1	0	0	0	0	0	0	5.0	4.0	1	3	3	1	2	0
1	4	104.0	1.0	3.0	10408	0	1	0	0	0	0	1	0	3	0	0	1	1	0	0	2	0	0	0	0	0	2	2	1	0	0	0	0	0	0	4.0	5.0	1	2	1	1	2	0
1	4	104.0	1.0	3.0	10410	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5.0	4.0	1	2	3	1	2	0
1	4	104.0	1.0	3.0	10411	0	1	0	1	0	0	0	2	3	0	0	1	0	0	0	4	0	0	0	0	0	2	1	1	0	0	1	0	0	0	5.5	4.0	1	2	4	1	2	1
1	4	104.0	1.0	3.0	10412	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	1	0	0	0	3	1	1	0	0	1	0	0	0	4.0	5.0	1	2	1	1	2	1
1	4	104.0	1.0	3.0	10413	1	1	0	0	0	0	1	4	1	0	0	2	0	0	1	3	1	2	0	0	0	3	1	3	1	0	0	0	0	0	5.0	6.0	3	3	4	1	3	1
1	4	104.0	1.0	3.0	10414	0	1	0	0	0	0	1	2	0	0	0	3	0	0	0	2	0	2	0	0	0	6	0	2	1	0	0	0	0	0	6.0	5.0	1	3	1	1	2	0
1	4	104.0	1.0	3.0	10416	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	5	2	1	0	0	0	0	0	0	3.0	5.0	1	2	1	1	1	0
1	4	104.0	1.0	3.0	10417	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	3.0	4.0	1	3	1	1	1	1
1	4	104.0	1.0	3.0	10418	1	2	0	0	0	0	1	3	2	0	0	1	0	0	0	2	0	1	0	1	0	2	1	1	0	0	2	0	0	0	2.5	3.5	1	3	5	1	2	1
1	4	104.0	1.0	3.0	10419	1	2	0	1	0	0	0	3	1	0	0	2	0	0	0	2	0	1	0	0	0	3	1	1	0	0	0	0	0	0	3.0	4.0	1	2	4	1	2	0
1	4	104.0	1.0	3.0	10420	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3.0	4.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10501	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	3	1	1	0	0	0	0	0	0	5.0	4.0	1	3	2	1	2	1
1	5	105.0	1.0	3.0	10502	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	5	1	1	0	0	0	0	0	0	3.0	4.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10503	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	3	1	1	0	0	1	0	0	0	4.5	6.0	1	2	2	1	1	0
1	5	105.0	1.0	3.0	10504	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	3	2	1	0	0	0	0	0	0	3.0	4.5	1	2	1	1	1	0
1	5	105.0	1.0	3.0	10505	1	1	0	1	0	0	1	4	0	0	0	1	0	0	0	3	0	1	0	1	0	4	1	1	0	0	1	0	0	0	4.0	5.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10507	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	5.0	4.0	1	3	1	1	2	0
1	5	105.0	1.0	3.0	10508	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	5.0	3.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10509	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	4	1	1	0	0	0	0	0	0	4.0	5.0	1	3	1	1	3	0
1	5	105.0	1.0	3.0	10510	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	2	2	0	0	0	1	0	0	0	3.5	4.0	1	3	1	1	2	0
1	5	105.0	1.0	3.0	10511	1	1	0	0	0	0	0	3	1	0	0	2	0	0	0	2	0	1	0	0	0	2	1	1	0	0	0	1	0	0	5.0	5.5	1	2	4	1	1	0
1	5	105.0	1.0	3.0	10512	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	3	1	1	0	0	3	0	0	0	4.0	4.5	1	2	4	1	2	0
1	5	105.0	1.0	3.0	10513	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0	0	0	3	1	2	0	0	1	1	0	0	4.0	5.0	1	2	1	1	1	0
1	5	105.0	1.0	3.0	10515	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	1	0	4	2	1	0	0	0	0	0	0	5.0	6.0	1	2	1	1	1	0
1	5	105.0	1.0	3.0	10516	1	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4.0	5.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10518	1	2	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1	2	0	1	0	2	1	2	1	0	0	0	0	0	6.0	6.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10519	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	0	4.0	5.0	1	2	1	1	2	0
1	5	105.0	1.0	3.0	10520	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	1	0	7	2	0	0	0	1	0	0	0	4.0	5.0	1	2	2	1	2	0
1	6	106.0	1.0	3.0	10601	0	1	0	0	0	0	0	3	0	0	0	1	2	0	0	1	0	2	0	1	0	3	1	1	0	0	0	0	0	0	4.0	6.0	1	3	4	1	2	0
1	6	106.0	1.0	3.0	10602	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	4	0	1	0	1	0	4	1	1	0	0	0	0	0	0	4.0	4.5	1	4	4	1	2	0
1	6	106.0	1.0	3.0	10603	1	1	0	0	0	0	0	3	4	0	0	1	0	0	0	3	0	1	0	1	0	4	1	1	0	0	1	0	0	0	4.0	7.0	3	3	4	1	3	0
1	6	106.0	1.0	3.0	10604	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	2	0	0	0	0	1	0	0	0	3.0	5.0	1	2	1	1	1	0
1	6	106.0	1.0	3.0	10605	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3.0	4.0	1	1	1	1	1	0
1	6	106.0	1.0	3.0	10606	0	1	0	1	0	0	1	5	0	0	0	1	0	0	0	2	0	1	0	1	0	2	1	1	0	0	2	0	0	0	5.0	6.0	1	2	2	1	1	0
1	6	106.0	1.0	3.0	10607	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	1	0	3	1	1	0	0	1	0	0	0	4.0	4.0	1	1	2	1	1	0
1	6	106.0	1.0	3.0	10608	0	1	0	0	0	0	0	4	0	0	0	1	1	0	0	2	0	1	0	1	0	2	1	0	0	0	1	0	0	0	2.5	4.0	1	1	1	1	1	0
1	6	106.0	1.0	3.0	10609	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3.0	6.0	1	1	1	1	1	0
1	6	106.0	1.0	3.0	10610	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	6.0	7.0	1	3	4	1	1	0
1	6	106.0	1.0	3.0	10611	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	2	0	1	0	2	0	2	0	0	1	0	0	0	4.0	5.0	1	3	1	1	2	0
1	6	106.0	1.0	3.0	10612	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	1	1	0	3	1	0	0	0	0	0	0	0	0	5.0	4.0	1	1	1	1	2	0
1	6	106.0	1.0	3.0	10613	0	1	0	0	0	0	0	3	4	0	0	1	0	0	0	3	0	1	0	1	0	3	1	1	0	0	0	0	0	0	3.0	3.5	1	1	1	1	1	0
1	6	106.0	1.0	3.0	10614	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	0	2	0	1	0	4	1	1	0	0	0	0	0	0	3.0	3.0	1	1	1	1	1	0
1	6	106.0	1.0	3.0	10615	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	5.0	4.0	1	1	1	1	2	0
1	6	106.0	1.0	3.0	10617	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	4	2	1	0	0	0	0	0	0	4.0	3.0	1	1	1	1	2	0
1	6	106.0	1.0	3.0	10618	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	0	1	0	3	1	1	0	0	1	0	0	0	4.0	5.0	1	2	1	1	2	0
1	6	106.0	1.0	3.0	10620	1	1	0	1	0	0	0	5	0	0	0	2	0	0	0	3	0	1	0	0	0	1	1	1	0	0	1	0	0	0	3.0	4.0	1	2	1	1	1	0
1	7	107.0	1.0	3.0	10701	1	1	0	1	0	0	0	2	0	0	0	0	1	0	0	3	0	1	0	1	5	1	1	0	0	0	0	0	0	0	5.0	5.0	1	3	4	1	1	1
1	7	107.0	1.0	3.0	10702	1	2	0	1	1	0	2	0	1	0	1	0	0	0	0	2	0	1	0	1	0	2	1	1	1	0	1	0	0	0	3.0	4.0	1	2	4	1	1	1
1	7	107.0	1.0	3.0	10703	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	0	1	0	2	1	1	0	0	1	0	0	0	4.0	5.0	1	3	1	1	2	0
1	7	107.0	1.0	3.0	10705	0	1	0	1	0	1	0	2	0	0	0	1	0	0	0	2	0	1	0	2	0	1	1	0	0	0	0	0	0	0	3.5	3.5	1	2	1	1	2	0
1	7	107.0	1.0	3.0	10706	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	4	1	1	0	0	1	0	0	0	3.0	3.5	1	2	1	1	2	0
1	7	107.0	1.0	3.0	10707	1	2	0	0	1	0	1	5	0	0	0	0	0	0	0	2	0	2	0	1	0	5	1	0	0	0	0	0	0	0	5.0	6.0	1	3	4	1	1	0
1	7	107.0	1.0	3.0	10708	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	3.5	4.0	1	5	1	1	1	0
1	7	107.0	1.0	3.0	10710	1	2	0	1	6	0	0	5	1	0	0	1	1	0	0	2	0	3	0	1	0	4	1	1	0	0	1	0	0	0	6.0	5.0	1	2	2	1	2	0
1	7	107.0	1.0	3.0	10711	1	1	0	0	0	0	0	4	3	0	0	0	1	0	0	1	0	2	0	1	0	4	1	1	0	0	1	0	0	0	4.0	5.5	1	2	2	1	2	1
1	7	107.0	1.0	3.0	10713	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	1	0	1	0	4	1	1	0	0	1	0	0	0	4.0	4.5	1	3	4	1	2	0
1	7	107.0	1.0	3.0	10714	2	1	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	1	0	1	0	1	1	2	0	0	1	0	0	0	3.0	6.0	1	1	3	1	1	0
1	7	107.0	1.0	3.0	10715	1	1	0	0	0	0	0	2	6	0	0	0	1	0	0	0	0	1	0	1	0	4	1	0	0	0	1	0	0	0	4.0	5.0	1	1	1	1	2	0
1	7	107.0	1.0	3.0	10716	1	2	0	1	0	0	0	5	0	0	0	1	1	0	0	0	0	1	0	1	0	3	1	1	0	0	1	0	0	0	5.0	4.0	1	2	2	1	2	0
1	7	107.0	1.0	3.0	10717	1	1	0	0	0	0	0	4	6	0	0	1	0	0	0	4	0	1	0	1	0	4	1	1	0	0	1	0	0	0	5.0	5.0	1	4	4	1	2	1
1	7	107.0	1.0	3.0	10718	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	1	0	2	1	1	0	0	0	0	0	0	6.0	7.0	1	2	1	1	1	0
1	7	107.0	1.0	3.0	10719	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	5	0	1	0	0	1	0	0	0	5.0	6.0	1	1	1	1	2	0
1	8	108.0	1.0	2.0	10802	1	1	0	0	0	0	2	4	0	0	0	3	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	0	0	0	2.5	3.5	1	2	4	1	2	1
1	8	108.0	1.0	2.0	10803	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4.0	5.0	1	2	4	1	1	0
1	8	108.0	1.0	2.0	10804	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	2	2	1	0	0	1	0	0	0	4.0	5.0	1	3	4	1	1	1
1	8	108.0	1.0	2.0	10805	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	1	0	6	0	2	0	0	1	0	0	0	4.0	6.0	1	3	4	1	3	1
1	8	108.0	1.0	2.0	10806	2	1	0	0	1	1	1	6	4	0	0	3	1	0	0	7	1	6	0	0	0	7	2	1	0	0	0	0	0	0	5.0	6.0	3	3	4	2	3	1
1	8	108.0	1.0	2.0	10807	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	0	0	0	4	1	1	0	0	0	0	0	0	3.0	7.0	1	2	2	1	2	1
1	8	108.0	1.0	2.0	10808	1	1	0	0	0	0	1	1	2	0	0	1	1	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	4.0	5.0	1	2	1	1	2	1
1	8	108.0	1.0	2.0	10809	1	1	0	1	0	0	1	3	4	1	0	1	1	0	0	3	0	1	0	0	0	3	0	1	0	0	0	0	0	0	3.0	4.0	1	2	1	1	2	1
1	8	108.0	1.0	2.0	10810	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	4.0	6.0	1	2	4	1	2	1
1	8	108.0	1.0	2.0	10811	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	4	1	1	0	0	1	0	0	0	3.5	5.0	1	3	2	1	2	1
1	8	108.0	1.0	2.0	10812	1	0	0	0	0	0	0	3	2	0	1	1	0	1	0	4	0	1	0	0	0	3	0	1	0	0	0	0	0	0	3.5	6.0	3	3	4	1	3	1
1	8	108.0	1.0	2.0	10814	1	1	0	0	0	0	0	0	3	0	0	1	1	0	0	2	0	0	0	1	0	3	0	1	0	0	1	0	0	0	4.0	4.0	1	3	4	1	2	1
1	8	108.0	1.0	2.0	10815	1	1	1	0	1	1	1	3	4	0	0	1	0	1	0	3	0	1	0	2	0	4	1	0	0	0	0	0	0	0	5.5	6.0	1	3	4	1	2	1
1	8	108.0	1.0	2.0	10816	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	1	0	1	0	1	1	0	0	0	0	0	0	0	5.0	6.0	3	3	5	1	2	1
1	8	108.0	1.0	2.0	10817	1	0	0	0	0	0	0	3	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5.0	6.0	1	3	3	1	3	0
1	8	108.0	1.0	2.0	10819	2	2	0	0	1	1	1	0	4	1	0	2	1	0	1	4	0	1	0	0	0	4	1	2	0	0	0	0	0	0	5.0	7.0	3	3	4	2	3	1
1	9	109.0	1.0	1.0	10902	0	1	0	0	0	2	0	3	0	0	0	2	0	0	0	3	0	2	0	1	0	4	1	1	0	1	1	0	0	0	6.0	6.0	1	3	4	1	2	0
1	9	109.0	1.0	1.0	10904	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	3.5	3.0	1	2	1	1	3	0
1	9	109.0	1.0	1.0	10905	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	4	2	1	0	0	1	0	0	0	6.5	7.0	1	1	1	1	2	0
1	9	109.0	1.0	1.0	10906	1	1	0	1	0	0	0	4	2	0	0	1	1	0	0	2	0	1	0	1	0	4	2	1	0	0	0	0	0	0	5.0	6.0	3	3	4	1	3	0
