hhid	line	district	village	villno	strno	group	h06	crop
10404	2	1	4	104.0	1.0	3.0	1	"BANANEIRA"
10405	1	1	4	104.0	1.0	3.0	0	"PERABACATEIRA"
10405	2	1	4	104.0	1.0	3.0	0	"BANANEIRA"
10407	1	1	4	104.0	1.0	3.0	0	"MASSUCO"
10407	2	1	4	104.0	1.0	3.0	0	"PERABACATEIRA"
10408	1	1	4	104.0	1.0	3.0	0	"PERABACATEIRA"
10408	2	1	4	104.0	1.0	3.0	1	"BANANEIRA"
10408	3	1	4	104.0	1.0	3.0	1	"MASSUCO"
10410	1	1	4	104.0	1.0	3.0	0	"LIMOEIRO"
10410	2	1	4	104.0	1.0	3.0	0	"PERABACATEIRA"
10411	1	1	4	104.0	1.0	3.0	0	"BANANEIRAS"
10411	2	1	4	104.0	1.0	3.0	0	"MANGUEIRA"
10413	1	1	4	104.0	1.0	3.0	1	"BANANEIRAS"
10413	2	1	4	104.0	1.0	3.0	0	"MASSUCO"
10414	1	1	4	104.0	1.0	3.0	0	"LIMOEIRO"
10414	2	1	4	104.0	1.0	3.0	0	"LARANJEIRA"
10414	3	1	4	104.0	1.0	3.0	0	"PERABACATEIRA"
10416	1	1	4	104.0	1.0	3.0	0	"LIMOEIROS"
10416	2	1	4	104.0	1.0	3.0	0	"PESSEGO"
10417	1	1	4	104.0	1.0	3.0	1	"BANANEIRAS"
10418	1	1	4	104.0	1.0	3.0	0	"ABACATEIRA"
10418	2	1	4	104.0	1.0	3.0	0	"LARANJEIRA"
10418	3	1	4	104.0	1.0	3.0	0	"MASSUCO"
10418	4	1	4	104.0	1.0	3.0	0	"LIMOEIROS"
10419	1	1	4	104.0	1.0	3.0	1	"BANANEIRA"
10420	1	1	4	104.0	1.0	3.0	1	"BANANEIRAS"
10502	1	1	5	105.0	1.0	3.0	1	"ANANAZEIRO"
10504	1	1	5	105.0	1.0	3.0	0	"ANANAZEIRO"
10504	2	1	5	105.0	1.0	3.0	0	"BANANEIRAS"
10504	3	1	5	105.0	1.0	3.0	0	"GOIABEIRAS"
10504	4	1	5	105.0	1.0	3.0	0	"ABACATEIRAS"
10508	1	1	5	105.0	1.0	3.0	1	"LARANJEIRAS"
10511	1	1	5	105.0	1.0	3.0	0	"BANANEIRA"
10511	2	1	5	105.0	1.0	3.0	0	"ABACATEIRA"
10512	1	1	5	105.0	1.0	3.0	1	"LARANJEIRAS"
10512	2	1	5	105.0	1.0	3.0	1	"BANANEIRAS"
10512	3	1	5	105.0	1.0	3.0	0	"CANA DOCE"
10513	1	1	5	105.0	1.0	3.0	0	"LIMOEIROS"
10513	2	1	5	105.0	1.0	3.0	1	"LARANJEIRAS"
10515	1	1	5	105.0	1.0	3.0	0	"BANANEIRA"
10520	1	1	5	105.0	1.0	3.0	0	"GOIABEIRA"
10601	1	1	6	106.0	1.0	3.0	0	"BANANA"
10602	1	1	6	106.0	1.0	3.0	1	"BANANA"
10603	1	1	6	106.0	1.0	3.0	1	"BANANA"
10604	1	1	6	106.0	1.0	3.0	0	"BANANEIRAS"
10606	1	1	6	106.0	1.0	3.0	0	"LARANJEIRA"
10606	2	1	6	106.0	1.0	3.0	1	"BANANEIRA"
10607	1	1	6	106.0	1.0	3.0	0	"BANANEIRAS"
10610	1	1	6	106.0	1.0	3.0	0	"ANANAS"
10613	1	1	6	106.0	1.0	3.0	1	"BANANA"
10614	1	1	6	106.0	1.0	3.0	0	"BANANEIRA"
10615	1	1	6	106.0	1.0	3.0	1	"BANANEIRA"
10617	1	1	6	106.0	1.0	3.0	0	"BANANEIRAS"
10618	1	1	6	106.0	1.0	3.0	0	"BANANEIRAS"
10701	1	1	7	107.0	1.0	3.0	0	"BANANEIRAS"
10703	1	1	7	107.0	1.0	3.0	0	"BANANEIRAS"
10705	1	1	7	107.0	1.0	3.0	0	"ABACATEIRAS"
10706	1	1	7	107.0	1.0	3.0	0	"ANANASEIROS"
10706	2	1	7	107.0	1.0	3.0	0	"ABACATEIRAS"
10707	1	1	7	107.0	1.0	3.0	1	"BANANEIRAS"
10708	1	1	7	107.0	1.0	3.0	1	"BANANEIRAS"
10708	2	1	7	107.0	1.0	3.0	0	"LARANJEIRAS"
10710	1	1	7	107.0	1.0	3.0	1	"BANANEIRAS"
10711	1	1	7	107.0	1.0	3.0	1	"BANANEIRAS"
10713	1	1	7	107.0	1.0	3.0	0	"BANANEIRAS"
10715	1	1	7	107.0	1.0	3.0	1	"BANANEIRAS"
10716	1	1	7	107.0	1.0	3.0	0	"BANANEIRAS"
10719	1	1	7	107.0	1.0	3.0	1	"BANANEIRAS"
10802	1	1	8	108.0	1.0	2.0	0	"BANANEIRA"
10803	1	1	8	108.0	1.0	2.0	1	"PERA ABACATEIRA"
10803	2	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10804	1	1	8	108.0	1.0	2.0	1	"ABACATEIRA"
10804	2	1	8	108.0	1.0	2.0	1	"MASSUCO"
10805	1	1	8	108.0	1.0	2.0	1	"BANANEIRAS"
10807	1	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10808	1	1	8	108.0	1.0	2.0	0	"PERA"
10808	2	1	8	108.0	1.0	2.0	0	"LIMOEIRO"
10809	1	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10809	2	1	8	108.0	1.0	2.0	0	"PERABACATEIRA"
10809	3	1	8	108.0	1.0	2.0	0	"LARANJEIRA"
10809	4	1	8	108.0	1.0	2.0	0	"LIMOEIRO"
10810	1	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10810	2	1	8	108.0	1.0	2.0	0	"LIMOEIRO"
10811	1	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10812	1	1	8	108.0	1.0	2.0	1	"BANANEIRAS"
10814	1	1	8	108.0	1.0	2.0	1	"BANANEIRAS"
10816	1	1	8	108.0	1.0	2.0	0	"MANGUEIRA"
10816	2	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10817	1	1	8	108.0	1.0	2.0	1	"BANANEIRA"
10902	1	1	9	109.0	1.0	1.0	0	"BANANEIRAS"
10904	1	1	9	109.0	1.0	1.0	0	"BANANEIRAS"
10905	1	1	9	109.0	1.0	1.0	1	"BANANEIRAS"
10905	2	1	9	109.0	1.0	1.0	1	"LARANJEIRA"
10906	1	1	9	109.0	1.0	1.0	1	"BANANEIRAS"
10907	1	1	9	109.0	1.0	1.0	0	"ANANASEIRO"
10908	1	1	9	109.0	1.0	1.0	0	"LARANJEIRA"
10908	2	1	9	109.0	1.0	1.0	0	"PERABACATEIRA"
10909	1	1	9	109.0	1.0	1.0	0	"ABACATEIRAS"
10911	1	1	9	109.0	1.0	1.0	1	"BANANEIRAS"
10912	1	1	9	109.0	1.0	1.0	1	"BANANEIRA"
10913	1	1	9	109.0	1.0	1.0	1	"BANANEIRA"
10914	1	1	9	109.0	1.0	1.0	1	"BANANEIRAS"
10914	2	1	9	109.0	1.0	1.0	1	"ANANASEIRO"
10915	1	1	9	109.0	1.0	1.0	1	"BANANEIRAS"
10917	1	1	9	109.0	1.0	1.0	1	"BANANEIRAS"
11001	1	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11004	1	1	10	110.0	1.0	1.0	0	"LARANGEIRAS"
11004	2	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11005	1	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11006	1	1	10	110.0	1.0	1.0	0	"BANANEIRAS"
11007	1	1	10	110.0	1.0	1.0	0	"ANANAZEIROS"
11011	1	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11013	1	1	10	110.0	1.0	1.0	0	"BANANEIRAS"
11014	1	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11016	1	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11016	2	1	10	110.0	1.0	1.0	1	"ANANAZEIROS"
11017	1	1	10	110.0	1.0	1.0	0	"BANANEIRAS"
11018	1	1	10	110.0	1.0	1.0	1	"BANANEIRAS"
11018	2	1	10	110.0	1.0	1.0	0	"LARANGEIRAS"
11102	1	1	11	111.0	1.0	1.0	1	"BANANEIRA"
11103	1	1	11	111.0	1.0	1.0	1	"BANANEIRAS"
11105	1	1	11	111.0	1.0	1.0	1	"BANANEIRAS"
11108	1	1	11	111.0	1.0	1.0	1	"MASSUCO"
11109	1	1	11	111.0	1.0	1.0	0	"PERA ABACATEIRA"
11110	1	1	11	111.0	1.0	1.0	1	"BANANEIRAS"
11110	2	1	11	111.0	1.0	1.0	0	"LIMOEIRO"
11112	1	1	11	111.0	1.0	1.0	0	"BANANEIRA"
11113	1	1	11	111.0	1.0	1.0	1	"BANANEIRAS"
11114	1	1	11	111.0	1.0	1.0	1	"BANANEIRAS"
11115	1	1	11	111.0	1.0	1.0	0	"BANANEIRAS"
11116	1	1	11	111.0	1.0	1.0	0	"BANANANA"
11118	1	1	11	111.0	1.0	1.0	0	"BANANEIRAS"
11120	1	1	11	111.0	1.0	1.0	1	"LARANJEIRA"
11201	1	1	12	112.0	1.0	2.0	0	"MASSUCO"
11201	2	1	12	112.0	1.0	2.0	1	"BANANEIRAS"
11202	1	1	12	112.0	1.0	2.0	0	"BANANEIRAS"
11203	1	1	12	112.0	1.0	2.0	0	"BANANEIRA"
11204	1	1	12	112.0	1.0	2.0	0	"BANANEIRAS"
11204	2	1	12	112.0	1.0	2.0	0	"MASSUCO"
11205	1	1	12	112.0	1.0	2.0	1	"BANANEIRA"
11205	2	1	12	112.0	1.0	2.0	0	"PEREIRA"
11208	1	1	12	112.0	1.0	2.0	1	"BANANEIRA"
11209	1	1	12	112.0	1.0	2.0	0	"BANANEIRAS"
11212	1	1	12	112.0	1.0	2.0	0	"ABACATEIRAS"
11212	2	1	12	112.0	1.0	2.0	0	"PESSEGUEIROS"
11213	1	1	12	112.0	1.0	2.0	0	"BANANEIRAS"
11215	1	1	12	112.0	1.0	2.0	1	"BANANEIRAS"
11215	2	1	12	112.0	1.0	2.0	0	"LARANGEIRAS"
11215	3	1	12	112.0	1.0	2.0	0	"AMORA"
11215	4	1	12	112.0	1.0	2.0	0	"PEREIRA"
11216	1	1	12	112.0	1.0	2.0	1	"BANANEIRAS"
11218	1	1	12	112.0	1.0	2.0	0	"BANANEIRAS"
11219	1	1	12	112.0	1.0	2.0	0	"BANANEIRAS"
11220	1	1	12	112.0	1.0	2.0	1	"BANANEIRAS"
11301	1	1	13	113.0	1.0	3.0	0	"BANANEIRAS"
11301	2	1	13	113.0	1.0	3.0	0	"CANA DE ACUCAR"
11303	1	1	13	113.0	1.0	3.0	0	"BANANEIRAS"
11303	2	1	13	113.0	1.0	3.0	0	"GOIABEIRAS"
11304	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11305	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11306	1	1	13	113.0	1.0	3.0	0	"BANANEIRAS"
11307	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11307	2	1	13	113.0	1.0	3.0	1	"LARANJEIRAS"
11308	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11308	2	1	13	113.0	1.0	3.0	1	"TANGERINEIRAS"
11309	1	1	13	113.0	1.0	3.0	0	"ANANASEIROS"
11309	2	1	13	113.0	1.0	3.0	0	"MASSUCO"
11310	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11311	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11313	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11314	1	1	13	113.0	1.0	3.0	0	"BANANEIRAS"
11316	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11317	1	1	13	113.0	1.0	3.0	1	"BANANEIRAS"
11318	1	1	13	113.0	1.0	3.0	0	"BANANEIRAS"
11401	1	1	14	114.0	1.0	2.0	0	"MARACUJEIRA"
11402	1	1	14	114.0	1.0	2.0	0	"GOIABEIRAS"
11402	2	1	14	114.0	1.0	2.0	0	"MASSUCO"
11402	3	1	14	114.0	1.0	2.0	0	"ABACATEIRAS"
11402	4	1	14	114.0	1.0	2.0	0	"LARANJEIRAS"
11403	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11403	2	1	14	114.0	1.0	2.0	0	"MASSUCO"
11403	3	1	14	114.0	1.0	2.0	0	"TANGERINEIRAS"
11405	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11406	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11406	2	1	14	114.0	1.0	2.0	1	"ANANASEIRO"
11407	1	1	14	114.0	1.0	2.0	0	"GOIABEIRAS"
11408	1	1	14	114.0	1.0	2.0	0	"BANANEIRAS"
11409	1	1	14	114.0	1.0	2.0	0	"GOIABEIRA"
11409	2	1	14	114.0	1.0	2.0	0	"LARANJEIRAS"
11410	1	1	14	114.0	1.0	2.0	1	"LARANJEIRAS"
11410	2	1	14	114.0	1.0	2.0	0	"MASSUCO"
11410	3	1	14	114.0	1.0	2.0	0	"GOIABEIRAS"
11410	4	1	14	114.0	1.0	2.0	0	"ABACATEIRAS"
11411	1	1	14	114.0	1.0	2.0	0	"BANANEIRAS"
11412	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11412	2	1	14	114.0	1.0	2.0	0	"LARANJEIRAS"
11414	1	1	14	114.0	1.0	2.0	0	"BANANEIRAS"
11414	2	1	14	114.0	1.0	2.0	0	"MASSUCO"
11415	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11415	2	1	14	114.0	1.0	2.0	0	"LARANJEIRAS"
11416	1	1	14	114.0	1.0	2.0	0	"BANANEIRAS"
11417	1	1	14	114.0	1.0	2.0	0	"BANANEIRAS"
11418	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11419	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11419	2	1	14	114.0	1.0	2.0	0	"GOIABEIRAS"
11420	1	1	14	114.0	1.0	2.0	1	"BANANEIRAS"
11502	1	1	15	115.0	1.0	1.0	1	"BANANEIRAS"
11502	2	1	15	115.0	1.0	1.0	0	"ABACATEIRAS"
11502	3	1	15	115.0	1.0	1.0	0	"GOIABEIRAS"
11503	1	1	15	115.0	1.0	1.0	1	"BANANEIRAS"
11504	1	1	15	115.0	1.0	1.0	0	"BANANEIRAS"
11505	1	1	15	115.0	1.0	1.0	1	"BANANEIRAS"
11507	1	1	15	115.0	1.0	1.0	0	"BANANEIRAS"
11508	1	1	15	115.0	1.0	1.0	0	"BANANEIRAS"
11510	1	1	15	115.0	1.0	1.0	1	"LARANJEIRAS"
11510	2	1	15	115.0	1.0	1.0	1	"BANANEIRAS"
11512	1	1	15	115.0	1.0	1.0	0	"BANANEIRAS"
11513	1	1	15	115.0	1.0	1.0	0	"LARANJEIRAS"
11513	2	1	15	115.0	1.0	1.0	0	"GOIABEIRAS"
11513	3	1	15	115.0	1.0	1.0	1	"BANANEIRAS"
11514	1	1	15	115.0	1.0	1.0	0	"BANANEIRAS"
11519	1	1	15	115.0	1.0	1.0	1	"BANANEIRAS"
11603	1	1	16	116.0	1.0	1.0	1	"BANANEIRAS"
11606	1	1	16	116.0	1.0	1.0	1	"BANANEIRAS"
11608	1	1	16	116.0	1.0	1.0	0	"BANANEIRAS"
11609	1	1	16	116.0	1.0	1.0	0	"BANANEIRAS"
11612	1	1	16	116.0	1.0	1.0	1	"BANANEIRAS"
11618	1	1	16	116.0	1.0	1.0	1	"CANA DE ACUCAR"
11618	2	1	16	116.0	1.0	1.0	0	"GOIABEIRA"
11703	1	1	17	117.0	1.0	2.0	0	"PEREIRA"
11705	1	1	17	117.0	1.0	2.0	0	"MATSUCO"
11706	1	1	17	117.0	1.0	2.0	0	"PERA ABACATEIRA"
11707	1	1	17	117.0	1.0	2.0	0	"LARANJEIRA"
11707	2	1	17	117.0	1.0	2.0	0	"MASSUCO"
11707	3	1	17	117.0	1.0	2.0	0	"UVA"
11707	4	1	17	117.0	1.0	2.0	0	"LIMOEIRO"
11707	5	1	17	117.0	1.0	2.0	0	"ABACATEIRA"
11708	1	1	17	117.0	1.0	2.0	0	"ABACATEIRA"
11708	2	1	17	117.0	1.0	2.0	1	"PECEGO"
11708	3	1	17	117.0	1.0	2.0	0	"ATEIRA"
11708	4	1	17	117.0	1.0	2.0	1	"GOIABEIRA"
11710	1	1	17	117.0	1.0	2.0	1	"BANANEIRA"
11710	2	1	17	117.0	1.0	2.0	0	"MASSUCO"
11711	1	1	17	117.0	1.0	2.0	0	"LIMOEIRO"
11711	2	1	17	117.0	1.0	2.0	1	"BANANEIRA"
11712	1	1	17	117.0	1.0	2.0	0	"ABACATEIRA"
11712	2	1	17	117.0	1.0	2.0	1	"BANANEIRA"
11713	1	1	17	117.0	1.0	2.0	1	"BANANEIRAS"
11716	1	1	17	117.0	1.0	2.0	1	"BANANEIRA"
11716	2	1	17	117.0	1.0	2.0	1	"CANA DE ACUCAR"
11717	1	1	17	117.0	1.0	2.0	0	"ATEIRA"
11717	2	1	17	117.0	1.0	2.0	1	"BANANEIRA"
11718	1	1	17	117.0	1.0	2.0	1	"BANANA"
11719	1	1	17	117.0	1.0	2.0	0	"MASSUCO"
11719	2	1	17	117.0	1.0	2.0	1	"BANANEIRA"
11801	1	1	18	118.0	1.0	1.0	0	"ABACATEIRA"
11801	2	1	18	118.0	1.0	1.0	0	"BANANEIRA"
11808	1	1	18	118.0	1.0	1.0	0	"MASSUCO"
11811	1	1	18	118.0	1.0	1.0	0	"GOIABEIRAS"
11812	1	1	18	118.0	1.0	1.0	1	"BANANEIRAS"
11813	1	1	18	118.0	1.0	1.0	0	"BANANEIRAS"
11814	1	1	18	118.0	1.0	1.0	0	"BANANEIRA"
11816	1	1	18	118.0	1.0	1.0	1	"GOIABEIRAS"
11816	2	1	18	118.0	1.0	1.0	0	"MASSUCO"
11817	1	1	18	118.0	1.0	1.0	1	"BANANEIRA"
20105	1	2	1	201.0	2.0	3.0	0	"LARANGEIRAS"
20106	1	2	1	201.0	2.0	3.0	1	"LARANGEIRAS"
20106	2	2	1	201.0	2.0	3.0	1	"BANANEIRAS"
20107	1	2	1	201.0	2.0	3.0	0	"LARANGEIRAS"
20107	2	2	1	201.0	2.0	3.0	0	"BANANEIRAS"
20108	1	2	1	201.0	2.0	3.0	0	"BANANEIRAS"
20110	1	2	1	201.0	2.0	3.0	1	"BANANEIRAS"
20111	1	2	1	201.0	2.0	3.0	0	"BANANEIRAS"
20112	1	2	1	201.0	2.0	3.0	0	"ABACATEIRAS"
20113	1	2	1	201.0	2.0	3.0	0	"BANANEIRAS"
20114	1	2	1	201.0	2.0	3.0	1	"BANANEIRAS"
20115	1	2	1	201.0	2.0	3.0	1	"BANANEIRAS"
20116	1	2	1	201.0	2.0	3.0	1	"BANANEIRAS"
20117	1	2	1	201.0	2.0	3.0	0	"MANGUEIRAS"
20117	2	2	1	201.0	2.0	3.0	0	"ABACATEIRAS"
20118	1	2	1	201.0	2.0	3.0	1	"BANANEIRAS"
20119	1	2	1	201.0	2.0	3.0	0	"BANANEIRAS"
20119	2	2	1	201.0	2.0	3.0	0	"LARANGEIRAS"
20120	1	2	1	201.0	2.0	3.0	0	"ATEIRA"
20201	1	2	2	202.0	2.0	3.0	1	"BANANEIRA"
20202	1	2	2	202.0	2.0	3.0	0	"ABACATEIRA"
20202	2	2	2	202.0	2.0	3.0	0	"BANANEIRA"
20205	1	2	2	202.0	2.0	3.0	1	"ABACATEIRAS"
20205	2	2	2	202.0	2.0	3.0	0	"PESSEGUEIRO"
20206	1	2	2	202.0	2.0	3.0	0	"MARACUJEIRA"
20208	1	2	2	202.0	2.0	3.0	0	"TANJERINEIRA"
20208	2	2	2	202.0	2.0	3.0	0	"LARANJEIRA"
20211	1	2	2	202.0	2.0	3.0	0	"LARANJEIRA"
20211	2	2	2	202.0	2.0	3.0	0	"GOIABEIRA"
20211	3	2	2	202.0	2.0	3.0	0	"ABACATEIRA"
20211	4	2	2	202.0	2.0	3.0	0	"ATEIRA"
20211	5	2	2	202.0	2.0	3.0	1	"BANANEIRA"
20213	1	2	2	202.0	2.0	3.0	1	"BANANEIRAS"
20215	1	2	2	202.0	2.0	3.0	1	"BANANEIRA"
20216	1	2	2	202.0	2.0	3.0	0	"LARANJEIRA"
20218	1	2	2	202.0	2.0	3.0	0	"PAPAEIRA"
20218	2	2	2	202.0	2.0	3.0	0	"BANANEIRA"
20218	3	2	2	202.0	2.0	3.0	0	"MARACUJEIRA"
20219	1	2	2	202.0	2.0	3.0	0	"BANANEIRA"
20219	2	2	2	202.0	2.0	3.0	0	"ATEIRA"
20301	1	2	3	203.0	2.0	2.0	0	"BANANEIRA"
20303	1	2	3	203.0	2.0	2.0	0	"BANANEIRAS"
20303	2	2	3	203.0	2.0	2.0	1	"LARANJEIRAS"
20303	3	2	3	203.0	2.0	2.0	0	"GOIABEIRAS"
20304	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20305	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20306	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20306	2	2	3	203.0	2.0	2.0	1	"ABACATEIRAS"
20308	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20309	1	2	3	203.0	2.0	2.0	0	"ABACATEIRAS"
20309	2	2	3	203.0	2.0	2.0	0	"LARANJEIRAS"
20310	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20311	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20311	2	2	3	203.0	2.0	2.0	0	"ABACATEIRAS"
20312	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20312	2	2	3	203.0	2.0	2.0	0	"MASSUCO"
20313	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20315	1	2	3	203.0	2.0	2.0	0	"ABACATEIRAS"
20315	2	2	3	203.0	2.0	2.0	0	"BANANEIRAS"
20316	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20317	1	2	3	203.0	2.0	2.0	0	"BANANEIRAS"
20320	1	2	3	203.0	2.0	2.0	1	"BANANEIRAS"
20320	2	2	3	203.0	2.0	2.0	0	"GOIABEIRAS"
20320	3	2	3	203.0	2.0	2.0	0	"ATEIRAS"
20320	4	2	3	203.0	2.0	2.0	0	"ABACATEIRAS"
20401	1	2	4	204.0	2.0	2.0	0	"ACTEIRA"
20403	1	2	4	204.0	2.0	2.0	0	"BANANEIRAS"
20404	1	2	4	204.0	2.0	2.0	1	"BANANEIRAS"
20405	1	2	4	204.0	2.0	2.0	0	"BANANEIRAS"
20409	1	2	4	204.0	2.0	2.0	0	"MARACUGEIRA"
20409	2	2	4	204.0	2.0	2.0	0	"BANANEIRAS"
20410	1	2	4	204.0	2.0	2.0	0	"ATEIRA"
20410	2	2	4	204.0	2.0	2.0	0	"AMOREIRA"
20412	1	2	4	204.0	2.0	2.0	1	"BANANEIRAS"
20412	2	2	4	204.0	2.0	2.0	0	"ABACATEIRA"
20417	1	2	4	204.0	2.0	2.0	0	"BANANEIRAS"
20501	1	2	5	205.0	2.0	1.0	1	"BANANEIRA"
20501	2	2	5	205.0	2.0	1.0	1	"ABACATEIRA"
20502	1	2	5	205.0	2.0	1.0	0	"BANANEIRA"
20503	1	2	5	205.0	2.0	1.0	1	"BANANEIRAS"
20503	2	2	5	205.0	2.0	1.0	0	"GOIABEIRAS"
20503	3	2	5	205.0	2.0	1.0	0	"ABACATEIRA"
20504	1	2	5	205.0	2.0	1.0	1	"BANANEIRAS"
20505	1	2	5	205.0	2.0	1.0	1	"BANANEIRA"
20506	1	2	5	205.0	2.0	1.0	0	"BANANEIRAS"
20507	1	2	5	205.0	2.0	1.0	0	"LARANGEIRAS"
20507	2	2	5	205.0	2.0	1.0	0	"ABACATEIRAS"
20507	3	2	5	205.0	2.0	1.0	0	"BANANEIRAS"
