district	village	villno	strno	group	hhid	g31a	g31b	g31c	g31d	g31e	g31f	g32a	g32b	g32c	g33a	g33b	g33c	g33d	g33e	g33f	g33g	g33h	g33i	g33j	g33k	g33l	g34	g35	g35u	g36a	g36b	g36u	g37	g38a	g38b	g38c	g38d	g38e	g39a	g39b	g39c	g39d	g39e	g39f	g39g	g39h	g39i	g39j	g39k	g39l
1	8	108.0	1.0	2.0	10807	2.0	2.0	0.0	0.0	1.0	0.0	1	2		0	0	0	1	1	0	0	0	0	0	0	0	1	1.0	15	0			1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	8	108.0	1.0	2.0	10808	2.0	0.0	0.0	0.0	0.0	0.0	2			0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			0																	
1	8	108.0	1.0	2.0	10809	2.0	2.0	0.0	0.0	6.0	0.0	4			0	0	0	0	1	0	0	0	0	0	0	0	1	4.0	21	0			1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	8	108.0	1.0	2.0	10810	0.0	0.0	3.0	0.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	21	0			1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1	8	108.0	1.0	2.0	10811	2.0	2.0	0.0	0.0	0.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1.5	15	0			0																	
1	8	108.0	1.0	2.0	10812	0.0	0.0	0.0	0.0	10.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	0.5	21	0			1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	8	108.0	1.0	2.0	10815	0.0	2.0	0.0	0.0	0.0	0.0	1			0	0	1	0	0	0	0	0	0	0	0	0	1	1.0	22	0			0																	
1	8	108.0	1.0	2.0	10819	2.0	2.0	0.0	0.0	0.0	0.0	1	4		0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	9	109.0	1.0	1.0	10902	2.0	0.0	0.0	0.0	3.0	0.0	6	9		0	0	0	0	0	1	0	0	0	0	0	0	1	1.5	15	1	1	16	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	9	109.0	1.0	1.0	10905	2.0	2.0	0.0	0.0	20.0	0.0	5	1		0	0	0	0	0	1	0	0	0	0	0	0	1	6.0	15	1	1	15	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1	9	109.0	1.0	1.0	10907	2.0	2.0	0.0	0.0	0.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	3.0	22	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	9	109.0	1.0	1.0	10909	2.0	2.0	0.0	0.0	0.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	22	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	9	109.0	1.0	1.0	10911	2.0	2.0	5.0	0.0	0.0	0.0	1	4		0	0	0	0	1	0	0	0	0	0	0	0	1	8.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	9	109.0	1.0	1.0	10912	2.0	2.0	0.0	0.0	0.0	0.0	1	2		0	0	0	0	0	0	1	0	0	0	0	0	1	1.0	21	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	9	109.0	1.0	1.0	10913	2.0	2.0	0.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	9	109.0	1.0	1.0	10914	2.0	2.0	2.0	0.0	0.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	9	109.0	1.0	1.0	10915	2.0	2.0	0.0	0.0	0.0	0.0	1	1		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	9	109.0	1.0	1.0	10917	2.0	2.0	0.0	0.0	0.0	0.0	1			0	0	0	0	1	0	0	0	0	0	0	0	1	1.5	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	9	109.0	1.0	1.0	10919	2.0	0.0	0.0	0.0	0.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	1	1.5	24	0			0																	
1	10	110.0	1.0	1.0	11001	2.0	2.0	2.0	2.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	2.5	21	1	1	21	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	10	110.0	1.0	1.0	11004	2.0	0.0	0.0	0.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	10	110.0	1.0	1.0	11005	2.0	2.0	0.0	0.0	0.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	21	0			0																	
1	10	110.0	1.0	1.0	11006	2.0	0.0	2.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			0																	
1	10	110.0	1.0	1.0	11011	2.0	2.0	0.0	0.0	10.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	21	1	1	15	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	10	110.0	1.0	1.0	11013	0.0	2.0	0.0	0.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	10	110.0	1.0	1.0	11014	3.0	3.0	0.0	0.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			0																	
1	10	110.0	1.0	1.0	11015	0.0	2.0	0.0	0.0	0.0	0.0	5			0	0	0	1	0	0	0	0	0	0	0	0	1	1.5	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	10	110.0	1.0	1.0	11017	2.0	2.0	1.0	0.0	0.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	10	110.0	1.0	1.0	11018	0.0	0.0	0.0	0.0	20.0	0.0	6	9		0	0	0	0	0	1	0	0	0	0	0	0	1	3.0	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	10	110.0	1.0	1.0	11019	2.0	2.0	4.0	0.0	12.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	2.5	15	1	1	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	11	111.0	1.0	1.0	11102	2.0	2.0	0.0	0.0	7.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	4.5	15	1	2	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	11	111.0	1.0	1.0	11103	2.0	2.0	10.0	0.0	0.0	0.0	9	5		0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
1	11	111.0	1.0	1.0	11104	2.0	0.0	2.0	0.0	0.0	0.0	9	4		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			0																	
1	11	111.0	1.0	1.0	11105	0.0	0.0	6.0	0.0	0.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	15	1	1	15	0																	
1	11	111.0	1.0	1.0	11108	2.0	2.0	0.0	0.0	0.0	0.0	2	1		0	0	0	1	0	0	0	0	0	0	0	0	1	0.5	15	1	10	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	11	111.0	1.0	1.0	11109	0.0	3.0	0.0	0.0	0.0	0.0	4			0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	15	0			0																	
1	11	111.0	1.0	1.0	11110	2.0	2.0	0.0	0.0	0.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	4.0	15	1	3	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	11	111.0	1.0	1.0	11112	2.0	2.0	2.0	0.0	6.0	0.0	1			0	0	0	0	0	1	0	0	0	0	0	0	1	2.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	11	111.0	1.0	1.0	11115	3.0	3.0	0.0	0.0	20.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	15	1	1	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	11	111.0	1.0	1.0	11116	2.0	2.0	2.0	0.0	0.0	0.0	1			0	0	0	1	1	0	0	0	0	0	0	0	1	1.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	11	111.0	1.0	1.0	11117	2.0	2.0	6.0	0.0	0.0	0.0	2			0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	11	111.0	1.0	1.0	11118	3.0	3.0	26.0	0.0	20.0	0.0	2	5		0	0	0	1	0	0	0	0	1	0	0	0	1	5.0	15	1	5	15	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
1	11	111.0	1.0	1.0	11119	2.0	2.0	7.0	0.0	0.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	12	112.0	1.0	2.0	11201	2.0	2.0	3.0	0.0	8.0	0.0	1	2		0	0	1	0	0	0	0	0	0	0	0	0	1	5.0	15	1	1	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	12	112.0	1.0	2.0	11202	0.0	0.0	2.0	0.0	0.0	0.0	2			0	0	0	0	0	1	0	0	0	0	0	0	1	2.0	15	0			0																	
1	12	112.0	1.0	2.0	11203	0.0	3.0	0.0	0.0	0.0	0.0	2			0	0	0	1	0	0	0	0	0	0	0	0	1	3.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
1	12	112.0	1.0	2.0	11204	2.0	0.0	0.0	0.0	0.0	0.0	2			0	0	0	1	0	0	0	0	0	0	0	0	0						0																	
1	12	112.0	1.0	2.0	11205	2.0	0.0	0.0	0.0	0.0	0.0	9	2		0	0	0	1	1	0	0	0	0	0	0	0	1	3.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	12	112.0	1.0	2.0	11207	0.0	2.0	0.0	0.0	0.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	23	0			0																	
1	12	112.0	1.0	2.0	11209	0.0	0.0	3.0	0.0	0.0	0.0	1	4		0	0	0	1	0	0	0	0	0	0	0	0	1	0.5	15	0			0																	
1	12	112.0	1.0	2.0	11210	2.0	2.0	2.0	0.0	0.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	12	112.0	1.0	2.0	11212	2.0	2.0	3.0	0.0	5.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	1	4.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	12	112.0	1.0	2.0	11213	3.0	0.0	0.0	0.0	0.0	0.0	4			0	0	0	1	0	0	0	0	0	0	0	0	1	0.5	15	0			0																	
1	12	112.0	1.0	2.0	11214	0.0	4.0	0.0	0.0	0.0	0.0	9			0	0	0	0	1	0	0	0	0	0	0	1	1	3.0	15	0			1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
1	12	112.0	1.0	2.0	11215	0.0	0.0	0.0	0.0	6.0	0.0	1	6		0	0	0	1	0	0	0	0	0	0	0	0	1	3.0	15	0			1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
1	12	112.0	1.0	2.0	11218	2.0	2.0	0.0	0.0	5.0	0.0	1			0	0	0	0	1	0	0	0	0	0	0	0	1	4.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	12	112.0	1.0	2.0	11219	0.0	0.0	0.0	0.0	2.0	0.0	5			0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			0																	
1	14	114.0	1.0	2.0	11401	2.0	2.0	0.0	0.0	3.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	14	114.0	1.0	2.0	11402	1.0	1.0	5.0	0.0	6.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	13	1	1	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11403	2.0	0.0	10.0	0.0	0.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	1	4.0	15	1	2	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11404	2.0	2.0	15.0	0.0	0.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11405	2.0	0.0	6.0	0.0	0.0	0.0	2	5		0	0	0	0	1	1	0	0	0	0	0	0	1	2.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11406	2.0	2.0	0.0	0.0	0.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	14	114.0	1.0	2.0	11407	2.0	2.0	4.0	0.0	0.0	0.0	5	2		0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	14	114.0	1.0	2.0	11408	3.0	3.0	0.0	0.0	0.0	0.0	2			0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	21	0			0																	
1	14	114.0	1.0	2.0	11409	2.0	2.0	0.0	0.0	0.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	14	114.0	1.0	2.0	11410	2.0	2.0	2.0	0.0	5.0	0.0	5			0	0	0	0	0	1	0	0	0	0	0	0	1	4.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	14	114.0	1.0	2.0	11411	0.0	0.0	10.0	0.0	0.0	0.0	5			0	0	0	1	0	0	0	0	0	0	0	0	1	5.0	15	0			0																	
1	14	114.0	1.0	2.0	11412	2.0	0.0	6.0	0.0	0.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11414	2.0	0.0	6.0	0.0	0.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	15	1	1	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11415	0.0	0.0	0.0	3.0	0.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	1	4.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	14	114.0	1.0	2.0	11417	1.0	1.0	4.0	0.0	0.0	0.0	2			0	0	0	0	0	1	0	0	0	0	0	0	0						0																	
1	14	114.0	1.0	2.0	11418	2.0	2.0	0.0	0.0	0.0	0.0	1	5		0	0	0	0	0	1	0	0	0	0	0	0	1	3.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	14	114.0	1.0	2.0	11419	2.0	2.0	7.0	0.0	0.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	5.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	14	114.0	1.0	2.0	11420	2.0	2.0	4.0	0.0	10.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11502	2.0	2.0	0.0	0.0	5.0	0.0	1			0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11503	2.0	2.0	0.0	0.0	10.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	1	5.0	14	1	2	14	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11504	2.0	2.0	3.0	0.0	0.0	2.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	21	0			1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
1	15	115.0	1.0	1.0	11505	3.0	0.0	0.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	1.5	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11506	2.0	2.0	3.0	0.0	5.0	0.0	2			0	0	0	0	0	1	0	0	0	0	0	0	1	2.0	22	1	1	21	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11508	2.0	2.0	0.0	0.0	0.0	0.0	5			0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	15	115.0	1.0	1.0	11510	3.0	3.0	0.0	0.0	10.0	0.0	1			0	0	0	0	1	0	0	0	0	0	0	0	1	7.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11511	0.0	0.0	0.0	0.0	10.0	0.0	2			0	0	0	0	0	1	0	0	0	0	0	0	1	3.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	15	115.0	1.0	1.0	11513	2.0	0.0	0.0	0.0	0.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	15	115.0	1.0	1.0	11515	2.0	2.0	1.0	0.0	0.0	0.0	5			0	0	0	0	0	1	0	0	0	0	0	0	1	1.0	23	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	15	115.0	1.0	1.0	11516	2.0	0.0	0.0	0.0	0.0	0.0	2			0	0	0	1	0	0	0	0	0	0	0	0	1	0.5	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	16	116.0	1.0	1.0	11602	3.0	3.0	0.0	0.0	0.0	0.0	2	9		0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	16	116.0	1.0	1.0	11603	0.0	0.0	0.0	0.0	2.0	0.0	1	2		0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	16	116.0	1.0	1.0	11604	2.0	0.0	0.0	0.0	0.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	21	0			0																	
1	16	116.0	1.0	1.0	11606	0.0	0.0	3.0	0.0	0.0	0.0	2			0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	22	0			0																	
1	16	116.0	1.0	1.0	11607	2.0	2.0	0.0	0.0	0.0	0.0	2	5		0	0	1	0	0	0	0	0	0	0	0	0	1	1.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	16	116.0	1.0	1.0	11608	2.0	0.0	3.0	0.0	0.0	0.0	4	2		0	0	0	0	1	0	0	0	0	0	0	0	1	0.5	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	16	116.0	1.0	1.0	11609	0.0	2.0	0.0	0.0	0.0	1.0	1	4		0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	15	0			1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
1	16	116.0	1.0	1.0	11610	0.0	0.0	0.0	0.0	3.0	0.0	1			0	0	0	1	1	0	0	0	0	0	0	0	1	2.0	15	0			1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	16	116.0	1.0	1.0	11614	3.0	0.0	0.0	0.0	0.0	0.0	9	2		0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	16	116.0	1.0	1.0	11615	0.0	0.0	0.0	0.0	2.0	3.0	1			0	0	0	1	1	0	0	0	0	0	0	0	1	5.0	15	0			1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	16	116.0	1.0	1.0	11616	0.0	0.0	7.0	0.0	0.0	0.0	1			0	0	0	0	0	0	0	0	0	0	1	0	0						0																	
1	17	117.0	1.0	2.0	11702	2.0	2.0	0.0	0.0	7.0	0.0	2	4		0	0	0	1	0	0	0	0	0	0	0	0	1	1.5	16	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	17	117.0	1.0	2.0	11703	3.0	3.0	0.0	0.0	0.0	0.0	1	5		0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	15	0			0																	
1	17	117.0	1.0	2.0	11704	0.0	0.0	3.0	0.0	1.5	0.0	1	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	21	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	17	117.0	1.0	2.0	11706	3.0	0.0	0.0	0.0	0.0	0.0	5			0	0	0	0	1	0	0	0	0	0	0	0	1	1.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	17	117.0	1.0	2.0	11707	0.0	2.0	10.0	0.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			0																	
1	17	117.0	1.0	2.0	11708	0.0	0.0	0.0	0.0	5.0	0.0	4	5		0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	16	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
