hhid	line	district	village	villno	strno	group	h07	h08	h09	h10
10115	1	1	1	101.0	1.0	3.0	101	0		
10115	3	1	1	101.0	1.0	3.0	103	1	1	11
10115	10	1	1	101.0	1.0	3.0	110	0		
10115	6	1	1	101.0	1.0	3.0	106	0		
10115	7	1	1	101.0	1.0	3.0	107	0		
10115	4	1	1	101.0	1.0	3.0	104	0		
10115	2	1	1	101.0	1.0	3.0	102	0		
10115	5	1	1	101.0	1.0	3.0	105	0		
10116	4	1	1	101.0	1.0	3.0	104	0		
10116	1	1	1	101.0	1.0	3.0	101	0		
10116	7	1	1	101.0	1.0	3.0	107	0		
10116	6	1	1	101.0	1.0	3.0	106	0		
10116	5	1	1	101.0	1.0	3.0	105	0		
10116	2	1	1	101.0	1.0	3.0	102	0		
10116	10	1	1	101.0	1.0	3.0	110	0		
10116	9	1	1	101.0	1.0	3.0	109	0		
10116	3	1	1	101.0	1.0	3.0	103	1	0	11
10117	10	1	1	101.0	1.0	3.0	110	0		
10117	7	1	1	101.0	1.0	3.0	107	0		
10117	1	1	1	101.0	1.0	3.0	101	0		
10117	2	1	1	101.0	1.0	3.0	102	0		
10117	6	1	1	101.0	1.0	3.0	106	0		
10117	9	1	1	101.0	1.0	3.0	109	0		
10117	4	1	1	101.0	1.0	3.0	104	0		
10117	3	1	1	101.0	1.0	3.0	103	1	0	11
10117	5	1	1	101.0	1.0	3.0	105	0		
10118	7	1	1	101.0	1.0	3.0	107	0		
10118	1	1	1	101.0	1.0	3.0	101	0		
10118	2	1	1	101.0	1.0	3.0	102	0		
10118	6	1	1	101.0	1.0	3.0	106	0		
10118	4	1	1	101.0	1.0	3.0	104	0		
10118	9	1	1	101.0	1.0	3.0	109	0		
10118	10	1	1	101.0	1.0	3.0	110	0		
10118	5	1	1	101.0	1.0	3.0	105	0		
10118	3	1	1	101.0	1.0	3.0	103	1	0	11
10119	9	1	1	101.0	1.0	3.0	109	0		
10119	6	1	1	101.0	1.0	3.0	106	0		
10119	10	1	1	101.0	1.0	3.0	110	0		
10119	3	1	1	101.0	1.0	3.0	103	1	0	2
10119	2	1	1	101.0	1.0	3.0	102	0		
10119	1	1	1	101.0	1.0	3.0	101	0		
10119	4	1	1	101.0	1.0	3.0	104	0		
10119	7	1	1	101.0	1.0	3.0	107	0		
10119	5	1	1	101.0	1.0	3.0	105	0		
10120	6	1	1	101.0	1.0	3.0	106	0		
10120	3	1	1	101.0	1.0	3.0	103	1	0	11
10120	5	1	1	101.0	1.0	3.0	105	0		
10120	4	1	1	101.0	1.0	3.0	104	0		
10120	1	1	1	101.0	1.0	3.0	101	0		
10120	10	1	1	101.0	1.0	3.0	110	0		
10120	9	1	1	101.0	1.0	3.0	109	0		
10120	7	1	1	101.0	1.0	3.0	107	0		
10120	2	1	1	101.0	1.0	3.0	102	0		
10202	6	1	2	102.0	1.0	2.0	106	0		
10202	1	1	2	102.0	1.0	2.0	101	0		
10202	4	1	2	102.0	1.0	2.0	104	1	1	8
10202	5	1	2	102.0	1.0	2.0	105	0		
10202	9	1	2	102.0	1.0	2.0	109	0		
10202	10	1	2	102.0	1.0	2.0	110	0		
10202	7	1	2	102.0	1.0	2.0	107	0		
10202	2	1	2	102.0	1.0	2.0	102	1		
10202	3	1	2	102.0	1.0	2.0	103	1	0	11
10203	4	1	2	102.0	1.0	2.0	104	0		
10203	6	1	2	102.0	1.0	2.0	106	0		
10203	7	1	2	102.0	1.0	2.0	107	0		
10203	3	1	2	102.0	1.0	2.0	103	1	0	11
10203	2	1	2	102.0	1.0	2.0	102	1		
10203	5	1	2	102.0	1.0	2.0	105	0		
10203	9	1	2	102.0	1.0	2.0	109	0		
10203	10	1	2	102.0	1.0	2.0	110	0		
10203	1	1	2	102.0	1.0	2.0	101	0		
10205	3	1	2	102.0	1.0	2.0	103	1	0	11
10205	2	1	2	102.0	1.0	2.0	102	1		
10205	4	1	2	102.0	1.0	2.0	104	1	1	8
10205	7	1	2	102.0	1.0	2.0	107	0		
10205	6	1	2	102.0	1.0	2.0	106	0		
10205	9	1	2	102.0	1.0	2.0	109	0		
10205	5	1	2	102.0	1.0	2.0	105	0		
10205	1	1	2	102.0	1.0	2.0	101	0		
10205	10	1	2	102.0	1.0	2.0	110	0		
10207	4	1	2	102.0	1.0	2.0	104	0		
10207	3	1	2	102.0	1.0	2.0	103	0		
10207	6	1	2	102.0	1.0	2.0	106	0		
10207	5	1	2	102.0	1.0	2.0	105	0		
10207	1	1	2	102.0	1.0	2.0	101	1		
10207	7	1	2	102.0	1.0	2.0	107	0		
10207	10	1	2	102.0	1.0	2.0	110	0		
10207	9	1	2	102.0	1.0	2.0	109	0		
10207	2	1	2	102.0	1.0	2.0	102	0		
10208	6	1	2	102.0	1.0	2.0	106	0		
10208	9	1	2	102.0	1.0	2.0	109	0		
10208	10	1	2	102.0	1.0	2.0	110	0		
10208	3	1	2	102.0	1.0	2.0	103	1	0	11
10208	2	1	2	102.0	1.0	2.0	102	1		
10208	4	1	2	102.0	1.0	2.0	104	1	1	8
10208	7	1	2	102.0	1.0	2.0	107	0		
10208	1	1	2	102.0	1.0	2.0	101	0		
10208	5	1	2	102.0	1.0	2.0	105	0		
10209	10	1	2	102.0	1.0	2.0	110	0		
10209	2	1	2	102.0	1.0	2.0	102	0		
10209	3	1	2	102.0	1.0	2.0	103	1	1	6
10209	5	1	2	102.0	1.0	2.0	105	0		
10209	1	1	2	102.0	1.0	2.0	101	0		
10209	4	1	2	102.0	1.0	2.0	104	1	1	6
10209	9	1	2	102.0	1.0	2.0	109	0		
10209	7	1	2	102.0	1.0	2.0	107	0		
10209	6	1	2	102.0	1.0	2.0	106	0		
10211	4	1	2	102.0	1.0	2.0	104	1	1	8
10211	9	1	2	102.0	1.0	2.0	109	0		
10211	10	1	2	102.0	1.0	2.0	110	0		
10211	7	1	2	102.0	1.0	2.0	107	0		
10211	5	1	2	102.0	1.0	2.0	105	0		
10211	6	1	2	102.0	1.0	2.0	106	0		
10211	1	1	2	102.0	1.0	2.0	101	0		
10211	2	1	2	102.0	1.0	2.0	102	1		
10211	3	1	2	102.0	1.0	2.0	103	1	1	6
10212	5	1	2	102.0	1.0	2.0	105	0		
10212	6	1	2	102.0	1.0	2.0	106	0		
10212	9	1	2	102.0	1.0	2.0	109	0		
10212	3	1	2	102.0	1.0	2.0	103	1	0	11
10212	4	1	2	102.0	1.0	2.0	104	0		
10212	10	1	2	102.0	1.0	2.0	110	0		
10212	1	1	2	102.0	1.0	2.0	101	0		
10212	2	1	2	102.0	1.0	2.0	102	0		
10212	7	1	2	102.0	1.0	2.0	107	0		
10214	6	1	2	102.0	1.0	2.0	106	0		
10214	5	1	2	102.0	1.0	2.0	105	0		
10214	7	1	2	102.0	1.0	2.0	107	0		
10214	10	1	2	102.0	1.0	2.0	110	0		
10214	9	1	2	102.0	1.0	2.0	109	0		
10214	4	1	2	102.0	1.0	2.0	104	0		
10214	1	1	2	102.0	1.0	2.0	101	0		
10214	2	1	2	102.0	1.0	2.0	102	0		
10214	3	1	2	102.0	1.0	2.0	103	0		
10215	4	1	2	102.0	1.0	2.0	104	1	1	6
10215	10	1	2	102.0	1.0	2.0	110	0		
10215	3	1	2	102.0	1.0	2.0	103	1	1	6
10215	7	1	2	102.0	1.0	2.0	107	0		
10215	9	1	2	102.0	1.0	2.0	109	0		
10215	6	1	2	102.0	1.0	2.0	106	0		
10215	2	1	2	102.0	1.0	2.0	102	1		
10215	1	1	2	102.0	1.0	2.0	101	0		
10215	5	1	2	102.0	1.0	2.0	105	0		
10217	6	1	2	102.0	1.0	2.0	106	0		
10217	7	1	2	102.0	1.0	2.0	107	0		
10217	3	1	2	102.0	1.0	2.0	103	1	0	11
10217	10	1	2	102.0	1.0	2.0	110	0		
10217	1	1	2	102.0	1.0	2.0	101	0		
10217	2	1	2	102.0	1.0	2.0	102	1		
10217	4	1	2	102.0	1.0	2.0	104	0		
10217	9	1	2	102.0	1.0	2.0	109	0		
10217	5	1	2	102.0	1.0	2.0	105	0		
10218	2	1	2	102.0	1.0	2.0	102	1		
10218	3	1	2	102.0	1.0	2.0	103	1	1	6
10218	10	1	2	102.0	1.0	2.0	110	0		
10218	1	1	2	102.0	1.0	2.0	101	0		
10218	9	1	2	102.0	1.0	2.0	109	0		
10218	5	1	2	102.0	1.0	2.0	105	0		
10218	7	1	2	102.0	1.0	2.0	107	0		
10218	4	1	2	102.0	1.0	2.0	104	1	1	6
10218	6	1	2	102.0	1.0	2.0	106	0		
10219	7	1	2	102.0	1.0	2.0	107	0		
10219	6	1	2	102.0	1.0	2.0	106	0		
10219	4	1	2	102.0	1.0	2.0	104	1	1	1
10219	1	1	2	102.0	1.0	2.0	101	0		
10219	9	1	2	102.0	1.0	2.0	109	0		
10219	5	1	2	102.0	1.0	2.0	105	0		
10219	2	1	2	102.0	1.0	2.0	102	1		
10219	3	1	2	102.0	1.0	2.0	103	1	1	1
10219	10	1	2	102.0	1.0	2.0	110	0		
10220	9	1	2	102.0	1.0	2.0	109	0		
10220	6	1	2	102.0	1.0	2.0	106	0		
10220	10	1	2	102.0	1.0	2.0	110	0		
10220	5	1	2	102.0	1.0	2.0	105	0		
10220	2	1	2	102.0	1.0	2.0	102	0		
10220	3	1	2	102.0	1.0	2.0	103	1	0	11
10220	4	1	2	102.0	1.0	2.0	104	1	1	1
10220	7	1	2	102.0	1.0	2.0	107	0		
10220	1	1	2	102.0	1.0	2.0	101	1		
10302	1	1	3	103.0	1.0	2.0	101	0		
10302	9	1	3	103.0	1.0	2.0	109	0		
10302	2	1	3	103.0	1.0	2.0	102	0		
10302	10	1	3	103.0	1.0	2.0	110	0		
10302	5	1	3	103.0	1.0	2.0	105	0		
10302	6	1	3	103.0	1.0	2.0	106	0		
10302	4	1	3	103.0	1.0	2.0	104	1	1	4
10302	7	1	3	103.0	1.0	2.0	107	0		
10302	3	1	3	103.0	1.0	2.0	103	1	0	11
10303	3	1	3	103.0	1.0	2.0	103	1	0	2
10303	9	1	3	103.0	1.0	2.0	109	0		
10303	5	1	3	103.0	1.0	2.0	105	0		
10303	10	1	3	103.0	1.0	2.0	110	1	1	3
10303	1	1	3	103.0	1.0	2.0	101	0		
10303	4	1	3	103.0	1.0	2.0	104	1	1	6
10303	2	1	3	103.0	1.0	2.0	102	1		
10303	7	1	3	103.0	1.0	2.0	107	0		
10303	6	1	3	103.0	1.0	2.0	106	0		
10304	9	1	3	103.0	1.0	2.0	109	0		
10304	3	1	3	103.0	1.0	2.0	103	1	1	1
10304	7	1	3	103.0	1.0	2.0	107	0		
10304	10	1	3	103.0	1.0	2.0	110	0		
10304	5	1	3	103.0	1.0	2.0	105	0		
10304	2	1	3	103.0	1.0	2.0	102	1		
10304	4	1	3	103.0	1.0	2.0	104	1	1	8
10304	6	1	3	103.0	1.0	2.0	106	0		
10304	1	1	3	103.0	1.0	2.0	101	0		
10306	7	1	3	103.0	1.0	2.0	107	0		
10306	1	1	3	103.0	1.0	2.0	101	0		
10306	2	1	3	103.0	1.0	2.0	102	1		
10306	4	1	3	103.0	1.0	2.0	104	1	1	6
10306	9	1	3	103.0	1.0	2.0	109	0		
10306	3	1	3	103.0	1.0	2.0	103	1	0	11
10306	6	1	3	103.0	1.0	2.0	106	0		
10306	10	1	3	103.0	1.0	2.0	110	0		
10306	5	1	3	103.0	1.0	2.0	105	0		
10307	1	1	3	103.0	1.0	2.0	101	0		
10307	2	1	3	103.0	1.0	2.0	102	0		
10307	3	1	3	103.0	1.0	2.0	103	1	1	6
10307	5	1	3	103.0	1.0	2.0	105	0		
10307	4	1	3	103.0	1.0	2.0	104	1	1	3
10307	9	1	3	103.0	1.0	2.0	109	0		
10307	7	1	3	103.0	1.0	2.0	107	0		
10307	6	1	3	103.0	1.0	2.0	106	0		
10307	10	1	3	103.0	1.0	2.0	110	0		
10308	3	1	3	103.0	1.0	2.0	103	1	0	11
10308	2	1	3	103.0	1.0	2.0	102	1		
10308	9	1	3	103.0	1.0	2.0	109	0		
10308	10	1	3	103.0	1.0	2.0	110	0		
10308	1	1	3	103.0	1.0	2.0	101	0		
10308	4	1	3	103.0	1.0	2.0	104	1	1	8
10308	6	1	3	103.0	1.0	2.0	106	0		
10308	7	1	3	103.0	1.0	2.0	107	0		
10308	5	1	3	103.0	1.0	2.0	105	0		
10309	9	1	3	103.0	1.0	2.0	109	0		
10309	3	1	3	103.0	1.0	2.0	103	1	1	6
10309	6	1	3	103.0	1.0	2.0	106	0		
10309	4	1	3	103.0	1.0	2.0	104	1	1	6
10309	10	1	3	103.0	1.0	2.0	110	0		
10309	5	1	3	103.0	1.0	2.0	105	0		
10309	7	1	3	103.0	1.0	2.0	107	0		
10309	2	1	3	103.0	1.0	2.0	102	1		
10309	1	1	3	103.0	1.0	2.0	101	0		
10311	3	1	3	103.0	1.0	2.0	103	1	0	2
10311	2	1	3	103.0	1.0	2.0	102	0		
10311	9	1	3	103.0	1.0	2.0	109	0		
10311	1	1	3	103.0	1.0	2.0	101	0		
10311	6	1	3	103.0	1.0	2.0	106	0		
10311	7	1	3	103.0	1.0	2.0	107	0		
10311	10	1	3	103.0	1.0	2.0	110	0		
10311	5	1	3	103.0	1.0	2.0	105	0		
10311	4	1	3	103.0	1.0	2.0	104	0		
10312	2	1	3	103.0	1.0	2.0	102	0		
10312	6	1	3	103.0	1.0	2.0	106	0		
10312	1	1	3	103.0	1.0	2.0	101	1		
10312	5	1	3	103.0	1.0	2.0	105	0		
10312	7	1	3	103.0	1.0	2.0	107	0		
10312	10	1	3	103.0	1.0	2.0	110	0		
10312	9	1	3	103.0	1.0	2.0	109	0		
10312	3	1	3	103.0	1.0	2.0	103	1	0	11
10312	4	1	3	103.0	1.0	2.0	104	1	1	8
10313	4	1	3	103.0	1.0	2.0	104	1	0	11
10313	3	1	3	103.0	1.0	2.0	103	1	1	8
10313	10	1	3	103.0	1.0	2.0	110	0		
10313	2	1	3	103.0	1.0	2.0	102	1		
10313	6	1	3	103.0	1.0	2.0	106	0		
10313	7	1	3	103.0	1.0	2.0	107	0		
10313	1	1	3	103.0	1.0	2.0	101	0		
10313	5	1	3	103.0	1.0	2.0	105	0		
10313	9	1	3	103.0	1.0	2.0	109	0		
10314	2	1	3	103.0	1.0	2.0	102	0		
10314	1	1	3	103.0	1.0	2.0	101	0		
10314	4	1	3	103.0	1.0	2.0	104	0		
10314	3	1	3	103.0	1.0	2.0	103	1	0	2
10314	9	1	3	103.0	1.0	2.0	109	0		
10314	10	1	3	103.0	1.0	2.0	110	0		
10314	6	1	3	103.0	1.0	2.0	106	0		
10314	7	1	3	103.0	1.0	2.0	107	0		
10314	5	1	3	103.0	1.0	2.0	105	0		
10315	2	1	3	103.0	1.0	2.0	102	0		
10315	10	1	3	103.0	1.0	2.0	110	0		
10315	1	1	3	103.0	1.0	2.0	101	0		
10315	4	1	3	103.0	1.0	2.0	104	1	1	1
10315	5	1	3	103.0	1.0	2.0	105	0		
10315	3	1	3	103.0	1.0	2.0	103	1	0	2
10315	6	1	3	103.0	1.0	2.0	106	0		
10315	7	1	3	103.0	1.0	2.0	107	0		
10315	9	1	3	103.0	1.0	2.0	109	0		
10316	4	1	3	103.0	1.0	2.0	104	1	0	8
10316	2	1	3	103.0	1.0	2.0	102	0		
10316	10	1	3	103.0	1.0	2.0	110	0		
10316	3	1	3	103.0	1.0	2.0	103	1	0	11
10316	6	1	3	103.0	1.0	2.0	106	0		
10316	9	1	3	103.0	1.0	2.0	109	0		
10316	5	1	3	103.0	1.0	2.0	105	0		
10316	1	1	3	103.0	1.0	2.0	101	0		
10316	7	1	3	103.0	1.0	2.0	107	0		
10317	10	1	3	103.0	1.0	2.0	110	0		
10317	7	1	3	103.0	1.0	2.0	107	0		
10317	6	1	3	103.0	1.0	2.0	106	0		
10317	1	1	3	103.0	1.0	2.0	101	0		
10317	9	1	3	103.0	1.0	2.0	109	0		
10317	4	1	3	103.0	1.0	2.0	104	1	1	8
10317	3	1	3	103.0	1.0	2.0	103	1	1	1
10317	2	1	3	103.0	1.0	2.0	102	0		
10317	5	1	3	103.0	1.0	2.0	105	0		
10318	7	1	3	103.0	1.0	2.0	107	0		
10318	6	1	3	103.0	1.0	2.0	106	0		
10318	5	1	3	103.0	1.0	2.0	105	0		
10318	1	1	3	103.0	1.0	2.0	101	0		
10318	3	1	3	103.0	1.0	2.0	103	1	0	1
10318	9	1	3	103.0	1.0	2.0	109	0		
10318	10	1	3	103.0	1.0	2.0	110	0		
10318	2	1	3	103.0	1.0	2.0	102	0		
10318	4	1	3	103.0	1.0	2.0	104	0		
10319	7	1	3	103.0	1.0	2.0	107	0		
10319	10	1	3	103.0	1.0	2.0	110	0		
10319	3	1	3	103.0	1.0	2.0	103	1	0	11
10319	9	1	3	103.0	1.0	2.0	109	0		
10319	4	1	3	103.0	1.0	2.0	104	0		
10319	1	1	3	103.0	1.0	2.0	101	0		
10319	6	1	3	103.0	1.0	2.0	106	0		
10319	5	1	3	103.0	1.0	2.0	105	0		
10319	2	1	3	103.0	1.0	2.0	102	0		
10320	5	1	3	103.0	1.0	2.0	105	0		
10320	6	1	3	103.0	1.0	2.0	106	0		
10320	2	1	3	103.0	1.0	2.0	102	1		
10320	7	1	3	103.0	1.0	2.0	107	0		
10320	9	1	3	103.0	1.0	2.0	109	0		
10320	1	1	3	103.0	1.0	2.0	101	0		
10320	4	1	3	103.0	1.0	2.0	104	1	0	8
10320	10	1	3	103.0	1.0	2.0	110	0		
10320	3	1	3	103.0	1.0	2.0	103	1	0	11
10401	6	1	4	104.0	1.0	3.0	106	0		
10401	1	1	4	104.0	1.0	3.0	101	0		
10401	10	1	4	104.0	1.0	3.0	110	0		
10401	7	1	4	104.0	1.0	3.0	107	0		
10401	9	1	4	104.0	1.0	3.0	109	0		
10401	2	1	4	104.0	1.0	3.0	102	1		
10401	4	1	4	104.0	1.0	3.0	104	0		
10401	5	1	4	104.0	1.0	3.0	105	0		
10401	3	1	4	104.0	1.0	3.0	103	1	0	11
10402	7	1	4	104.0	1.0	3.0	107	0		
10402	5	1	4	104.0	1.0	3.0	105	0		
10402	1	1	4	104.0	1.0	3.0	101	0		
10402	9	1	4	104.0	1.0	3.0	109	0		
10402	10	1	4	104.0	1.0	3.0	110	0		
10402	3	1	4	104.0	1.0	3.0	103	1	1	4
10402	2	1	4	104.0	1.0	3.0	102	0		
10402	4	1	4	104.0	1.0	3.0	104	0		
10402	6	1	4	104.0	1.0	3.0	106	0		
10403	1	1	4	104.0	1.0	3.0	101	0		
10403	5	1	4	104.0	1.0	3.0	105	0		
10403	2	1	4	104.0	1.0	3.0	102	0		
10403	6	1	4	104.0	1.0	3.0	106	0		
10403	9	1	4	104.0	1.0	3.0	109	0		
10403	7	1	4	104.0	1.0	3.0	107	0		
10403	4	1	4	104.0	1.0	3.0	104	1	1	8
10403	10	1	4	104.0	1.0	3.0	110	0		
10403	3	1	4	104.0	1.0	3.0	103	1	0	11
10404	7	1	4	104.0	1.0	3.0	107	0		
10404	10	1	4	104.0	1.0	3.0	110	0		
10404	9	1	4	104.0	1.0	3.0	109	0		
10404	2	1	4	104.0	1.0	3.0	102	1		
10404	5	1	4	104.0	1.0	3.0	105	0		
10404	4	1	4	104.0	1.0	3.0	104	1	1	3
10404	3	1	4	104.0	1.0	3.0	103	1	1	1
10404	1	1	4	104.0	1.0	3.0	101	0		
10404	6	1	4	104.0	1.0	3.0	106	0		
10405	3	1	4	104.0	1.0	3.0	103	1	0	11
10405	6	1	4	104.0	1.0	3.0	106	0		
10405	5	1	4	104.0	1.0	3.0	105	0		
10405	4	1	4	104.0	1.0	3.0	104	0		
10405	1	1	4	104.0	1.0	3.0	101	0		
10405	10	1	4	104.0	1.0	3.0	110	0		
10405	2	1	4	104.0	1.0	3.0	102	1		
10405	9	1	4	104.0	1.0	3.0	109	0		
10405	7	1	4	104.0	1.0	3.0	107	0		
10407	4	1	4	104.0	1.0	3.0	104	1	1	6
10407	5	1	4	104.0	1.0	3.0	105	0		
10407	3	1	4	104.0	1.0	3.0	103	1	1	6
10407	6	1	4	104.0	1.0	3.0	106	0		
10407	1	1	4	104.0	1.0	3.0	101	1		
10407	7	1	4	104.0	1.0	3.0	107	0		
10407	10	1	4	104.0	1.0	3.0	110	0		
10407	9	1	4	104.0	1.0	3.0	109	0		
10407	2	1	4	104.0	1.0	3.0	102	0		
10408	5	1	4	104.0	1.0	3.0	105	0		
10408	10	1	4	104.0	1.0	3.0	110	0		
10408	9	1	4	104.0	1.0	3.0	109	0		
10408	1	1	4	104.0	1.0	3.0	101	0		
10408	6	1	4	104.0	1.0	3.0	106	0		
10408	7	1	4	104.0	1.0	3.0	107	0		
10408	4	1	4	104.0	1.0	3.0	104	0		
10408	3	1	4	104.0	1.0	3.0	103	1	0	11
10408	2	1	4	104.0	1.0	3.0	102	0		
10410	1	1	4	104.0	1.0	3.0	101	0		
10410	2	1	4	104.0	1.0	3.0	102	0		
10410	9	1	4	104.0	1.0	3.0	109	0		
10410	6	1	4	104.0	1.0	3.0	106	0		
10410	7	1	4	104.0	1.0	3.0	107	0		
10410	5	1	4	104.0	1.0	3.0	105	0		
10410	4	1	4	104.0	1.0	3.0	104	1	1	8
10410	3	1	4	104.0	1.0	3.0	103	1	1	6
10410	10	1	4	104.0	1.0	3.0	110	0		
10411	6	1	4	104.0	1.0	3.0	106	0		
10411	1	1	4	104.0	1.0	3.0	101	0		
10411	10	1	4	104.0	1.0	3.0	110	0		
