Trial_ID,Candidate_ID,variable_name,variable_type,brief_explanation
trial118,RCTC-05010,YS_digit_forward_visit3,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial118,RCTC-05010,YS_digit_backward_visit3,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial118,RCTC-05010,YS_tmt1_time_visit3,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial118,RCTC-05010,YS_tmt2_time_visit3,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial118,RCTC-05010,X_age_years,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_sex_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_moca_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_psi_digit_symbol_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_psi_symbol_search_correct_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_psi_symbol_search_incorrect_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_digit_forward_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_digit_backward_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_hamilton_anxiety_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_tmt1_time_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,X_tmt2_time_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,Treatment,Treatment,Randomized treatment assignment arm.
trial119,RCTC-02127,X_source_record_id,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,YP_pain_score,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial119,RCTC-02127,YS_procedure_duration_min,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_conversion,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_postoperative_symptoms,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_postoperative_complication,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_postoperative_bleeding,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_glycine_or_ns_deficit,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_fentanyl_total,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,YS_versed_total,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial119,RCTC-02127,X_age_years,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_height_cm,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_weight_kg,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_bmi,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_education_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_marital_status_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_prior_csection,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_smoking,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_infertility,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_prior_hysteroscopy,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_gynecologic_pain,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_chronic_pain,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_sexual_partner,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial119,RCTC-02127,X_contraception_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial120,RCTC-04923,Treatment,Treatment,Randomized treatment assignment arm.
trial120,RCTC-04923,X_source_subject_id,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial120,RCTC-04923,YP_progression_free_survival_months,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial120,RCTC-04923,YP_pfs_event,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial120,RCTC-04923,YS_overall_survival_months,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial120,RCTC-04923,YS_overall_survival_event,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial120,RCTC-04923,X_melanoma_stage,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,Treatment,Treatment,Randomized treatment assignment arm.
trial121,RCTC-04272,X_source_subject_id,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,YP_subjective_stress_overall,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial121,RCTC-04272,YS_cortisol_auc_i_log_em,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial121,RCTC-04272,YS_cortisol_log_25min_post_tsst,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial121,RCTC-04272,YS_cortisol_log_35min_post_tsst,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial121,RCTC-04272,YS_dbp_tsst_performance,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial121,RCTC-04272,YS_sbp_tsst_performance,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial121,RCTC-04272,X_cortisol_log_prestress_0d,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_dbp_prestress_0d,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_sbp_prestress_0d,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_age_years,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_sex,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_race,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_ethnicity_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_education_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_bmi,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_lessons_completed,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_days_intervention_end_to_post,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial121,RCTC-04272,X_follicular_phase_post,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
