Trial_ID,variable_name,variable_type,brief_explanation
trial93,X_patient_age_followup,baseline_covariate,patient age followup
trial93,X_patient_age_proxy,baseline_covariate,patient age proxy
trial93,X_household_head_male,baseline_covariate,household head male
trial93,X_household_head_education,baseline_covariate,household head education
trial93,X_household_rooms,baseline_covariate,household rooms
trial93,X_sleep_under_net,baseline_covariate,sleep under net
trial93,X_mobile_phones,baseline_covariate,mobile phones
trial93,X_air_conditioner,baseline_covariate,air conditioner
trial93,X_drug_code,baseline_covariate,drug code
trial93,X_vendor_code,baseline_covariate,vendor code
trial93,YP_adhered_self_report,primary_outcome,Self-reported completion of ACT antimalarial treatment.
trial93,YS_still_sick_followup,secondary_outcome,still sick followup
trial93,YS_pills_remaining_observed,secondary_outcome,pills remaining observed
trial93,YS_act_stock_in_household,secondary_outcome,act stock in household
trial94,Treatment,treatment,Randomized treatment assignment with the control/reference arm first when identifiable.
trial94,X_source_patient_id,baseline_covariate,source patient id
trial94,X_sex,baseline_covariate,sex
trial94,X_age_years,baseline_covariate,age years
trial94,X_mother_tongue,baseline_covariate,mother tongue
trial94,X_urdu,baseline_covariate,urdu
trial94,X_mobile_phone_owner,baseline_covariate,mobile phone owner
trial94,X_regimen_type,baseline_covariate,regimen type
trial94,X_can_read,baseline_covariate,can read
trial94,X_can_write,baseline_covariate,can write
trial94,X_school,baseline_covariate,school
trial94,X_highest_grade,baseline_covariate,highest grade
trial94,X_marital_status,baseline_covariate,marital status
trial94,X_children,baseline_covariate,children
trial94,X_asset_index,baseline_covariate,asset index
trial94,X_clinic_category,baseline_covariate,clinic category
trial94,X_days_first_treatment,baseline_covariate,days first treatment
trial94,YP_clinical_treatment_success,primary_outcome,Clinically recorded tuberculosis treatment success.
trial94,YS_clinical_treatment_complete,secondary_outcome,clinical treatment complete
trial94,YS_clinical_cured,secondary_outcome,clinical cured
trial94,YS_clinical_default,secondary_outcome,clinical default
trial94,YS_clinical_died,secondary_outcome,clinical died
trial94,YS_clinical_failure,secondary_outcome,clinical failure
trial94,YS_clinical_transfer_out,secondary_outcome,clinical transfer out
trial94,YS_self_reported_success,secondary_outcome,self reported success
trial94,YS_self_reported_complete,secondary_outcome,self reported complete
trial95,Treatment,treatment,Randomized treatment assignment with the control/reference arm first when identifiable.
trial95,X_dataset_status,baseline_covariate,dataset status
trial95,X_age_years,baseline_covariate,age years
trial95,X_age_group,baseline_covariate,age group
trial95,X_sex_code,baseline_covariate,sex code
trial95,X_height_cm,baseline_covariate,height cm
trial95,X_weight_kg,baseline_covariate,weight kg
trial95,X_asa_status,baseline_covariate,asa status
trial95,X_mallampati,baseline_covariate,mallampati
trial95,X_surgical_procedure,baseline_covariate,surgical procedure
trial95,X_treatment_department,baseline_covariate,treatment department
trial95,X_expected_size,baseline_covariate,expected size
trial95,X_used_size,baseline_covariate,used size
trial95,X_insertion_time_raw,baseline_covariate,insertion time raw
trial95,YP_insertion_time_sec,primary_outcome,Supraglottic airway insertion time in seconds.
trial95,YS_first_pass_success,secondary_outcome,first pass success
trial95,YS_overall_success,secondary_outcome,overall success
trial95,YS_insertion_success_code,secondary_outcome,insertion success code
trial95,YS_crossover,secondary_outcome,crossover
trial95,YS_attempt_count,secondary_outcome,attempt count
trial95,YS_leakage_pressure_cmH2O,secondary_outcome,leakage pressure cmH2O
trial95,YS_postop_complication,secondary_outcome,postop complication
trial95,YS_postop_throat_pain,secondary_outcome,postop throat pain
trial95,X_anesthesiologist_experience_years,baseline_covariate,anesthesiologist experience years
