manual_download_category,candidate_id,title,repository,dataset_doi,publication_doi,url,final_reason,download_status_summary
technical_download_or_api_blocker,RCTC-06982,Balancing Time in College: Examining Time-Use and Academic Outcomes of Students in a Comprehensive College Transition Program,ICPSR Harvested Dataverse,10.3886/e131041v1,10.3886/e131041,https://doi.org/10.3886/E131041V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06989,The Value of MOOC Certificates versus Traditional Credentials and Experience: Data and Analysis Files,ICPSR Harvested Dataverse,10.3886/e130725v1,10.1177/2332858420973577,https://doi.org/10.3886/E130725V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06990,The Value of MOOC Certificates versus Traditional Credentials and Experience: Data and Analysis Files,ICPSR Harvested Dataverse,10.3886/e130725,10.1177/2332858420973577,https://doi.org/10.3886/E130725,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07004,Power To Quit I,ICPSR Harvested Dataverse,10.3886/e165321v1,10.3886/e165321,https://doi.org/10.3886/E165321V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07047,"Demonstrating Respect and Acceptable Consent Strategies: What Matters to Patients in Patient-Centered Outcomes Research (PCOR)? [Methods Study], United States, 2017 Version 1",ICPSR Harvested Dataverse,10.3886/icpsr39575.v1,10.3886/icpsr39575,https://doi.org/10.3886/ICPSR39575.V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07052,Extending the Analysis of Nurse Family Partnership on Maternal and Child Mortality,ICPSR Harvested Dataverse,10.3886/e108425,10.1016/j.amepre.2021.04.014,https://doi.org/10.3886/E108425,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07053,Extending the Analysis of Nurse Family Partnership on Maternal and Child Mortality,ICPSR Harvested Dataverse,10.3886/e108425v1,10.1016/j.amepre.2021.04.014,https://doi.org/10.3886/E108425V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07054,"Engaging Stakeholders in Building Patient-Centered, N-of-1 Randomized and Other Controlled Trial Methods [Methods Study], New York, 2014-2019 Archival Version",ICPSR Harvested Dataverse,10.3886/icpsr39585,10.3886/icpsr39585.v1,https://doi.org/10.3886/ICPSR39585,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07055,"Engaging Stakeholders in Building Patient-Centered, N-of-1 Randomized and Other Controlled Trial Methods [Methods Study], New York, 2014-2019 Version 1",ICPSR Harvested Dataverse,10.3886/icpsr39585.v1,10.3886/icpsr39585,https://doi.org/10.3886/ICPSR39585.V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07069,"The National Study of Learning Mindsets, [United States], 2015-2016 Version 2",ICPSR Harvested Dataverse,10.3886/icpsr37353.v2,10.3886/icpsr37353,https://doi.org/10.3886/ICPSR37353.V2,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07192,"Data and Codes for: Tutoring Efficacy, Household Substitution, and Student Achievement",ICPSR Harvested Dataverse,10.3886/e193091v1,10.3886/e193091,https://doi.org/10.3886/E193091V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07205,"Efficacy Study of Adventures Aboard the S.S.GRIN: Social, Emotional, and Academic Skills, WestEd and 3C Institute, 2019-2023",ICPSR Harvested Dataverse,10.3886/e191912v1,10.3886/e191912,https://doi.org/10.3886/E191912V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07231,Replication data for: Incentives and Services for College Achievement: Evidence from a Randomized Trial,ICPSR Harvested Dataverse,10.3886/e116327v1-102560,10.1257/app.1.1.136,https://doi.org/10.3886/E116327V1-102560,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07244,Improving Success of Non-Communicable Diseases Mobile Phone Surveys: Results of Two Randomized Trials Testing Interviewer Gender and Message Valence in Bangladesh and Uganda,ICPSR Harvested Dataverse,10.3886/e183511,10.3886/e183511v1,https://doi.org/10.3886/E183511,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07245,Improving Success of Non-Communicable Diseases Mobile Phone Surveys: Results of Two Randomized Trials Testing Interviewer Gender and Message Valence in Bangladesh and Uganda,ICPSR Harvested Dataverse,10.3886/e183511v1,10.3886/e183511,https://doi.org/10.3886/E183511V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07246,"Design and Methodological Improvements for Patient-Centered Small n Sequential Multiple Assignment Randomized Trials (snSMARTs) in the Setting of Rare Diseases [Methods Study], 2016-2020 Archival Version",ICPSR Harvested Dataverse,10.3886/icpsr39636,10.3886/icpsr39636.v1,https://doi.org/10.3886/ICPSR39636,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07247,"Design and Methodological Improvements for Patient-Centered Small n Sequential Multiple Assignment Randomized Trials (snSMARTs) in the Setting of Rare Diseases [Methods Study], 2016-2020 Version 1",ICPSR Harvested Dataverse,10.3886/icpsr39636.v1,10.3886/icpsr39636,https://doi.org/10.3886/ICPSR39636.V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-07273,"Memphis New Mothers Study, 1990-1994 Version 3",ICPSR Harvested Dataverse,10.3886/icpsr06782.v3,10.3886/icpsr06782,https://doi.org/10.3886/ICPSR06782.V3,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-03855,Dataset for: Homa Bay preschooler caregiver Survey-data,International Potato Center,10.21223/kjy3xi,,https://data.cipotato.org/citation?persistentId=doi:10.21223/KJY3XI,No data file was registered/downloaded from the CIP record in the official API response.,no data file downloaded
technical_download_or_api_blocker,RCTC-01239,sj-xlsx-7-hpq-10.1177_13591053221144977 – for Using a protection motivation theory framework to reduce vaping intention and behaviour in Canadian university students who regularely vape: A randomized controlled trial,SAGE Journals,10.25384/sage.21893732,10.1177/13591053221144977,http://journals.sagepub.com/doi/full/10.1177/13591053221144977#supplementary-materials,SAGE supplementary download attempt hit a Cloudflare/challenge HTML page; no data file downloaded.,no data file downloaded
technical_download_or_api_blocker,RCTC-03940,Effectiveness of physical therapy in association with dance in healthy elderly: a randomized clinical trial,SciELO journals,10.6084/m9.figshare.20016353,10.1590/s1809-98232014000100010,https://scielo.figshare.com/articles/dataset/Effectiveness_of_physical_therapy_in_association_with_dance_in_healthy_elderly_a_randomized_clinical_trial/20016353,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-03951,"The effect of antidepressant treatment on the HPA axis, changes in depression score and serum levels of TNF-α in depressed infertile women",SciELO journals,10.6084/m9.figshare.11930166.v1,10.1590/0101-60830000000222,https://scielo.figshare.com/articles/dataset/The_effect_of_antidepressant_treatment_on_the_HPA_axis_changes_in_depression_score_and_serum_levels_of_TNF-_in_depressed_infertile_women/11930166/1,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-04149,Comparative effect of Fenugreek and Cinnamon on management of newly diagnosed cases of Type-2 Diabetes Mellitus,SciELO journals,10.6084/m9.figshare.14318521.v1,10.1590/fst.47720,https://scielo.figshare.com/articles/dataset/Comparative_effect_of_Fenugreek_and_Cinnamon_on_management_of_newly_diagnosed_cases_of_Type-2_Diabetes_Mellitus/14318521/1,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-04454,Serious game for locomotor rehabilitation of hemiparetic stroke patients,SciELO journals,10.6084/m9.figshare.11869107.v1,10.1590/1980-5918.033.ao16,https://scielo.figshare.com/articles/Serious_game_for_locomotor_rehabilitation_of_hemiparetic_stroke_patients/11869107/1,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-06221,Monthly phone calls and calendars to record falls rate in community-dwelling older adults included in a randomized clinical trial,SciELO journals,10.6084/m9.figshare.20729013.v1,10.1590/1809-2950/20032229022022pt,https://scielo.figshare.com/articles/dataset/Monthly_phone_calls_and_calendars_to_record_falls_rate_in_community-dwelling_older_adults_included_in_a_randomized_clinical_trial/20729013/1,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-06268,ANALGESIC EFFICACY OF EPIDURAL MORPHINE AND CLONIDINEIN PATIENTS UNDERGOING DECOMPRESSION OF THE LUMBAR CANAL: A PROSPECTIVE RANDOMIZED TRIAL,SciELO journals,10.6084/m9.figshare.20014042,10.1590/s1808-185120171603159402,https://scielo.figshare.com/articles/dataset/ANALGESIC_EFFICACY_OF_EPIDURAL_MORPHINE_AND_CLONIDINEIN_PATIENTS_UNDERGOING_DECOMPRESSION_OF_THE_LUMBAR_CANAL_A_PROSPECTIVE_RANDOMIZED_TRIAL/20014042,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-06616,Comparison of 3 different anesthetic approaches for intravitreal injections: a prospective randomized trial,SciELO journals,10.6084/m9.figshare.7101995,10.5935/0004-2749.20150008,https://scielo.figshare.com/articles/Comparison_of_3_different_anesthetic_approaches_for_intravitreal_injections_a_prospective_randomized_trial/7101995,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",no data file downloaded
technical_download_or_api_blocker,RCTC-05085,Kahlon et al JAMA Open; title: Glycemic Control with Layperson-Delivered Telephone Calls vs. Usual Care for Patients with Diabetes: A Randomized Clinical Trial,Texas Data Repository,10.18738/t8/nadlec,10.1001/jamanetworkopen.2024.48809,https://dataverse.tdl.org/citation?persistentId=doi:10.18738/T8/NADLEC,Texas Data Repository API returned 403 during official access attempt.,no data file downloaded
technical_download_or_api_blocker,RCTC-01312,"Replication Data for ""Efficacy of an exoskeleton-based physical therapy program for non-ambulatory patients during subacute stroke rehabilitation: a randomized controlled trial""",The University of British Columbia,10.14288/1.0444132,,https://doi.library.ubc.ca/10.14288/1.0444132,UBC source/DOI resolved to a UBC cybersecurity block page; no file links could be downloaded.,no data file downloaded
