candidate_id,final_qualification,is_qualified_for_cleaning_queue,title,repository,dataset_doi,publication_doi,url,download_status_summary,automated_decision,downloaded_file_count,download_failed_count,readable_table_count,license_status_from_screen,final_reason,key_tables,treatment_evidence,outcome_evidence,next_action,manual_inspection_note
RCTC-05859,not_qualified_before_cleaning,no,Additional file 3: Table S2. of A randomized trial of the efficacy and safety of quilizumab in adults with inadequately controlled allergic asthma,Figshare,10.6084/m9.figshare.c.3616040_d3.v1,10.1186/s12931-016-0347-2,https://springernature.figshare.com/articles/dataset/Additional_file_3_Table_S2_of_A_randomized_trial_of_the_efficacy_and_safety_of_quilizumab_in_adults_with_inadequately_controlled_allergic_asthma/4378388/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Downloaded quilizumab file is a subgroup summary table, not participant-level treatment/outcome data.",12931_2016_347_MOESM3_ESM.xlsx:Sheet1 rows>=69 cols=5,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-00459,qualified_for_cleaning,yes,Additional file 3: of Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,Figshare,10.6084/m9.figshare.c.3603329_d1.v1,10.1186/s12913-016-1384-8,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Impact_of_a_community_pharmacist-led_medication_review_on_medicines_use_in_patients_on_polypharmacy_-_a_prospective_randomised_controlled_trial/4339337/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Participant-level medication-review RCT file; Pat ID, study group, baseline sex/region/nDrugs, and DPPR outcome present.",12913_2016_1384_MOESM3_ESM.xlsx:Tabelle1 rows>=293 cols=6,Study group,,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-03185,qualified_for_cleaning,yes,Additional files 2: of The MOVE-trial: MonocrylÂŽ vs. Vicryl Rapideâ ˘ for skin repair in mediolateral episiotomies: a randomized controlled trial,Figshare,10.6084/m9.figshare.c.3906040_d2,10.1186/s12884-017-1545-8,https://springernature.figshare.com/articles/dataset/Additional_files_2_of_The_MOVE-trial_Monocryl_vs_Vicryl_Rapide_for_skin_repair_in_mediolateral_episiotomies_a_randomized_controlled_trial/5504932,downloaded 1 file(s); inspected with R readxl (older .xls),needs_manual_review_before_cleaning,1,0,1,pass,"Older XLS opened with R readxl; MOVE trial participant-level records include treatment code (1=Monocryl, 2=Vicryl) and pain/wound-healing outcomes.",12884_2017_1545_MOESM2_ESM.xls:Blad1 rows>=8 sampled cols=50; participant-level treatment/outcomes confirmed with R readxl,,,Read primary publication and map primary outcome/covariates before cleaning.,Automated pandas inspection could not open old .xls because xlrd is unavailable; R readxl opened it and confirmed participant-level fields.
RCTC-02952,not_qualified_before_cleaning,no,Supplementary Material for: A Randomized Controlled Crossover Trial to Determine the Effects of Three Nostril Regulated Breathing Practices on Attention and Mood,Karger Publishers,10.6084/m9.figshare.28632596.v2,10.1159/000543934,https://karger.figshare.com/articles/dataset/Supplementary_Material_for_A_Randomized_Controlled_Crossover_Trial_to_Determine_the_Effects_of_Three_Nostril_Regulated_Breathing_Practices_on_Attention_and_Mood/28632596/2,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,Figshare metadata record has no attached data files and describes a crossover design needing different methods.,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-06654,not_qualified_before_cleaning,no,Supplementary Material for: Relevance of Collaterals for the Success of Neuroprotective Therapies in Acute Ischemic Stroke: Insights from the Randomized URICO-ICTUS Trial,Karger Publishers,10.6084/m9.figshare.8223833.v1,10.1159/000500712,https://karger.figshare.com/articles/Supplementary_Material_for_Relevance_of_Collaterals_for_the_Success_of_Neuroprotective_Therapies_in_Acute_Ischemic_Stroke_Insights_from_the_Randomized_URICO-ICTUS_Trial/8223833/1,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,"Karger/Figshare record provides supplementary documents/images only, not participant-level data.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-01257,not_qualified_before_cleaning,no,Neuroepo multisession,NEMAR (Neuroelectromagnetic Data Archive and Tools Resource),10.82901/nemar.on003194,10.18112/openneuro.ds003194.v1.0.3,https://nemar.org/dataexplorer/detail?dataset_id=on003194,downloaded 2 file(s); 1 readable table(s),needs_manual_review_before_cleaning,2,1,1,pass,NEMAR/OpenNeuro candidate is one arm dataset; participants.tsv has no treatment assignment or trial outcomes.,participants.tsv:delimited rows>=15 cols=3,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-01258,not_qualified_before_cleaning,no,Placebo Neuroepo multisession,NEMAR (Neuroelectromagnetic Data Archive and Tools Resource),10.82901/nemar.on003195,10.18112/openneuro.ds003195.v1.0.3,https://nemar.org/dataexplorer/detail?dataset_id=on003195,downloaded 2 file(s); 1 readable table(s),needs_manual_review_before_cleaning,2,1,1,pass,NEMAR/OpenNeuro candidate is one arm dataset; participants.tsv has no treatment assignment or trial outcomes.,participants.tsv:delimited rows>=10 cols=3,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-01239,not_qualified_before_cleaning,no,sj-xlsx-7-hpq-10.1177_13591053221144977 – for Using a protection motivation theory framework to reduce vaping intention and behaviour in Canadian university students who regularely vape: A randomized controlled trial,SAGE Journals,10.25384/sage.21893732,10.1177/13591053221144977,http://journals.sagepub.com/doi/full/10.1177/13591053221144977#supplementary-materials,no data file downloaded,not_qualified_before_cleaning,0,1,0,pass,SAGE supplementary download attempt hit a Cloudflare/challenge HTML page; no data file downloaded.,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-06268,not_qualified_before_cleaning,no,ANALGESIC EFFICACY OF EPIDURAL MORPHINE AND CLONIDINEIN PATIENTS UNDERGOING DECOMPRESSION OF THE LUMBAR CANAL: A PROSPECTIVE RANDOMIZED TRIAL,SciELO journals,10.6084/m9.figshare.20014042,10.1590/s1808-185120171603159402,https://scielo.figshare.com/articles/dataset/ANALGESIC_EFFICACY_OF_EPIDURAL_MORPHINE_AND_CLONIDINEIN_PATIENTS_UNDERGOING_DECOMPRESSION_OF_THE_LUMBAR_CANAL_A_PROSPECTIVE_RANDOMIZED_TRIAL/20014042,no data file downloaded,not_qualified_before_cleaning,0,7,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-04149,not_qualified_before_cleaning,no,Comparative effect of Fenugreek and Cinnamon on management of newly diagnosed cases of Type-2 Diabetes Mellitus,SciELO journals,10.6084/m9.figshare.14318521.v1,10.1590/fst.47720,https://scielo.figshare.com/articles/dataset/Comparative_effect_of_Fenugreek_and_Cinnamon_on_management_of_newly_diagnosed_cases_of_Type-2_Diabetes_Mellitus/14318521/1,no data file downloaded,not_qualified_before_cleaning,0,2,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-06616,not_qualified_before_cleaning,no,Comparison of 3 different anesthetic approaches for intravitreal injections: a prospective randomized trial,SciELO journals,10.6084/m9.figshare.7101995,10.5935/0004-2749.20150008,https://scielo.figshare.com/articles/Comparison_of_3_different_anesthetic_approaches_for_intravitreal_injections_a_prospective_randomized_trial/7101995,no data file downloaded,not_qualified_before_cleaning,0,5,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03940,not_qualified_before_cleaning,no,Effectiveness of physical therapy in association with dance in healthy elderly: a randomized clinical trial,SciELO journals,10.6084/m9.figshare.20016353,10.1590/s1809-98232014000100010,https://scielo.figshare.com/articles/dataset/Effectiveness_of_physical_therapy_in_association_with_dance_in_healthy_elderly_a_randomized_clinical_trial/20016353,no data file downloaded,not_qualified_before_cleaning,0,3,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-06221,not_qualified_before_cleaning,no,Monthly phone calls and calendars to record falls rate in community-dwelling older adults included in a randomized clinical trial,SciELO journals,10.6084/m9.figshare.20729013.v1,10.1590/1809-2950/20032229022022pt,https://scielo.figshare.com/articles/dataset/Monthly_phone_calls_and_calendars_to_record_falls_rate_in_community-dwelling_older_adults_included_in_a_randomized_clinical_trial/20729013/1,no data file downloaded,not_qualified_before_cleaning,0,8,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-04454,not_qualified_before_cleaning,no,Serious game for locomotor rehabilitation of hemiparetic stroke patients,SciELO journals,10.6084/m9.figshare.11869107.v1,10.1590/1980-5918.033.ao16,https://scielo.figshare.com/articles/Serious_game_for_locomotor_rehabilitation_of_hemiparetic_stroke_patients/11869107/1,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03951,not_qualified_before_cleaning,no,"The effect of antidepressant treatment on the HPA axis, changes in depression score and serum levels of TNF-α in depressed infertile women",SciELO journals,10.6084/m9.figshare.11930166.v1,10.1590/0101-60830000000222,https://scielo.figshare.com/articles/dataset/The_effect_of_antidepressant_treatment_on_the_HPA_axis_changes_in_depression_score_and_serum_levels_of_TNF-_in_depressed_infertile_women/11930166/1,no data file downloaded,not_qualified_before_cleaning,0,4,0,pass,"Figshare/SciELO registered table files, but ndownloader file URLs returned 404; no data file downloaded.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-05085,not_qualified_before_cleaning,no,Kahlon et al JAMA Open; title: Glycemic Control with Layperson-Delivered Telephone Calls vs. Usual Care for Patients with Diabetes: A Randomized Clinical Trial,Texas Data Repository,10.18738/t8/nadlec,10.1001/jamanetworkopen.2024.48809,https://dataverse.tdl.org/citation?persistentId=doi:10.18738/T8/NADLEC,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,Texas Data Repository API returned 403 during official access attempt.,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-01312,not_qualified_before_cleaning,no,"Replication Data for ""Efficacy of an exoskeleton-based physical therapy program for non-ambulatory patients during subacute stroke rehabilitation: a randomized controlled trial""",The University of British Columbia,10.14288/1.0444132,,https://doi.library.ubc.ca/10.14288/1.0444132,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,UBC source/DOI resolved to a UBC cybersecurity block page; no file links could be downloaded.,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-04202,qualified_for_cleaning,yes,Additional file 1 of Improving malaria preventive practices and pregnancy outcomes through a health education intervention: A randomized controlled trial,figshare,10.6084/m9.figshare.13627127.v1,10.1186/s12936-021-03586-5,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Improving_malaria_preventive_practices_and_pregnancy_outcomes_through_a_health_education_intervention_A_randomized_controlled_trial/13627127/1,downloaded 1 file(s); 1 readable table(s),qualified_for_cleaning,1,0,1,pass,"Participant-level malaria-prevention/pregnancy RCT workbook; GROUP, baseline covariates, malaria prevention measures, pregnancy outcome, and birth weight present.",12936_2021_3586_MOESM1_ESM.xlsx:Sheet1 rows>=371 cols=31,GROUP,PREG_OUTCOME; BIRTH_WEIGHT,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-03541,not_qualified_before_cleaning,no,Additional file 2: of Cognitive training for children and adolescents with fragile X syndrome: a randomized controlled trial of Cogmed,figshare,10.6084/m9.figshare.7992737.v1,10.1186/s11689-019-9264-2,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Cognitive_training_for_children_and_adolescents_with_fragile_X_syndrome_a_randomized_controlled_trial_of_Cogmed/7992737/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Downloaded Cogmed supplementary table is aggregate baseline/summary information, not participant-level data.",11689_2019_9264_MOESM2_ESM.xlsx:Table S1.JM rows>=18 cols=7,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-04407,not_qualified_before_cleaning,no,Additional file 2: of Effects of spinal manipulative therapy biomechanical parameters on clinical and biomechanical outcomes of participants with chronic thoracic pain: a randomized controlled experimental trial,figshare,10.6084/m9.figshare.7608278.v1,10.1186/s12891-019-2408-4,https://springernature.figshare.com/articles/Additional_file_2_of_Effects_of_spinal_manipulative_therapy_biomechanical_parameters_on_clinical_and_biomechanical_outcomes_of_participants_with_chronic_thoracic_pain_a_randomized_controlled_experimental_trial/7608278/1,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03539,not_qualified_before_cleaning,no,Additional file 3: of Cognitive training for children and adolescents with fragile X syndrome: a randomized controlled trial of Cogmed,figshare,10.6084/m9.figshare.7992740,10.1186/s11689-019-9264-2,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Cognitive_training_for_children_and_adolescents_with_fragile_X_syndrome_a_randomized_controlled_trial_of_Cogmed/7992740,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Downloaded Cogmed supplementary table is aggregate baseline/summary information, not participant-level data.",11689_2019_9264_MOESM3_ESM.xlsx:Table S2. RM rows>=18 cols=7,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-04400,not_qualified_before_cleaning,no,Additional file 3: of Effect of tailored use of tirofiban in patients with Non-ST-elevation acute coronary syndrome undergoing percutaneous coronary intervention: a randomized controlled trial,figshare,10.6084/m9.figshare.7238453.v1,10.1186/s12872-018-0938-6,https://springernature.figshare.com/articles/Additional_file_3_of_Effect_of_tailored_use_of_tirofiban_in_patients_with_Non-ST-elevation_acute_coronary_syndrome_undergoing_percutaneous_coronary_intervention_a_randomized_controlled_trial/7238453/1,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-01153,not_qualified_before_cleaning,no,Additional file 3: of Exploring cued and non-cued motor imagery interventions in people with multiple sclerosis: a randomised feasibility trial and reliability study,figshare,10.6084/m9.figshare.5945863.v1,10.1186/s40945-018-0045-0,https://springernature.figshare.com/articles/Additional_file_3_of_Exploring_cued_and_non-cued_motor_imagery_interventions_in_people_with_multiple_sclerosis_a_randomised_feasibility_trial_and_reliability_study/5945863/1,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-01154,not_qualified_before_cleaning,no,Results of a randomised trial assessing the effectiveness of different dosages of levofloxacin to cure Helicobacter pylori infection,figshare,10.6084/m9.figshare.6176576.v1,10.1038/s41598-018-27482-2,https://springernature.figshare.com/articles/Results_of_a_randomised_trial_assessing_the_effectiveness_of_different_dosages_of_levofloxacin_to_cure_Helicobacter_pylori_infection/6176576/1,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-00206,not_qualified_before_cleaning,no,NTNU Intranasal Naloxone Trial (NINA-1) Study documents,DataverseNO,10.18710/abruww,,https://dataverse.no/citation?persistentId=doi:10.18710/ABRUWW,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,DataverseNO API returned 403 during official access attempt.,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-06999,not_qualified_before_cleaning,no,Weather and pain,DataverseNO Harvested Dataverse,10.18710/czzt5f,10.1016/j.pain.0000000000000006,https://doi.org/10.18710/CZZT5F,no data file downloaded,not_qualified_before_cleaning,0,0,0,fail_or_unclear,no data file downloaded; license/restriction check not clean; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-05841,not_qualified_before_cleaning,no,"Additional file 2: of Comparing the effect of 0.06% -, 0.12% and 0.2% Chlorhexidine on plaque, bleeding and side effects in an experimental gingivitis model: a parallel group, double masked randomized clinical trial",Figshare,10.6084/m9.figshare.c.3857881_d2,10.1186/s12903-017-0400-7,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Comparing_the_effect_of_0_06_-_0_12_and_0_2_Chlorhexidine_on_plaque_bleeding_and_side_effects_in_an_experimental_gingivitis_model_a_parallel_group_double_masked_randomized_clinical_trial/5327113,downloaded 1 file(s); 3 readable table(s),qualified_for_cleaning,1,0,3,pass,"Downloaded workbook has participant outcomes but the Code group/treatment assignment column is blank, so treatment assignment is not recoverable from the data file.",12903_2017_400_MOESM2_ESM.xlsx:Ark1 rows>=60 cols=108 | 12903_2017_400_MOESM2_ESM.xlsx:Sheet1 rows>=45 cols=4,Code group,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-07226,not_qualified_before_cleaning,no,Diabetes Mellitus “Comorbidity” or an Important Risk Factor?,Harvard Dataverse,10.7910/dvn/jaw6ax,10.1056/nejmoa012512,https://doi.org/10.7910/DVN/JAW6AX,downloaded 1 file(s); 1 readable table(s),not_qualified_before_cleaning,1,0,1,fail_or_unclear,"Downloaded diabetes.tab under CC0, but record is not a randomized trial and has no treatment assignment.",diabetes.tab:delimited rows>=768 cols=9,,Glucose; BloodPressure; Insulin; BMI; Outcome,Do not add to active cleaning queue unless the stated blocker is resolved.,
