ID	wealth_quintile
"203270908"	2
"203270909"	4
"203270910"	4
"203280701"	5
"203280702"	5
"203280703"	5
"203280704"	4
"203280901"	2
"203280902"	5
"203280903"	4
"203280904"	3
"203280905"	4
"203280906"	2
"203290801"	3
"203290802"	3
"203290803"	5
"203290804"	5
"203290805"	5
"203290806"	5
"203290901"	2
"203290902"	3
"203290903"	2
"203290904"	5
"203290905"	5
"203300901"	2
"203300902"	3
"203300993"	4
"204010801"	5
"204010802"	4
"204010803"	4
"204010804"	2
"204010805"	4
"204010806"	5
"204010807"	5
"204010808"	5
"204010809"	5
"204011001"	5
"204011002"	5
"204011003"	5
"204011004"	5
"204011005"	3
"204011006"	5
"204011007"	3
"204011008"	5
"204011092"	2
"204020801"	2
"204020802"	4
"204020803"	4
"204020804"	2
"204020805"	4
"204020806"	4
"204020807"	3
"204020901"	5
"204020902"	2
"204020903"	2
"204020904"	3
"204020905"	3
"204020906"	3
"204030801"	4
"204030802"	1
"204030803"	4
"204030804"	3
"204030805"	1
"204031001"	3
"204031002"	4
"204031003"	3
"204040801"	3
"204040802"	3
"204040803"	5
"204040804"	3
"204040805"	1
"204040806"	1
"204040807"	5
"204040808"	5
"204040809"	1
"204040810"	5
"204040811"	3
"204040812"	4
"204040813"	4
"204040814"	3
"204041001"	3
"204041002"	1
"204041003"	4
"204050801"	
"204050802"	1
"204050803"	2
"204050804"	2
"204050805"	3
"204050806"	3
"204050901"	3
"204050902"	3
"204050903"	4
"204050904"	4
"204050905"	3
"204050906"	1
"204050907"	5
"204050908"	5
"204050909"	3
"204050910"	5
"204051001"	5
"204051002"	2
"204060801"	2
"204060901"	4
"204060902"	2
"204060903"	4
"204060904"	2
"204060905"	2
"204060906"	2
"204061001"	5
"204061002"	5
"204061003"	5
"204061004"	3
"204061005"	4
"204070901"	5
"204070902"	2
"204070903"	3
"204070904"	3
"204070905"	5
"204071001"	2
"204071002"	5
"204071003"	5
"204071004"	5
"204080501"	5
"204080901"	4
"204080902"	5
"204080903"	4
"204080904"	4
"204080905"	5
"204080906"	2
"204081001"	5
"204090801"	5
"204090802"	1
"204090803"	5
"204090902"	3
"204090903"	2
"204090904"	5
"204090905"	4
"204090910"	3
"204100802"	5
"204100901"	2
"204120901"	3
"204120902"	5
"204120903"	3
"204120904"	1
"204120905"	3
"204120906"	2
"204120907"	5
"204120908"	1
"204130901"	5
"204130902"	2
"204130903"	3
"204130904"	4
"204130905"	3
"204130906"	5
"204130907"	3
"204140901"	3
"204140902"	3
"204140903"	5
"204140904"	4
"204140905"	4
"204150901"	3
"204150902"	4
"204150903"	4
"204150904"	4
"204160901"	2
"204160903"	3
"204160904"	3
"204160905"	5
"204160906"	5
"204170901"	5
"204170902"	2
"204180802"	2
"204180804"	4
"204180807"	3
"204180810"	3
"204190902"	5
"204190903"	3
"204190904"	3
"204190905"	4
"204190906"	3
"204190907"	4
"204190908"	4
"204190921"	2
"204200901"	4
"204200902"	3
"204200903"	5
"204200904"	5
"204200905"	2
"204200906"	5
"204200907"	2
"204200908"	2
"204200909"	3
"204200910"	4
"204210901"	4
"204210903"	2
"204210904"	5
"204210905"	4
"204220801"	4
"204220802"	5
"204220803"	1
"204220804"	4
"204220901"	2
"204220902"	3
"204220903"	3
"204220904"	2
"204220905"	4
"204220906"	5
"204220907"	4
"204220908"	4
"204220928"	
"204230801"	4
"204230802"	3
"204230901"	5
"204230902"	3
"204230903"	3
"204230904"	2
"204230905"	3
"204240801"	2
"204240901"	4
"204240902"	2
"204240903"	2
"204240904"	2
"204240905"	1
"204240906"	2
"204240907"	5
"204250801"	5
"204260901"	2
"204260902"	3
"204260903"	1
"204270701"	3
"204270702"	2
"204270703"	4
"204270801"	2
"204270802"	2
"204270803"	5
"204270824"	3
"204270901"	2
"204280701"	3
"204280702"	5
"204280703"	4
"204280704"	4
"204280906"	
"204290801"	1
"204290802"	3
"204290803"	3
"204290804"	4
"204290805"	5
"204290806"	5
"204290807"	5
"204290901"	1
"204290902"	5
"204290903"	4
"204300901"	4
"204300902"	3
"205010801"	1
"205010802"	1
"205010803"	2
"205010804"	1
"205010805"	2
"205011001"	3
"205011002"	1
"205011003"	2
"205020801"	1
"205020802"	3
"205020901"	2
"205030801"	1
"205030802"	1
"205030901"	1
"205030902"	1
"205030903"	1
"205030904"	1
"205030905"	1
"205031001"	1
"205031002"	1
"205031003"	3
"205031004"	2
"205031005"	1
"205031006"	2
"205031007"	2
"205031008"	2
"205040801"	1
"205040802"	1
"205040803"	2
"205040804"	1
"205041001"	2
"205041002"	2
"205041003"	1
"205041004"	1
"205041005"	1
"205041006"	1
"205050801"	1
"205050802"	3
"205050803"	1
"205050901"	4
"205050902"	5
"205051001"	1
"205051002"	5
"205051003"	1
"205060801"	1
"205060802"	3
"205061001"	1
"205070901"	5
"205070902"	4
"205070903"	2
"205071001"	1
"205071002"	1
"205071003"	1
"205080901"	4
"205090801"	4
"205090901"	5
"205100901"	2
"205100902"	3
"205110801"	3
"205110802"	3
"205120901"	4
"205120902"	1
"205120903"	1
"205120904"	1
"205120905"	5
"205120906"	5
"205120907"	1
"205120908"	2
"205120909"	1
"205120910"	1
"205120911"	1
"205120912"	4
"205120913"	1
"205120914"	1
"205120915"	4
"205120916"	5
"205130801"	4
"205130901"	1
"205130902"	5
"205130903"	1
"205130904"	2
"205130905"	4
"205130906"	3
"205130907"	2
"205130908"	4
"205130909"	1
"205130910"	4
"205130911"	1
"205140901"	5
"205140902"	1
"205140903"	1
"205140904"	1
"205140905"	4
"205150901"	2
"205150902"	1
"205150903"	5
"205160901"	3
"205160902"	3
"205160903"	5
"205170801"	2
"205170802"	3
"205170803"	3
"205180801"	4
"205180802"	1
"205190801"	3
"205190802"	1
"205190803"	1
"205190901"	1
"205200801"	1
"205200802"	1
"205200803"	3
"205200901"	1
"205200902"	1
"205210901"	1
"205210902"	1
"205210903"	1
"205210922"	3
"205220801"	1
"205220802"	4
"205220901"	2
"205220902"	2
"205220903"	5
"205230801"	1
"205230802"	1
"205230803"	1
"205230804"	3
"205230805"	5
"205230806"	1
"205230807"	3
"205230901"	2
"205240801"	2
"205240802"	4
"205240901"	1
"205250801"	4
"205250802"	1
"205250803"	2
"205250804"	2
"205250805"	2
"205260801"	3
"205260802"	3
"205260803"	4
"205260804"	1
"205260805"	1
"205260901"	2
"205260902"	2
"205260903"	1
"205260904"	4
"205260905"	1
"205260906"	1
"205260907"	1
"205260908"	2
"205270801"	1
"205270802"	1
"205270803"	5
"205270901"	3
"205270902"	1
"205270903"	1
"205270904"	5
"205270905"	3
"205270906"	3
"205270923"	4
"205280901"	3
"205280902"	4
"205280903"	4
"205280904"	4
"205280905"	1
"205280906"	5
"205280907"	2
"205280908"	4
"205290801"	1
"205290901"	4
"205290902"	3
"205290903"	
"205290904"	1
"205290905"	1
"205290906"	1
"205300901"	1
"205300902"	4
"205300903"	3
"205300904"	5
"205300905"	3
"206010801"	3
"206010802"	3
"206010803"	2
"206010804"	3
"206020801"	2
"206020802"	2
"206020901"	4
"206020902"	2
"206020903"	2
"206020904"	3
"206020905"	4
"206020906"	3
"206020907"	3
"206030801"	2
"206030802"	2
"206030803"	4
"206040801"	3
"206040802"	2
"206040803"	2
"206050801"	4
"206050802"	2
"206050803"	2
"206050804"	3
"206050805"	3
"206050806"	4
"206050807"	3
"206050808"	2
"206050901"	5
"206050902"	5
"206050903"	4
"206050904"	5
"206050905"	3
"206060801"	2
"206060802"	2
"206060803"	4
"206060804"	4
"206060901"	5
"206060902"	5
"206060903"	4
"206060904"	4
"206060905"	5
"206060906"	5
"206070901"	4
"206070902"	5
"206070903"	5
"206070904"	5
"206070905"	4
"206080801"	5
"206080802"	4
"206080803"	5
"206080804"	3
"206080805"	5
"206080806"	5
"206080807"	5
"206080808"	5
"206080901"	4
"206090801"	4
"206090802"	5
"206090803"	5
"206090804"	5
"206090805"	3
"206090806"	4
"206090807"	5
"206090808"	5
"206090809"	5
"206090810"	3
"206090901"	5
"206090902"	5
"206090903"	5
"206100801"	
"206100802"	5
"206100803"	
"206100804"	
"206100805"	
"206100806"	5
"206100807"	
"206100808"	5
"206100809"	5
"206100901"	2
"206100902"	5
"206100903"	3
"206100904"	5
"206110801"	5
"206110802"	5
"206110803"	5
"206110804"	5
"206110805"	5
"206110806"	5
"206110807"	5
"206110808"	4
"206110809"	2
"206110811"	5
"206110812"	5
"206110813"	3
"206110814"	3
"206110815"	2
"206110822"	5
"206120801"	5
"206120802"	5
"206120803"	
"206120804"	5
"206120805"	3
"206130801"	4
"206130802"	5
"206130803"	5
"206130804"	3
"206150801"	4
"206150802"	5
"206150803"	4
"206150804"	5
"206150805"	5
"206150806"	5
"206150807"	5
"206160801"	5
"206160802"	5
"206160803"	5
"206160804"	4
"206160805"	2
"206160806"	5
"206160807"	5
"206160808"	4
"206160809"	3
"206160810"	5
"206160811"	5
"206170801"	5
"206170802"	5
"206170803"	5
"206170804"	3
"206170805"	3
"206170806"	5
"206170807"	5
"206170808"	5
"206170809"	5
"206180801"	5
"206180802"	5
"206180803"	5
"206180804"	4
"206190801"	5
"206190802"	5
"206190803"	3
"206190804"	5
"206190805"	5
"206190806"	4
"206190807"	4
"206190901"	2
"206190902"	4
"206190903"	3
"206190904"	3
"206190905"	4
"206190906"	3
"206190907"	2
"206190908"	4
"206190909"	5
"206190910"	2
"206190911"	3
"206190912"	3
"206190913"	3
"206190914"	3
"206200801"	5
"206200802"	4
"206200803"	5
"206200804"	4
"206200805"	5
"206200806"	5
"206200807"	4
"206200808"	5
"206200809"	5
"206200810"	5
"206200811"	5
"206200812"	5
"206200813"	5
"206200901"	2
"206200902"	4
"206200903"	5
"206200904"	4
"206200905"	2
"206200906"	3
"206200907"	5
"206200908"	4
"206200909"	4
"206200911"	3
"206200970"	2
"206210901"	3
"206210902"	
"206210903"	2
"206210904"	2
"206210905"	3
"206210906"	5
"206210907"	4
"206210908"	4
"206210909"	3
"206220801"	5
"206220802"	2
"206220803"	5
"206220804"	3
"206220805"	5
"206220806"	4
"206220807"	5
"206220808"	4
"206220809"	3
"206220810"	5
"206220901"	3
"206220902"	4
"206220903"	2
"206220904"	2
"206220905"	3
"206220906"	4
"206220907"	4
"206220908"	3
"206220909"	3
"206220910"	4
"206220911"	4
"206230801"	5
"206230802"	5
"206230803"	5
"206230804"	5
"206230805"	4
"206230806"	4
"206230807"	5
"206230808"	5
"206230901"	4
"206230902"	4
"206230903"	2
"206230904"	2
"206230905"	4
"206230906"	4
"206230907"	4
"206230908"	2
"206230909"	3
"206230910"	5
"206230911"	4
"206230912"	3
"206240801"	5
"206240802"	2
"206240803"	5
"206240804"	5
"206240805"	4
"206240806"	5
"206240807"	5
"206240808"	5
"206240809"	5
"206240810"	4
"206240901"	3
"206240902"	4
"206240903"	2
"206240904"	3
"206240905"	5
"206240906"	3
"206250801"	4
"206250802"	3
"206250803"	5
"206250804"	4
"206250805"	5
"206260801"	5
"206260802"	5
"206260803"	5
"206260804"	4
"206260805"	5
"206260806"	5
"206260807"	5
"206270801"	5
"206270802"	5
"206270803"	4
"206270804"	5
"206270805"	5
"206270806"	4
"206270807"	5
"206270808"	5
"206290801"	5
"206290802"	5
"206290803"	5
"206290804"	4
"206290805"	4
"206290806"	3
"206290807"	2
"207010801"	4
"207010803"	2
"207010804"	2
"207011001"	4
"207011002"	2
"207011003"	3
"207011004"	2
"207011005"	2
"207020801"	2
"207020802"	2
"207020901"	2
"207020902"	3
"207020903"	1
"207020904"	4
"207020905"	3
"207020906"	3
"207020907"	2
"207030801"	2
"207030802"	2
"207030803"	2
"207030901"	2
"207030902"	5
"207030903"	4
"207030904"	2
"207030905"	3
"207031001"	4
"207031002"	2
"207031003"	2
"207031004"	2
"207031005"	3
"207031006"	2
"207031007"	2
"207040801"	2
"207040802"	3
"207040803"	2
"207040804"	5
"207041001"	3
"207041002"	5
"207041003"	2
"207041004"	2
"207041005"	2
"207041006"	3
"207041007"	2
"207050801"	2
"207050901"	2
"207050902"	2
"207050903"	2
"207051001"	2
"207051002"	2
"207051003"	3
"207051004"	4
"207051005"	2
"207051006"	4
"207051007"	3
"207051008"	3
"207051009"	2
"207060801"	2
"207060901"	2
"207060902"	2
"207060903"	2
"207061001"	2
"207061002"	4
"207061003"	4
"207061004"	2
"207061005"	4
"207061006"	3
"207061007"	2
"207061008"	2
"207070901"	2
"207070902"	2
"207070903"	2
"207070904"	2
"207070905"	2
"207070906"	2
"207070907"	3
"207070908"	2
"207071001"	4
"207071002"	2
"207071003"	2
"207071004"	3
"207071005"	4
"207080801"	2
"207080901"	2
"207080902"	2
"207080903"	2
"207080904"	2
"207080905"	2
"207080906"	2
"207081001"	5
"207081002"	3
"207090801"	2
"207090802"	4
"207090901"	2
"207090902"	2
"207090903"	2
"207090904"	2
"207090905"	2
"207100801"	1
"207100802"	4
"207100901"	2
"207100902"	2
"207100903"	4
"207100904"	4
"207100905"	5
"207100906"	2
"207100907"	4
"207100908"	3
"207100909"	2
"207101001"	
"207110801"	4
"207120801"	4
"207120901"	3
"207120902"	3
"207120903"	5
"207120905"	3
"207120906"	2
"207120924"	3
"207130901"	4
"207130902"	5
"207130903"	2
"207130904"	3
"207130905"	4
"207130906"	2
"207130907"	2
"207130908"	2
"207140901"	4
"207140902"	2
"207140903"	4
"207140904"	4
"207140905"	3
"207140906"	4
"207150901"	5
"207150902"	5
"207150903"	5
"207150904"	1
"207150905"	4
"207150906"	4
"207150907"	3
"207160901"	4
"207160902"	1
"207160903"	5
"207160904"	5
"207160905"	4
"207170801"	4
"207170802"	5
"207170803"	2
"207170901"	4
"207170902"	2
"207170903"	3
"207170904"	3
"207170905"	3
"207180801"	3
"207180802"	4
"207190801"	3
"207200901"	4
"207200902"	4
"207200903"	3
"207200904"	3
"207210901"	2
"207210902"	2
"207210903"	4
"207210904"	3
"207210905"	4
"207210906"	2
"207210907"	4
"207210908"	3
"207220801"	2
"207220802"	4
"207220803"	5
"207220901"	2
"207220902"	4
"207220909"	
"207220991"	5
"207230801"	2
"207240901"	2
"207240902"	2
"207240903"	3
"207240904"	2
"207250801"	1
"207260901"	5
"207260902"	2
"207260903"	2
"207260904"	2
"207260905"	3
"207260906"	4
"207260907"	3
"207270901"	3
"207270902"	3
"207270903"	2
"207270904"	1
"207270905"	3
"207270906"	3
"207280902"	4
"207280903"	2
"207280904"	2
"207280905"	4
"207280906"	1
"207290801"	3
"207290802"	3
"207290803"	2
"207290804"	2
"207290805"	2
"207290806"	2
"207290901"	4
"207290902"	2
"207290903"	3
"207290904"	5
"207290905"	3
"207290906"	2
"207290907"	2
"207290908"	4
"207300901"	3
"207300902"	4
"207300903"	2
"207300904"	2
"208020801"	3
"208020802"	3
"208020803"	3
"208040801"	4
"208050801"	5
"208080801"	5
"208080802"	5
"208080803"	5
"208080804"	5
"208080805"	5
"208080806"	5
"208090801"	5
"208090802"	2
"208090803"	3
"208100801"	3
"208100802"	5
"208100803"	4
"208100804"	4
"208100805"	5
"208100806"	4
"208100807"	3
"208110801"	5
"208110802"	3
"208120801"	4
"208150801"	3
"208150802"	2
"208150803"	3
"208150804"	1
"208150805"	2
"208160801"	3
"208160802"	3
"208180801"	5
"208180802"	5
"208180803"	
"208180804"	4
"208190801"	2
"208190802"	4
"208190803"	4
"208200801"	4
"208200802"	3
"208200803"	1
"208200804"	2
"208200805"	1
"208220801"	2
"208230801"	1
"208230802"	3
"208230803"	1
"208240801"	2
"208250801"	2
"208250821"	5
"208270801"	5
"208270802"	3
"208270803"	4
"208290801"	2
"208290802"	3
"208290803"	3
"209020801"	4
"209040801"	4
"209040802"	3
"209040803"	4
"209050801"	4
"209050802"	4
"209050803"	4
"209050804"	4
"209110801"	4
"209110802"	4
"209110803"	3
"209120801"	3
"209120802"	4
"209130801"	3
"209130802"	4
"209160801"	2
"209190801"	3
"209190802"	4
"209190803"	5
"209190804"	3
"209190805"	4
"209200801"	4
"209200802"	5
"209200803"	3
"209220801"	5
"209220802"	3
"209220803"	4
"209220804"	4
"209220805"	4
"209220806"	5
"209220807"	4
"209220808"	2
"209220809"	1
"209220810"	3
"209230801"	4
"209230802"	5
"209230803"	4
"209230804"	5
"209240801"	4
"209240802"	5
"209240803"	2
"209240804"	2
"209240805"	3
"209240806"	5
"209240807"	4
"209240808"	4
"209250801"	2
"209250802"	5
"209250803"	3
"209250804"	4
"209250805"	1
"209250806"	1
"209260801"	3
"209260802"	4
"209260803"	2
"209260804"	2
"209260805"	2
"209260806"	2
"209260807"	4
"209260808"	4
"209270801"	5
"209290801"	2
"209290802"	2
"209290803"	1
"209290804"	3
"209290805"	5
"210010801"	1
"210010802"	4
"210010803"	3
"210010804"	2
"210020801"	2
"210030801"	2
"210030802"	2
"210040801"	4
"210050801"	2
"210050802"	3
"210080801"	4
"210080802"	4
"210080803"	4
"210090801"	3
"210100801"	4
"210100802"	4
"210100803"	4
"210100804"	4
"210110801"	5
"210110802"	4
"210150801"	4
"210180801"	4
"210190801"	5
"210190802"	5
"210200801"	4
"210220801"	3
"210220802"	2
"210220803"	2
"210220804"	2
"210220805"	3
"210220806"	3
"210220807"	2
"210230801"	3
"210230802"	4
"210230803"	2
"210230804"	2
"210230805"	3
"210230806"	2
"210230807"	4
"210230808"	3
"210230809"	3
"210240801"	3
"210240802"	4
"210240803"	2
"210240804"	2
"210240805"	4
"210240806"	4
"210250801"	1
"210250802"	3
"210250803"	1
"210250804"	2
"210250805"	4
"210250806"	2
"210250807"	2
"210260801"	1
"210260802"	2
"210260803"	2
"210260804"	2
"210260805"	1
"210260806"	1
"210270801"	4
"210270802"	3
"210270803"	4
"210270804"	2
"210270805"	4
"210290801"	4
"210290802"	3
"210290803"	4
"210290804"	4
"210290805"	5
"210290806"	4
